score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90044699,GCST90027158,GCST90399479,GCST90301303,GCST012182,FINNGEN_R12_G6_ALZHEIMER,FINNGEN_R12_G6_AD_WIDE,FINNGEN_R12_AD_LO_EXMORE,FINNGEN_R12_F5_ALZHDEMENT,GCST90558103,GCST009025,GCST90244027,GCST90472768,GCST001868,GCST90472758,GCST90244026,GCST90472763,GCST90654656,GCST005549,GCST008438,GCST009497,GCST90026487,GCST90476497,GCST008437,GCST90566388,FINNGEN_R12_AD_U_EXMORE,GCST90668050,FINNGEN_R12_AD_EO_EXMORE,GCST90668049,GCST90668052,GCST90668051,FINNGEN_R12_AD_AM_EXMORE,GCST90276157,GCST90276158,GCST009024,GCST009022,GCST009020,GCST009023,GCST90038451,GCST90654661,GCST90476499,GCST90480731,GCST90267627,GCST90654662,GCST90654655,GCST90654663,GCST009019,GCST90038452,GCST90654664,GCST90624094,GCST90624093,GCST009496,GCST90558250,GCST90654665,GCST007600,GCST90476498,GCST000018,GCST000121,GCST000124,GCST001529,GCST90651184,GCST90558102,GCST007320,GCST001951_2,GCST001951,GCST90012877,GCST002245,GCST90449055,GCST007319,GCST90095190,GCST009021,GCST005922,GCST90449058,GCST001947,GCST007511,GCST90013835,GCST90013838,GCST90132260,GCST90565439,GCST002665,GCST007826,GCST002813,GCST90449053,GCST001026,GCST90449062,GCST001025,GCST007827,GCST001963,GCST001743,GCST002817,GCST001087,GCST000986,GCST000479,GCST90134605,GCST004249,GCST001285,GCST000682,GCST002422,GCST002665_3,GCST002665_2,GCST000808,GCST007825,GCST001915,GCST003452,GCST90134416,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.854010150650718,ENSG00000142192,APP,protein_coding,0.735826302732826,NA,NA,GCST90044699/GCST90027158/GCST90399479/GCST90301303/GCST012182/FINNGEN_R12_G6_ALZHEIMER/FINNGEN_R12_G6_AD_WIDE/FINNGEN_R12_AD_LO_EXMORE/FINNGEN_R12_F5_ALZHDEMENT,0.849886059761047/0.668333470821381/0.668313682079315/0.668313682079315/0.668313682079315/0.655292093753815/0.655292093753815/0.641774952411652/0.641774952411652,0.8498861,0.6683335,0.6683137,0.6683137,0.6683137,0.6552921,0.6552921,0.641775,0.641775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,APP,351,GWAS,1,500,29
0.781502222856208,ENSG00000130203,APOE,protein_coding,0.95459478859895,NA,NA,GCST90558103/GCST009025/GCST90244027/GCST90472768/GCST001868/GCST90472758/GCST90244026/GCST90472763/FINNGEN_R12_AD_LO_EXMORE/FINNGEN_R12_F5_ALZHDEMENT/FINNGEN_R12_G6_ALZHEIMER/FINNGEN_R12_G6_AD_WIDE/GCST90654656/GCST005549/GCST008438/GCST009497/GCST90026487/GCST90476497/GCST008437/GCST90566388/FINNGEN_R12_F5_ALZHDEMENT/FINNGEN_R12_AD_U_EXMORE/FINNGEN_R12_AD_LO_EXMORE/GCST90668050/FINNGEN_R12_AD_EO_EXMORE/GCST90668049/FINNGEN_R12_G6_ALZHEIMER/GCST90668052/GCST90668051/FINNGEN_R12_AD_AM_EXMORE/GCST90276157/FINNGEN_R12_G6_AD_WIDE/GCST90276158/GCST009024/GCST009022/GCST009020/GCST009023/GCST90038451/GCST90654661/GCST90476499/GCST90044699/GCST90480731/GCST90267627/GCST90654662/GCST90654655/GCST90654663/GCST009019/GCST90038452/GCST90654664/GCST90624094/GCST90624093/GCST009496/GCST90558250/GCST90654665/GCST007600/GCST90476498/GCST000018/GCST000121/GCST000124/GCST001529/GCST90651184/GCST90558102/GCST007320/GCST001951_2/GCST001951/GCST007320/GCST90012877/GCST002245/GCST90012877/GCST002245,0.96407550573349/0.962487936019897/0.962487936019897/0.962487936019897/0.962487936019897/0.962487936019897/0.962487936019897/0.962487936019897/0.958043396472931/0.958043396472931/0.958043396472931/0.958043396472931/0.954856038093567/0.954763770103455/0.954284489154816/0.954284489154816/0.953318297863007/0.952052712440491/0.951512455940247/0.948595762252808/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946868360042572/0.946281135082245/0.946281135082245/0.946281135082245/0.946281135082245/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.944480538368225/0.880986928939819/0.880986928939819/0.880986928939819/0.87818568944931/0.877877056598663/0.859771907329559/0.757671892642975/0.716566920280457/0.716566920280457/0.630078732967377/0.630078732967377/0.630078732967377/0.555763363838196/0.555763363838196,0.9444805,NA,NA,NA,NA,0.9468684,0.9468684,0.9468684,0.9468684,0.9640755,0.9624879,0.9624879,0.9624879,0.9624879,0.9624879,0.9624879,0.9624879,0.954856,0.9547638,0.9542845,0.9542845,0.9533183,0.9520527,0.9515125,0.9485958,0.9468684,0.9468684,0.9468684,0.9468684,0.9468684,0.9468684,0.9468684,0.9468684,0.9468684,0.9462811,0.9462811,0.9462811,0.9462811,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.9444805,0.8809869,0.8809869,0.8809869,0.8781857,0.8778771,0.8597719,0.6300787,0.7165669,0.7165669,0.5557634,0.5557634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,APOE,348,GWAS,1,500,34
0.683383298022178,ENSG00000137642,SORL1,protein_coding,0.866141051026504,NA,NA,GCST90027158/GCST90399479/GCST90449055/GCST90044699/GCST007319/GCST90095190/GCST009021/GCST005922/GCST90449058/GCST90301303/GCST001947/GCST007320/GCST002245/GCST90012877/GCST90027158,0.893193125724792/0.831989884376526/0.831989884376526/0.831989884376526/0.831989884376526/0.831989884376526/0.831989884376526/0.831989884376526/0.831989884376526/0.828481912612915/0.822965443134308/0.812460243701935/0.812460243701935/0.807688772678375/0.807688772678375,0.8319899,0.8076888,0.8319899,0.8284819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8124602,NA,NA,0.8076888,0.8124602,0.8319899,0.8319899,0.8319899,0.8319899,0.8319899,0.8319899,0.8229654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,SORL1,6653,GWAS,1,127,26
0.673174984122322,ENSG00000137845,ADAM10,protein_coding,0.724090050061399,NA,NA,GCST90027158/GCST007511/GCST90012877/GCST005922/GCST90013835/GCST90449055,0.791699945926666/0.764574348926544/0.746044218540192/0.735726892948151/0.682575941085815/0.682575941085815,NA,0.7916999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7460442,NA,0.6825759,NA,NA,NA,0.7357269,NA,NA,0.7645743,0.6825759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,ADAM10,102,GWAS,1,217,16
0.620696640620157,ENSG00000159640,ACE,protein_coding,0.840513616622938,NA,NA,GCST90044699/GCST005922/GCST90013838/GCST90013835/GCST90132260/GCST90027158/GCST90565439/GCST90399479/GCST90301303/GCST002665,0.890875279903412/0.890875279903412/0.886213600635529/0.886213600635529/0.85266649723053/0.847491025924683/0.841211497783661/0.82854813337326/0.811380803585052/0.788656651973724,0.8908753,0.847491,0.8285481,0.8113808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8908753,NA,NA,NA,0.8862136,0.8862136,0.8526665,0.8412115,0.7886567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,ACE,1636,GWAS,1,344,8
0.618331865909801,ENSG00000138613,APH1B,protein_coding,0.847450374155939,NA,NA,GCST90027158/GCST90449055/GCST90044699/GCST90565439/GCST90301303/GCST90399479,0.937651872634888/0.929853796958923/0.927896678447723/0.927896678447723/0.926340818405151/0.926257967948914,0.9278967,0.9376519,0.926258,0.9263408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9298538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9278967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,APH1B,83464,GWAS,1,45,2
0.595877646433021,ENSG00000203710,CR1,protein_coding,0.935985578457224,NA,NA,GCST90027158/GCST90012877/GCST90044699/GCST90399479/GCST90301303/GCST005549/FINNGEN_R12_G6_ALZHEIMER/GCST009021/GCST007826/GCST007319/GCST002245/GCST007320/FINNGEN_R12_AD_LO_EXMORE/GCST002813/GCST90654656/GCST90654655/GCST90624093/GCST90095190/FINNGEN_R12_G6_AD_WIDE/GCST90132260/GCST90449058/GCST90449055/GCST90449053/GCST001026/GCST90449062/GCST009496/GCST005922/GCST001025,0.970529973506927/0.940975368022919/0.936925709247589/0.934614896774292/0.934614896774292/0.929816484451294/0.928606152534485/0.925534725189209/0.925534725189209/0.925534725189209/0.924785375595093/0.923187017440796/0.916215419769287/0.906940758228302/0.905453085899353/0.905453085899353/0.895070910453796/0.885447025299072/0.884220778942108/0.807056605815887/0.779915332794189/0.777941942214966/0.777941942214966/0.767579793930054/0.763346493244171/0.756289005279541/0.696432054042816/0.693212449550629,0.9369257,0.97053,0.9346149,0.9346149,NA,0.9286062,0.8842208,0.9162154,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9054531,0.9298165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9054531,NA,NA,NA,NA,NA,0.8950709,0.756289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.923187,NA,NA,0.9409754,0.9247854,0.7779419,0.9255347,0.885447,0.9255347,0.6964321,0.7799153,NA,NA,NA,NA,0.8070566,NA,NA,0.9255347,0.9069408,0.7779419,0.7675798,0.7633465,0.6932124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,CR1,1378,GWAS,1,108,2
0.595229249030764,ENSG00000146904,EPHA1,protein_coding,0.832692763884581,NA,NA,GCST002245/GCST90449058/GCST007319/GCST001026/GCST007827/GCST90095190/GCST007320/GCST90044699,0.921518743038177/0.920660793781281/0.783032298088074/0.783032298088074/0.627012491226196/0.627012491226196/0.608777582645416/0.543317079544067,0.5433171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6087776,NA,NA,NA,0.9215187,NA,0.7830323,0.6270125,NA,NA,0.9206608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7830323,NA,NA,0.6270125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,EPHA1,2041,GWAS,1,131,19
0.587205627156889,ENSG00000030582,GRN,protein_coding,0.832404120712953,NA,NA,FINNGEN_R12_G6_ALZHEIMER/GCST90399479/GCST90301303/GCST90027158/FINNGEN_R12_G6_AD_WIDE/FINNGEN_R12_AD_LO_EXMORE,0.931659877300262/0.917689621448517/0.901458621025085/0.898317098617554/0.881658434867859/0.509107232093811,NA,0.8983171,0.9176896,0.9014586,NA,0.9316599,0.8816584,0.5091072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,GRN,2896,GWAS,1,157,8
0.580284930316774,ENSG00000064687,ABCA7,protein_coding,0.679080439890609,NA,NA,GCST007319/GCST009021/GCST90027158/GCST001963,0.71214097738266/0.71214097738266/0.69436126947403/0.563941538333893,NA,0.6943613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.712141,NA,0.712141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5639415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,ABCA7,10347,GWAS,1,68,25
