Disease,Abbreviation,ID,ICD10_code,ICD10_chapter,ICD10_category,complete,single,average,centroid,median,mcquitty,ward.D,ward.D2
Alzheimer disease,AD,MONDO_0004975,G30,VI,Diseases of the nervous system,1,1,1,1,1,1,1,1
Anxiety disorder,ANX,EFO_0006788,F41,V,Mental and behavioural disorders,2,2,2,2,2,2,2,2
Arteriosclerosis disorder,AS,MONDO_0002277,I70,IX,Diseases of the circulatory system,1,1,1,1,1,1,1,1
Asthma,ASMA,MONDO_0004979,J45,X,Diseases of the respiratory system,3,3,3,3,3,3,3,3
Attention deficit hyperactivity disorder,ADHD,EFO_0003888,F90,V,Mental and behavioural disorders,4,4,4,2,4,4,4,4
Bipolar Disorder,BD,MONDO_0004985,F31,V,Mental and behavioural disorders,5,2,5,2,5,5,5,5
Blood coagulation disease,BCD,EFO_0009314,D65,III,Diseases of the blood and blood-forming organs,6,3,6,4,6,6,6,6
Chronic Fatigue Syndrome,CFS,EFO_0004540,G93.3,VI,Diseases of the nervous system,7,5,7,5,7,7,7,7
Chronic obstructive pulmonary disease,COPD,EFO_0000341,J44,X,Diseases of the respiratory system,8,6,8,6,8,8,8,8
Crohn disease,CD,EFO_0000384,K50,XI,Diseases of the digestive system,3,3,3,3,3,3,3,3
Depressive Disorder,DD,MONDO_0002050,F32,V,Mental and behavioural disorders,4,4,4,2,4,4,4,4
Diabetes Mellitus,DM,EFO_0000400,E11,IV,Endocrine nutritional and metabolic diseases,9,1,9,7,4,9,9,9
Epilepsy,EPI,EFO_0000474,G40,VI,Diseases of the nervous system,8,7,8,8,9,8,8,8
Heart failure,HF,EFO_0003144,I50,IX,Diseases of the circulatory system,1,1,1,1,1,1,1,1
Hypercholesterolemia,HC,HP_0003124,E78,IV,Endocrine nutritional and metabolic diseases,1,1,1,1,1,1,1,1
Hypertension,HTN,EFO_0000537,I10,IX,Diseases of the circulatory system,9,1,9,7,4,9,9,9
Lupus erythematosus,SLE,MONDO_0004670,M32,XIII,Diseases of the musculoskeletal system and connective tissue,3,3,3,3,3,3,3,3
Metabolic syndrome,MetS,EFO_0000195,E88.8,IV,Endocrine nutritional and metabolic diseases,1,1,1,1,1,1,1,1
Multiple Sclerosis,MS,MONDO_0005301,G35,VI,Diseases of the nervous system,3,3,3,3,3,3,3,3
Obesity,OB,EFO_0001073,E66,IV,Endocrine nutritional and metabolic diseases,9,1,9,7,4,9,9,9
Parkinson,PD,MONDO_0005180,G20,VI,Diseases of the nervous system,2,2,2,2,2,2,2,2
Psoriasis,PSO,EFO_0000676,L40,XII,Diseases of the skin and subcutaneous tissue,3,3,3,3,3,3,3,3
Post-traumatic stress disorder,PTSD,EFO_0001358,F43.1,V,Mental and behavioural disorders,2,2,2,2,2,2,2,2
Rheumatoid arthritis,RA,EFO_0000685,M05,XIII,Diseases of the musculoskeletal system and connective tissue,3,3,3,3,3,3,3,3
Schizophrenia,SCZ,MONDO_0005090,F20,V,Mental and behavioural disorders,5,8,5,9,4,5,5,5
Sleep Disorder,SD,EFO_0008568,G47,VI,Diseases of the nervous system,4,9,4,2,4,4,4,4
Ulcerative colitis,UlCo,EFO_0000729,K51,XI,Diseases of the digestive system,3,3,3,3,3,3,3,3
Vasculitis,VAS,EFO_0006803,M30,XIII,Diseases of the musculoskeletal system and connective tissue,6,3,6,4,6,6,6,6
