	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	0.275943821442253	5.09498593496431	1.42295815641839	0.109386840260101	0.165429983855031	1.31478252444616	0.0448253841089203	0.87960742908567	0.695248934521484	0.146934303659804	1.4853184370705	0.730697195134329	3.44904779394523	7.18892500428188	0.440868798716435	0.820816174839321	5.66023206456523	0.616119428186653	0.167964559463083	4.13875113732317	1.30581391448208	0.522375332729052	0.59173871387623	0.414671558591288	0.0904625017599861	0.799707819073771	1.93862805851775
Anxiety disorder	0.275943821442253	NA	0.697035910909417	0.0481925855550576	3.56905760952229	4.2157634144165	0.339601836056252	0.139465455479599	1.12480337182855	0.00542217000191979	4.59542899121196	0.948022005380655	2.51252182328545	0.500920517575198	0.411360196507157	0.361867713979003	0.0058053591537967	1.35643580438654	0.0149675836770954	2.41397842881537	3.80003335078102	0.0170014325096433	4.79529359743389	0.00222357186243304	3.76654409956443	3.5283637296352	0.0963990381215483	0.036703146522729
Arteriosclerosis disorder	5.09498593496431	0.697035910909417	NA	1.42538093669727	0.280996624303836	0.592819287311847	1.16463524899158	0.0118772076025373	3.57403864536699	0.529992317088155	0.505579336374563	3.62823572681362	0.50526356464853	6.3303160780353	7.59911303032121	3.69833922405519	0.213088925125745	6.79140560552555	1.30538990462315	0.492130900301871	1.78425510706881	0.536812575504033	0.507704630408653	0.999609430741864	0.248679201351527	0.591417911727383	0.646948506948186	1.65670776557499
Asthma	1.42295815641839	0.0481925855550576	1.42538093669727	NA	0.0375233768316328	0.013722221731593	0.199297279749055	0.091992560539459	1.73586527321205	5.98699953576307	0.282349295065686	2.24101195615205	0.131099754742478	1.08219219402342	0.368343303918129	0.437310353981576	6.01941448248277	0.188696196348396	6.277631816306	0.105327324202911	0.503268318202719	7.15933192236148	0.0828111361814238	6.26718036792729	0.168854197104563	0.0336919762341748	5.73787334475989	2.02160974121343
Attention deficit hyperactivity disorder	0.109386840260101	3.56905760952229	0.280996624303836	0.0375233768316328	NA	2.77789690956631	0.0112758386398298	0.602333007790924	1.80266689736225	0.0152519452586993	5.66364187921393	1.28489845289113	0.740250800993943	1.12282033443213	0.143524537356657	0.990944281889982	0.0568955080649341	0.811464455652294	0.0553314315017831	4.2434484030971	1.91786458317322	0.00500142512923539	1.04606514823	0.0409360064933559	2.96102164767514	2.91701186780638	0.00225737115836799	0.00198436662964613
Bipolar Disorder	0.165429983855031	4.2157634144165	0.592819287311847	0.013722221731593	2.77789690956631	NA	0.330737630965155	0.14729446375057	1.36419231396336	0.0161572029395359	2.40898947449011	1.09189857647307	2.13801837970568	0.561509790649647	0.262724163757586	0.645048860695797	0.00739759931377559	1.38943293342703	0.34539673733982	1.34951614041494	1.3803595781736	0.0733657931120617	1.03365318875903	0.0220605145393989	2.75897322158004	1.19874297984104	0.0361926605646752	0.100191408507101
Blood coagulation disease	1.31478252444616	0.339601836056252	1.16463524899158	0.199297279749055	0.0112758386398298	0.330737630965155	NA	0.0156133030355533	0.110685963146111	0.443953174707334	0.0536349242643823	0.229377912382704	0.244635242368315	2.25634297122212	2.25175448611358	0.142847643183455	0.36282153129849	0.577840807235968	0.343656473330103	0.237562925505975	0.79053819638051	0.723647628214008	0.151895988492768	0.194630142501137	0.139533465333527	0.102101793405628	0.728464718552806	6.05308734950928
Chronic Fatigue Syndrome	0.0448253841089203	0.139465455479599	0.0118772076025373	0.091992560539459	0.602333007790924	0.14729446375057	0.0156133030355533	NA	0.0393061365652003	0.0187979177505586	0.186420555491318	0.183462871569646	0.0386948755116193	0.0337134173646666	0.076385307876396	0.220322869709328	0.0258266900556036	0.0912204893999749	0.0102533770263438	0.290415247785281	0.14340285378079	0.0286804892941038	0.00239424747454759	0.146669927767299	0.534691380505741	0.111987417260242	0.00513116682558855	0.00159383313219355
Chronic obstructive pulmonary disease	0.87960742908567	1.12480337182855	3.57403864536699	1.73586527321205	1.80266689736225	1.36419231396336	0.110685963146111	0.0393061365652003	NA	0.16991455157258	1.52679711923818	2.25738492626449	3.06473821441196	3.54437619502211	0.197080371881771	2.27638158618396	0.0974350683680576	0.397004024674059	0.378437887059497	1.03301858627821	0.387396032345652	0.0449134687892813	0.0782195528305165	0.268210337314286	1.25698384050572	1.19884471436237	0.130031849062756	0.349821554263026
Crohn disease	0.695248934521484	0.00542217000191979	0.529992317088155	5.98699953576307	0.0152519452586993	0.0161572029395359	0.443953174707334	0.0187979177505586	0.16991455157258	NA	0.0232934068509556	1.50209939603256	0.237719546042079	1.11397946479049	0.569906218795322	0.504141980930839	5.99499648488054	0.282186205263939	5.34435775469537	0.447307988388023	1.62615449864669	7.56422850317186	0.0293176994797464	7.3228516442982	0.0480661501393555	0.0422930513168421	7.69210054620686	1.87412746509818
