	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	0.311986600554382	0.685749129459718	0.471286466234543	0.258910483149825	0.282767913457273	0.488562073987595	0.114064536816919	0.41900686010955	0.38479471563447	0.287112059497835	0.489511246196667	0.387461416741324	0.666954525027929	0.774268983675568	0.355242255902931	0.408118777452763	0.717124971427348	0.389719814865835	0.288060081037477	0.639432572570367	0.453654879563109	0.312075089292806	0.352292767186549	0.351755488348484	0.261972309246835	0.384136596443696	0.532121229507256
Anxiety disorder	0.311986600554382	NA	0.402893961976049	0.207494595024521	0.612646261721242	0.712164553917938	0.342536081434945	0.191099765614643	0.455364929271859	0.0554983171827206	0.676429438967695	0.439968592220684	0.578795298874112	0.402507447510045	0.361644110197022	0.340620477052991	0.0962787090785129	0.478777837879978	0.150460085711133	0.5769776633221	0.643974773260845	0.116659639983255	0.758499054040865	0.0251261235755631	0.629325070859743	0.627626693388673	0.189168012036014	0.173052655881259
Arteriosclerosis disorder	0.685749129459718	0.402893961976049	NA	0.486544996406643	0.322853403859534	0.400354936642945	0.484371081516917	0.0369061323559887	0.632728707316436	0.365998521217001	0.379782524250123	0.65856821285702	0.360690230751727	0.814097564732479	0.806928064541828	0.641386212699732	0.295419192286563	0.787677832366039	0.488877987179225	0.379033101578667	0.51048243024736	0.360923486746018	0.321716971207678	0.429615529472841	0.325851746299621	0.394543886529155	0.372646690402598	0.52360249660275
Asthma	0.471286466234543	0.207494595024521	0.486544996406643	NA	0.206161378010266	0.147593543086857	0.301698131726607	0.160919721625222	0.512293823192036	0.811959311151843	0.3294961774749	0.565507130864059	0.241846582535908	0.490550097327275	0.354884685503411	0.359162622253586	0.775446618312135	0.289010014230985	0.790724202025641	0.259660709924566	0.347126721649285	0.828098800228912	0.138563802798396	0.788925704800149	0.294750080405576	0.214294904377657	0.78478355959675	0.552255003142754
Attention deficit hyperactivity disorder	0.258910483149825	0.612646261721242	0.322853403859534	0.206161378010266	NA	0.600762161265109	0.149875896458922	0.340220593606641	0.502210683827499	0.113371945582342	0.684295679364315	0.468184573633518	0.387933005656929	0.486070541075339	0.288765895912863	0.430546587161807	0.208055114017126	0.407184671456894	0.221687728168726	0.659111845188914	0.498097354372739	0.0811512164361534	0.406839321515077	0.160265661917196	0.5598976130052	0.567970413029986	0.0189987357667673	0.0683724046588017
Bipolar Disorder	0.282767913457273	0.712164553917938	0.400354936642945	0.147593543086857	0.600762161265109	NA	0.349855953134046	0.199451290731945	0.501089985569995	0.0994031035648463	0.585018110671194	0.476659030390807	0.578155227309481	0.42566675723025	0.334241960029017	0.4079894257316	0.0989367706542023	0.50388202951253	0.348350657269563	0.507052650569404	0.489181073706545	0.193718866471203	0.435684634539469	0.113497228252592	0.603851922960346	0.482782334047264	0.124379813818561	0.235053091081615
Blood coagulation disease	0.488562073987595	0.342536081434945	0.484371081516917	0.301698131726607	0.149875896458922	0.349855953134046	NA	0.0379595566793972	0.266680988951401	0.354309435548602	0.234952935340261	0.312779425698113	0.296987133310962	0.624247719697245	0.590773491715223	0.282576584654929	0.344469608208075	0.397005720679664	0.35205358624114	0.322154153370219	0.416099629882901	0.407476251945719	0.191429928529252	0.2619727731387	0.288542857468284	0.270770389533503	0.400663493006692	0.848776962115172
Chronic Fatigue Syndrome	0.114064536816919	0.191099765614643	0.0369061323559887	0.160919721625222	0.340220593606641	0.199451290731945	0.0379595566793972	NA	0.105286172347792	0.0292841980907059	0.228922650084458	0.217348920834888	0.0836667854589589	0.0983375464766388	0.156174793812265	0.238843727197179	0.0660274052565816	0.158440573632822	0.0191718440994936	0.269234887538261	0.177063856581291	0.0627695150205319	-0.0975048308237635	0.16890841289513	0.338939442524019	0.185746855768744	-0.0376055970545285	-0.0770151024976706
Chronic obstructive pulmonary disease	0.41900686010955	0.455364929271859	0.632728707316436	0.512293823192036	0.502210683827499	0.501089985569995	0.266680988951401	0.105286172347792	NA	0.257509296496119	0.491212814701632	0.568117374630497	0.621792007395192	0.681049780984425	0.314491305794348	0.555209794801469	0.241112437412095	0.350795617718004	0.353523667485049	0.454805542600115	0.327479372080184	0.174099927596755	0.137365048310668	0.286497062649414	0.46389665181728	0.46450023312193	0.218295111611522	0.335903596969769
Crohn disease	0.38479471563447	0.0554983171827206	0.365998521217001	0.811959311151843	0.113371945582342	0.0994031035648463	0.354309435548602	0.0292841980907059	0.257509296496119	NA	0.141681724211808	0.512584073732606	0.260804759709859	0.505968081794853	0.383571349693127	0.358586696853554	0.826037631981924	0.294780284567282	0.808800777337192	0.349441730700868	0.492001421132698	0.885708631933352	0.0433010645034764	0.866667182679522	0.180429768534526	0.172830814607335	0.898789674583157	0.550913258637153
