	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	0.691840817444588	1.31038628678543	0.0465916639743372	0.866635819942639	0.0792719172668555	0.00717482432757263	0.0197461609638811	0.414233018469406	0.0594239549504512	1.08208963231288	0.000823034687744856	0	0.656800294403842	0.469458617959365	0.00036442218363355	0	1.1977796560307	0.0078397755786169	0.0957531954436401	0.271167404483111	0.0686546799983929	0.34928398763747	0.000676944081840305	0.579481507562918	0.0349553132338711	0.0225543326938148	0.22840775645197
Anxiety disorder	0.691840817444588	NA	0.627346158182639	0.538295846540092	23.1546350871748	18.5461044438938	0.10799107441204	0.03010063213885	3.77433241840107	0.108521159101817	41.4008046300632	0.962107204690566	0.168086321892799	0.871646428304586	0.237788163662473	0.757588972093995	0.0309428726591483	0.542449284789855	0.113736728880481	8.72986985828376	0.224767797885673	0.0964959183938199	58.2814505986986	0.227733788630768	20.953855999938	13.3970033357077	0.0883175330395501	0.119906604382041
Arteriosclerosis disorder	1.31038628678543	0.627346158182639	NA	0.0973569422279103	0.0273944375600482	0.471806534453644	0.627346158182639	6.25363037031341e-05	3.33423698080111	0.0758480551306507	0.71380003654236	0.228671744666693	0.0336535497802928	26.1021342066525	10.58901746572	1.38720091297634	0.000151516696936889	9.58093047727182	0.0165791491978973	0.301462395242055	0.0561868729085251	0.0547059759767819	0.239331787097733	0.0202329775449226	0.0931686385394013	0.141568612308083	0.0191425066561971	0.627183201079383
Asthma	0.0465916639743372	0.538295846540092	0.0973569422279103	NA	0.129443307690532	0.0428244007289425	0.00411014517836638	7.91625672408816e-09	6.37761158990196	11.4939721404581	0.109804235012069	0.00239914988105566	0	0.161471029027702	0.00860605111308115	3.60663614093537e-05	2.06286623185644	0.143764591334338	1.95829685406705	0.0304868993447392	0.161678736914805	5.80724779684695	0.724530777586473	5.01078223560225	0.000956201304967294	0.0455723252179049	4.16074381260304	0.237469829519861
Attention deficit hyperactivity disorder	0.866635819942639	23.1546350871748	0.0273944375600482	0.129443307690532	NA	18.9562828564684	0	0.10714347597012	3.07611393085475	0.00210134717494764	26.3541764708887	0.610404777449742	0.0400251937480731	0.858467115467355	0.0358585885242168	0.382890805031147	0.0662687508660298	0.386094694444936	0.0666432854380155	11.7968239121508	0.0132408928641709	0.000235041858776564	8.14502429520126	0.0963664999241114	28.5863396425172	9.44635643447875	0.00173302644819776	0
Bipolar Disorder	0.0792719172668555	18.5461044438938	0.471806534453644	0.0428244007289425	18.9562828564684	NA	0.207103790024147	0.0127782046414268	0.430927794187063	0.0697606301614509	30.2358710485824	0.132552326085409	0.0309663996891457	0.447022167469513	0.0753938314484184	0.237122630990459	0.019220999819281	0.423093689792136	0.0180979210380534	1.78493735378818	0.0461367687037465	0.0648153191606565	5.79425158149375	0.0139597279574632	24.5149842379152	6.28343117280659	0.138715869767536	0.0974381302227521
Blood coagulation disease	0.00717482432757263	0.10799107441204	0.627346158182639	0.00411014517836638	0	0.207103790024147	NA	0.00141689758882575	0.0564884359100188	0.0124746488653117	0.0228026209700209	1.8563106877182e-07	0	2.65604834607523	0.237788163662473	1.23115561781705e-05	0.00539739009641723	0.0550381747038592	0	0.00237347997433017	0	0.0317692069038116	0	0.00881013328437258	0.00140437268159545	0.0510306554100193	0.00490845607119028	8.30400196620476
Chronic Fatigue Syndrome	0.0197461609638811	0.03010063213885	6.25363037031341e-05	7.91625672408816e-09	0.10714347597012	0.0127782046414268	0.00141689758882575	NA	2.42167737189419e-06	1.57887559765265e-06	0.0222734143766738	2.26636241189945e-12	0.00182334091477762	0.00554355318286379	0.0173869717813046	4.07264418951359e-12	0.0020127846924253	0.00154730676633487	0.00571869708441993	0.0222014048608654	0.00546898485765439	1.17497395220931e-05	0.0052562311924999	9.94544059109941e-06	0.00807721647067329	0.00724187466218128	0.000546513098603472	0
Chronic obstructive pulmonary disease	0.414233018469406	3.77433241840107	3.33423698080111	6.37761158990196	3.07611393085475	0.430927794187063	0.0564884359100188	2.42167737189419e-06	NA	0.304613855784154	1.71994405884249	0.481810242266817	0.0220032252066301	4.02629651780257	0.049651765697293	0.250724427864273	0.040580736561823	0.322638767221581	0	0.0578381042455643	0.034257672410714	0.0417725288036027	2.00060620579824	0.0187065609593066	0.617602237191291	0.198761665915063	0.0940997625874138	0.591931051035237
Crohn disease	0.0594239549504512	0.108521159101817	0.0758480551306507	11.4939721404581	0.00210134717494764	0.0697606301614509	0.0124746488653117	1.57887559765265e-06	0.304613855784154	NA	0.00390974501961446	0.530621009616093	0.199118944836043	0.698319111829489	0.112495617915313	0.038674431124399	13.382790068237	0.655829543724044	8.64619690092276	0.00576508203224831	0.510108829631026	55.6319697412582	0.49648064343116	40.3948182223239	0.0101317652901584	0.348568970300863	60.3296680915221	1.37491307778121
