	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	0.5	0.0132858146493642	0.0465082366070718	0.00207409853038274	0.0244251244196071	0.0165744306023729	0.0280414688527503	0.0253027148290989	0.0179284155031335	3.81352366844188e-05	0.0246673574517654	0.020038965926656	0.00854264062602216	0.0325008899613708	0.047018551896791	0.0172148728916417	4.67218090028363e-05	0.049005844484109	6.0413826183865e-05	0.0138494096637669	0.038385766110511	4.03613190383022e-05	0.0129111569566597	3.85547568865578e-05	0.021553770341246	0.0156760721086651	4.05455374831899e-05	0.0102621586536274
Anxiety disorder	0.0132858146493642	0.5	0.00084283290258171	0.000688321563760664	0.0541568827309661	0.0609564544838959	0.00117506895197395	0.0165308497037427	0.00604873643412843	0.000128008953421389	0.0676600644536224	0.00353140102523375	0.0272678112715105	0.00057694123941056	0.000845416299495762	0.00470100023260324	0.000165002596008802	0.000853720473737888	0.000194372143867292	0.0226670199406819	0.0264484318384434	0.000128353751467794	0.100481872730893	0.000125447629926486	0.054124050938321	0.0546200523877451	0.000136833843986665	0.000450473196982092
Arteriosclerosis disorder	0.0465082366070718	0.00084283290258171	0.5	0.00508208831921195	0.0012504107564544	0.00102700172884846	0.0394444182467543	0.00716684153068233	0.045305405077699	0.000129440666139	0.00109381649705265	0.0319654850207411	0.00353086435248285	0.0840606031369223	0.0838134718376191	0.0470002815070446	0.000147970625723372	0.0776512617060071	0.000181617248311288	0.00640654715161391	0.0106359243161004	0.000135642163064372	0.00119385979537194	0.000130818994893711	0.00121717639544742	0.00169274570489582	0.000135996528401414	0.0162613941604058
Asthma	0.00207409853038274	0.000688321563760664	0.00508208831921195	0.5	0.000948769677992021	0.00112015315725865	0.00672094590978831	0.00181290971186054	0.0640297343537432	0.0619585432440403	0.00068956601403342	0.00241680678473256	0.0156294068992918	0.00488073597835959	0.00257941040381904	0.00758813841885161	0.0426529265931288	0.00248404367291461	0.0458100514889925	0.00125986464845112	0.0105306043947245	0.0619161461873381	0.00136658515194394	0.060661607497442	0.000774758675673135	0.000807529385959615	0.0531737320490613	0.0180597102093999
Attention deficit hyperactivity disorder	0.0244251244196071	0.0541568827309661	0.0012504107564544	0.000948769677992021	0.5	0.07252671742152	0.0016263664305209	0.0335474045111942	0.0170515043971758	5.2885747415232e-05	0.0678479124217724	0.00640237378731791	0.0168174972342103	0.000879719220513294	0.00126376138609346	0.00702035606666154	7.41565054829321e-05	0.00129674326219603	8.89151122206039e-05	0.044399252331247	0.0148616829237682	5.4522832351947e-05	0.0370901463373337	5.34551084091966e-05	0.0639418871150707	0.0489080007530057	5.68464214704352e-05	0.00046050225745462
Bipolar Disorder	0.0165744306023729	0.0609564544838959	0.00102700172884846	0.00112015315725865	0.07252671742152	0.5	0.00152497564645379	0.0218621259713315	0.00852455814581523	0.000381568534599236	0.0659645542616569	0.00397773600312821	0.034394349315952	0.000703474029335731	0.00101123939625656	0.00479148386573168	0.000637401326698886	0.00101742904161843	0.000654228893748901	0.0216502128860379	0.0171353869315336	0.000379838110313491	0.0469268200691297	0.000387056079648225	0.0817232326534744	0.0335580141651662	0.000423605894695081	0.000745578166923056
Blood coagulation disease	0.0280414688527503	0.00117506895197395	0.0394444182467543	0.00672094590978831	0.0016263664305209	0.00152497564645379	0.5	0.0157370413707597	0.0205756854189002	0.00419505943962837	0.00142970857016451	0.015767755583024	0.00617789586054878	0.058980327675536	0.0390147323230307	0.0168555752313512	0.00618887863324226	0.0296755963200413	0.00664844527625564	0.00470138993598544	0.011802644217797	0.00422679724264153	0.00168720239392807	0.0045325338819236	0.00208690855939139	0.00201150025382075	0.00482929008590279	0.156397557152572
Chronic Fatigue Syndrome	0.0253027148290989	0.0165308497037427	0.00716684153068233	0.00181290971186054	0.0335474045111942	0.0218621259713315	0.0157370413707597	0.5	0.0132905763234191	4.60565666824165e-05	0.0204223338010252	0.0444643568750579	0.0256685159194032	0.00665992183314517	0.008078126538366	0.0434267282427903	5.54370138273404e-05	0.00895956899013392	7.1243219152759e-05	0.0557579035296553	0.0301102292917254	4.86702753407582e-05	0.0170751236174395	4.64371710539798e-05	0.0437418530845185	0.0406927510391219	4.88442292518708e-05	0.00437905477910918
Chronic obstructive pulmonary disease	0.0179284155031335	0.00604873643412843	0.045305405077699	0.0640297343537432	0.0170515043971758	0.00852455814581523	0.0205756854189002	0.0132905763234191	0.5	0.00473245569993473	0.00716104368442728	0.0185857971165917	0.0333668435992214	0.0498454658106668	0.0232833144190938	0.0563716135620931	0.00469326973256852	0.0223491501995383	0.00532318293676418	0.0118912187734449	0.0118973993457286	0.00486053748564524	0.00654269729308111	0.00473086470827204	0.00766354200070042	0.00794573904308859	0.00474820397859294	0.013833063204991
Crohn disease	3.81352366844188e-05	0.000128008953421389	0.000129440666139	0.0619585432440403	5.2885747415232e-05	0.000381568534599236	0.00419505943962837	4.60565666824165e-05	0.00473245569993473	0.5	7.25422561979967e-05	4.57642675783969e-05	0.0145040666575989	0.000237654939443427	4.1439661044212e-05	0.000267355212968331	0.0756264634075067	4.01926064094689e-05	0.0651935624000453	2.97524029749714e-05	0.0135129923983138	0.0846176635372105	0.000716109693235545	0.0798565205718324	7.96239200421246e-05	5.05906075337211e-05	0.0885141314577898	0.0200691257680908
