	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	1	0.0269058295964126	0.0410958904109589	0.02	0.034965034965035	0.0126050420168067	0.0043859649122807	0.0202839756592292	0.0241935483870968	0.0163398692810458	0.0398773006134969	0.0221238938053097	0	0.0285714285714286	0.026615969581749	0.0194884287454324	0	0.0365853658536585	0.00442477876106195	0.0238663484486874	0.0151515151515152	0.0147058823529412	0.0119047619047619	0.008	0.0345744680851064	0.0182291666666667	0.0108303249097473	0.0111731843575419
Anxiety disorder	0.0269058295964126	1	0.0271317829457364	0.0278551532033426	0.16289592760181	0.154285714285714	0.0106382978723404	0.0153172866520788	0.0591133004926108	0.0149253731343284	0.219512195121951	0.0338785046728972	0.0116959064327485	0.0289855072463768	0.0176211453744493	0.0323415265200517	0.00847457627118644	0.023696682464455	0.010752688172043	0.0803324099722992	0.0125	0.0128205128205128	0.378947368421053	0.0210843373493976	0.132686084142395	0.103448275862069	0.0126050420168067	0.00709219858156028
Arteriosclerosis disorder	0.0410958904109589	0.0271317829457364	1	0.0277777777777778	0.0152905198776758	0.0259259259259259	0.0271317829457364	0.0131578947368421	0.0583941605839416	0.0205882352941176	0.038781163434903	0.044613710554951	0.00813008130081301	0.175510204081633	0.104693140794224	0.0569007263922518	0.00320512820512821	0.0981132075471698	0.00766283524904215	0.0356347438752784	0.00851063829787234	0.0162866449511401	0.00980392156862745	0.0197044334975369	0.0265700483091787	0.0289156626506024	0.0128205128205128	0.0187793427230047
Asthma	0.02	0.0278551532033426	0.0277777777777778	1	0.0283018867924528	0.016	0.00819672131147541	0.0125984251968504	0.0765027322404372	0.110837438423645	0.0323275862068966	0.0503455083909181	0	0.0234986945169713	0.0148514851485149	0.0393617021276596	0.053030303030303	0.0233160621761658	0.0426136363636364	0.0345454545454545	0.0148809523809524	0.077720207253886	0.0163934426229508	0.0859538784067086	0.0212355212355212	0.0330739299610895	0.0687022900763359	0.0126182965299685
Attention deficit hyperactivity disorder	0.034965034965035	0.16289592760181	0.0152905198776758	0.0283018867924528	1	0.14468085106383	0	0.0310679611650485	0.0561797752808989	0.00892857142857143	0.172523961661342	0.0484581497797357	0.00840336134453781	0.033210332103321	0.0136054421768707	0.0446859903381642	0.0166666666666667	0.0253623188405797	0.0119047619047619	0.109223300970874	0.0043859649122807	0.0033003300330033	0.0702702702702703	0.0252525252525253	0.174647887323944	0.0997375328083989	0.0065359477124183	0
Bipolar Disorder	0.0126050420168067	0.154285714285714	0.0259259259259259	0.016	0.14468085106383	1	0.0150753768844221	0.0149253731343284	0.0225225225225225	0.0142857142857143	0.181818181818182	0.0274914089347079	0.00543478260869565	0.0227272727272727	0.0125	0.0292249047013977	0.00806451612903226	0.0224215246636771	0.0050251256281407	0.0441558441558442	0.00578034682080925	0.0121951219512195	0.0671641791044776	0.0115273775216138	0.149206349206349	0.0737463126843658	0.0160642570281124	0.0065359477124183
Blood coagulation disease	0.0043859649122807	0.0106382978723404	0.0271317829457364	0.00819672131147541	0	0.0150753768844221	1	0.00869565217391304	0.00938967136150235	0.00740740740740741	0.0101010101010101	0.0068259385665529	0	0.0492610837438424	0.0176211453744493	0.00884955752212389	0.00421940928270042	0.00934579439252336	0	0.00775193798449612	0	0.00851063829787234	0	0.00892857142857143	0.00574712643678161	0.0144092219020173	0.00416666666666667	0.0923076923076923
Chronic Fatigue Syndrome	0.0202839756592292	0.0153172866520788	0.0131578947368421	0.0125984251968504	0.0310679611650485	0.0149253731343284	0.00869565217391304	1	0.00410677618069815	0.00924214417744917	0.0305206463195691	0.0376007162041182	0.00675675675675676	0.0145833333333333	0.0202020202020202	0.0337512054001929	0.0158730158730159	0.012396694214876	0.0109409190371991	0.0407523510971787	0.0069284064665127	0.00788954635108481	0.00247524752475248	0.0182724252491694	0.033112582781457	0.033003300330033	0.0137795275590551	0
Chronic obstructive pulmonary disease	0.0241935483870968	0.0591133004926108	0.0583941605839416	0.0765027322404372	0.0561797752808989	0.0225225225225225	0.00938967136150235	0.00410677618069815	1	0.0241379310344828	0.045016077170418	0.0364464692482916	0.0050761421319797	0.0625	0.0118577075098814	0.0326223337515684	0.0115384615384615	0.0211864406779661	0	0.0196560196560197	0.00537634408602151	0.0115830115830116	0.033112582781457	0.0139275766016713	0.0330578512396694	0.0244565217391304	0.0152671755725191	0.0182926829268293
Crohn disease	0.0163398692810458	0.0149253731343284	0.0205882352941176	0.110837438423645	0.00892857142857143	0.0142857142857143	0.00740740740740741	0.00924214417744917	0.0241379310344828	1	0.013262599469496	0.0510869565217391	0.0159362549800797	0.0314685314685315	0.0195439739413681	0.0377358490566038	0.118881118881119	0.0311418685121107	0.0887096774193548	0.019438444924406	0.0209205020920502	0.286290322580645	0.0142857142857143	0.216763005780347	0.0188679245283019	0.035799522673031	0.30241935483871	0.0275229357798165
