	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	0.238877096717058	0.0640884422539766	0.0138630328986314	0.107717827774175	0.0761444213925957	0.143226726707165	0.0434093313433821	0.0960584586137151	0.0180697242318986	0.116540793028407	0.00967781653571436	0.0971449971614355	0.126391657276422	0.0544877042673744	0.0264294195029527	0.0241815188067863	0.0953423354337697	0.0788365049866471	0.0426295666331098	0.207268179275818	0.0261178359354506	0.328110184697038	0.00737085914968809	0.0935507215950243	0.0242936542979507	0.0166758403084369	0.249906354807984
Anxiety disorder	0.238877096717058	NA	0.176965276181773	0.183848959355862	1.72091300131894	1.64478453137927	0.360550479383439	0.152243154418636	0.525230916101073	0.106780444803433	3.31710070806096	0.361144329218635	0.366580613657248	0.320924344072603	0.158628020632907	0.442509899269085	0.141300550655736	0.197976293128343	0.219928323906096	1.14008554138525	0.402581903655285	0.122171486052825	10.1438930838669	0.145570302690989	2.4152702899325	1.24464911505064	0.108713797011343	0.432719434633756
Arteriosclerosis disorder	0.0640884422539766	0.176965276181773	NA	0.00714866864994748	0.02371766421422	0.0812761311230581	0.205039936847389	0.0182677553087714	0.197473537039472	0.00463335396286572	0.0541088435266461	0.0371463519820917	0.0963681879916653	1.06128928715966	0.306762560982636	0.168964573148103	0.0153136548194973	0.280856446166313	0.0575743003564054	0.0373387451085476	0.122999004614519	0.00818506097877068	0.237759032401803	0.00406317321044989	0.0369818022462492	0.0201710278950399	0.00451585917123437	0.250883255778024
Asthma	0.0138630328986314	0.183848959355862	0.00714866864994748	NA	0.0231706486936904	0.040014990560608	0.105855159854665	0.00186827372823781	0.391925696433744	0.241635964220682	0.0145142118979671	0.00216598269098272	0.0466973112406497	0.0543095738613089	0.00671142173210815	0.0155633504761276	0.111672361609576	0.0183323623120455	0.22349738282576	0.00856228088919195	0.153374058147822	0.144513550721114	0.351811102981452	0.0935674996882296	0.00609323120329618	0.00490566012668978	0.0980416354350662	0.237187445473797
Attention deficit hyperactivity disorder	0.107717827774175	1.72091300131894	0.02371766421422	0.0231706486936904	NA	1.30222001154411	0.116535354859225	0.0723681993999948	0.259961178300313	0.0125670298464708	1.7113708846057	0.0987643058228069	0.145389752972608	0.150312738936061	0.0311275346016142	0.165187570284152	0.0482928981080199	0.0582663742868883	0.0924243332385679	0.818804018101242	0.153954593034945	0.0149186992316277	1.34580494441958	0.0255173689909502	1.94335936219245	0.536697889905782	0.0146999679329802	0.166682046948164
Bipolar Disorder	0.0761444213925957	1.64478453137927	0.0812761311230581	0.040014990560608	1.30222001154411	NA	0.240233979917818	0.0608444336651863	0.14479850158518	0.0391656419999764	2.32975487746434	0.079413469448068	0.181538963181608	0.171279689771669	0.0593907671590311	0.158660916896581	0.0613351048568122	0.0994190735497771	0.101338708766202	0.246103022173488	0.20763265396614	0.045669015384346	1.16029077885706	0.031291787849402	2.24751502198361	0.521725585048033	0.0509127165168395	0.250631890843485
Blood coagulation disease	0.143226726707165	0.360550479383439	0.205039936847389	0.105855159854665	0.116535354859225	0.240233979917818	NA	0.11534452342597	0.204436434491914	0.116014672716771	0.147880521898472	0.0261436181046479	0.257318507332009	0.537892958382866	0.1946272785421	0.0543607638695269	0.150152179715977	0.162952780659395	0.192984575345664	0.115903545761997	0.307784697191129	0.133693799342476	0.492305573208337	0.116551633505552	0.12455245597154	0.162573532059269	0.109019341856689	2.17286004011388
Chronic Fatigue Syndrome	0.0434093313433821	0.152243154418636	0.0182677553087714	0.00186827372823781	0.0723681993999948	0.0608444336651863	0.11534452342597	NA	0.0199040241038941	0.0156747169312426	0.0377265499592938	2.47042212665805e-07	0.0852963776363669	0.0586759722861589	0.0391859287723899	1.61952721262557e-05	0.0316144096629939	0.0279742631070816	0.0686715335352954	0.0233294031453895	0.122806016442532	0.0197273749660146	0.2023989198027	0.00848043893164006	0.0212672267928305	0.0197873731539773	0.0260420350494807	0.109371098023368
Chronic obstructive pulmonary disease	0.0960584586137151	0.525230916101073	0.197473537039472	0.391925696433744	0.259961178300313	0.14479850158518	0.204436434491914	0.0199040241038941	NA	0.05010919451669	0.191273434874374	0.108010300984237	0.158542351933313	0.373710166938624	0.051297949671928	0.155993709605624	0.0669627826605605	0.0892798217492214	0.0887210402290292	0.060422905299436	0.181462948980679	0.0446602838563452	0.594391673570897	0.0307054422763245	0.14734085258425	0.0679104682933013	0.0435827921851148	0.367044090298896
Crohn disease	0.0180697242318986	0.106780444803433	0.00463335396286572	0.241635964220682	0.0125670298464708	0.0391656419999764	0.116014672716771	0.0156747169312426	0.05010919451669	NA	0.011704785586832	0.0535707694120545	0.0984311314316532	0.0782242946466129	0.0135773081024869	0.062503483669027	0.37110981702314	0.0310959201872742	0.391276803575115	0.0166905522813537	0.152247259650255	1.37980328611428	0.222499554051523	1.06029559825844	0.0229370021148195	0.0258342079574653	1.44193097582348	0.276098750196799
Depressive Disorder	0.116540793028407	3.31710070806096	0.0541088435266461	0.0145142118979671	1.7113708846057	2.32975487746434	0.147880521898472	0.0377265499592938	0.191273434874374	0.011704785586832	NA	0.0334874331201435	0.139118713175127	0.21279888750435	0.0193213329765583	0.0947753413197864	0.0308102571465852	0.0602950010156545	0.0863979294401906	0.454373297827056	0.151063018004883	0.0171570626933462	2.34852316324057	0.00461046537026446	1.44943514144051	1.19140704459511	0.0108083387367717	0.1500544187542
Diabetes Mellitus	0.00967781653571436	0.361144329218635	0.0371463519820917	0.00216598269098272	0.0987643058228069	0.079413469448068	0.0261436181046479	2.47042212665805e-07	0.108010300984237	0.0535707694120545	0.0334874331201435	NA	0.0284434593367374	0.340489904159779	0.104963891205488	0.0169466808672549	0.0572671779523264	1.00538759893856	0.0374983465670563	0.834474156734331	0.18203273480487	0.089156244298633	0.521334300859244	0.0228321222895693	0.0406272978569031	0.0344928184698032	0.0394832742602805	0.0578128448311901
Epilepsy	0.0971449971614355	0.366580613657248	0.0963681879916653	0.0466973112406497	0.145389752972608	0.181538963181608	0.257318507332009	0.0852963776363669	0.158542351933313	0.0984311314316532	0.139118713175127	0.0284434593367374	NA	0.18880734885013	0.0979901194873434	0.0705463189902715	0.220259822986521	0.110858554186333	0.253047742590429	0.178050391452819	0.294933290436188	0.10879910327277	0.696089333570114	0.0925130372249139	0.169912779312604	0.0999552026658062	0.110434664068151	0.414207462929404
Heart failure	0.126391657276422	0.320924344072603	1.06128928715966	0.0543095738613089	0.150312738936061	0.171279689771669	0.537892958382866	0.0586759722861589	0.373710166938624	0.0782242946466129	0.21279888750435	0.340489904159779	0.18880734885013	NA	0.388171942145955	0.673790199592423	0.0897481973718718	0.513137264263689	0.133182580449614	0.290874541723277	0.264386341420712	0.0751998082160094	0.498245485125531	0.059628221178441	0.137985587135783	0.1704618687583	0.0461804080921117	0.715613726456363
Hypercholesterolemia	0.0544877042673744	0.158628020632907	0.306762560982636	0.00671142173210815	0.0311275346016142	0.0593907671590311	0.1946272785421	0.0391859287723899	0.051297949671928	0.0135773081024869	0.0193213329765583	0.104963891205488	0.0979901194873434	0.388171942145955	NA	0.0576489511625305	0.0296251526220401	1.02395665584825	0.0658124661309996	0.0269377055196054	0.130406055067211	0.0163858541067684	0.267359936702746	0.00553130955226194	0.0487094332616589	0.0140430296638282	0.00560242624564452	0.233153908128449
Hypertension	0.0264294195029527	0.442509899269085	0.168964573148103	0.0155633504761276	0.165187570284152	0.158660916896581	0.0543607638695269	1.61952721262557e-05	0.155993709605624	0.062503483669027	0.0947753413197864	0.0169466808672549	0.0705463189902715	0.673790199592423	0.0576489511625305	NA	0.0259813639363022	0.161748294215459	0.0375053626297166	0.196843844334984	0.0509029340846783	0.0508231543810795	0.89796800458874	0.01236395200714	0.0437125464962008	0.0823943573589999	0.0232106976024793	0.108857548379779
Lupus erythematosus	0.0241815188067863	0.141300550655736	0.0153136548194973	0.111672361609576	0.0482928981080199	0.0613351048568122	0.150152179715977	0.0316144096629939	0.0669627826605605	0.37110981702314	0.0308102571465852	0.0572671779523264	0.220259822986521	0.0897481973718718	0.0296251526220401	0.0259813639363022	NA	0.0418917752849186	0.528701347399997	0.0340249722025151	0.156673290992985	0.258985695442051	0.22187242160471	0.704623471836413	0.0413531645447593	0.0361942056582191	0.171317004390574	0.396180020386736
