	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	-0.524365510039858	-0.46824025210307	-0.43664288027831	-0.613036309424648	-0.348577785250622	-0.447994534646223	-0.587912255196146	-0.476355575997963	-0.270329607771177	-0.661897658209845	-0.492228875577209	-0.21911451582734	-0.517296761308661	-0.409948567276722	-0.562318808084239	-0.391783251233002	-0.402889179643747	-0.26902849682872	-0.566297484772708	-0.266714235483652	-0.281468990299808	-0.18638346869939	-0.359634826810631	-0.663911692296588	-0.51011745890692	-0.190182990432657	-0.179554490334576
Anxiety disorder	-0.524365510039858	NA	-0.483413784740341	-0.568236240455603	-1.19414145450001	-0.987527718144271	-0.552118970056645	-0.638029018031227	-0.700996136294447	-0.317976284843064	-1.44669867335605	-0.769109106968774	-0.380254376757554	-0.590682088494127	-0.432693878012522	-0.839870720863825	-0.493668162378477	-0.401213524614523	-0.346454835732143	-1.00133306864159	-0.315398299549397	-0.331362236359884	-1.47132678277409	-0.510091549381499	-1.26727583478195	-1.04344981769746	-0.261421623242183	-0.206039895398607
Arteriosclerosis disorder	-0.46824025210307	-0.483413784740341	NA	-0.432187299612788	-0.46036202113802	-0.382704845711432	-0.543971956899864	-0.492394900449539	-0.61720019533355	-0.241643439482538	-0.594840725266428	-0.595693495610784	-0.2277506764493	-1.02348303533836	-0.700996187311321	-0.793008094055146	-0.37004328676014	-0.603945319496546	-0.240397383245628	-0.568020239171093	-0.177586532760117	-0.242219031681695	-0.130349301452789	-0.373912771029521	-0.571515489655	-0.514671009118141	-0.165634314615096	-0.210273344574751
Asthma	-0.43664288027831	-0.568236240455603	-0.432187299612788	NA	-0.587597097425134	-0.394020090902018	-0.49687773751472	-0.530720283639302	-0.792660988863597	-0.708270029259619	-0.614596852863491	-0.593333667252888	-0.226892215414343	-0.526826959326833	-0.378340248796041	-0.652808665212381	-0.68924885793228	-0.366413556731962	-0.533698432125328	-0.617478124804708	-0.302469148918509	-0.61265737352552	-0.292013708978441	-0.715648729706396	-0.596980293331908	-0.588857710020604	-0.529569848297416	-0.2566466487653
Attention deficit hyperactivity disorder	-0.613036309424648	-1.19414145450001	-0.46036202113802	-0.587597097425134	NA	-1.04990692188469	-0.527535549298283	-0.754519759268919	-0.74259821117709	-0.329109882275663	-1.2836589274625	-0.803392317052373	-0.400818998215526	-0.653733727354278	-0.452408555048931	-0.884906354622891	-0.577058856735155	-0.445392597784278	-0.40839017531948	-1.07876404726203	-0.323004387553023	-0.327089570168039	-0.750932235304988	-0.561138917456375	-1.33681745902291	-0.990373476906389	-0.270190506531757	-0.204144053932464
Bipolar Disorder	-0.348577785250622	-0.987527718144271	-0.382704845711432	-0.394020090902018	-1.04990692188469	NA	-0.465953837027169	-0.534425748643967	-0.440934497237689	-0.209418396625772	-1.23647273455173	-0.573501667231458	-0.238761982244779	-0.470970938470577	-0.302912315529056	-0.689253790920779	-0.386048765193258	-0.298795801041436	-0.213944088395235	-0.67928548235666	-0.179707635756834	-0.213150863029759	-0.486719991225817	-0.343433543655421	-1.22593116528939	-0.800493433394884	-0.179956783315868	-0.0917283441202252
Blood coagulation disease	-0.447994534646223	-0.552118970056645	-0.543971956899864	-0.49687773751472	-0.527535549298283	-0.465953837027169	NA	-0.631805066069519	-0.523549470125331	-0.355185178029942	-0.606065344893406	-0.47354603940992	-0.339860274202399	-0.742772977075879	-0.500392601341524	-0.602800050929986	-0.528231838049226	-0.384754820063041	-0.348758457764918	-0.587632260517528	-0.290095064548533	-0.371425010316459	-0.199892210144927	-0.488361729024315	-0.622540833781434	-0.617518666703937	-0.283901833252911	-0.694464214333239
Chronic Fatigue Syndrome	-0.587912255196146	-0.638029018031227	-0.492394900449539	-0.530720283639302	-0.754519759268919	-0.534425748643967	-0.631805066069519	NA	-0.524621764792382	-0.372779893712581	-0.758193428303493	-0.624499924177154	-0.429533670984715	-0.622850512445995	-0.549571959194327	-0.72123656232209	-0.627655391644766	-0.437171875298233	-0.467987922552925	-0.781054567216774	-0.385609994844621	-0.39395491445293	-0.259500577150827	-0.549210230109821	-0.792463804964605	-0.732043895023484	-0.364293106924616	-0.238076330790367
Chronic obstructive pulmonary disease	-0.476355575997963	-0.700996136294447	-0.61720019533355	-0.792660988863597	-0.74259821117709	-0.440934497237689	-0.523549470125331	-0.524621764792382	NA	-0.345142889015763	-0.722963422630482	-0.696141055971098	-0.306592700781087	-0.709093207109152	-0.383940665987581	-0.769692220942198	-0.496402042959826	-0.377896735207793	-0.287430148340751	-0.599706527238957	-0.245724488503403	-0.30809041938156	-0.338685190199229	-0.441292288462217	-0.718039969649066	-0.591906954692665	-0.257174580835797	-0.268364911307229
Crohn disease	-0.270329607771177	-0.317976284843064	-0.241643439482538	-0.708270029259619	-0.329109882275663	-0.209418396625772	-0.355185178029942	-0.372779893712581	-0.345142889015763	NA	-0.365301156165631	-0.543586899362769	-0.165381671912195	-0.404057988572771	-0.257252684196379	-0.554198382482007	-0.76821692536955	-0.252844793561227	-0.560397565149059	-0.403744067331168	-0.162452848276547	-0.975864762735559	-0.0640469619343877	-0.984150699782559	-0.436553443446354	-0.459318515431591	-0.951306545972867	-0.190397087219027
Depressive Disorder	-0.661897658209845	-1.44669867335605	-0.594840725266428	-0.614596852863491	-1.2836589274625	-1.23647273455173	-0.606065344893406	-0.758193428303493	-0.722963422630482	-0.365301156165631	NA	-0.77709592619241	-0.4300969212669	-0.741056925862866	-0.45456277346145	-0.870024827866759	-0.582670290457194	-0.494177042921331	-0.44006230440762	-0.984551730449091	-0.354600909532069	-0.385598625049093	-0.978797079878168	-0.496951935425835	-1.22596327992988	-1.14025700049108	-0.281747116169559	-0.219468438028702
Diabetes Mellitus	-0.492228875577209	-0.769109106968774	-0.595693495610784	-0.593333667252888	-0.803392317052373	-0.573501667231458	-0.47354603940992	-0.624499924177154	-0.696141055971098	-0.543586899362769	-0.77709592619241	NA	-0.319607218922245	-0.845479028712575	-0.684591341397493	-0.858120828157956	-0.701120772240111	-0.98722979251726	-0.418595857757693	-1.03963549617889	-0.438619297305312	-0.596197417319053	-0.446650232427383	-0.654471357298498	-0.84528030820355	-0.793179085047864	-0.452522481147045	-0.156604847813321
Epilepsy	-0.21911451582734	-0.380254376757554	-0.2277506764493	-0.226892215414343	-0.400818998215526	-0.238761982244779	-0.339860274202399	-0.429533670984715	-0.306592700781087	-0.165381671912195	-0.4300969212669	-0.319607218922245	NA	-0.344060278796928	-0.203695054516071	-0.457175025675317	-0.433323081518909	-0.147943983244493	-0.229064761187611	-0.481321262676112	-0.109537748429376	-0.171249536778935	-0.119800324310133	-0.296048539529867	-0.497932891858456	-0.383137655338594	-0.131358639409175	-0.056403252075653
Heart failure	-0.517296761308661	-0.590682088494127	-1.02348303533836	-0.526826959326833	-0.653733727354278	-0.470970938470577	-0.742772977075879	-0.622850512445995	-0.709093207109152	-0.404057988572771	-0.741056925862866	-0.845479028712575	-0.344060278796928	NA	-0.720419449253284	-1.01157617765342	-0.534798312959381	-0.70445953931461	-0.355696124338491	-0.795971495822941	-0.320936912890767	-0.379412437502985	-0.289485175187327	-0.507610219529207	-0.7133973855485	-0.705657454662054	-0.256669441445927	-0.442905483451455
Hypercholesterolemia	-0.409948567276722	-0.432693878012522	-0.700996187311321	-0.378340248796041	-0.452408555048931	-0.302912315529056	-0.500392601341524	-0.549571959194327	-0.383940665987581	-0.257252684196379	-0.45456277346145	-0.684591341397493	-0.203695054516071	-0.720419449253284	NA	-0.617405154334398	-0.4011854816603	-0.866842217434868	-0.229348996497638	-0.506208802263664	-0.162648621745509	-0.244174360309443	-0.130062273185164	-0.335897160602074	-0.573891620102813	-0.448536753249403	-0.0990330879100274	-0.155626201175914
Hypertension	-0.562318808084239	-0.839870720863825	-0.793008094055146	-0.652808665212381	-0.884906354622891	-0.689253790920779	-0.602800050929986	-0.72123656232209	-0.769692220942198	-0.554198382482007	-0.870024827866759	-0.858120828157956	-0.457175025675317	-1.01157617765342	-0.617405154334398	NA	-0.633376479538087	-0.677519087297684	-0.438981542920755	-0.952254983991947	-0.345325246407352	-0.515306017875942	-0.582376983013389	-0.577505236873737	-0.867580656531904	-0.853344359648082	-0.35785877772044	-0.296117197583483
Lupus erythematosus	-0.391783251233002	-0.493668162378477	-0.37004328676014	-0.68924885793228	-0.577058856735155	-0.386048765193258	-0.528231838049226	-0.627655391644766	-0.496402042959826	-0.76821692536955	-0.582670290457194	-0.701120772240111	-0.433323081518909	-0.534798312959381	-0.4011854816603	-0.633376479538087	NA	-0.360429482562827	-0.691357201368215	-0.616203492692476	-0.282185134727584	-0.669563867677635	-0.160723039529322	-0.97217199218662	-0.648031635650721	-0.608803279751221	-0.563914116076888	-0.357945363347426
Metabolic syndrome	-0.402889179643747	-0.401213524614523	-0.603945319496546	-0.366413556731962	-0.445392597784278	-0.298795801041436	-0.384754820063041	-0.437171875298233	-0.377896735207793	-0.252844793561227	-0.494177042921331	-0.98722979251726	-0.147943983244493	-0.70445953931461	-0.866842217434868	-0.677519087297684	-0.360429482562827	NA	-0.168424516061236	-0.709684316690062	-0.101356425879942	-0.231011791232825	-0.122699160821548	-0.28037306244814	-0.551622316250009	-0.50677421054304	-0.100504848945993	-0.0552804196279626
Multiple Sclerosis	-0.26902849682872	-0.346454835732143	-0.240397383245628	-0.533698432125328	-0.40839017531948	-0.213944088395235	-0.348758457764918	-0.467987922552925	-0.287430148340751	-0.560397565149059	-0.44006230440762	-0.418595857757693	-0.229064761187611	-0.355696124338491	-0.229348996497638	-0.438981542920755	-0.691357201368215	-0.168424516061236	NA	-0.406169278598927	-0.165621561545954	-0.571743343387239	-0.0416651902560925	-0.767349851032894	-0.458872054819827	-0.376460149467104	-0.46746467163567	-0.12661966467256
Obesity	-0.566297484772708	-1.00133306864159	-0.568020239171093	-0.617478124804708	-1.07876404726203	-0.67928548235666	-0.587632260517528	-0.781054567216774	-0.599706527238957	-0.403744067331168	-0.984551730449091	-1.03963549617889	-0.481321262676112	-0.795971495822941	-0.506208802263664	-0.952254983991947	-0.616203492692476	-0.709684316690062	-0.406169278598927	NA	-0.388135907587788	-0.405328658980233	-0.569811038127322	-0.537244566875835	-1.0278852960478	-0.978929941591191	-0.294405753785115	-0.247911694379243
Parkinson	-0.266714235483652	-0.315398299549397	-0.177586532760117	-0.302469148918509	-0.323004387553023	-0.179707635756834	-0.290095064548533	-0.385609994844621	-0.245724488503403	-0.162452848276547	-0.354600909532069	-0.438619297305312	-0.109537748429376	-0.320936912890767	-0.162648621745509	-0.345325246407352	-0.282185134727584	-0.101356425879942	-0.165621561545954	-0.388135907587788	NA	-0.118481567443216	-0.000965466076424004	-0.302452612990814	-0.466209475244034	-0.392099447644941	-0.106304355580225	-0.00902659380307491
Psoriasis	-0.281468990299808	-0.331362236359884	-0.242219031681695	-0.61265737352552	-0.327089570168039	-0.213150863029759	-0.371425010316459	-0.39395491445293	-0.30809041938156	-0.975864762735559	-0.385598625049093	-0.596197417319053	-0.171249536778935	-0.379412437502985	-0.244174360309443	-0.515306017875942	-0.669563867677635	-0.231011791232825	-0.571743343387239	-0.405328658980233	-0.118481567443216	NA	-0.0600099174974063	-1.07405057078339	-0.409667151952814	-0.357158666707702	-0.841446843583334	-0.144417131073211
Post-traumatic stress disorder	-0.18638346869939	-1.47132678277409	-0.130349301452789	-0.292013708978441	-0.750932235304988	-0.486719991225817	-0.199892210144927	-0.259500577150827	-0.338685190199229	-0.0640469619343877	-0.978797079878168	-0.446650232427383	-0.119800324310133	-0.289485175187327	-0.130062273185164	-0.582376983013389	-0.160723039529322	-0.122699160821548	-0.0416651902560925	-0.569811038127322	-0.000965466076424004	-0.0600099174974063	NA	-0.205661401280262	-0.861918299553397	-0.767009768374552	0.0580426333582642	0.0728180354173869
Rheumatoid arthritis	-0.359634826810631	-0.510091549381499	-0.373912771029521	-0.715648729706396	-0.561138917456375	-0.343433543655421	-0.488361729024315	-0.549210230109821	-0.441292288462217	-0.984150699782559	-0.496951935425835	-0.654471357298498	-0.296048539529867	-0.507610219529207	-0.335897160602074	-0.577505236873737	-0.97217199218662	-0.28037306244814	-0.767349851032894	-0.537244566875835	-0.302452612990814	-1.07405057078339	-0.205661401280262	NA	-0.594014142768446	-0.567473788667578	-0.968127482416583	-0.296979175326801
Schizophrenia	-0.663911692296588	-1.26727583478195	-0.571515489655	-0.596980293331908	-1.33681745902291	-1.22593116528939	-0.622540833781434	-0.792463804964605	-0.718039969649066	-0.436553443446354	-1.22596327992988	-0.84528030820355	-0.497932891858456	-0.7133973855485	-0.573891620102813	-0.867580656531904	-0.648031635650721	-0.551622316250009	-0.458872054819827	-1.0278852960478	-0.466209475244034	-0.409667151952814	-0.861918299553397	-0.594014142768446	NA	-0.935726441285579	-0.378061862851349	-0.324841489278071
Sleep Disorder	-0.51011745890692	-1.04344981769746	-0.514671009118141	-0.588857710020604	-0.990373476906389	-0.800493433394884	-0.617518666703937	-0.732043895023484	-0.591906954692665	-0.459318515431591	-1.14025700049108	-0.793179085047864	-0.383137655338594	-0.705657454662054	-0.448536753249403	-0.853344359648082	-0.608803279751221	-0.50677421054304	-0.376460149467104	-0.978929941591191	-0.392099447644941	-0.357158666707702	-0.767009768374552	-0.567473788667578	-0.935726441285579	NA	-0.318593061283094	-0.296821578357369
Ulcerative colitis	-0.190182990432657	-0.261421623242183	-0.165634314615096	-0.529569848297416	-0.270190506531757	-0.179956783315868	-0.283901833252911	-0.364293106924616	-0.257174580835797	-0.951306545972867	-0.281747116169559	-0.452522481147045	-0.131358639409175	-0.256669441445927	-0.0990330879100274	-0.35785877772044	-0.563914116076888	-0.100504848945993	-0.46746467163567	-0.294405753785115	-0.106304355580225	-0.841446843583334	0.0580426333582642	-0.968127482416583	-0.378061862851349	-0.318593061283094	NA	-0.108933638644147
Vasculitis	-0.179554490334576	-0.206039895398607	-0.210273344574751	-0.2566466487653	-0.204144053932464	-0.0917283441202252	-0.694464214333239	-0.238076330790367	-0.268364911307229	-0.190397087219027	-0.219468438028702	-0.156604847813321	-0.056403252075653	-0.442905483451455	-0.155626201175914	-0.296117197583483	-0.357945363347426	-0.0552804196279626	-0.12661966467256	-0.247911694379243	-0.00902659380307491	-0.144417131073211	0.0728180354173869	-0.296979175326801	-0.324841489278071	-0.296821578357369	-0.108933638644147	NA
