	Alzheimer disease	Anxiety disorder	Arteriosclerosis disorder	Asthma	Attention deficit hyperactivity disorder	Bipolar Disorder	Blood coagulation disease	Chronic Fatigue Syndrome	Chronic obstructive pulmonary disease	Crohn disease	Depressive Disorder	Diabetes Mellitus	Epilepsy	Heart failure	Hypercholesterolemia	Hypertension	Lupus erythematosus	Metabolic syndrome	Multiple Sclerosis	Obesity	Parkinson	Psoriasis	Post-traumatic stress disorder	Rheumatoid arthritis	Schizophrenia	Sleep Disorder	Ulcerative colitis	Vasculitis
Alzheimer disease	NA	0.276351128528726	3.30124708863621	1.40361999734577	0.106178092167621	0.16105341005758	1.2405492482826	0.0486367480688384	0.873112294607423	0.710182481609712	0.137787536866221	1.64803457486087	0.730704148754314	3.30124708863621	3.30124708863621	0.431428880656883	0.828490639318999	3.30124708863621	0.631930208070099	0.167388963432877	3.30124708863621	1.25592410984955	0.479079009268194	0.594529306299453	0.406931025951773	0.0869331912118117	0.801560006017808	1.80988539480194
Anxiety disorder	0.276351128528726	NA	0.701364016562524	0.0445293426587244	3.30124708863621	3.30124708863621	0.357752572730109	0.155429374144384	1.15202797598083	0.00656046435676817	3.30124708863621	0.993751050722998	3.00021709297223	0.479733560231438	0.401426586209115	0.351369384599337	0.0050208013750508	1.38216899626014	0.0152399665567368	3.00021709297223	3.30124708863621	0.0132215532478486	3.30124708863621	0.00152193466057447	3.30124708863621	3.30124708863621	0.103966530510592	0.0383216193043798
Arteriosclerosis disorder	3.30124708863621	0.701364016562524	NA	1.41475636346373	0.278818717450725	0.603146543012821	1.13392975388804	0.0067808624746185	3.30124708863621	0.52021015001508	0.496426409915049	3.30124708863621	0.487666100068019	3.30124708863621	3.30124708863621	3.00021709297223	0.205380635157669	3.30124708863621	1.33745926129066	0.473877815582386	1.85408905729399	0.528925381913292	0.460513854024405	1.01568977962844	0.238665104408048	0.586917328890978	0.631930208070099	1.59367691253828
Asthma	1.40361999734577	0.0445293426587244	1.41475636346373	NA	0.03478019319597	0.0116581360936147	0.204337075628155	0.10314008976281	1.69918709730825	3.30124708863621	0.276761420937044	2.22206584258859	0.128060820223937	1.06825097824406	0.371317528551624	0.434369274298713	3.30124708863621	0.193697958891525	3.30124708863621	0.106455330914287	0.50190653918263	3.30124708863621	0.090126547378162	3.30124708863621	0.163892977265479	0.0338406698833073	3.30124708863621	1.82412583391655
Attention deficit hyperactivity disorder	0.106178092167621	3.30124708863621	0.278818717450725	0.03478019319597	NA	3.30124708863621	0.00965626297821023	0.571272802936656	1.86988332447722	0.0188515838936858	3.30124708863621	1.39815710164427	0.734220722477151	1.13098537324125	0.145000898238867	1.02249348768338	0.0562282178984583	0.811288609211377	0.0522934731405038	3.30124708863621	2.25985440347799	0.00480129442981513	1.11372636779975	0.0418921613281771	2.82412583391655	3.00021709297223	0.00152193466057447	0.00173978993572378
Bipolar Disorder	0.16105341005758	3.30124708863621	0.603146543012821	0.0116581360936147	3.30124708863621	NA	0.339825994569763	0.169949292038588	1.38743323625249	0.0188515838936858	2.69918709730825	1.15511905295797	2.34700457919689	0.537070956245881	0.251641476041238	0.647070546758251	0.00722199454088871	1.36674863739264	0.336987458439363	1.3518570819913	1.36674863739264	0.0741320060470862	1.0023940122265	0.0215801445877559	3.00021709297223	1.24816864515279	0.0376110200481033	0.103966530510592
Blood coagulation disease	1.2405492482826	0.357752572730109	1.13392975388804	0.204337075628155	0.00965626297821023	0.339825994569763	NA	0.00722199454088871	0.112881162573063	0.458014310538202	0.0508270863273174	0.220981461296367	0.247784483710756	2.52309583825257	2.25985440347799	0.132160731149189	0.387433236252495	0.591977127660381	0.354303817938386	0.235294108322342	0.782733148758324	0.72605924370855	0.159797315235744	0.20712549279565	0.128352390884035	0.0968557567169117	0.730704148754314	3.30124708863621
Chronic Fatigue Syndrome	0.0486367480688384	0.155429374144384	0.0067808624746185	0.10314008976281	0.571272802936656	0.169949292038588	0.00722199454088871	NA	0.043328638322153	0.0085480855922817	0.196759977323816	0.20712549279565	0.0322013789785884	0.0373744117709878	0.0949610442237789	0.23231947695414	0.0190783103315698	0.103690875482675	0.00392437443090874	0.294353380688311	0.157919958644165	0.0177197237745178	0.00108655168485909	0.157607853361668	0.466826384954679	0.130692030115003	0.000651604746247893	0.000434294518094459
Chronic obstructive pulmonary disease	0.873112294607423	1.15202797598083	3.30124708863621	1.69918709730825	1.86988332447722	1.38743323625249	0.112881162573063	0.043328638322153	NA	0.161997871064604	1.62914923070049	2.45614904862195	3.30124708863621	3.30124708863621	0.188977320218941	2.39815710164427	0.100670161881363	0.385847253423942	0.366243937182557	1.07853061748863	0.371317528551624	0.0466990115272376	0.089592688083029	0.264219208880436	1.31447535436997	1.2405492482826	0.137787536866221	0.340776311101912
Crohn disease	0.710182481609712	0.00656046435676817	0.52021015001508	3.30124708863621	0.0188515838936858	0.0188515838936858	0.458014310538202	0.0085480855922817	0.161997871064604	NA	0.0294054820997124	1.58524374500141	0.237538529244794	1.22936508133009	0.556172297054154	0.491687374000944	3.30124708863621	0.280885805988504	3.30124708863621	0.429674153090333	1.66777863305662	3.30124708863621	0.0284775020844519	3.30124708863621	0.0493656340836838	0.0466990115272376	3.30124708863621	1.74494458786892
