source	target	interaction	weight
ABCA1	ABCG5	interacts_with	0.47
ABCA1	ABCG8	interacts_with	0.468
ABCA1	APOB	interacts_with	0.861
ABCA1	APOE	interacts_with	0.98
ABCA1	CELSR2	interacts_with	0.546
ABCA1	CETP	interacts_with	0.831
ABCA1	GALNT2	interacts_with	0.446
ABCA1	GMDS	interacts_with	0.406
ABCA1	IL6	interacts_with	0.613
ABCA1	LIPA	interacts_with	0.736
ABCA1	LPA	interacts_with	0.74
ABCA1	LPL	interacts_with	0.67
ABCA1	PCSK9	interacts_with	0.664
ABCA1	SCARB1	interacts_with	0.934
ABCA1	TRIB1	interacts_with	0.408
ABCG5	ABCG8	interacts_with	0.999
ABCG5	APOB	interacts_with	0.773
ABCG5	APOE	interacts_with	0.629
ABCG5	ATP1B1	interacts_with	0.728
ABCG5	CETP	interacts_with	0.657
ABCG5	HNF1A	interacts_with	0.406
ABCG5	LIPA	interacts_with	0.413
ABCG5	LPL	interacts_with	0.448
ABCG5	PCSK9	interacts_with	0.695
ABCG5	SCARB1	interacts_with	0.711
ABCG5	SLC22A1	interacts_with	0.416
ABCG8	APOB	interacts_with	0.74
ABCG8	APOE	interacts_with	0.616
ABCG8	ATP1B1	interacts_with	0.728
ABCG8	CELSR2	interacts_with	0.555
ABCG8	CETP	interacts_with	0.642
ABCG8	HNF1A	interacts_with	0.414
ABCG8	KCNK5	interacts_with	0.443
ABCG8	LIPA	interacts_with	0.408
ABCG8	LPL	interacts_with	0.432
ABCG8	MIA3	interacts_with	0.405
ABCG8	NT5C2	interacts_with	0.426
ABCG8	PCSK9	interacts_with	0.675
ABCG8	SCARB1	interacts_with	0.683
ADAM19	FTO	interacts_with	0.42
ADAM19	FURIN	interacts_with	0.413
ADAM19	PID1	interacts_with	0.42
ADAMTS7	CHRNA3	interacts_with	0.4
ADAMTS7	COL4A1	interacts_with	0.42
ADAMTS7	COL4A2	interacts_with	0.579
ADAMTS7	FURIN	interacts_with	0.749
ADAMTS7	HHIPL1	interacts_with	0.539
ADAMTS7	JCAD	interacts_with	0.517
ADAMTS7	PHACTR1	interacts_with	0.702
ADAMTS7	SORT1	interacts_with	0.446
ADAMTS7	ZC3HC1	interacts_with	0.507
ANGPTL4	APOB	interacts_with	0.494
ANGPTL4	APOE	interacts_with	0.454
ANGPTL4	CETP	interacts_with	0.405
ANGPTL4	EDNRA	interacts_with	0.533
ANGPTL4	FLT1	interacts_with	0.626
ANGPTL4	FN1	interacts_with	0.629
ANGPTL4	IL6	interacts_with	0.49
ANGPTL4	LPL	interacts_with	0.994
