source	target	interaction	weight
AAGAB	AP1S3	interacts_with	0.799
AAGAB	PGAP3	interacts_with	0.566
AAGAB	SERPINB7	interacts_with	0.4
ABCB5	SLCO6A1	interacts_with	0.414
ABO	FOXK1	interacts_with	0.603
ACSL6	CDC42SE2	interacts_with	0.603
ACSL6	RAPGEF6	interacts_with	0.434
ACSL6	SLCO6A1	interacts_with	0.404
ACTL9	EMSY	interacts_with	0.492
ACTL9	KIF3A	interacts_with	0.447
ACTL9	TMEM232	interacts_with	0.494
ADAM19	FTO	interacts_with	0.42
ADAM19	HHIP	interacts_with	0.418
ADAM19	SH3PXD2A	interacts_with	0.799
ADAM19	THSD4	interacts_with	0.452
ADAMTSL3	FTO	interacts_with	0.415
ADAMTSL3	WDPCP	interacts_with	0.776
ADORA1	PPARG	interacts_with	0.494
AFF3	MLLT10	interacts_with	0.615
AFF3	SLC22A4	interacts_with	0.438
AFF3	TNFAIP3	interacts_with	0.507
AHI1	JAK2	interacts_with	0.797
AHI1	KIF3A	interacts_with	0.587
AP1S3	IL1RL2	interacts_with	0.581
APOE	CHI3L1	interacts_with	0.518
APOE	CSF2	interacts_with	0.513
APOE	DPP4	interacts_with	0.454
APOE	ESR1	interacts_with	0.479
APOE	FGF10	interacts_with	0.571
APOE	FTO	interacts_with	0.713
APOE	HTT	interacts_with	0.472
APOE	IL13	interacts_with	0.636
APOE	IL1B	interacts_with	0.846
APOE	IL2	interacts_with	0.431
APOE	IL6	interacts_with	0.835
APOE	MAPT	interacts_with	0.991
APOE	NCOA1	interacts_with	0.517
APOE	NFKBIA	interacts_with	0.478
APOE	PPARG	interacts_with	0.74
APOE	PTPRC	interacts_with	0.58
APOE	RIN3	interacts_with	0.447
APOE	THOP1	interacts_with	0.407
ARHGAP15	POU2AF1	interacts_with	0.522
ARHGAP15	PTPRC	interacts_with	0.55
ARMC2	LRMDA	interacts_with	0.448
ARMC2	THSD4	interacts_with	0.404
ARPP21	PPP1R1B	interacts_with	0.844
ATG5	BCL2L11	interacts_with	0.473
ATG5	HTT	interacts_with	0.725
ATG5	IFIH1	interacts_with	0.985
ATG5	IL1B	interacts_with	0.598
ATG5	IL6	interacts_with	0.531
ATG5	MYC	interacts_with	0.641
ATG5	NOD2	interacts_with	0.967
ATG5	PIK3C3	interacts_with	0.972
BACH2	CLEC16A	interacts_with	0.661
BACH2	FOXP1	interacts_with	0.435
BACH2	GATA3	interacts_with	0.556
BACH2	ID2	interacts_with	0.43
BACH2	IKZF1	interacts_with	0.454
BACH2	IL2	interacts_with	0.554
BACH2	IL21R	interacts_with	0.494
BACH2	IL2RA	interacts_with	0.51
BACH2	IL7R	interacts_with	0.418
BACH2	IRF4	interacts_with	0.853
BACH2	MYC	interacts_with	0.613
BACH2	POU2AF1	interacts_with	0.524
BACH2	PRKCQ	interacts_with	0.52
BACH2	RUNX1	interacts_with	0.473
BACH2	RUNX3	interacts_with	0.508
BACH2	STAT5B	interacts_with	0.46
BACH2	TBL1XR1	interacts_with	0.485
BACH2	TBX21	interacts_with	0.474
BCL2L11	CD28	interacts_with	0.45
BCL2L11	ESR1	interacts_with	0.47
BCL2L11	IL1B	interacts_with	0.446
BCL2L11	IL2	interacts_with	0.642
BCL2L11	IL6	interacts_with	0.508
BCL2L11	IL7R	interacts_with	0.651
BCL2L11	IRF4	interacts_with	0.427
BCL2L11	JAK2	interacts_with	0.643
BCL2L11	MYC	interacts_with	0.665
BCL2L11	NFATC2	interacts_with	0.496
BCL2L11	NFKBIA	interacts_with	0.453
BCL2L11	PTPRC	interacts_with	0.467
BCL2L11	RUNX3	interacts_with	0.712
BCL2L11	SMAD3	interacts_with	0.694
BCL2L11	SMAD4	interacts_with	0.692
BCL2L11	STAT5B	interacts_with	0.528
BCL3	ESR1	interacts_with	0.469
BCL3	IL1B	interacts_with	0.719
BCL3	IL6	interacts_with	0.761
BCL3	IRF1	interacts_with	0.545
BCL3	MYC	interacts_with	0.642
BCL3	NFKBIA	interacts_with	0.904
BCL3	PPARG	interacts_with	0.539
BCL3	TBL1XR1	interacts_with	0.468
BCL3	TNFAIP3	interacts_with	0.587
BCL3	TRAF1	interacts_with	0.431
BTC	PTPRK	interacts_with	0.416
CADM3	GNPDA1	interacts_with	0.418
CARD11	CD247	interacts_with	0.465
CARD11	CD28	interacts_with	0.899
CARD11	DPP4	interacts_with	0.669
CARD11	IKZF1	interacts_with	0.461
CARD11	IL2	interacts_with	0.463
CARD11	IRF4	interacts_with	0.569
CARD11	MYC	interacts_with	0.434
CARD11	NFKBIA	interacts_with	0.848
CARD11	NOD2	interacts_with	0.575
CARD11	PRKCQ	interacts_with	0.998
CARD11	PTPRC	interacts_with	0.443
CARD11	TBL1XR1	interacts_with	0.434
CARD11	TNFAIP3	interacts_with	0.883
CARD11	TNFRSF8	interacts_with	0.578
CARD11	TRAF3	interacts_with	0.465
CCL20	CD28	interacts_with	0.449
CCL20	CHI3L1	interacts_with	0.503
CCL20	CSF2	interacts_with	0.869
CCL20	IL13	interacts_with	0.689
CCL20	IL18R1	interacts_with	0.404
CCL20	IL1B	interacts_with	0.958
CCL20	IL1RL1	interacts_with	0.551
CCL20	IL1RL2	interacts_with	0.443
CCL20	IL2	interacts_with	0.648
CCL20	IL21R	interacts_with	0.566
CCL20	IL2RA	interacts_with	0.615
CCL20	IL33	interacts_with	0.619
CCL20	IL6	interacts_with	0.935
CCL20	IL7R	interacts_with	0.637
CCL20	IRF1	interacts_with	0.422
CCL20	NFKBIA	interacts_with	0.554
