source	target	interaction	weight
ACTN2	CACNA1C	interacts_with	0.654
ACTN2	CACNA1D	interacts_with	0.579
ACTN2	GRIN2A	interacts_with	0.622
ACTN2	MAGI2	interacts_with	0.427
ACTN2	MEF2C	interacts_with	0.44
ACTN2	NRAP	interacts_with	0.741
ACTN2	RASGRF2	interacts_with	0.505
AFF3	FGFR1	interacts_with	0.447
AKAP6	NPAS3	interacts_with	0.586
AKAP6	PDE4B	interacts_with	0.549
AKAP6	RBFOX1	interacts_with	0.512
AKT3	ESR1	interacts_with	0.429
AKT3	FOXO3	interacts_with	0.966
ANAPC4	CBX8	interacts_with	0.9
ANAPC4	KIF18A	interacts_with	0.68
ANAPC4	MAD1L1	interacts_with	0.741
ANAPC4	UBE2E1	interacts_with	0.888
ARID1B	ARID2	interacts_with	0.997
ARID1B	BCL11A	interacts_with	0.967
ARID1B	BCL11B	interacts_with	0.966
ARID2	BCL11A	interacts_with	0.916
ARID2	BCL11B	interacts_with	0.911
ARID2	MACROD2	interacts_with	0.425
ARID2	TET2	interacts_with	0.451
ARPP21	BCL11B	interacts_with	0.53
ARPP21	RBFOX1	interacts_with	0.448
AUTS2	CALN1	interacts_with	0.646
AUTS2	CBX8	interacts_with	0.575
AUTS2	FOXP1	interacts_with	0.453
AUTS2	FOXP2	interacts_with	0.427
AUTS2	MEF2C	interacts_with	0.422
AUTS2	NPAS3	interacts_with	0.542
BARHL2	BHLHE22	interacts_with	0.635
BARHL2	EPHB1	interacts_with	0.426
BCL11A	BCL11B	interacts_with	0.989
BCL11A	BHLHE22	interacts_with	0.503
BCL11A	MEF2C	interacts_with	0.643
BCL11A	SOX2	interacts_with	0.607
BCL11A	TCF4	interacts_with	0.644
BCL11B	FOXP1	interacts_with	0.503
BCL11B	FOXP2	interacts_with	0.631
BCL11B	MEF2C	interacts_with	0.406
BCL11B	OTX2	interacts_with	0.416
BCL11B	POU3F2	interacts_with	0.672
BCL11B	SOX2	interacts_with	0.57
BDNF	CACNA1C	interacts_with	0.448
BDNF	DRD2	interacts_with	0.79
BDNF	ESR1	interacts_with	0.562
BDNF	FGFR1	interacts_with	0.864
BDNF	FOXP1	interacts_with	0.527
BDNF	FURIN	interacts_with	0.489
BDNF	GRIN2A	interacts_with	0.819
BDNF	GRM3	interacts_with	0.659
BDNF	IGF1R	interacts_with	0.907
BDNF	NCAM1	interacts_with	0.767
BDNF	NEGR1	interacts_with	0.511
BDNF	NRXN3	interacts_with	0.455
BDNF	NTRK3	interacts_with	0.999
BDNF	OTX2	interacts_with	0.641
BDNF	POU3F2	interacts_with	0.415
BDNF	SOX2	interacts_with	0.636
BDNF	SYT1	interacts_with	0.513
BHLHE22	CELF4	interacts_with	0.423
BHLHE22	POU3F2	interacts_with	0.483
CA10	RBFOX1	interacts_with	0.504
CACNA1C	CACNA1D	interacts_with	0.981
CACNA1C	CACNA2D3	interacts_with	0.871
CACNA1C	DPYD	interacts_with	0.46
CACNA1C	DRD2	interacts_with	0.508
CACNA1C	GRIN2A	interacts_with	0.534
CACNA1C	GRM3	interacts_with	0.529
CACNA1C	KCNB1	interacts_with	0.693
CACNA1C	KCNJ3	interacts_with	0.594
CACNA1C	NCAM1	interacts_with	0.567
CACNA1C	PDE4B	interacts_with	0.775
CACNA1C	RASGRF2	interacts_with	0.67
CACNA1C	RBFOX1	interacts_with	0.428
CACNA1D	CACNA2D3	interacts_with	0.876
CACNA1D	GRIN2A	interacts_with	0.515
CACNA1D	KCNB1	interacts_with	0.448
CACNA1D	KCNG2	interacts_with	0.505
CACNA1D	KCNJ3	interacts_with	0.506
CACNA1D	NCAM1	interacts_with	0.541
CACNA1D	PDE4B	interacts_with	0.568
CACNA1D	RASGRF2	interacts_with	0.665
CACNA1D	SLC39A8	interacts_with	0.43
CACNA1D	SYT1	interacts_with	0.767
CACNA2D3	PDE4B	interacts_with	0.567
CACNA2D3	RASGRF2	interacts_with	0.698
CADM2	GRIN2A	interacts_with	0.407
CADM2	NRXN3	interacts_with	0.562
CALN1	DRD2	interacts_with	0.457
CBX8	TNRC6A	interacts_with	0.499
CDH13	CDH8	interacts_with	0.757
CDH13	ESR1	interacts_with	0.418
CDH13	PCDH7	interacts_with	0.431
CDH8	IGSF21	interacts_with	0.501
CDH8	SORCS3	interacts_with	0.598
CELF4	RBFOX1	interacts_with	0.623
CENPW	KIF18A	interacts_with	0.476
CNNM2	TTLL7	interacts_with	0.413
DCC	ROBO2	interacts_with	0.719
DPYD	ERCC4	interacts_with	0.405
DPYD	MAD1L1	interacts_with	0.446
DPYD	PTBP2	interacts_with	0.428
DPYD	TMEM161B	interacts_with	0.42
DRD2	ESR1	interacts_with	0.593
DRD2	GRIN2A	interacts_with	0.618
DRD2	GRM3	interacts_with	0.575
DRD2	IMMP2L	interacts_with	0.422
DRD2	KCNJ3	interacts_with	0.623
DRD2	MSRA	interacts_with	0.474
DRD2	NCAM1	interacts_with	0.625
DRD2	SYT1	interacts_with	0.539
DRD2	TSNARE1	interacts_with	0.421
DUSP6	FGFR1	interacts_with	0.476
DUSP6	SPRED2	interacts_with	0.487
ELAVL2	ELAVL4	interacts_with	0.555
ELAVL2	GRIN2A	interacts_with	0.428
ELAVL2	PTBP2	interacts_with	0.417
ELAVL2	RBFOX1	interacts_with	0.691
ELAVL4	GRIN2A	interacts_with	0.4
ELAVL4	RBFOX1	interacts_with	0.692
ELAVL4	SOX2	interacts_with	0.573
ELAVL4	ZIC4	interacts_with	0.462
EPHB1	PJA1	interacts_with	0.4
EPHB1	SEMA6D	interacts_with	0.404
EPHB1	ZIC4	interacts_with	0.451
ERCC4	MAD1L1	interacts_with	0.426
ESR1	ESRRG	interacts_with	0.516
ESR1	FGFR1	interacts_with	0.555
ESR1	FOXO3	interacts_with	0.898
ESR1	IGF1R	interacts_with	0.999
ESR1	MEF2C	interacts_with	0.561
ESR1	OTX2	interacts_with	0.466
ESR1	SOX2	interacts_with	0.539
ESR1	STAG1	interacts_with	0.538
ESR1	TNRC6A	interacts_with	0.566
ESR1	TRAF3	interacts_with	0.6
ESRRG	MEF2C	interacts_with	0.419
FAM168A	RBFOX1	interacts_with	0.435
FES	PLXNA4	interacts_with	0.914
FGFR1	IGF1R	interacts_with	0.627
FGFR1	NCAM1	interacts_with	0.996
FGFR1	NTRK3	interacts_with	0.512
FGFR1	SOX2	interacts_with	0.587
FOXO3	IGF1R	interacts_with	0.674
