source	target	interaction	weight
ADCY2	CACNA1C	interacts_with	0.559
ADCY2	GRM3	interacts_with	0.479
ADCY2	TENM4	interacts_with	0.429
ANK3	CACNA1C	interacts_with	0.76
ANK3	CD47	interacts_with	0.646
ANK3	FURIN	interacts_with	0.411
ANK3	ITIH3	interacts_with	0.425
ANK3	MAD1L1	interacts_with	0.43
ANK3	SCN2A	interacts_with	0.971
ANK3	SHANK2	interacts_with	0.612
ANK3	SNAP91	interacts_with	0.438
ANK3	SYNE1	interacts_with	0.416
ANK3	TENM4	interacts_with	0.726
ANK3	VRK2	interacts_with	0.405
ANK3	ZNF804A	interacts_with	0.517
ANKS1B	CNTN4	interacts_with	0.419
ANKS1B	GRM3	interacts_with	0.414
ATP1B1	ATP1B3	interacts_with	0.95
BCL11B	MEF2C	interacts_with	0.406
BCL11B	PAX5	interacts_with	0.473
BCL11B	PAX6	interacts_with	0.711
BCL11B	RUNX3	interacts_with	0.528
BCL11B	SOX5	interacts_with	0.54
CACNA1C	CNTN4	interacts_with	0.562
CACNA1C	DPYD	interacts_with	0.46
CACNA1C	DRD2	interacts_with	0.508
CACNA1C	GRIN2A	interacts_with	0.534
CACNA1C	GRM3	interacts_with	0.529
CACNA1C	ITIH3	interacts_with	0.489
CACNA1C	KCNB1	interacts_with	0.693
CACNA1C	RBFOX1	interacts_with	0.428
CACNA1C	SHANK2	interacts_with	0.428
CACNA1C	SYNE1	interacts_with	0.452
CACNA1C	TENM4	interacts_with	0.638
CACNA1C	VRK2	interacts_with	0.426
CACNA1C	ZNF804A	interacts_with	0.699
CADM2	GRIN2A	interacts_with	0.407
CD40	CD47	interacts_with	0.539
CD40	PAX5	interacts_with	0.497
CHRNA3	DRD2	interacts_with	0.526
CNNM2	ZNF804A	interacts_with	0.428
CNTN4	GRIN2A	interacts_with	0.402
CNTN4	SHANK2	interacts_with	0.631
CNTN4	TSNARE1	interacts_with	0.475
DPYD	MAD1L1	interacts_with	0.446
DPYD	VRK2	interacts_with	0.405
DPYD	ZNF804A	interacts_with	0.449
DRD2	GRIN2A	interacts_with	0.618
DRD2	GRM3	interacts_with	0.575
DRD2	MSRA	interacts_with	0.474
DRD2	TSNARE1	interacts_with	0.421
DRD2	VRK2	interacts_with	0.414
DRD2	ZNF804A	interacts_with	0.6
ENOX1	OLFM4	interacts_with	0.432
ENOX1	PMFBP1	interacts_with	0.487
ETV5	NEGR1	interacts_with	0.601
ETV5	TFAP2B	interacts_with	0.445
FLRT3	MACROD2	interacts_with	0.959
GRIN2A	GRM3	interacts_with	0.936
GRIN2A	KCNB1	interacts_with	0.432
GRIN2A	RBFOX1	interacts_with	0.417
GRIN2A	SCN2A	interacts_with	0.591
GRIN2A	SHANK2	interacts_with	0.555
GRIN2A	SHISA9	interacts_with	0.786
GRM3	ZNF804A	interacts_with	0.447
ITIH3	MAD1L1	interacts_with	0.438
ITIH3	SYNE1	interacts_with	0.509
ITIH3	TENM4	interacts_with	0.646
ITIH3	VRK2	interacts_with	0.492
ITIH3	ZNF804A	interacts_with	0.43
KCNB1	RSRC1	interacts_with	0.436
KCNB1	SCN2A	interacts_with	0.458
KCNB1	SHISA9	interacts_with	0.402
KIZ	STARD9	interacts_with	0.407
LRFN5	NEGR1	interacts_with	0.505
LRFN5	RBFOX1	interacts_with	0.42
LRFN5	SOX5	interacts_with	0.418
MACROD2	RBFOX1	interacts_with	0.539
MAD1L1	TSNARE1	interacts_with	0.67
MAD1L1	VRK2	interacts_with	0.466
MAD1L1	ZNF804A	interacts_with	0.497
MEF2C	NPAS3	interacts_with	0.406
MEF2C	PAX5	interacts_with	0.624
MEF2C	RBFOX1	interacts_with	0.533
MEF2C	RUNX3	interacts_with	0.57
MEF2C	TBX20	interacts_with	0.634
MEF2C	TCF4	interacts_with	0.766
MRPS33	RSRC1	interacts_with	0.413
MSRA	SDCCAG8	interacts_with	0.479
MSRA	TFAP2B	interacts_with	0.483
NEGR1	SORCS3	interacts_with	0.471
NEGR1	TFAP2B	interacts_with	0.529
NGEF	SHANK2	interacts_with	0.416
NPAS3	RBFOX1	interacts_with	0.524
PAX5	PAX6	interacts_with	0.438
PAX5	RUNX3	interacts_with	0.446
PAX6	SOX5	interacts_with	0.62
RBFOX1	SCN2A	interacts_with	0.434
RSRC1	SRPK2	interacts_with	0.453
SCN2A	SHANK2	interacts_with	0.465
SLC30A9	SLC39A8	interacts_with	0.667
SNAP91	TSNARE1	interacts_with	0.475
SYNE1	TENM4	interacts_with	0.519
TCF4	ZNF804A	interacts_with	0.439
TSNARE1	VRK2	interacts_with	0.486
VRK2	ZNF804A	interacts_with	0.669
XPNPEP1	XPNPEP3	interacts_with	0.891
