source	target	interaction	weight
ADAMTS13	C3	interacts_with	0.735
ADAMTS13	CD46	interacts_with	0.712
ADAMTS13	CFH	interacts_with	0.853
ADAMTS13	CFI	interacts_with	0.721
ADAMTS13	DGKE	interacts_with	0.767
ADAMTS13	F10	interacts_with	0.482
ADAMTS13	F11	interacts_with	0.498
ADAMTS13	F2	interacts_with	0.697
ADAMTS13	F7	interacts_with	0.518
ADAMTS13	F8	interacts_with	0.95
ADAMTS13	F9	interacts_with	0.429
ADAMTS13	GP1BA	interacts_with	0.931
ADAMTS13	ITGA2B	interacts_with	0.482
ADAMTS13	ITGB3	interacts_with	0.47
ADAMTS13	PLG	interacts_with	0.578
ADAMTS13	SELP	interacts_with	0.61
ADAMTS13	SERPINC1	interacts_with	0.531
ADAMTS13	SERPINE1	interacts_with	0.517
ADAMTS13	SERPINF2	interacts_with	0.481
ADAMTS13	VWF	interacts_with	0.997
AMBRA1	HPS1	interacts_with	0.422
ANO1	ANO2	interacts_with	0.637
ANO1	ETV6	interacts_with	0.423
ANO2	VWF	interacts_with	0.414
AP3B1	BLOC1S6	interacts_with	0.857
AP3B1	DTNBP1	interacts_with	0.878
AP3B1	HPS3	interacts_with	0.929
AP3B1	HPS4	interacts_with	0.935
AP3B1	HPS5	interacts_with	0.827
AP3B1	HPS6	interacts_with	0.842
AP3B1	LRMDA	interacts_with	0.48
ARNT2	THRB	interacts_with	0.611
ASTN2	BLOC1S6	interacts_with	0.802
ASTN2	PHACTR1	interacts_with	0.503
ATP1B1	NME7	interacts_with	0.839
ATP1B1	PROS1	interacts_with	0.441
ATP1B1	VWF	interacts_with	0.477
BLOC1S5	BLOC1S6	interacts_with	0.999
BLOC1S5	DTNBP1	interacts_with	0.996
BLOC1S5	HPS1	interacts_with	0.739
BLOC1S5	HPS3	interacts_with	0.919
BLOC1S5	HPS4	interacts_with	0.836
BLOC1S5	HPS5	interacts_with	0.884
BLOC1S5	HPS6	interacts_with	0.882
BLOC1S6	DTNBP1	interacts_with	0.999
BLOC1S6	HPS1	interacts_with	0.866
BLOC1S6	HPS3	interacts_with	0.982
BLOC1S6	HPS4	interacts_with	0.964
BLOC1S6	HPS5	interacts_with	0.986
BLOC1S6	HPS6	interacts_with	0.986
BLOC1S6	LRMDA	interacts_with	0.524
C1orf105	DNM3	interacts_with	0.439
C3	CD46	interacts_with	0.999
C3	CFH	interacts_with	0.999
C3	CFI	interacts_with	0.999
C3	DGKE	interacts_with	0.507
C3	F10	interacts_with	0.755
C3	F11	interacts_with	0.717
C3	F12	interacts_with	0.748
C3	F13A1	interacts_with	0.418
C3	F13B	interacts_with	0.672
C3	F2	interacts_with	0.874
C3	F5	interacts_with	0.689
C3	F7	interacts_with	0.702
C3	F8	interacts_with	0.652
C3	F9	interacts_with	0.696
C3	FGA	interacts_with	0.613
C3	FGB	interacts_with	0.453
C3	FGG	interacts_with	0.465
C3	KLKB1	interacts_with	0.742
C3	KNG1	interacts_with	0.804
C3	LMAN1	interacts_with	0.454
C3	PLG	interacts_with	0.978
C3	PROC	interacts_with	0.694
C3	SELP	interacts_with	0.991
C3	SERPINC1	interacts_with	0.629
C3	SERPINE1	interacts_with	0.441
C3	SERPINF2	interacts_with	0.486
C3	VWF	interacts_with	0.574
CD46	CFH	interacts_with	0.421
CD46	CFI	interacts_with	0.98
CD46	DGKE	interacts_with	0.764
CD46	VWF	interacts_with	0.45
CFH	CFI	interacts_with	0.999
CFH	DGKE	interacts_with	0.773
CFH	F10	interacts_with	0.611
CFH	F11	interacts_with	0.613
CFH	F12	interacts_with	0.633
CFH	F2	interacts_with	0.703
CFH	F5	interacts_with	0.736
CFH	F7	interacts_with	0.594
CFH	F8	interacts_with	0.661
CFH	F9	interacts_with	0.632
CFH	FGA	interacts_with	0.412
CFH	FGG	interacts_with	0.596
CFH	KLKB1	interacts_with	0.789
CFH	PLG	interacts_with	0.634
CFH	PROC	interacts_with	0.593
CFH	SELP	interacts_with	0.459
CFH	VWF	interacts_with	0.475
CFI	DGKE	interacts_with	0.697
CFI	F10	interacts_with	0.69
CFI	F11	interacts_with	0.666
CFI	F12	interacts_with	0.683
CFI	F2	interacts_with	0.773
CFI	F5	interacts_with	0.63
CFI	F7	interacts_with	0.659
CFI	F8	interacts_with	0.574
CFI	F9	interacts_with	0.673
CFI	FGA	interacts_with	0.596
CFI	FGB	interacts_with	0.48
CFI	FGG	interacts_with	0.515
CFI	KLKB1	interacts_with	0.674
CFI	KNG1	interacts_with	0.455
CFI	PLG	interacts_with	0.406
CFI	PROC	interacts_with	0.684
CFI	SERPINC1	interacts_with	0.545
CFI	SERPIND1	interacts_with	0.7
CFI	SERPINF2	interacts_with	0.49
CLYBL	PLG	interacts_with	0.426
DGKE	PLG	interacts_with	0.446
DTNBP1	HPS1	interacts_with	0.802
DTNBP1	HPS3	interacts_with	0.978
DTNBP1	HPS4	interacts_with	0.972
DTNBP1	HPS5	interacts_with	0.984
DTNBP1	HPS6	interacts_with	0.982
DTNBP1	LRMDA	interacts_with	0.455
ETV6	PRRX1	interacts_with	0.43
ETV6	RUNX1	interacts_with	0.983
F10	F11	interacts_with	0.756
F10	F12	interacts_with	0.741
F10	F13A1	interacts_with	0.595
F10	F13B	interacts_with	0.704
F10	F2	interacts_with	0.999
F10	F5	interacts_with	0.995
F10	F7	interacts_with	0.988
F10	F8	interacts_with	0.997
F10	F9	interacts_with	0.953
F10	FGA	interacts_with	0.752
F10	FGB	interacts_with	0.664
F10	FGG	interacts_with	0.655
F10	GGCX	interacts_with	0.808
F10	GP1BA	interacts_with	0.431
F10	ITGA2B	interacts_with	0.48
F10	KLKB1	interacts_with	0.725
F10	KNG1	interacts_with	0.717
F10	PLG	interacts_with	0.72
F10	PROC	interacts_with	0.707
F10	PROS1	interacts_with	0.573
F10	SELP	interacts_with	0.551
F10	SERPINC1	interacts_with	0.998
F10	SERPIND1	interacts_with	0.823
F10	SERPINE1	interacts_with	0.535
F10	SERPINF2	interacts_with	0.573
F10	VWF	interacts_with	0.978
F11	F12	interacts_with	0.954
F11	F13B	interacts_with	0.501
F11	F2	interacts_with	0.767
F11	F5	interacts_with	0.725
F11	F7	interacts_with	0.736
F11	F8	interacts_with	0.966
F11	F9	interacts_with	0.967
F11	FGA	interacts_with	0.604
F11	FGB	interacts_with	0.48
F11	FGG	interacts_with	0.573
F11	GP1BA	interacts_with	0.873
F11	KLKB1	interacts_with	0.792
F11	KNG1	interacts_with	0.998
F11	PLG	interacts_with	0.461
F11	PROC	interacts_with	0.717
F11	SELP	interacts_with	0.423
F11	SERPINC1	interacts_with	0.969
F11	SERPIND1	interacts_with	0.728
F11	SERPINE1	interacts_with	0.454
F11	SERPINF2	interacts_with	0.641
F11	VWF	interacts_with	0.705
F12	F13A1	interacts_with	0.707
F12	F13B	interacts_with	0.602
F12	F2	interacts_with	0.88
F12	F5	interacts_with	0.735
F12	F7	interacts_with	0.735
F12	F8	interacts_with	0.757
F12	F9	interacts_with	0.737
F12	FGA	interacts_with	0.444
F12	FGB	interacts_with	0.403
F12	GP1BA	interacts_with	0.841
F12	KLKB1	interacts_with	0.972
F12	KNG1	interacts_with	0.998
F12	PLG	interacts_with	0.965
F12	PROC	interacts_with	0.773
F12	SERPINC1	interacts_with	0.969
F12	SERPIND1	interacts_with	0.513
F12	SERPINF2	interacts_with	0.736
F12	VWF	interacts_with	0.63
F13A1	F13B	interacts_with	0.997
F13A1	F2	interacts_with	0.954
F13A1	F5	interacts_with	0.62
F13A1	FGA	interacts_with	0.91
F13A1	FGB	interacts_with	0.812
F13A1	FGG	interacts_with	0.812
F13A1	ITGA2B	interacts_with	0.475
F13A1	ITGB3	interacts_with	0.419
F13A1	KLKB1	interacts_with	0.548
F13A1	KNG1	interacts_with	0.511
F13A1	PROC	interacts_with	0.698
F13A1	PROS1	interacts_with	0.4
F13A1	SELP	interacts_with	0.441
F13A1	SERPINC1	interacts_with	0.664
F13A1	SERPIND1	interacts_with	0.616
F13A1	SERPINF2	interacts_with	0.675
F13A1	VWF	interacts_with	0.713
F13B	F2	interacts_with	0.95
F13B	F5	interacts_with	0.672
F13B	F9	interacts_with	0.603
F13B	FGA	interacts_with	0.96
F13B	FGB	interacts_with	0.905
F13B	FGG	interacts_with	0.935
F13B	KLKB1	interacts_with	0.457
F13B	KNG1	interacts_with	0.572
F13B	PLG	interacts_with	0.671
F13B	PROC	interacts_with	0.872
F13B	SERPINC1	interacts_with	0.81
F13B	SERPIND1	interacts_with	0.816
F13B	SERPINF2	interacts_with	0.78
F13B	VWF	interacts_with	0.609
F2	F5	interacts_with	0.999
F2	F7	interacts_with	0.926
F2	F8	interacts_with	0.985
F2	F9	interacts_with	0.932
F2	FGA	interacts_with	0.999
F2	FGB	interacts_with	0.999
F2	FGG	interacts_with	0.999
F2	GGCX	interacts_with	0.961
F2	GP1BA	interacts_with	0.992
F2	ITGA2B	interacts_with	0.736
F2	ITGB3	interacts_with	0.502
F2	KLKB1	interacts_with	0.71
F2	KNG1	interacts_with	0.891
F2	PLG	interacts_with	0.826
F2	PROC	interacts_with	0.987
F2	PROS1	interacts_with	0.409
F2	SELP	interacts_with	0.692
F2	SERPINC1	interacts_with	0.999
F2	SERPIND1	interacts_with	0.999
F2	SERPINE1	interacts_with	0.839
F2	SERPINF2	interacts_with	0.928
F2	VWF	interacts_with	0.966
F5	F7	interacts_with	0.797
F5	F8	interacts_with	0.846
F5	F9	interacts_with	0.769
F5	FGA	interacts_with	0.652
F5	FGB	interacts_with	0.69
F5	FGG	interacts_with	0.658
F5	KLKB1	interacts_with	0.655
