source	target	interaction	weight
ABCC8	ADCY5	interacts_with	0.531
ABCC8	GLIS3	interacts_with	0.601
ABCC8	KCND3	interacts_with	0.407
ABCC8	KCNJ5	interacts_with	0.597
ABCC8	TRPC3	interacts_with	0.459
ACAD10	ALDH2	interacts_with	0.682
ACAD10	HECTD4	interacts_with	0.676
ACAD10	TRAFD1	interacts_with	0.43
ACTN1	CAV1	interacts_with	0.641
ACTN1	ITGB8	interacts_with	0.68
ADAM19	FAM13A	interacts_with	0.523
ADAM19	HHIP	interacts_with	0.418
ADAM19	THSD4	interacts_with	0.452
ADCY5	CAV1	interacts_with	0.411
ADCY5	CDC123	interacts_with	0.476
ADCY5	DRD2	interacts_with	0.442
ADCY5	ESR1	interacts_with	0.425
ADCY5	GLIS3	interacts_with	0.488
ADGRG6	FAM13A	interacts_with	0.514
ADGRG6	FCGR3B	interacts_with	0.459
ADGRG6	HHIP	interacts_with	0.418
ADGRG6	NCAM1	interacts_with	0.471
ADGRG6	THSD4	interacts_with	0.455
ALDH2	APOE	interacts_with	0.452
ALDH2	CHRNA5	interacts_with	0.423
ALDH2	DRD2	interacts_with	0.63
ALDH2	HECTD4	interacts_with	0.673
ALDH2	NFIB	interacts_with	0.501
ALDH2	SERPINA1	interacts_with	0.519
APOE	CACNA2D3	interacts_with	0.445
APOE	CAV1	interacts_with	0.801
APOE	CHRNA4	interacts_with	0.569
APOE	ELN	interacts_with	0.633
APOE	ESR1	interacts_with	0.479
APOE	FCGR3B	interacts_with	0.421
APOE	FGF10	interacts_with	0.571
APOE	SERPINA1	interacts_with	0.781
ARMC2	FAM13A	interacts_with	0.518
ARMC2	THSD4	interacts_with	0.404
CACNA2D3	SCN10A	interacts_with	0.404
CACNA2D3	SCN5A	interacts_with	0.418
CAV1	ESR1	interacts_with	0.998
CAV1	IL33	interacts_with	0.504
CAV1	ITGB8	interacts_with	0.684
CAV1	NR3C1	interacts_with	0.656
CAV1	SCN10A	interacts_with	0.622
CAV1	SCN5A	interacts_with	0.707
CAV1	SMAD3	interacts_with	0.638
CAV1	TRPC3	interacts_with	0.641
CDC123	EEFSEC	interacts_with	0.586
CDC123	GLIS3	interacts_with	0.506
CDH11	DSP	interacts_with	0.516
CDH11	NCAM1	interacts_with	0.602
CFTR	EFEMP1	interacts_with	0.43
CFTR	PSMA4	interacts_with	0.412
CFTR	SCGB1A1	interacts_with	0.402
CFTR	SERPINA1	interacts_with	0.59
CHRNA2	CHRNA3	interacts_with	0.915
CHRNA2	CHRNA4	interacts_with	0.939
CHRNA2	CHRNA5	interacts_with	0.635
CHRNA2	CHRNB4	interacts_with	0.918
CHRNA2	DRD2	interacts_with	0.583
CHRNA3	CHRNA4	interacts_with	0.915
CHRNA3	CHRNA5	interacts_with	0.98
CHRNA3	CHRNB4	interacts_with	0.998
CHRNA3	DRD2	interacts_with	0.526
CHRNA3	FAM13A	interacts_with	0.72
CHRNA3	HHIP	interacts_with	0.665
CHRNA3	IREB2	interacts_with	0.696
CHRNA3	PSMA4	interacts_with	0.939
CHRNA4	CHRNA5	interacts_with	0.877
CHRNA4	CHRNB4	interacts_with	0.92
CHRNA4	DRD2	interacts_with	0.633
CHRNA5	CHRNB4	interacts_with	0.919
CHRNA5	DRD2	interacts_with	0.572
CHRNA5	FAM13A	interacts_with	0.641
CHRNA5	HHIP	interacts_with	0.582
CHRNA5	IREB2	interacts_with	0.671
CHRNA5	PSMA4	interacts_with	0.946
CHRNB4	DRD2	interacts_with	0.498
CHRNB4	IREB2	interacts_with	0.577
CHRNB4	PSMA4	interacts_with	0.938
COL15A1	ELN	interacts_with	0.413
DRD2	ESR1	interacts_with	0.593
DRD2	GYPE	interacts_with	0.583
DRD2	KCNJ5	interacts_with	0.467
DRD2	NCAM1	interacts_with	0.625
DRD2	NR3C1	interacts_with	0.496
DRD2	RARB	interacts_with	0.537
DSP	MYZAP	interacts_with	0.475
DSP	NR3C1	interacts_with	0.41
DSP	SCN5A	interacts_with	0.542
DUSP6	FGF10	interacts_with	0.415
