source	target	interaction	weight
ABO	FUT2	interacts_with	0.927
ACOXL	SP140	interacts_with	0.418
ADAD1	COG6	interacts_with	0.443
ADAD1	IL18R1	interacts_with	0.549
ADAD1	IL21	interacts_with	0.407
ADAD1	PTPN2	interacts_with	0.448
ADAD1	SH2B3	interacts_with	0.631
ADAD1	TAGAP	interacts_with	0.68
ADCY3	ADCY7	interacts_with	0.58
ADCY3	POMC	interacts_with	0.554
ADCY3	PRKCB	interacts_with	0.664
ADCY7	PRKCB	interacts_with	0.74
ANKRD55	C5orf30	interacts_with	0.548
ANKRD55	PTPN22	interacts_with	0.489
ANKRD55	RSPO3	interacts_with	0.411
APOBR	APOE	interacts_with	0.626
APOBR	IL18R1	interacts_with	0.415
APOBR	NCF4	interacts_with	0.478
APOE	CCL2	interacts_with	0.746
APOE	CD40	interacts_with	0.44
APOE	CIITA	interacts_with	0.449
APOE	FOS	interacts_with	0.413
APOE	FOXO1	interacts_with	0.401
APOE	IL10	interacts_with	0.734
APOE	LDLRAP1	interacts_with	0.731
APOE	MMP9	interacts_with	0.769
APOE	NFKB1	interacts_with	0.554
APOE	NFKBIA	interacts_with	0.478
APOE	PARK7	interacts_with	0.431
APOE	PTPRC	interacts_with	0.58
APOE	STAT3	interacts_with	0.487
ATG16L1	CARD9	interacts_with	0.545
ATG16L1	IL10	interacts_with	0.445
ATG16L1	IL18R1	interacts_with	0.422
ATG16L1	IL23R	interacts_with	0.669
ATG16L1	IRF5	interacts_with	0.449
ATG16L1	IRGM	interacts_with	0.97
ATG16L1	NCF4	interacts_with	0.609
ATG16L1	NKX2-3	interacts_with	0.479
ATG16L1	NOD2	interacts_with	0.999
ATG16L1	PTPN2	interacts_with	0.416
ATG16L1	RIPK2	interacts_with	0.8
ATG16L1	TNFAIP3	interacts_with	0.524
ATG16L1	TNFSF15	interacts_with	0.681
BACH2	CD40	interacts_with	0.593
BACH2	FOS	interacts_with	0.615
BACH2	FOSL2	interacts_with	0.651
BACH2	FOXO1	interacts_with	0.509
BACH2	FOXP1	interacts_with	0.435
BACH2	IKZF1	interacts_with	0.454
BACH2	IL19	interacts_with	0.41
BACH2	IL2RA	interacts_with	0.51
BACH2	IL7R	interacts_with	0.418
BACH2	NCOR2	interacts_with	0.851
BACH2	PRDM1	interacts_with	0.809
BACH2	PTPN2	interacts_with	0.652
BACH2	PTPN22	interacts_with	0.564
BACH2	RUNX3	interacts_with	0.508
BACH2	SH2B3	interacts_with	0.652
BACH2	TAGAP	interacts_with	0.646
BACH2	UBASH3A	interacts_with	0.558
BANK1	FCGR2A	interacts_with	0.516
BANK1	IRF5	interacts_with	0.759
BANK1	PTPN22	interacts_with	0.769
BANK1	SLC39A8	interacts_with	0.41
BANK1	TNFAIP3	interacts_with	0.698
BANK1	TNFSF4	interacts_with	0.706
BANK1	TNIP1	interacts_with	0.487
BCL2L11	CAMK2G	interacts_with	0.472
BCL2L11	CD28	interacts_with	0.45
BCL2L11	CUL2	interacts_with	0.593
BCL2L11	FAS	interacts_with	0.534
BCL2L11	FOS	interacts_with	0.428
BCL2L11	FOXO1	interacts_with	0.874
BCL2L11	IL10	interacts_with	0.452
BCL2L11	IL7R	interacts_with	0.651
BCL2L11	JAK2	interacts_with	0.643
BCL2L11	KSR1	interacts_with	0.568
BCL2L11	MMP9	interacts_with	0.413
BCL2L11	NFATC1	interacts_with	0.529
BCL2L11	NFKB1	interacts_with	0.556
BCL2L11	NFKBIA	interacts_with	0.453
BCL2L11	PRDM1	interacts_with	0.404
BCL2L11	PTPRC	interacts_with	0.467
BCL2L11	RUNX3	interacts_with	0.712
BCL2L11	SMAD3	interacts_with	0.694
BCL2L11	STAT3	interacts_with	0.591
BCL2L11	TNFRSF1A	interacts_with	0.479
C1orf141	IL23R	interacts_with	0.505
CAMK2G	FOS	interacts_with	0.43
CAMK2G	IFNGR2	interacts_with	0.409
CAMK2G	JAK2	interacts_with	0.462
CAMK2G	KSR1	interacts_with	0.464
CAMK2G	SMAD3	interacts_with	0.467
CARD9	ERAP1	interacts_with	0.481
CARD9	ERAP2	interacts_with	0.43
CARD9	IL10	interacts_with	0.666
CARD9	IL18R1	interacts_with	0.405
CARD9	IL18RAP	interacts_with	0.488
CARD9	IL23R	interacts_with	0.709
CARD9	IRF5	interacts_with	0.432
CARD9	IRGM	interacts_with	0.523
CARD9	NFKB1	interacts_with	0.628
CARD9	NKX2-3	interacts_with	0.566
CARD9	NOD2	interacts_with	0.995
CARD9	RIPK2	interacts_with	0.971
CARD9	STAT3	interacts_with	0.532
CARD9	TNFSF15	interacts_with	0.43
CARD9	TYK2	interacts_with	0.464
CCDC122	LACC1	interacts_with	0.949
CCDC122	NOD2	interacts_with	0.704
CCDC122	RIPK2	interacts_with	0.749
CCDC122	TNFSF15	interacts_with	0.779
CCL2	CCL20	interacts_with	0.979
CCL2	CCL7	interacts_with	0.883
CCL2	CD200	interacts_with	0.415
CCL2	CD28	interacts_with	0.547
CCL2	CD40	interacts_with	0.811
CCL2	CD6	interacts_with	0.531
CCL2	FAS	interacts_with	0.45
CCL2	FCGR2A	interacts_with	0.682
CCL2	FOS	interacts_with	0.756
CCL2	FOXO1	interacts_with	0.416
CCL2	IL10	interacts_with	0.963
CCL2	IL12B	interacts_with	0.6
CCL2	IL19	interacts_with	0.401
CCL2	IL21	interacts_with	0.45
CCL2	IL2RA	interacts_with	0.585
CCL2	IL6R	interacts_with	0.732
CCL2	IL7R	interacts_with	0.492
CCL2	IRF1	interacts_with	0.786
CCL2	IRF5	interacts_with	0.48
CCL2	ITGA4	interacts_with	0.407
CCL2	JAK2	interacts_with	0.602
CCL2	MAP3K8	interacts_with	0.51
CCL2	MMP9	interacts_with	0.809
CCL2	NFKB1	interacts_with	0.982
CCL2	NFKBIA	interacts_with	0.754
CCL2	NOD2	interacts_with	0.537
CCL2	PDGFB	interacts_with	0.528
CCL2	PTGER4	interacts_with	0.412
CCL2	PTPRC	interacts_with	0.735
CCL2	RIPK2	interacts_with	0.416
CCL2	SMAD3	interacts_with	0.515
CCL2	SOCS1	interacts_with	0.545
CCL2	STAT3	interacts_with	0.867
CCL2	TNFAIP3	interacts_with	0.558
CCL2	TNFRSF1A	interacts_with	0.768
CCL2	TNFSF11	interacts_with	0.595
CCL2	TYK2	interacts_with	0.414
CCL20	CCL21	interacts_with	0.728
CCL20	CCL7	interacts_with	0.814
CCL20	CD28	interacts_with	0.449
CCL20	CD40	interacts_with	0.52
CCL20	CD6	interacts_with	0.41
CCL20	IL10	interacts_with	0.835
CCL20	IL12B	interacts_with	0.521
CCL20	IL18R1	interacts_with	0.404
CCL20	IL19	interacts_with	0.53
CCL20	IL23R	interacts_with	0.564
CCL20	IL2RA	interacts_with	0.615
CCL20	IL7R	interacts_with	0.637
CCL20	IRF1	interacts_with	0.422
CCL20	MMP9	interacts_with	0.553
CCL20	NFKB1	interacts_with	0.729
CCL20	NFKBIA	interacts_with	0.554
CCL20	NOD2	interacts_with	0.405
CCL20	PTPRC	interacts_with	0.481
CCL20	STAT3	interacts_with	0.782
CCL20	TNFAIP3	interacts_with	0.698
CCL20	TNFRSF1A	interacts_with	0.406
CCL20	TNFSF11	interacts_with	0.452
CCL21	CD28	interacts_with	0.46
CCL21	CD40	interacts_with	0.61
CCL21	IL10	interacts_with	0.651
CCL21	IL7R	interacts_with	0.464
CCL21	ITGA4	interacts_with	0.487
CCL21	MMP9	interacts_with	0.639
CCL21	PTPRC	interacts_with	0.615
CCL21	TNFSF11	interacts_with	0.493
CCL7	CD40	interacts_with	0.585
CCL7	CD6	interacts_with	0.421
CCL7	IL10	interacts_with	0.803
CCL7	IL2RA	interacts_with	0.447
CCL7	MMP9	interacts_with	0.454
CD200	CD226	interacts_with	0.51
CD200	CD28	interacts_with	0.456
CD200	CD40	interacts_with	0.687
CD200	IL10	interacts_with	0.55
CD200	PTPRC	interacts_with	0.937
CD226	CD28	interacts_with	0.637
CD226	CD40	interacts_with	0.612
CD226	FAS	interacts_with	0.591
CD226	IL10	interacts_with	0.543
CD226	IL18RAP	interacts_with	0.421
CD226	IL2RA	interacts_with	0.49
CD226	IL7R	interacts_with	0.508
CD226	PTPN22	interacts_with	0.431
CD226	PTPRC	interacts_with	0.517
CD226	TNFSF4	interacts_with	0.643
CD28	CD40	interacts_with	0.997
CD28	CD6	interacts_with	0.785
CD28	ELMO1	interacts_with	0.4
CD28	FAS	interacts_with	0.73
CD28	FCGR2A	interacts_with	0.712
CD28	FOXO1	interacts_with	0.436
CD28	IKZF1	interacts_with	0.481
CD28	IL10	interacts_with	0.922
CD28	IL12RB2	interacts_with	0.465
CD28	IL21	interacts_with	0.478
CD28	IL23R	interacts_with	0.645
CD28	IL2RA	interacts_with	0.846
CD28	IL6R	interacts_with	0.456
CD28	IL7R	interacts_with	0.814
CD28	IRF1	interacts_with	0.4
CD28	ITGA4	interacts_with	0.801
CD28	JAK2	interacts_with	0.425
CD28	NFATC1	interacts_with	0.662
CD28	NFKB1	interacts_with	0.704
CD28	NFKBIA	interacts_with	0.418
CD28	PRDM1	interacts_with	0.598
CD28	PTPN22	interacts_with	0.638
CD28	PTPRC	interacts_with	0.8
CD28	RUNX3	interacts_with	0.42
CD28	SMAD3	interacts_with	0.4
CD28	STAT3	interacts_with	0.616
CD28	TNFRSF1A	interacts_with	0.668
CD28	TNFSF11	interacts_with	0.419
CD28	TNFSF4	interacts_with	0.981
CD28	TNFSF8	interacts_with	0.45
CD40	CIITA	interacts_with	0.521
CD40	CYLD	interacts_with	0.681
CD40	FAS	interacts_with	0.865
CD40	FCGR2A	interacts_with	0.686
CD40	IL10	interacts_with	0.901
