source	target	interaction	weight
ADAMTS5	B3GLCT	interacts_with	0.507
ADAMTS5	FURIN	interacts_with	0.639
ADAMTS5	PTCH1	interacts_with	0.518
ADCY2	CACNA1C	interacts_with	0.559
ADCY2	GRM3	interacts_with	0.479
ADCY2	PDE4B	interacts_with	0.773
ADCY2	TYR	interacts_with	0.41
ADH1B	DRD2	interacts_with	0.479
APOE	CELF2	interacts_with	0.482
APOE	ERBB4	interacts_with	0.862
APOE	ESR1	interacts_with	0.479
APOE	FGF5	interacts_with	0.568
APOE	FURIN	interacts_with	0.595
APOE	GPC6	interacts_with	0.612
APOE	HTT	interacts_with	0.472
APOE	ITIH3	interacts_with	0.705
APOE	MEF2C	interacts_with	0.412
APOE	TLR4	interacts_with	0.777
APOE	TMEM106B	interacts_with	0.6
AREL1	YLPM1	interacts_with	0.563
ASIC2	KCNK9	interacts_with	0.415
ASTN1	NLGN1	interacts_with	0.416
ASTN2	CDH9	interacts_with	0.682
ASTN2	CNTN4	interacts_with	0.766
ASTN2	COP1	interacts_with	0.737
ASTN2	NLGN1	interacts_with	0.732
ASTN2	NRXN1	interacts_with	0.684
ASXL3	CTTNBP2	interacts_with	0.477
ATP2B1	CACNA1C	interacts_with	0.416
ATP2B1	CASZ1	interacts_with	0.453
ATP2B1	CNNM2	interacts_with	0.434
ATP2B1	SH2B3	interacts_with	0.417
ATP2B1	ULK4	interacts_with	0.432
B3GLCT	PAX6	interacts_with	0.443
BAIAP2	FES	interacts_with	0.405
BCL11B	BPTF	interacts_with	0.531
BCL11B	FOXP2	interacts_with	0.631
BCL11B	MEF2C	interacts_with	0.406
BCL11B	OTX2	interacts_with	0.416
BCL11B	PAX5	interacts_with	0.473
BCL11B	PAX6	interacts_with	0.711
BCL11B	RERE	interacts_with	0.524
BCL11B	SOX5	interacts_with	0.54
BEND4	KCNG2	interacts_with	0.409
BEND4	SLC30A9	interacts_with	0.627
BEND4	ZCCHC7	interacts_with	0.418
C3orf70	CCDC73	interacts_with	0.479
CACNA1C	CACNA1E	interacts_with	0.653
CACNA1C	CNTN4	interacts_with	0.562
CACNA1C	DPYD	interacts_with	0.46
CACNA1C	DRD2	interacts_with	0.508
CACNA1C	GRM3	interacts_with	0.529
CACNA1C	ITIH3	interacts_with	0.489
CACNA1C	KCNB1	interacts_with	0.693
CACNA1C	NCAM1	interacts_with	0.567
CACNA1C	NRXN1	interacts_with	0.492
CACNA1C	PDE4B	interacts_with	0.775
CACNA1C	RASGRP1	interacts_with	0.669
CACNA1C	RBFOX1	interacts_with	0.428
CACNA1C	VRK2	interacts_with	0.426
CACNA1C	ZNF804A	interacts_with	0.699
CACNA1E	KCNB1	interacts_with	0.494
CACNA1E	PDE4B	interacts_with	0.56
CACNA1E	RASGRP1	interacts_with	0.682
CADM2	NRXN1	interacts_with	0.531
CASZ1	SH2B3	interacts_with	0.508
CCDC68	CNNM2	interacts_with	0.468
CCDC68	KIF2A	interacts_with	0.763
CCDC68	RAB27B	interacts_with	0.437
CCDC68	TCF4	interacts_with	0.419
CCDC73	DCDC1	interacts_with	0.579
CCDC92	SH2B3	interacts_with	0.457
CDH4	CDH6	interacts_with	0.727
CDH4	CDH9	interacts_with	0.593
CDH4	MEF2C	interacts_with	0.531
CDH4	NEGR1	interacts_with	0.423
CDH6	CDH9	interacts_with	0.726
CDH9	CNTN4	interacts_with	0.751
CDH9	CNTN5	interacts_with	0.401
CDH9	COP1	interacts_with	0.631
CDH9	NLGN1	interacts_with	0.707
CDH9	NRXN1	interacts_with	0.706
CELF2	CELF4	interacts_with	0.479
CELF2	RBFOX1	interacts_with	0.594
CELF4	RBFOX1	interacts_with	0.623
CNNM2	PLEKHG1	interacts_with	0.402
CNNM2	ZNF804A	interacts_with	0.428
CNTN4	CNTN5	interacts_with	0.441
CNTN4	CNTNAP5	interacts_with	0.551
CNTN4	COP1	interacts_with	0.644
CNTN4	FOXP2	interacts_with	0.513
CNTN4	NCAM1	interacts_with	0.514
CNTN4	NLGN1	interacts_with	0.853
CNTN4	NRXN1	interacts_with	0.805
CNTN4	PCDH9	interacts_with	0.405
CNTN4	TSNARE1	interacts_with	0.475
CNTN5	CNTNAP5	interacts_with	0.573
CNTN5	NRXN1	interacts_with	0.481
CNTNAP5	NRXN1	interacts_with	0.504
COP1	DCAF6	interacts_with	0.904
COP1	DDB2	interacts_with	0.951
COP1	NLGN1	interacts_with	0.66
COP1	NRXN1	interacts_with	0.531
CSF3R	FES	interacts_with	0.416
CSF3R	MECOM	interacts_with	0.467
CSF3R	SH2B3	interacts_with	0.517
CSF3R	TLR4	interacts_with	0.462
CTTNBP2	STK24	interacts_with	0.995
DAGLA	GRM5	interacts_with	0.811
DCAF6	DDB2	interacts_with	0.948
DCAF6	SOX6	interacts_with	0.416
DCDC1	PAX6	interacts_with	0.702
DENND1A	DENND1B	interacts_with	0.819
DENND1B	PLCL2	interacts_with	0.403
DPY19L3	ENOX1	interacts_with	0.422
DPY19L3	ZFHX3	interacts_with	0.417
DPYD	MAD1L1	interacts_with	0.446
DPYD	TMEM161B	interacts_with	0.42
DPYD	VRK2	interacts_with	0.405
DPYD	ZNF804A	interacts_with	0.449
DRD2	ESR1	interacts_with	0.593
DRD2	GRIK3	interacts_with	0.451
DRD2	GRM3	interacts_with	0.575
DRD2	GRM5	interacts_with	0.627
DRD2	HTT	interacts_with	0.455
DRD2	MSRA	interacts_with	0.474
DRD2	NCAM1	interacts_with	0.625
DRD2	NRXN1	interacts_with	0.429
DRD2	NTRK2	interacts_with	0.48
DRD2	TSNARE1	interacts_with	0.421
DRD2	TTC12	interacts_with	0.694
DRD2	VRK2	interacts_with	0.414
DRD2	ZNF804A	interacts_with	0.6
ELAVL2	RBFOX1	interacts_with	0.691
ENOX1	OLFM4	interacts_with	0.432
ENOX1	PMFBP1	interacts_with	0.487
ENOX1	TMEM161B	interacts_with	0.46
ERBB4	ESR1	interacts_with	0.961
