source	target	interaction	weight
ABCA1	ABCC8	interacts_with	0.405
ABCA1	ACSL1	interacts_with	0.505
ABCA1	APOA4	interacts_with	0.507
ABCA1	APOC3	interacts_with	0.744
ABCA1	APOE	interacts_with	0.98
ABCA1	ARG1	interacts_with	0.4
ABCA1	CAV1	interacts_with	0.692
ABCA1	CELSR2	interacts_with	0.546
ABCA1	CETP	interacts_with	0.831
ABCA1	DMD	interacts_with	0.567
ABCA1	ESR1	interacts_with	0.613
ABCA1	GMDS	interacts_with	0.406
ABCA1	HMGCR	interacts_with	0.866
ABCA1	IL10	interacts_with	0.617
ABCA1	INS	interacts_with	0.742
ABCA1	LEP	interacts_with	0.646
ABCA1	LIPC	interacts_with	0.746
ABCA1	LPA	interacts_with	0.74
ABCA1	LPL	interacts_with	0.67
ABCA1	MLXIPL	interacts_with	0.447
ABCA1	NPC1	interacts_with	0.816
ABCA1	PCSK9	interacts_with	0.664
ABCA1	PPARG	interacts_with	0.82
ABCA1	RXRA	interacts_with	0.916
ABCA1	SCARB2	interacts_with	0.83
ABCA1	SNTB1	interacts_with	0.75
ABCA1	TFRC	interacts_with	0.504
ABCA1	TLR4	interacts_with	0.584
ABCA1	TNRC6A	interacts_with	0.538
ABCA1	TRIB1	interacts_with	0.408
ABCB10	TFRC	interacts_with	0.586
ABCC8	ADCY5	interacts_with	0.531
ABCC8	ATP1B2	interacts_with	0.625
ABCC8	CDKAL1	interacts_with	0.478
ABCC8	FOXA2	interacts_with	0.699
ABCC8	FXYD2	interacts_with	0.576
ABCC8	GCK	interacts_with	0.949
ABCC8	GLIS3	interacts_with	0.601
ABCC8	GLP1R	interacts_with	0.682
ABCC8	HHEX	interacts_with	0.437
ABCC8	HNF1A	interacts_with	0.835
ABCC8	HNF1B	interacts_with	0.477
ABCC8	HNF4A	interacts_with	0.405
ABCC8	IDE	interacts_with	0.418
ABCC8	INS	interacts_with	0.909
ABCC8	INSR	interacts_with	0.466
ABCC8	IRS1	interacts_with	0.401
ABCC8	KCNB2	interacts_with	0.415
ABCC8	KCNJ11	interacts_with	0.999
ABCC8	KCNJ12	interacts_with	0.649
ABCC8	KCNMA1	interacts_with	0.429
ABCC8	KCNQ1	interacts_with	0.56
ABCC8	MTNR1B	interacts_with	0.606
ABCC8	NEUROG3	interacts_with	0.591
ABCC8	NKX6-1	interacts_with	0.596
ABCC8	PCSK1	interacts_with	0.592
ABCC8	PGM1	interacts_with	0.505
ABCC8	PPARG	interacts_with	0.641
ABCC8	RFX6	interacts_with	0.675
ABCC8	SLC12A2	interacts_with	0.439
ABCC8	SLC2A2	interacts_with	0.809
ABCC8	SLC30A8	interacts_with	0.726
ABCC8	TCF7L2	interacts_with	0.683
ABCC8	TRPC3	interacts_with	0.459
ABCC8	WFS1	interacts_with	0.749
ACADS	ACSL1	interacts_with	0.65
ACADS	ALDH2	interacts_with	0.906
ACADS	PCCB	interacts_with	0.962
ACADS	SARDH	interacts_with	0.431
ACE	ACVR2A	interacts_with	0.436
ACE	ADRB1	interacts_with	0.605
ACE	ALDH2	interacts_with	0.553
ACE	APOE	interacts_with	0.876
ACE	BCL2	interacts_with	0.403
ACE	BDNF	interacts_with	0.4
ACE	CAV1	interacts_with	0.468
ACE	CETP	interacts_with	0.449
ACE	COMT	interacts_with	0.665
ACE	CTRB1	interacts_with	0.615
ACE	CTRB2	interacts_with	0.615
ACE	CTSB	interacts_with	0.484
ACE	ECE2	interacts_with	0.689
ACE	ERAP1	interacts_with	0.468
ACE	ESR1	interacts_with	0.507
ACE	GLP1R	interacts_with	0.623
ACE	HK1	interacts_with	0.427
ACE	HMGCR	interacts_with	0.806
ACE	HP	interacts_with	0.444
ACE	HSPA4	interacts_with	0.497
ACE	IDE	interacts_with	0.537
ACE	IL10	interacts_with	0.604
ACE	INS	interacts_with	0.849
ACE	IRS1	interacts_with	0.614
ACE	KL	interacts_with	0.479
ACE	LEP	interacts_with	0.611
ACE	LPA	interacts_with	0.417
ACE	MTOR	interacts_with	0.436
ACE	PCSK9	interacts_with	0.651
ACE	PKD1	interacts_with	0.457
ACE	PLEKHH2	interacts_with	0.405
ACE	PPARG	interacts_with	0.674
ACE	SBF2	interacts_with	0.422
ACE	SERPINA1	interacts_with	0.606
ACE	SMAD3	interacts_with	0.562
ACE	TLR4	interacts_with	0.528
ACE	TTN	interacts_with	0.404
ACE	UMOD	interacts_with	0.405
ACO1	ACSL1	interacts_with	0.491
ACO1	ALDH2	interacts_with	0.531
ACO1	ANGPTL4	interacts_with	0.458
ACO1	CAT	interacts_with	0.416
ACO1	CHD1	interacts_with	0.43
