source	target	interaction	weight
ALDH7A1	PNPO	interacts_with	0.687
ALDH7A1	WWOX	interacts_with	0.515
ALG13	DNM1	interacts_with	0.474
ALG13	GABRA1	interacts_with	0.418
ALG13	GABRB3	interacts_with	0.53
ALG13	GNAO1	interacts_with	0.4
ALG13	KCNQ2	interacts_with	0.446
ALG13	KCNT1	interacts_with	0.431
ALG13	NUS1	interacts_with	0.448
ALG13	SCN1A	interacts_with	0.484
ALG13	STXBP1	interacts_with	0.53
ARX	KCNQ2	interacts_with	0.615
ARX	PLCB1	interacts_with	0.668
ARX	PNKP	interacts_with	0.751
ARX	SCN1A	interacts_with	0.764
ARX	SLC25A22	interacts_with	0.781
ARX	SPTAN1	interacts_with	0.734
ARX	STXBP1	interacts_with	0.8
CACNA1E	KCNA2	interacts_with	0.504
CACNA1E	KCNC1	interacts_with	0.511
CACNA1E	KCNC2	interacts_with	0.41
CACNA1E	KCNMA1	interacts_with	0.503
CACNA1E	KCNQ2	interacts_with	0.491
CACNA1E	RYR2	interacts_with	0.518
CACNA1E	SCN1B	interacts_with	0.578
CACNA1E	SNAP25	interacts_with	0.601
CCR1	IL10	interacts_with	0.781
CCR1	STAT4	interacts_with	0.4
CDK5RAP3	UBA5	interacts_with	0.714
CHRNA4	CHRNB2	interacts_with	0.994
CHRNA4	DEPDC5	interacts_with	0.582
CHRNA4	GABRA1	interacts_with	0.412
CHRNA4	GABRB3	interacts_with	0.442
CHRNA4	GABRG2	interacts_with	0.522
CHRNA4	KCNMA1	interacts_with	0.404
CHRNA4	KCNQ2	interacts_with	0.924
CHRNA4	KCNT1	interacts_with	0.669
CHRNA4	LGI1	interacts_with	0.565
CHRNA4	PRRT2	interacts_with	0.597
CHRNA4	SCN1A	interacts_with	0.607
CHRNA4	SCN1B	interacts_with	0.528
CHRNA4	SLC1A2	interacts_with	0.543
CHRNA4	SNAP25	interacts_with	0.499
CHRNA4	STXBP1	interacts_with	0.405
CHRNB2	DEPDC5	interacts_with	0.585
CHRNB2	GABRA1	interacts_with	0.412
CHRNB2	GABRB3	interacts_with	0.555
CHRNB2	GABRG2	interacts_with	0.5
CHRNB2	KCNQ2	interacts_with	0.584
CHRNB2	KCNT1	interacts_with	0.695
CHRNB2	LGI1	interacts_with	0.51
CHRNB2	PRRT2	interacts_with	0.495
CHRNB2	SCN1A	interacts_with	0.545
CHRNB2	SCN1B	interacts_with	0.493
CHRNB2	SLC1A2	interacts_with	0.573
CHRNB2	SPTAN1	interacts_with	0.476
CHRNB2	STXBP1	interacts_with	0.446
CSTB	EPM2A	interacts_with	0.427
CSTB	KCTD7	interacts_with	0.533
CSTB	NHLRC1	interacts_with	0.825
CSTB	SCARB2	interacts_with	0.491
DEPDC5	GABRA1	interacts_with	0.407
DEPDC5	GABRG2	interacts_with	0.482
DEPDC5	KCNQ2	interacts_with	0.556
DEPDC5	KCNT1	interacts_with	0.696
DEPDC5	LGI1	interacts_with	0.526
DEPDC5	NPRL2	interacts_with	0.999
DEPDC5	NPRL3	interacts_with	0.999
DEPDC5	PRRT2	interacts_with	0.592
DEPDC5	SCN1A	interacts_with	0.631
DEPDC5	SZT2	interacts_with	0.999
DNM1	GABRB3	interacts_with	0.629
DNM1	GNAO1	interacts_with	0.479
DNM1	IL19	interacts_with	0.448
DNM1	KCNQ2	interacts_with	0.457
DNM1	KCNT1	interacts_with	0.446
DNM1	PRRT2	interacts_with	0.42
DNM1	SCN1A	interacts_with	0.42
DNM1	SNAP25	interacts_with	0.716
DNM1	SPTAN1	interacts_with	0.537
DNM1	STX1B	interacts_with	0.628
DNM1	STXBP1	interacts_with	0.766
DNM1	SYNJ1	interacts_with	0.874
EGFR	FGF12	interacts_with	0.497
EGFR	IL10	interacts_with	0.899
EGFR	IL12A	interacts_with	0.65
EGFR	IL19	interacts_with	0.689
EGFR	LANCL2	interacts_with	0.628
EGFR	PLCB1	interacts_with	0.72
EGFR	SLC2A1	interacts_with	0.704
EGFR	SNAP25	interacts_with	0.523
EGFR	ZEB2	interacts_with	0.534
EPM2A	NHLRC1	interacts_with	0.999
EPM2A	WWOX	interacts_with	0.425
ERAP1	IL12RB2	interacts_with	0.42
ERAP1	STAT4	interacts_with	0.498
FGF12	SCN1A	interacts_with	0.647
FGF12	SCN1B	interacts_with	0.495
FOXP2	IL10	interacts_with	0.448
GABRA1	GABRB3	interacts_with	0.993
GABRA1	GABRG2	interacts_with	0.998
GABRA1	KCNA2	interacts_with	0.54
GABRA1	KCNC1	interacts_with	0.623
GABRA1	KCNC2	interacts_with	0.527
GABRA1	KCNQ2	interacts_with	0.656
GABRA1	KCNT1	interacts_with	0.554
GABRA1	LGI1	interacts_with	0.457
GABRA1	PNPO	interacts_with	0.418
GABRA1	PRRT2	interacts_with	0.521
GABRA1	SCN1A	interacts_with	0.817
GABRA1	SCN1B	interacts_with	0.765
GABRA1	SLC2A1	interacts_with	0.45
GABRA1	SNAP25	interacts_with	0.524
GABRA1	SPTAN1	interacts_with	0.462
GABRA1	STX1B	interacts_with	0.428
GABRA1	STXBP1	interacts_with	0.643
GABRB3	GABRG2	interacts_with	0.99
GABRB3	KCNQ2	interacts_with	0.62
GABRB3	KCNT1	interacts_with	0.495
GABRB3	SCN1A	interacts_with	0.654
GABRB3	SCN1B	interacts_with	0.476
GABRB3	STX1B	interacts_with	0.43
GABRB3	STXBP1	interacts_with	0.548
GABRG2	KCNA2	interacts_with	0.476
GABRG2	KCNC1	interacts_with	0.456
GABRG2	KCNC2	interacts_with	0.442
GABRG2	KCNQ2	interacts_with	0.709
GABRG2	KCNT1	interacts_with	0.546
GABRG2	LGI1	interacts_with	0.523
GABRG2	PNPO	interacts_with	0.415
GABRG2	PRRT2	interacts_with	0.532
GABRG2	SCN1A	interacts_with	0.952
GABRG2	SCN1B	interacts_with	0.947
GABRG2	SLC2A1	interacts_with	0.52
GABRG2	SNAP25	interacts_with	0.698
GABRG2	STX1B	interacts_with	0.536
GABRG2	STXBP1	interacts_with	0.637
GNAO1	KCNQ2	interacts_with	0.495
GNAO1	KCNT1	interacts_with	0.46
GNAO1	PLCB1	interacts_with	0.8
GNAO1	SCN1A	interacts_with	0.438
GNAO1	SNAP25	interacts_with	0.455
GNAO1	STXBP1	interacts_with	0.575
GOSR2	KCTD7	interacts_with	0.445
GOSR2	SNAP25	interacts_with	0.828
GOSR2	SPTAN1	interacts_with	0.538
GOSR2	STX1B	interacts_with	0.696
HCN1	KCNA2	interacts_with	0.534
HCN1	KCNT1	interacts_with	0.491
IL10	IL12A	interacts_with	0.62
IL10	IL12RB2	interacts_with	0.93
IL10	IL19	interacts_with	0.872
IL10	SCARB2	interacts_with	0.629
IL10	STAT4	interacts_with	0.941
IL12A	IL12RB2	interacts_with	0.971
IL12A	STAT4	interacts_with	0.771
IL12RB2	IL19	interacts_with	0.715
IL12RB2	STAT4	interacts_with	0.996
KCNA2	KCNC1	interacts_with	0.621
KCNA2	KCNH5	interacts_with	0.531
KCNA2	KCNMA1	interacts_with	0.716
KCNA2	KCNQ2	interacts_with	0.567
KCNA2	KCNT1	interacts_with	0.674
KCNA2	LGI1	interacts_with	0.772
KCNA2	PRRT2	interacts_with	0.432
KCNA2	SCN1A	interacts_with	0.721
KCNA2	SCN1B	interacts_with	0.48
KCNA2	SCN3A	interacts_with	0.566
KCNA2	STXBP1	interacts_with	0.448
KCNC1	KCNC2	interacts_with	0.763
KCNC1	KCNH5	interacts_with	0.483
KCNC1	KCNQ2	interacts_with	0.601
KCNC1	KCNT1	interacts_with	0.582
KCNC1	SCN1A	interacts_with	0.581
KCNC1	SCN1B	interacts_with	0.441
KCNC1	SCN3A	interacts_with	0.439
KCNC1	SNAP25	interacts_with	0.476
KCNC2	KCNQ2	interacts_with	0.467
KCNC2	SCN1A	interacts_with	0.649
KCNC2	SCN1B	interacts_with	0.756
KCNC2	SCN3A	interacts_with	0.669
KCNH5	KCNMA1	interacts_with	0.464
KCNH5	KCNQ2	interacts_with	0.565
KCNH5	KCNT1	interacts_with	0.501
KCNMA1	KCNT1	interacts_with	0.462
KCNMA1	PRRT2	interacts_with	0.468
KCNMA1	SCN1A	interacts_with	0.593
KCNMA1	SCN1B	interacts_with	0.441
KCNMA1	SCN3A	interacts_with	0.444
KCNMA1	SNAP25	interacts_with	0.41
KCNMA1	STXBP1	interacts_with	0.439
KCNQ2	KCNT1	interacts_with	0.79
KCNQ2	LGI1	interacts_with	0.527
KCNQ2	PLCB1	interacts_with	0.641
KCNQ2	PNKP	interacts_with	0.68
KCNQ2	PNPO	interacts_with	0.512
KCNQ2	PRRT2	interacts_with	0.715
KCNQ2	SCN1A	interacts_with	0.934
KCNQ2	SCN1B	interacts_with	0.783
KCNQ2	SCN3A	interacts_with	0.751
KCNQ2	SLC1A2	interacts_with	0.605
KCNQ2	SLC25A22	interacts_with	0.79
KCNQ2	SLC2A1	interacts_with	0.564
KCNQ2	SPTAN1	interacts_with	0.852
KCNQ2	STX1B	interacts_with	0.431
KCNQ2	STXBP1	interacts_with	0.855
KCNT1	LGI1	interacts_with	0.504
KCNT1	NPRL2	interacts_with	0.45
KCNT1	PLCB1	interacts_with	0.499
KCNT1	PNPO	interacts_with	0.435
KCNT1	PRRT2	interacts_with	0.632
KCNT1	SCN1A	interacts_with	0.763
KCNT1	SCN1B	interacts_with	0.547
KCNT1	SCN3A	interacts_with	0.413
KCNT1	SLC25A22	interacts_with	0.63
KCNT1	SPTAN1	interacts_with	0.51
KCNT1	STXBP1	interacts_with	0.709
KCTD7	NHLRC1	interacts_with	0.725
KCTD7	PNPO	interacts_with	0.422
KCTD7	SCARB2	interacts_with	0.523
LGI1	PRRT2	interacts_with	0.484
LGI1	SCN1A	interacts_with	0.552
LGI1	SCN1B	interacts_with	0.426
NPRL2	NPRL3	interacts_with	0.999
