source	target	interaction	weight
ABCG8	APOE	interacts_with	0.616
ABCG8	CELSR2	interacts_with	0.555
ABCG8	CETP	interacts_with	0.642
ABCG8	HMGCR	interacts_with	0.794
ABCG8	HNF1A	interacts_with	0.414
ABCG8	LIPA	interacts_with	0.408
ABCG8	LIPC	interacts_with	0.531
ABCG8	LPL	interacts_with	0.432
ABCG8	MIA3	interacts_with	0.405
ABCG8	NPC1	interacts_with	0.441
ABCG8	PCSK9	interacts_with	0.675
ABCG8	SCARB1	interacts_with	0.683
ACTN2	CACNA1D	interacts_with	0.579
ACTN2	CAMK2D	interacts_with	0.702
ACTN2	FLNC	interacts_with	0.784
ACTN2	MYH11	interacts_with	0.403
ACTN2	NKX2-5	interacts_with	0.6
ACTN2	TBX5	interacts_with	0.516
ACTN2	TTN	interacts_with	0.999
ANAPC4	CDKN1A	interacts_with	0.431
AOPEP	CAND2	interacts_with	0.447
AOPEP	PRRX1	interacts_with	0.483
AOPEP	TBX5	interacts_with	0.471
AOPEP	ZFHX3	interacts_with	0.507
APOE	BACE2	interacts_with	0.489
APOE	BDNF	interacts_with	0.831
APOE	CAV1	interacts_with	0.801
APOE	CELSR2	interacts_with	0.484
APOE	CETP	interacts_with	0.974
APOE	COL4A2	interacts_with	0.455
APOE	F2	interacts_with	0.463
APOE	FGF5	interacts_with	0.568
APOE	FGG	interacts_with	0.683
APOE	FTO	interacts_with	0.713
APOE	HMGCR	interacts_with	0.806
APOE	LDLR	interacts_with	0.839
APOE	LIPA	interacts_with	0.498
APOE	LIPC	interacts_with	0.943
APOE	LPA	interacts_with	0.971
APOE	LPL	interacts_with	0.982
APOE	MYH11	interacts_with	0.461
APOE	NPC1	interacts_with	0.671
APOE	PCSK9	interacts_with	0.729
APOE	PSRC1	interacts_with	0.472
APOE	SCARB1	interacts_with	0.968
APOE	SORT1	interacts_with	0.743
APOE	TMEM106B	interacts_with	0.6
BAG3	DNAJC9	interacts_with	0.745
BAG3	FLNC	interacts_with	0.917
BAG3	HSPB7	interacts_with	0.796
BAG3	RPTOR	interacts_with	0.504
BAG3	SMAD3	interacts_with	0.517
BAG3	TTN	interacts_with	0.628
BAG3	YWHAE	interacts_with	0.401
BDNF	CARF	interacts_with	0.637
BDNF	CAV1	interacts_with	0.432
BDNF	FGF5	interacts_with	0.784
BDNF	FOXP1	interacts_with	0.527
BDNF	FTO	interacts_with	0.54
BDNF	SORT1	interacts_with	0.998
CACNA1D	CAV1	interacts_with	0.829
CACNA1D	KCNB1	interacts_with	0.448
CACNA1D	KCNK3	interacts_with	0.414
CACNA1D	PRKCA	interacts_with	0.917
CAMK2D	JAK2	interacts_with	0.412
CAMK2D	TTN	interacts_with	0.438
CAND2	NEURL1	interacts_with	0.635
CASZ1	SH2B3	interacts_with	0.508
CAV1	CDKN1A	interacts_with	0.603
CAV1	COL4A2	interacts_with	0.496
CAV1	FLNC	interacts_with	0.88
CAV1	HMGCR	interacts_with	0.427
CAV1	JAK2	interacts_with	0.781
CAV1	KCNK3	interacts_with	0.58
CAV1	NPC1	interacts_with	0.535
CAV1	PRKCA	interacts_with	0.877
CAV1	SCARB1	interacts_with	0.952
CAV1	SLC4A7	interacts_with	0.486
CAV1	SMAD3	interacts_with	0.638
CAV1	STRN	interacts_with	0.809
CAV1	SWAP70	interacts_with	0.412
CAV1	YWHAE	interacts_with	0.417
CCDC136	FLNC	interacts_with	0.411
CDH13	CDKN2B	interacts_with	0.47
CDKN1A	CDKN2B	interacts_with	0.89
CDKN1A	JAK2	interacts_with	0.64
CDKN1A	PGR	interacts_with	0.555
CDKN1A	SMAD3	interacts_with	0.918
CDKN1A	SMAD7	interacts_with	0.647
CDKN1A	YWHAE	interacts_with	0.451
CDKN1A	ZFHX3	interacts_with	0.781
CDKN2B	FTO	interacts_with	0.554
CDKN2B	SMAD3	interacts_with	0.745
CDKN2B	SMAD7	interacts_with	0.563
CDKN2B	TCF7L2	interacts_with	0.624
CDKN2B	TRIB1	interacts_with	0.408
CELSR2	CETP	interacts_with	0.571
CELSR2	HMGCR	interacts_with	0.602
CELSR2	LIPC	interacts_with	0.48
CELSR2	MIA3	interacts_with	0.452
CELSR2	PCSK9	interacts_with	0.799
CELSR2	PHACTR1	interacts_with	0.474
CELSR2	PSRC1	interacts_with	0.986
CELSR2	SORT1	interacts_with	0.949
CELSR2	TRIB1	interacts_with	0.479
CETP	F2	interacts_with	0.481
