source	target	interaction	weight
ABCA1	ABCG5	interacts_with	0.47
ABCA1	ABCG8	interacts_with	0.468
ABCA1	ANGPTL3	interacts_with	0.529
ABCA1	APOA5	interacts_with	0.61
ABCA1	APOB	interacts_with	0.861
ABCA1	APOC1	interacts_with	0.544
ABCA1	APOC3	interacts_with	0.744
ABCA1	APOE	interacts_with	0.98
ABCA1	APOH	interacts_with	0.44
ABCA1	CELSR2	interacts_with	0.546
ABCA1	CETP	interacts_with	0.831
ABCA1	CYP7A1	interacts_with	0.862
ABCA1	HMGCR	interacts_with	0.866
ABCA1	INSIG2	interacts_with	0.427
ABCA1	LIPC	interacts_with	0.746
ABCA1	LIPG	interacts_with	0.638
ABCA1	LPA	interacts_with	0.74
ABCA1	LPL	interacts_with	0.67
ABCA1	MLXIPL	interacts_with	0.447
ABCA1	MYLIP	interacts_with	0.818
ABCA1	NPC1L1	interacts_with	0.815
ABCA1	PCSK9	interacts_with	0.664
ABCA1	PPARG	interacts_with	0.82
ABCA1	SCARB1	interacts_with	0.934
ABCA1	TRIB1	interacts_with	0.408
ABCB11	ABCG5	interacts_with	0.517
ABCB11	ABCG8	interacts_with	0.521
ABCB11	APOB	interacts_with	0.478
ABCB11	CYP7A1	interacts_with	0.934
ABCB11	HMGCR	interacts_with	0.56
ABCB11	HNF1A	interacts_with	0.419
ABCB11	NPC1L1	interacts_with	0.545
ABCB11	SCARB1	interacts_with	0.486
ABCB11	SLC22A1	interacts_with	0.639
ABCG5	ABCG8	interacts_with	0.999
ABCG5	ANGPTL3	interacts_with	0.491
ABCG5	APOA5	interacts_with	0.581
ABCG5	APOB	interacts_with	0.773
ABCG5	APOC3	interacts_with	0.581
ABCG5	APOE	interacts_with	0.629
ABCG5	CETP	interacts_with	0.657
ABCG5	CYP7A1	interacts_with	0.91
ABCG5	HMGCR	interacts_with	0.743
ABCG5	HNF1A	interacts_with	0.406
ABCG5	LIPC	interacts_with	0.601
ABCG5	LIPG	interacts_with	0.426
ABCG5	LPL	interacts_with	0.448
ABCG5	MYLIP	interacts_with	0.659
ABCG5	NPC1L1	interacts_with	0.906
ABCG5	PCSK9	interacts_with	0.695
ABCG5	PPARG	interacts_with	0.414
ABCG5	SCARB1	interacts_with	0.711
ABCG5	SLC22A1	interacts_with	0.416
ABCG8	ANGPTL3	interacts_with	0.466
ABCG8	APOA5	interacts_with	0.608
ABCG8	APOB	interacts_with	0.74
ABCG8	APOC3	interacts_with	0.601
ABCG8	APOE	interacts_with	0.616
ABCG8	CELSR2	interacts_with	0.555
ABCG8	CETP	interacts_with	0.642
