source	target	interaction	weight
ABCG1	APOE	interacts_with	0.928
ABCG1	CROT	interacts_with	0.56
ABCG1	LPA	interacts_with	0.663
ABCG1	NPC1	interacts_with	0.796
ABO	FUT2	interacts_with	0.927
ABO	PTK2	interacts_with	0.459
ACE	ADM	interacts_with	0.507
ACE	ADRB1	interacts_with	0.605
ACE	AGT	interacts_with	0.999
ACE	APOE	interacts_with	0.876
ACE	CAV1	interacts_with	0.468
ACE	EDNRA	interacts_with	0.53
ACE	EDNRB	interacts_with	0.456
ACE	ENPEP	interacts_with	0.639
ACE	ERAP1	interacts_with	0.468
ACE	FURIN	interacts_with	0.803
ACE	GDF2	interacts_with	0.465
ACE	HSPA4	interacts_with	0.497
ACE	IGF1	interacts_with	0.511
ACE	IRS1	interacts_with	0.614
ACE	KDR	interacts_with	0.521
ACE	LPA	interacts_with	0.417
ACE	MAS1	interacts_with	0.563
ACE	NCF1	interacts_with	0.43
ACE	NFKB1	interacts_with	0.476
ACE	NGF	interacts_with	0.548
ACE	NOS1	interacts_with	0.443
ACE	NOS3	interacts_with	0.731
ACE	NPPB	interacts_with	0.81
ACE	NPR3	interacts_with	0.561
ACE	NR3C2	interacts_with	0.891
ACE	PECAM1	interacts_with	0.463
ACE	PLA2R1	interacts_with	0.404
ACE	SBF2	interacts_with	0.422
ACE	SLC14A2	interacts_with	0.43
ACE	SLC2A4	interacts_with	0.437
ACE	TGFB1	interacts_with	0.674
ACE	UMOD	interacts_with	0.405
ACVR1C	BMP4	interacts_with	0.73
ACVR1C	BMP5	interacts_with	0.453
ACVR1C	BMPR2	interacts_with	0.541
ACVR1C	GDF2	interacts_with	0.777
ACVR1C	INHBB	interacts_with	0.991
ACVR1C	SMAD6	interacts_with	0.548
ACVR1C	SMAD9	interacts_with	0.595
ACVR1C	TGFB1	interacts_with	0.677
ACVR1C	TGFB2	interacts_with	0.466
ADCY3	ADCY9	interacts_with	0.933
ADCY3	GNAS	interacts_with	0.948
ADCY3	GNAT3	interacts_with	0.598
ADCY3	OR4C12	interacts_with	0.504
ADCY3	PDE10A	interacts_with	0.756
ADCY3	PDE1A	interacts_with	0.71
ADCY3	PDE3A	interacts_with	0.809
ADCY3	TMEM18	interacts_with	0.447
ADCY9	CACNA1D	interacts_with	0.434
ADCY9	GNAS	interacts_with	0.986
ADCY9	GNAT3	interacts_with	0.588
ADCY9	PDE10A	interacts_with	0.718
ADCY9	PDE1A	interacts_with	0.692
ADCY9	PDE3A	interacts_with	0.777
ADCY9	PLCB1	interacts_with	0.443
ADCY9	PRKCE	interacts_with	0.481
ADGRL3	GNAS	interacts_with	0.588
ADGRL3	GNAT3	interacts_with	0.752
ADGRL3	GRM8	interacts_with	0.65
ADGRL3	LGR4	interacts_with	0.583
ADGRL3	LINGO2	interacts_with	0.543
ADGRL3	LRRC10B	interacts_with	0.514
ADGRL3	LRRN2	interacts_with	0.53
ADGRL3	MFHAS1	interacts_with	0.522
ADGRL3	PTPRD	interacts_with	0.469
ADGRL3	RXFP2	interacts_with	0.551
ADGRL3	SAG	interacts_with	0.479
ADGRL3	SLITRK5	interacts_with	0.602
ADGRL3	TENM4	interacts_with	0.987
ADGRL3	UNC5C	interacts_with	0.974
ADH1B	AKR1B10	interacts_with	0.44
ADH1B	AUTS2	interacts_with	0.401
ADH1B	GABRA2	interacts_with	0.583
ADH1B	GSTO2	interacts_with	0.668
ADH1B	NRXN3	interacts_with	0.463
ADH1B	WWOX	interacts_with	0.503
ADK	CHDH	interacts_with	0.464
ADK	NT5C2	interacts_with	0.937
ADK	PDE10A	interacts_with	0.915
ADK	PDE1A	interacts_with	0.909
ADK	PDE3A	interacts_with	0.924
ADK	WWOX	interacts_with	0.669
ADM	AGT	interacts_with	0.739
ADM	ANGPT2	interacts_with	0.476
ADM	CALCRL	interacts_with	0.999
ADM	EDNRA	interacts_with	0.527
ADM	EDNRB	interacts_with	0.501
ADM	GIP	interacts_with	0.473
ADM	GNAS	interacts_with	0.898
ADM	NOS3	interacts_with	0.446
ADM	NPPB	interacts_with	0.57
ADM	NPR1	interacts_with	0.604
ADRB1	AGT	interacts_with	0.613
ADRB1	CACNA1C	interacts_with	0.483
ADRB1	CDKAL1	interacts_with	0.42
ADRB1	DBH	interacts_with	0.626
ADRB1	GIP	interacts_with	0.934
ADRB1	GNAS	interacts_with	0.979
ADRB1	GOPC	interacts_with	0.781
ADRB1	MAS1	interacts_with	0.498
ADRB1	SAG	interacts_with	0.738
ADRB1	YWHAE	interacts_with	0.443
AGPAT4	DGKB	interacts_with	0.718
AGPAT4	DGKZ	interacts_with	0.688
AGPAT4	PLPP3	interacts_with	0.854
AGT	ANGPT2	interacts_with	0.472
AGT	APOE	interacts_with	0.853
AGT	CACNA1C	interacts_with	0.672
AGT	CAV1	interacts_with	0.67
AGT	CHD9	interacts_with	0.4
AGT	COL4A1	interacts_with	0.427
AGT	EDNRA	interacts_with	0.988
AGT	EDNRB	interacts_with	0.962
AGT	ENPEP	interacts_with	0.925
AGT	ERAP1	interacts_with	0.554
AGT	FGF5	interacts_with	0.65
AGT	FURIN	interacts_with	0.708
AGT	GATA4	interacts_with	0.485
AGT	GIP	interacts_with	0.457
AGT	GNAT3	interacts_with	0.515
AGT	GPR55	interacts_with	0.561
AGT	GRM8	interacts_with	0.662
AGT	IGF1	interacts_with	0.631
AGT	IGF2BP1	interacts_with	0.478
AGT	IRS1	interacts_with	0.52
AGT	KALRN	interacts_with	0.52
AGT	KDR	interacts_with	0.462
AGT	KLF5	interacts_with	0.531
AGT	MAP2K5	interacts_with	0.407
AGT	MAS1	interacts_with	0.969
AGT	NCF1	interacts_with	0.786
AGT	NCOA1	interacts_with	0.463
AGT	NFKB1	interacts_with	0.588
AGT	NMU	interacts_with	0.489
AGT	NMUR2	interacts_with	0.499
AGT	NOS1	interacts_with	0.605
AGT	NOS3	interacts_with	0.792
AGT	NPPB	interacts_with	0.715
AGT	NPR1	interacts_with	0.516
