source	target	interaction	weight
ADGRL2	CLVS1	interacts_with	0.426
ADGRL2	LRIT2	interacts_with	0.514
ADGRL2	LRRC18	interacts_with	0.514
ADGRL2	VPS13C	interacts_with	0.416
AFF1	IKZF1	interacts_with	0.651
AFF1	TERT	interacts_with	0.416
AGPAT4	DGKQ	interacts_with	0.706
AGPAT4	GPD2	interacts_with	0.833
AGPAT4	PLD4	interacts_with	0.65
ANKRD55	BLK	interacts_with	0.447
ANKRD55	C5orf30	interacts_with	0.548
ANKRD55	PTPN22	interacts_with	0.489
ARHGAP15	PTPRC	interacts_with	0.55
ARID5B	IKZF1	interacts_with	0.621
ATG5	BCL2L11	interacts_with	0.473
ATG5	IFIH1	interacts_with	0.985
ATG5	WDFY4	interacts_with	0.426
ATXN1	RBFOX1	interacts_with	0.754
BACH2	CD44	interacts_with	0.5
BACH2	CLEC16A	interacts_with	0.661
BACH2	ETS1	interacts_with	0.634
BACH2	IKZF1	interacts_with	0.454
BACH2	IL19	interacts_with	0.41
BACH2	IL2RA	interacts_with	0.51
BACH2	IL7R	interacts_with	0.418
BACH2	KLF2	interacts_with	0.589
BACH2	PTPN22	interacts_with	0.564
BACH2	TCF7	interacts_with	0.657
BANK1	BLK	interacts_with	0.912
BANK1	FAM167A	interacts_with	0.664
BANK1	FCGR2A	interacts_with	0.516
BANK1	FCRL3	interacts_with	0.463
BANK1	IRF5	interacts_with	0.759
BANK1	PTPN22	interacts_with	0.769
BANK1	PXK	interacts_with	0.782
BANK1	RASGRP3	interacts_with	0.404
BANK1	STAT4	interacts_with	0.632
BANK1	TNFAIP3	interacts_with	0.698
BANK1	TNFSF4	interacts_with	0.706
BANK1	TNIP1	interacts_with	0.487
BANK1	WDFY4	interacts_with	0.578
BCL2L11	CD44	interacts_with	0.446
BCL2L11	CDKN1B	interacts_with	0.748
BCL2L11	IL10	interacts_with	0.452
BCL2L11	IL7R	interacts_with	0.651
BCL2L11	JAK2	interacts_with	0.643
BCL2L11	KIT	interacts_with	0.427
BCL2L11	PTPRC	interacts_with	0.467
BLK	CCR3	interacts_with	0.445
BLK	ELF1	interacts_with	0.578
BLK	ETS1	interacts_with	0.413
BLK	FAM167A	interacts_with	0.978
BLK	FCGR2A	interacts_with	0.667
BLK	FCRL3	interacts_with	0.557
BLK	IKZF1	interacts_with	0.651
BLK	IRAK1	interacts_with	0.437
BLK	IRF5	interacts_with	0.681
BLK	PPP1R3B	interacts_with	0.467
BLK	PTPN22	interacts_with	0.676
BLK	PXK	interacts_with	0.587
BLK	STAT4	interacts_with	0.682
BLK	TNFAIP3	interacts_with	0.726
BLK	TNFSF4	interacts_with	0.479
BLK	TNIP1	interacts_with	0.584
BLK	TRAF3	interacts_with	0.408
BLK	WDFY4	interacts_with	0.544
BLK	ZNF831	interacts_with	0.482
C1QA	CCR1	interacts_with	0.595
C1QA	FCGR2A	interacts_with	0.403
C1QA	NCF2	interacts_with	0.519
C1QA	PTPRC	interacts_with	0.522
C5orf30	CLEC16A	interacts_with	0.4
CCL22	CCR1	interacts_with	0.95
CCL22	CCR3	interacts_with	0.995
CCL22	CD80	interacts_with	0.67
CCL22	IL10	interacts_with	0.912
CCL22	IL12A	interacts_with	0.433
CCL22	IL12B	interacts_with	0.551
CCL22	IL7R	interacts_with	0.652
CCL22	IRF5	interacts_with	0.407
CCL22	PTPRC	interacts_with	0.477
CCL22	TNFSF4	interacts_with	0.475
CCR1	CCR3	interacts_with	0.997
CCR1	CD44	interacts_with	0.639
CCR1	CD80	interacts_with	0.566
CCR1	FCGR2A	interacts_with	0.536
CCR1	IL10	interacts_with	0.781
CCR1	IL7R	interacts_with	0.532
CCR1	JAK2	interacts_with	0.749
CCR1	KIT	interacts_with	0.461
CCR1	NCF2	interacts_with	0.444
CCR1	PTPRC	interacts_with	0.602
CCR1	STAT4	interacts_with	0.4
CCR3	CD44	interacts_with	0.435
CCR3	CD47	interacts_with	0.443
CCR3	CD80	interacts_with	0.534
CCR3	FCGR2A	interacts_with	0.415
CCR3	IL10	interacts_with	0.662
CCR3	JAK2	interacts_with	0.729
CCR3	KIT	interacts_with	0.493
CCR3	PTPRC	interacts_with	0.584
CD226	CD80	interacts_with	0.494
CD226	CLEC16A	interacts_with	0.493
CD226	IL10	interacts_with	0.543
CD226	IL2RA	interacts_with	0.49
CD226	IL7R	interacts_with	0.508
CD226	PTPN22	interacts_with	0.431
CD226	PTPRC	interacts_with	0.517
CD226	STAT4	interacts_with	0.453
CD226	TNFSF4	interacts_with	0.643
CD44	CD47	interacts_with	0.702
CD44	CD80	interacts_with	0.825
CD44	ETS1	interacts_with	0.461
CD44	FCGR2A	interacts_with	0.686
CD44	HAPLN1	interacts_with	0.529
CD44	IL10	interacts_with	0.795
CD44	IL2RA	interacts_with	0.756
CD44	IL7R	interacts_with	0.755
CD44	JAK2	interacts_with	0.485
CD44	KIT	interacts_with	0.794
CD44	KLF2	interacts_with	0.468
CD44	PGR	interacts_with	0.569
CD44	PTPRC	interacts_with	0.931
CD44	TCF7	interacts_with	0.513
CD44	TERT	interacts_with	0.558
CD44	TIMP3	interacts_with	0.403
CD44	TYK2	interacts_with	0.424
CD47	CD80	interacts_with	0.531
CD47	FCGR2A	interacts_with	0.473
CD47	IL10	interacts_with	0.53
