source	target	interaction	weight
ABCA1	ABCG5	interacts_with	0.47
ABCA1	ABCG8	interacts_with	0.468
ABCA1	APOA5	interacts_with	0.61
ABCA1	APOB	interacts_with	0.861
ABCA1	APOC1	interacts_with	0.544
ABCA1	APOE	interacts_with	0.98
ABCA1	APOH	interacts_with	0.44
ABCA1	ARG1	interacts_with	0.4
ABCA1	CELSR2	interacts_with	0.546
ABCA1	CETP	interacts_with	0.831
ABCA1	GALNT2	interacts_with	0.446
ABCA1	HMGCR	interacts_with	0.866
ABCA1	LIPC	interacts_with	0.746
ABCA1	LIPG	interacts_with	0.638
ABCA1	LPA	interacts_with	0.74
ABCA1	LPL	interacts_with	0.67
ABCA1	NPC1	interacts_with	0.816
ABCA1	PCSK9	interacts_with	0.664
ABCA1	PLTP	interacts_with	0.829
ABCA1	PPARG	interacts_with	0.82
ABCA1	SCARB1	interacts_with	0.934
ABCA1	TRIB1	interacts_with	0.408
ABCG5	ABCG8	interacts_with	0.999
ABCG5	APOA5	interacts_with	0.581
ABCG5	APOB	interacts_with	0.773
ABCG5	APOE	interacts_with	0.629
ABCG5	CETP	interacts_with	0.657
ABCG5	HMGCR	interacts_with	0.743
ABCG5	HNF4A	interacts_with	0.435
ABCG5	INSR	interacts_with	0.451
ABCG5	LIPC	interacts_with	0.601
ABCG5	LIPG	interacts_with	0.426
ABCG5	LPL	interacts_with	0.448
ABCG5	NPC1	interacts_with	0.479
ABCG5	PCSK9	interacts_with	0.695
ABCG5	PLTP	interacts_with	0.546
ABCG5	PPARG	interacts_with	0.414
ABCG5	SCARB1	interacts_with	0.711
ABCG8	APOA5	interacts_with	0.608
ABCG8	APOB	interacts_with	0.74
ABCG8	APOE	interacts_with	0.616
ABCG8	CELSR2	interacts_with	0.555
ABCG8	CETP	interacts_with	0.642
ABCG8	HMGCR	interacts_with	0.794
ABCG8	HNF4A	interacts_with	0.412
ABCG8	INSR	interacts_with	0.443
ABCG8	LIPC	interacts_with	0.531
ABCG8	LIPG	interacts_with	0.439
ABCG8	LPL	interacts_with	0.432
ABCG8	NPC1	interacts_with	0.441
ABCG8	PCSK9	interacts_with	0.675
ABCG8	PLTP	interacts_with	0.548
ABCG8	SCARB1	interacts_with	0.683
ADCY3	ADCY9	interacts_with	0.933
ADCY3	MC4R	interacts_with	0.69
ADCY3	PDE3A	interacts_with	0.809
ADCY3	SEC16B	interacts_with	0.48
ADCY9	MC4R	interacts_with	0.461
ADCY9	PDE3A	interacts_with	0.777
AGPAT4	GPAM	interacts_with	0.911
ANGPTL4	APOA5	interacts_with	0.619
