source	target	interaction	weight
AHI1	EVI5	interacts_with	0.465
AHI1	IQCB1	interacts_with	0.829
ANGPT2	CXCR4	interacts_with	0.506
ANGPT2	MYC	interacts_with	0.551
BACH2	BATF	interacts_with	0.764
BACH2	CD40	interacts_with	0.593
BACH2	CLEC16A	interacts_with	0.661
BACH2	ETS1	interacts_with	0.634
BACH2	GATA3	interacts_with	0.556
BACH2	IKZF1	interacts_with	0.454
BACH2	IL2RA	interacts_with	0.51
BACH2	IL7R	interacts_with	0.418
BACH2	MAF	interacts_with	0.993
BACH2	MYC	interacts_with	0.613
BACH2	SH2B3	interacts_with	0.652
BACH2	TAGAP	interacts_with	0.646
BACH2	TCF7	interacts_with	0.657
BATF	CD40	interacts_with	0.429
BATF	CD86	interacts_with	0.453
BATF	ETS1	interacts_with	0.45
BATF	GATA3	interacts_with	0.646
BATF	IFI30	interacts_with	0.493
BATF	IKZF1	interacts_with	0.496
BATF	IL2RA	interacts_with	0.536
BATF	IL7R	interacts_with	0.495
BATF	MAF	interacts_with	0.818
BATF	MYC	interacts_with	0.76
BATF	STAT3	interacts_with	0.882
BATF	STAT4	interacts_with	0.523
BATF	TCF7	interacts_with	0.586
BCL10	MALT1	interacts_with	0.999
BCL10	TNFRSF1A	interacts_with	0.517
BCL10	TRAF3	interacts_with	0.475
CD40	CD5	interacts_with	0.659
CD40	CD58	interacts_with	0.722
CD40	CD86	interacts_with	0.988
CD40	CXCR4	interacts_with	0.75
CD40	FCRL3	interacts_with	0.415
CD40	GATA3	interacts_with	0.474
CD40	IL2RA	interacts_with	0.55
CD40	IL7R	interacts_with	0.595
CD40	IRF5	interacts_with	0.481
CD40	JAK1	interacts_with	0.464
CD40	MALT1	interacts_with	0.618
CD40	MYC	interacts_with	0.48
CD40	SLAMF7	interacts_with	0.593
CD40	STAT3	interacts_with	0.634
CD40	STAT4	interacts_with	0.51
CD40	TGFA	interacts_with	0.545
CD40	TNFRSF1A	interacts_with	0.919
CD40	TNFSF14	interacts_with	0.719
CD40	TRAF3	interacts_with	0.999
CD40	ZFP36L1	interacts_with	0.45
CD5	CD58	interacts_with	0.445
CD5	CD86	interacts_with	0.748
CD5	CXCR4	interacts_with	0.53
CD5	FCRL3	interacts_with	0.475
CD5	GATA3	interacts_with	0.652
CD5	IKZF1	interacts_with	0.483
CD5	IL2RA	interacts_with	0.771
CD5	IL7R	interacts_with	0.725
CD5	MALT1	interacts_with	0.449
CD5	MYC	interacts_with	0.582
CD5	STAT3	interacts_with	0.411
CD5	TCF7	interacts_with	0.484
CD58	CD86	interacts_with	0.67
CD58	CLEC16A	interacts_with	0.628
CD58	CXCR4	interacts_with	0.624
CD58	IL2RA	interacts_with	0.472
CD58	IL7R	interacts_with	0.447
CD58	TAGAP	interacts_with	0.439
CD86	CXCR4	interacts_with	0.801
CD86	GATA3	interacts_with	0.525
CD86	IFI30	interacts_with	0.479
CD86	IFNGR2	interacts_with	0.434
CD86	IKZF1	interacts_with	0.459
CD86	IL2RA	interacts_with	0.599
CD86	IL7R	interacts_with	0.651
CD86	IRF5	interacts_with	0.583
CD86	JAK1	interacts_with	0.464
CD86	MYC	interacts_with	0.424
CD86	PTGER4	interacts_with	0.484
CD86	SLAMF7	interacts_with	0.426
CD86	STAT3	interacts_with	0.806
CD86	STAT4	interacts_with	0.468
CD86	TNFRSF1A	interacts_with	0.507
CD86	TNFSF14	interacts_with	0.4
CLEC16A	EVI5	interacts_with	0.526
CLEC16A	IL2RA	interacts_with	0.591
CLEC16A	IL7R	interacts_with	0.473
CLEC16A	RMI2	interacts_with	0.41
CLEC16A	SH2B3	interacts_with	0.727
CLEC16A	TAGAP	interacts_with	0.619
CLEC2D	CXCR4	interacts_with	0.426
CNIH3	TGFA	interacts_with	0.77
CXCR4	ETS1	interacts_with	0.406
CXCR4	GALC	interacts_with	0.486
CXCR4	GATA3	interacts_with	0.43
CXCR4	IKZF1	interacts_with	0.415
CXCR4	IL2RA	interacts_with	0.407
CXCR4	IL7R	interacts_with	0.589
CXCR4	JAK1	interacts_with	0.481
CXCR4	MYC	interacts_with	0.594
CXCR4	PTGER4	interacts_with	0.428
CXCR4	RGS1	interacts_with	0.612
CXCR4	STAT3	interacts_with	0.775
CXCR4	TNFRSF1A	interacts_with	0.438
CYP24A1	CYP7B1	interacts_with	0.403
ETS1	GATA3	interacts_with	0.907
ETS1	GFI1	interacts_with	0.527
ETS1	IKZF1	interacts_with	0.741
ETS1	IL7R	interacts_with	0.547
ETS1	MAF	interacts_with	0.529
ETS1	MYC	interacts_with	0.613
ETS1	STAT3	interacts_with	0.691
ETS1	STAT4	interacts_with	0.495
ETS1	TCF7	interacts_with	0.466
EVI5	GFI1	interacts_with	0.515
FCRL3	IL2RA	interacts_with	0.473
FCRL3	STAT4	interacts_with	0.503
GATA3	GFI1	interacts_with	0.639
GATA3	IKZF1	interacts_with	0.759
GATA3	IL2RA	interacts_with	0.613
GATA3	IL7R	interacts_with	0.702
GATA3	JAK1	interacts_with	0.498
GATA3	MAF	interacts_with	0.657
GATA3	MYC	interacts_with	0.698
GATA3	STAT3	interacts_with	0.883
GATA3	STAT4	interacts_with	0.809
GATA3	TCF7	interacts_with	0.638
GATA3	TLE3	interacts_with	0.827
GATA3	TXK	interacts_with	0.647
GFI1	IKZF1	interacts_with	0.577
GFI1	IL7R	interacts_with	0.455
GFI1	MYC	interacts_with	0.603
GFI1	TCF7	interacts_with	0.493
GPR65	RGS1	interacts_with	0.45
GPR65	TAGAP	interacts_with	0.535
GYPC	IFI30	interacts_with	0.731
HHEX	MYC	interacts_with	0.547
HHEX	TLE3	interacts_with	0.539
IFI30	MYC	interacts_with	0.477
IFNGR2	IL12B	interacts_with	0.632
IFNGR2	JAK1	interacts_with	0.998
IFNGR2	STAT3	interacts_with	0.451
IFNGR2	STAT4	interacts_with	0.57
IFNGR2	TNFRSF1A	interacts_with	0.502
IKZF1	IL2RA	interacts_with	0.647
