source	target	interaction	weight
ABCG2	CCK	interacts_with	0.439
ABCG2	IGF1R	interacts_with	0.418
ABCG2	KIT	interacts_with	0.615
ABCG2	MAPK3	interacts_with	0.442
ABCG2	PPARG	interacts_with	0.408
ABCG2	PXDN	interacts_with	0.535
ABCG2	SLC22A12	interacts_with	0.869
ABCG2	SLCO3A1	interacts_with	0.406
ADAMTS9	FTO	interacts_with	0.507
ADAMTS9	KCNJ11	interacts_with	0.511
ADAMTS9	KCNQ1	interacts_with	0.479
ADAMTS9	TCF7L2	interacts_with	0.569
ADCY3	ADCY9	interacts_with	0.933
ADCY3	AKT3	interacts_with	0.693
ADCY3	BBS4	interacts_with	0.436
ADCY3	GNPDA2	interacts_with	0.435
ADCY3	KCNQ1	interacts_with	0.913
ADCY3	MAPK3	interacts_with	0.516
ADCY3	MC4R	interacts_with	0.69
ADCY3	PDE1C	interacts_with	0.8
ADCY3	PDE4B	interacts_with	0.863
ADCY3	SEC16B	interacts_with	0.48
ADCY3	SKOR1	interacts_with	0.445
ADCY3	SLC12A2	interacts_with	0.914
ADCY3	TMEM18	interacts_with	0.447
ADCY9	AKT3	interacts_with	0.684
ADCY9	KCNQ1	interacts_with	0.95
ADCY9	MC4R	interacts_with	0.461
ADCY9	PDE1C	interacts_with	0.723
ADCY9	PDE4B	interacts_with	0.789
ADCY9	PRKCE	interacts_with	0.481
ADCY9	SLC12A2	interacts_with	0.907
ADCYAP1	BDNF	interacts_with	0.595
ADCYAP1	CALCR	interacts_with	0.408
ADCYAP1	CALCRL	interacts_with	0.466
ADCYAP1	CCK	interacts_with	0.66
ADCYAP1	CRHR1	interacts_with	0.692
ADCYAP1	FOXP2	interacts_with	0.462
ADCYAP1	GDNF	interacts_with	0.422
ADCYAP1	GIPR	interacts_with	0.956
ADCYAP1	GLP1R	interacts_with	0.949
ADCYAP1	GRP	interacts_with	0.587
ADCYAP1	LEPR	interacts_with	0.46
ADCYAP1	LHCGR	interacts_with	0.906
ADCYAP1	LMX1B	interacts_with	0.4
ADCYAP1	MC4R	interacts_with	0.407
ADCYAP1	NTRK2	interacts_with	0.684
ADCYAP1	PXDN	interacts_with	0.452
ADGRL2	CACNG5	interacts_with	0.514
ADGRL2	LINGO2	interacts_with	0.514
ADGRL2	LRFN2	interacts_with	0.514
ADGRL2	LRFN5	interacts_with	0.527
ADGRL2	LRRC1	interacts_with	0.553
ADGRL2	LRRC37A	interacts_with	0.514
ADGRL2	LRRC53	interacts_with	0.514
ADGRL2	TSKU	interacts_with	0.536
ADH1B	AUTS2	interacts_with	0.401
ADH1B	H6PD	interacts_with	0.478
ADH1B	NRXN3	interacts_with	0.463
AFF3	MLLT10	interacts_with	0.615
AGBL4	TTLL7	interacts_with	0.544
AKAP6	KCNQ1	interacts_with	0.548
AKAP6	PDE4B	interacts_with	0.549
AKAP6	RBFOX1	interacts_with	0.512
AKT3	INPP4B	interacts_with	0.507
AKT3	KIT	interacts_with	0.42
AKT3	MAPK3	interacts_with	0.928
AKT3	RASA2	interacts_with	0.417
AKT3	RPTOR	interacts_with	0.959
ANAPC4	BBS4	interacts_with	0.408
ANAPC4	CCDC149	interacts_with	0.475
ANAPC4	CCNE1	interacts_with	0.693
ANAPC4	MAD1L1	interacts_with	0.741
ANAPC4	PPP3CA	interacts_with	0.659
APOE	ARG1	interacts_with	0.477
APOE	BACE2	interacts_with	0.489
APOE	BDNF	interacts_with	0.831
APOE	C9orf72	interacts_with	0.541
APOE	ERBB4	interacts_with	0.862
APOE	FGF5	interacts_with	0.568
APOE	FTO	interacts_with	0.713
APOE	GLP1R	interacts_with	0.433
APOE	LEPR	interacts_with	0.42
APOE	LHCGR	interacts_with	0.449
APOE	LRP1B	interacts_with	0.55
APOE	MAPK3	interacts_with	0.506
APOE	MEF2C	interacts_with	0.412
APOE	NPC1	interacts_with	0.671
APOE	PEPD	interacts_with	0.556
APOE	PPARG	interacts_with	0.74
APOE	PXDN	interacts_with	0.611
APOE	RELN	interacts_with	0.709
APOE	SCN2A	interacts_with	0.454
ARG1	BDNF	interacts_with	0.405
ARG1	H6PD	interacts_with	0.502
ARG1	HMGB1	interacts_with	0.431
ARG1	IL13RA1	interacts_with	0.62
ARG1	PPARG	interacts_with	0.598
ARG1	PXDN	interacts_with	0.525
ARNTL	BDNF	interacts_with	0.619
ARNTL	BTRC	interacts_with	0.813
ARNTL	NFIL3	interacts_with	0.951
ARNTL	PPARG	interacts_with	0.59
ARNTL	RET	interacts_with	0.509
ARNTL	RORA	interacts_with	0.962
ARPP21	BCL11B	interacts_with	0.53
ARPP21	ERBB4	interacts_with	0.432
ARPP21	RBFOX1	interacts_with	0.448
ARPP21	SLC6A1	interacts_with	0.543
ASTN2	AUTS2	interacts_with	0.486
ASTN2	CDH13	interacts_with	0.462
ASTN2	FTO	interacts_with	0.403
ASTN2	NLGN1	interacts_with	0.732
AUTS2	FOXP2	interacts_with	0.427
AUTS2	GADD45G	interacts_with	0.401
AUTS2	GALNT10	interacts_with	0.47
AUTS2	MEF2C	interacts_with	0.422
AUTS2	POM121C	interacts_with	0.407
AUTS2	RELN	interacts_with	0.506
BACE2	COL25A1	interacts_with	0.501
BACE2	RTN4	interacts_with	0.962
BACE2	SCN1A	interacts_with	0.484
BAIAP2	HOMER1	interacts_with	0.477
BAIAP2	IMMP2L	interacts_with	0.501
BAIAP2	MAPK3	interacts_with	0.447
BAIAP2	NPTX1	interacts_with	0.578
BAIAP2	SLC6A1	interacts_with	0.404
BAIAP2	SWAP70	interacts_with	0.413
BANK1	SLC39A8	interacts_with	0.41
BBS4	CLUAP1	interacts_with	0.54
BBS4	LEPR	interacts_with	0.569
BBX	RALY	interacts_with	0.4
BBX	ZNF331	interacts_with	0.408
BBX	ZNF536	interacts_with	0.414
BCL11B	BPTF	interacts_with	0.531
BCL11B	CUX2	interacts_with	0.616
BCL11B	DPF3	interacts_with	0.645
BCL11B	EBF1	interacts_with	0.497
BCL11B	FOXG1	interacts_with	0.67
BCL11B	FOXP2	interacts_with	0.631
BCL11B	MEF2C	interacts_with	0.406
BCL11B	NFIL3	interacts_with	0.498
BCL11B	RARB	interacts_with	0.444
BCL11B	RELN	interacts_with	0.406
BDNF	C9orf72	interacts_with	0.41
BDNF	CCK	interacts_with	0.504
BDNF	CRHR1	interacts_with	0.667
BDNF	CUX2	interacts_with	0.418
BDNF	ERBB4	interacts_with	0.781
