source	target	interaction	weight
ACMSD	CCDC62	interacts_with	0.776
ACMSD	GAK	interacts_with	0.619
ACMSD	GPNMB	interacts_with	0.444
ACMSD	HIP1R	interacts_with	0.631
ACMSD	LRRK2	interacts_with	0.449
ACMSD	MAPT	interacts_with	0.419
ACMSD	MCCC1	interacts_with	0.776
ACMSD	RIT2	interacts_with	0.471
ACMSD	SNCA	interacts_with	0.41
ACMSD	STK39	interacts_with	0.652
ACMSD	TMEM163	interacts_with	0.571
ADCY1	APOE	interacts_with	0.407
ADCY1	GCH1	interacts_with	0.8
APOE	CTSB	interacts_with	0.699
APOE	GBA	interacts_with	0.659
APOE	GPNMB	interacts_with	0.643
APOE	LRRK2	interacts_with	0.486
APOE	MAPT	interacts_with	0.991
APOE	MCCC1	interacts_with	0.438
APOE	MMRN1	interacts_with	0.443
APOE	PARK7	interacts_with	0.431
APOE	PINK1	interacts_with	0.472
APOE	PRKN	interacts_with	0.617
APOE	SNCA	interacts_with	0.996
ATP13A2	GAK	interacts_with	0.766
ATP13A2	GBA	interacts_with	0.871
ATP13A2	LRRK2	interacts_with	0.848
ATP13A2	MAPT	interacts_with	0.724
ATP13A2	PARK7	interacts_with	0.957
ATP13A2	PINK1	interacts_with	0.924
ATP13A2	PRKN	interacts_with	0.836
ATP13A2	RAB29	interacts_with	0.567
ATP13A2	SNCA	interacts_with	0.941
ATP13A2	TMEM175	interacts_with	0.593
ATP13A2	VPS35	interacts_with	0.856
BAG3	PKP2	interacts_with	0.431
BST1	CD38	interacts_with	0.92
CCDC62	FAM47E	interacts_with	0.58
CCDC62	GAK	interacts_with	0.7
CCDC62	GBA	interacts_with	0.475
CCDC62	GPNMB	interacts_with	0.488
CCDC62	HIP1R	interacts_with	0.873
CCDC62	LRRK2	interacts_with	0.51
CCDC62	MAPT	interacts_with	0.477
CCDC62	MCCC1	interacts_with	0.773
CCDC62	RIT2	interacts_with	0.602
CCDC62	SNCA	interacts_with	0.447
CCDC62	STK39	interacts_with	0.698
CCDC62	TMEM163	interacts_with	0.447
CCDC62	TMEM175	interacts_with	0.414
CCSER1	MMRN1	interacts_with	0.402
CD38	FCGR2A	interacts_with	0.527
COMMD1	VPS35	interacts_with	0.701
CRHR1	KANSL1	interacts_with	0.857
