source	target	interaction	weight
ADCY3	GCG	interacts_with	0.68
ADCY3	PRKCB	interacts_with	0.664
AGK	CAMK2G	interacts_with	0.402
AGK	JAK2	interacts_with	0.49
AIM2	DDX58	interacts_with	0.942
AIM2	IFIH1	interacts_with	0.698
AIM2	IKBKE	interacts_with	0.436
AIM2	IL10	interacts_with	0.458
AIM2	IRF1	interacts_with	0.675
AIM2	NOD2	interacts_with	0.69
AIM2	SP140	interacts_with	0.689
AIM2	TNFRSF1A	interacts_with	0.42
ANKRD55	PTPN22	interacts_with	0.489
ATG16L1	IL10	interacts_with	0.445
ATG16L1	IL18R1	interacts_with	0.422
ATG16L1	IL23R	interacts_with	0.669
ATG16L1	IRF5	interacts_with	0.449
ATG16L1	NCF4	interacts_with	0.609
ATG16L1	NKX2-3	interacts_with	0.479
ATG16L1	NOD2	interacts_with	0.999
ATG16L1	PTPN2	interacts_with	0.416
ATG16L1	TNFAIP3	interacts_with	0.524
ATG16L1	TNFSF15	interacts_with	0.681
BACH2	CD40	interacts_with	0.593
BACH2	EBF1	interacts_with	0.535
BACH2	ETS1	interacts_with	0.634
BACH2	FOSL2	interacts_with	0.651
BACH2	IL2RA	interacts_with	0.51
BACH2	IL7R	interacts_with	0.418
BACH2	IRF4	interacts_with	0.853
BACH2	PRDM1	interacts_with	0.809
BACH2	PTPN2	interacts_with	0.652
BACH2	PTPN22	interacts_with	0.564
BACH2	RUNX3	interacts_with	0.508
BACH2	SH2B3	interacts_with	0.652
BACH2	TAGAP	interacts_with	0.646
BACH2	UBASH3A	interacts_with	0.558
BANK1	IRF5	interacts_with	0.759
BANK1	PTPN22	interacts_with	0.769
BANK1	TNFAIP3	interacts_with	0.698
BANK1	TNIP1	interacts_with	0.487
BBS12	BBS7	interacts_with	0.995
CAMK2G	IFNGR2	interacts_with	0.409
CAMK2G	JAK2	interacts_with	0.462
CAMK2G	SMAD3	interacts_with	0.467
CAMK2G	TRIB1	interacts_with	0.429
CARD14	CDKAL1	interacts_with	0.588
