source	target	interaction	weight
AARS2	TCTE1	interacts_with	0.456
ADAMTS2	CCN4	interacts_with	0.477
ADGRL2	FLRT2	interacts_with	0.757
ADGRL2	GNA12	interacts_with	0.776
ADGRL2	GNG4	interacts_with	0.469
ADGRL2	SLIT1	interacts_with	0.591
ADGRL2	TCTE1	interacts_with	0.514
AFF3	ANKRD55	interacts_with	0.511
AFF3	BLK	interacts_with	0.46
AFF3	C5orf30	interacts_with	0.404
AFF3	IRF5	interacts_with	0.465
AFF3	LONRF2	interacts_with	0.665
AFF3	PADI4	interacts_with	0.503
AFF3	PTPN22	interacts_with	0.623
AFF3	TNFAIP3	interacts_with	0.507
AHNAK2	POSTN	interacts_with	0.428
AIRE	CARD9	interacts_with	0.716
AIRE	CASR	interacts_with	0.61
AIRE	CD40	interacts_with	0.458
AIRE	CTLA4	interacts_with	0.481
AIRE	ICOSLG	interacts_with	0.559
AIRE	IL10	interacts_with	0.444
AIRE	PTPN22	interacts_with	0.532
AKT3	CTLA4	interacts_with	0.711
AKT3	ERBB3	interacts_with	0.48
AKT3	GNG4	interacts_with	0.611
AKT3	IKZF1	interacts_with	0.405
AKT3	MAGI3	interacts_with	0.481
AKT3	MAPK14	interacts_with	0.925
AKT3	NOS1	interacts_with	0.9
AKT3	NOS2	interacts_with	0.904
AKT3	PIK3CA	interacts_with	0.984
AKT3	USP8	interacts_with	0.4
ANKRD55	BLK	interacts_with	0.447
ANKRD55	C5orf30	interacts_with	0.548
ANKRD55	PTPN22	interacts_with	0.489
ANKS1A	TCP11	interacts_with	0.629
ARAP1	FTO	interacts_with	0.44
ARAP1	JAZF1	interacts_with	0.514
ARID5B	FTO	interacts_with	0.501
ARID5B	GATA3	interacts_with	0.505
ARID5B	IKZF1	interacts_with	0.621
ARID5B	RTKN2	interacts_with	0.52
ATG16L1	ATG5	interacts_with	0.999
ATG16L1	CARD9	interacts_with	0.545
ATG16L1	CASP8	interacts_with	0.616
ATG16L1	IL10	interacts_with	0.445
ATG16L1	IL18R1	interacts_with	0.422
ATG16L1	IL23R	interacts_with	0.669
ATG16L1	IRF5	interacts_with	0.449
ATG16L1	NKX2-3	interacts_with	0.479
ATG16L1	NOD2	interacts_with	0.999
ATG16L1	PTPN2	interacts_with	0.416
ATG16L1	TNFAIP3	interacts_with	0.524
ATG16L1	TNFSF15	interacts_with	0.681
ATG5	BCL2L11	interacts_with	0.473
ATG5	CASP8	interacts_with	0.975
ATG5	FAS	interacts_with	0.665
ATG5	IFIH1	interacts_with	0.985
ATG5	ITPR3	interacts_with	0.408
ATG5	NOD2	interacts_with	0.967
ATG5	WDFY4	interacts_with	0.426
ATXN2	ITPR3	interacts_with	0.913
ATXN2	PARK7	interacts_with	0.41
ATXN2	REL	interacts_with	0.42
ATXN2	SH2B3	interacts_with	0.765
BACH2	CCR6	interacts_with	0.577
BACH2	CD40	interacts_with	0.593
BACH2	CTLA4	interacts_with	0.449
BACH2	EOMES	interacts_with	0.432
BACH2	ERBB3	interacts_with	0.438
BACH2	ETS1	interacts_with	0.634
BACH2	FOSL2	interacts_with	0.651
BACH2	GATA3	interacts_with	0.556
BACH2	IKZF1	interacts_with	0.454
BACH2	IL2RA	interacts_with	0.51
BACH2	IRF4	interacts_with	0.853
BACH2	LEF1	interacts_with	0.638
BACH2	PRDM1	interacts_with	0.809
BACH2	PRKCQ	interacts_with	0.52
BACH2	PTPN2	interacts_with	0.652
BACH2	PTPN22	interacts_with	0.564
BACH2	RUNX1	interacts_with	0.473
BACH2	RUNX3	interacts_with	0.508
BACH2	SH2B3	interacts_with	0.652
BACH2	TAGAP	interacts_with	0.646
BACH2	TCF7	interacts_with	0.657
BACH2	UBASH3A	interacts_with	0.558
BAK1	BCL2L11	interacts_with	0.998
BAK1	CASP8	interacts_with	0.632
BAK1	FAS	interacts_with	0.553
BAK1	SPRY4	interacts_with	0.506
BANK1	BLK	interacts_with	0.912
BANK1	FAM167A	interacts_with	0.664
BANK1	FCGR2A	interacts_with	0.516
BANK1	FCRL3	interacts_with	0.463
BANK1	IRF5	interacts_with	0.759
BANK1	ITPR3	interacts_with	0.734
