source	target	interaction	weight
ACE	ADAM10	interacts_with	0.458
ACE	APOE	interacts_with	0.876
ACE	BDNF	interacts_with	0.4
ACE	FURIN	interacts_with	0.803
ACTR5	COPS8	interacts_with	0.413
ADAM10	APOE	interacts_with	0.733
ADAM10	EFNA5	interacts_with	0.791
ADAM10	EPHA5	interacts_with	0.584
ADAM10	FURIN	interacts_with	0.619
ADAM10	MMP16	interacts_with	0.405
ADAM10	QPCT	interacts_with	0.413
ADCY2	AKT3	interacts_with	0.716
ADCY2	CACNA1C	interacts_with	0.559
ADCY2	GRM3	interacts_with	0.479
ADCY2	PDE4B	interacts_with	0.773
ADCY2	TMTC1	interacts_with	0.663
ADCY2	TRANK1	interacts_with	0.406
AKAP6	NPAS3	interacts_with	0.586
AKAP6	PDE4B	interacts_with	0.549
AKAP6	PRKD1	interacts_with	0.466
AKAP6	PRKD3	interacts_with	0.425
AKAP6	RBFOX1	interacts_with	0.512
AKT3	FOXO3	interacts_with	0.966
AKT3	IRF3	interacts_with	0.471
AKT3	PPP2R2A	interacts_with	0.708
AKT3	PPP2R2B	interacts_with	0.697
ANKS1B	CNTN4	interacts_with	0.419
ANKS1B	GRM3	interacts_with	0.414
ANKS1B	SLC24A2	interacts_with	0.486
APOE	BDNF	interacts_with	0.831
APOE	EP300	interacts_with	0.724
APOE	ERBB4	interacts_with	0.862
APOE	FOXO3	interacts_with	0.447
APOE	FURIN	interacts_with	0.595
APOE	ITIH3	interacts_with	0.705
APOE	MEF2C	interacts_with	0.412
APOE	NRGN	interacts_with	0.479
ARHGAP42	MAIP1	interacts_with	0.52
AS3MT	BORCS7	interacts_with	0.851
AS3MT	CNNM2	interacts_with	0.818
AS3MT	ITIH3	interacts_with	0.499
AS3MT	NT5C2	interacts_with	0.618
AS3MT	WBP1L	interacts_with	0.541
AS3MT	ZNF804A	interacts_with	0.408
ASTN1	BRINP2	interacts_with	0.62
ATF7IP	MAD1L1	interacts_with	0.429
ATP2A2	CACNA1C	interacts_with	0.684
ATP2A2	HSPA9	interacts_with	0.558
ATP2A2	PCCB	interacts_with	0.447
ATP2A2	PIEZO2	interacts_with	0.452
ATP2A2	RORA	interacts_with	0.903
ATXN1	ATXN7	interacts_with	0.898
ATXN1	DNAJA3	interacts_with	0.446
ATXN1	HDAC4	interacts_with	0.414
ATXN1	PPP2R2B	interacts_with	0.707
ATXN1	RBFOX1	interacts_with	0.754
ATXN1	RORA	interacts_with	0.798
ATXN1	YWHAE	interacts_with	0.611
ATXN1	ZNF804A	interacts_with	0.679
ATXN7	EP300	interacts_with	0.416
ATXN7	PPP2R2B	interacts_with	0.923
BAG5	HSPA9	interacts_with	0.622
BAG5	MAD1L1	interacts_with	0.631
BAG5	PPP1R13B	interacts_with	0.5
BCL11A	BCL11B	interacts_with	0.989
BCL11A	EP300	interacts_with	0.58
BCL11A	MEF2C	interacts_with	0.643
BCL11A	TCF4	interacts_with	0.644
BCL11A	TCF7L2	interacts_with	0.426
BCL11B	DLX1	interacts_with	0.515
BCL11B	EMX1	interacts_with	0.638
BCL11B	EP300	interacts_with	0.668
BCL11B	FOXP1	interacts_with	0.503
BCL11B	FOXP2	interacts_with	0.631
BCL11B	MEF2C	interacts_with	0.406
BCL11B	MYT1L	interacts_with	0.472
BCL11B	SATB2	interacts_with	0.848
BDNF	CACNA1C	interacts_with	0.448
BDNF	CHRNB4	interacts_with	0.48
BDNF	CRHR1	interacts_with	0.667
BDNF	DOCK3	interacts_with	0.584
BDNF	DRD2	interacts_with	0.79
BDNF	EFNA5	interacts_with	0.46
BDNF	EP300	interacts_with	0.405
BDNF	ERBB4	interacts_with	0.781
BDNF	ESR2	interacts_with	0.526
BDNF	FOXP1	interacts_with	0.527
BDNF	FURIN	interacts_with	0.489
BDNF	FXR1	interacts_with	0.432
BDNF	GDNF	interacts_with	0.963
BDNF	GRIA1	interacts_with	0.828
BDNF	GRIN2A	interacts_with	0.819
BDNF	GRM3	interacts_with	0.659
BDNF	HDAC4	interacts_with	0.438
BDNF	NCAM1	interacts_with	0.767
BDNF	NEGR1	interacts_with	0.511
BDNF	NRXN3	interacts_with	0.455
BDNF	PTN	interacts_with	0.451
BDNF	RORA	interacts_with	0.481
BNIP3L	FOXO3	interacts_with	0.629
BNIP3L	USP30	interacts_with	0.476
BORCS7	CNNM2	interacts_with	0.606
BORCS7	NT5C2	interacts_with	0.585
BORCS7	WBP1L	interacts_with	0.585
BRINP2	NXPH1	interacts_with	0.659
CACNA1C	CACNA1I	interacts_with	0.736
CACNA1C	CNTN4	interacts_with	0.562
CACNA1C	CSMD1	interacts_with	0.546
CACNA1C	DPYD	interacts_with	0.46
CACNA1C	DRD2	interacts_with	0.508
CACNA1C	GRIA1	interacts_with	0.478
CACNA1C	GRIN2A	interacts_with	0.534
CACNA1C	GRM3	interacts_with	0.529
CACNA1C	HDAC4	interacts_with	0.401
CACNA1C	ITIH3	interacts_with	0.489
CACNA1C	KCNB1	interacts_with	0.693
CACNA1C	NCAM1	interacts_with	0.567
CACNA1C	NT5C2	interacts_with	0.498
CACNA1C	PDE4B	interacts_with	0.775
CACNA1C	PPP2R2A	interacts_with	0.65
CACNA1C	PPP2R2B	interacts_with	0.675
CACNA1C	RBFOX1	interacts_with	0.428
CACNA1C	TRANK1	interacts_with	0.499
CACNA1C	VRK2	interacts_with	0.426
CACNA1C	WBP1L	interacts_with	0.573
CACNA1C	ZNF804A	interacts_with	0.699
CACNA1I	ESR2	interacts_with	0.911
CACNA1I	NCAM1	interacts_with	0.534
CALN1	DRD2	interacts_with	0.457
CAMK1D	MEF2C	interacts_with	0.417
CAMK1D	MPP6	interacts_with	0.447
CAMK1D	MTNR1B	interacts_with	0.583
CAMK1D	TCF7L2	interacts_with	0.581
CAMKK2	FOXO3	interacts_with	0.458
CARMIL1	PAK5	interacts_with	0.578
CCDC68	CNNM2	interacts_with	0.468
CCDC68	NT5C2	interacts_with	0.446
CCDC68	RAB27B	interacts_with	0.437
CCDC68	TCF4	interacts_with	0.419
CDH13	CDKN2B	interacts_with	0.47
CDH13	CSMD1	interacts_with	0.438
CDH13	FHIT	interacts_with	0.599
CDH13	OPCML	interacts_with	0.495
CDKN2B	EP300	interacts_with	0.431
CDKN2B	FHIT	interacts_with	0.483
CDKN2B	TCF7L2	interacts_with	0.624
CELF4	RBFOX1	interacts_with	0.623
CHRNA3	CHRNB4	interacts_with	0.998
CHRNA3	DRD2	interacts_with	0.526
CHRNB4	DRD2	interacts_with	0.498
CHRNB4	NMUR2	interacts_with	0.559
CLCN3	GPM6A	interacts_with	0.84
CLCN3	PCGF3	interacts_with	0.415
CLCN3	TSNARE1	interacts_with	0.479
CNKSR2	GRIN2A	interacts_with	0.431
CNNM2	CSMD1	interacts_with	0.415
CNNM2	FBN2	interacts_with	0.636
CNNM2	NT5C2	interacts_with	0.79
CNNM2	WBP1L	interacts_with	0.462
CNNM2	ZNF804A	interacts_with	0.428
