source	target	interaction	weight
ADCY7	PRKCB	interacts_with	0.74
ADGRL2	GNA12	interacts_with	0.776
ANK3	CNTNAP2	interacts_with	0.64
ANK3	NFKB1	interacts_with	0.531
ANK3	REL	interacts_with	0.854
ANK3	SCN7A	interacts_with	0.567
ATG16L1	CARD9	interacts_with	0.545
ATG16L1	IL10	interacts_with	0.445
ATG16L1	IL17REL	interacts_with	0.493
ATG16L1	IL18R1	interacts_with	0.422
ATG16L1	IL23R	interacts_with	0.669
ATG16L1	IRF5	interacts_with	0.449
ATG16L1	IRGM	interacts_with	0.97
ATG16L1	NKX2-3	interacts_with	0.479
ATG16L1	NOD2	interacts_with	0.999
ATG16L1	PTPN2	interacts_with	0.416
ATG16L1	TNFAIP3	interacts_with	0.524
ATG16L1	TNFSF15	interacts_with	0.681
BACH2	CCRL2	interacts_with	0.568
BACH2	CD40	interacts_with	0.593
BACH2	FOSL2	interacts_with	0.651
BACH2	IKZF1	interacts_with	0.454
BACH2	IL19	interacts_with	0.41
BACH2	IL2RA	interacts_with	0.51
BACH2	NCOR2	interacts_with	0.851
BACH2	PRDM1	interacts_with	0.809
BACH2	PTPN2	interacts_with	0.652
BACH2	PTPN22	interacts_with	0.564
BACH2	SH2B3	interacts_with	0.652
BACH2	UBASH3A	interacts_with	0.558
BANK1	FCGR2A	interacts_with	0.516
BANK1	IRF5	interacts_with	0.759
BANK1	PTPN22	interacts_with	0.769
BANK1	TNFAIP3	interacts_with	0.698
CARD9	ERAP1	interacts_with	0.481
CARD9	IFIH1	interacts_with	0.765
CARD9	IL10	interacts_with	0.666
CARD9	IL18R1	interacts_with	0.405
CARD9	IL18RAP	interacts_with	0.488
CARD9	IL1R1	interacts_with	0.582
CARD9	IL23R	interacts_with	0.709
CARD9	IRF5	interacts_with	0.432
CARD9	IRGM	interacts_with	0.523
CARD9	NFKB1	interacts_with	0.628
CARD9	NKX2-3	interacts_with	0.566
CARD9	NOD2	interacts_with	0.995
CARD9	REL	interacts_with	0.42
CARD9	RNF186	interacts_with	0.532
CARD9	STAT3	interacts_with	0.532
CARD9	TNFSF15	interacts_with	0.43
CCL2	CCL20	interacts_with	0.979
CCL2	CCRL2	interacts_with	0.99
CCL2	CD200	interacts_with	0.415
CCL2	CD274	interacts_with	0.69
CCL2	CD40	interacts_with	0.811
CCL2	CD6	interacts_with	0.531
CCL2	CXCR2	interacts_with	0.997
CCL2	FAS	interacts_with	0.45
CCL2	FCGR2A	interacts_with	0.682
CCL2	IFIH1	interacts_with	0.56
CCL2	IL10	interacts_with	0.963
CCL2	IL12B	interacts_with	0.6
CCL2	IL19	interacts_with	0.401
CCL2	IL1R1	interacts_with	0.682
CCL2	IL2RA	interacts_with	0.585
CCL2	IL6R	interacts_with	0.732
CCL2	IRF5	interacts_with	0.48
CCL2	ITGAL	interacts_with	0.663
CCL2	JAK2	interacts_with	0.602
CCL2	MAP3K8	interacts_with	0.51
CCL2	NFKB1	interacts_with	0.982
CCL2	NOD2	interacts_with	0.537
CCL2	PDGFB	interacts_with	0.528
CCL2	PTGER4	interacts_with	0.412
CCL2	REL	interacts_with	0.507
CCL2	SMAD3	interacts_with	0.515
CCL2	SOCS1	interacts_with	0.545
CCL2	STAT3	interacts_with	0.867
CCL2	TNFAIP3	interacts_with	0.558
CCL2	TNFRSF1A	interacts_with	0.768
CCL20	CCL21	interacts_with	0.728
CCL20	CCRL2	interacts_with	0.999
CCL20	CD274	interacts_with	0.502
CCL20	CD40	interacts_with	0.52
CCL20	CD6	interacts_with	0.41
CCL20	CXCR2	interacts_with	0.949
CCL20	IL10	interacts_with	0.835
CCL20	IL12B	interacts_with	0.521
CCL20	IL18R1	interacts_with	0.404
CCL20	IL19	interacts_with	0.53
CCL20	IL1R1	interacts_with	0.54
CCL20	IL23R	interacts_with	0.564
CCL20	IL2RA	interacts_with	0.615
CCL20	ITGAL	interacts_with	0.526
CCL20	NFKB1	interacts_with	0.729
CCL20	NOD2	interacts_with	0.405
CCL20	RORC	interacts_with	0.506
CCL20	STAT3	interacts_with	0.782
CCL20	TNFAIP3	interacts_with	0.698
CCL20	TNFRSF14	interacts_with	0.506
CCL20	TNFRSF1A	interacts_with	0.406
