source	target	interaction	weight
BLK	CASP3	interacts_with	0.511
BLK	CD40	interacts_with	0.496
BLK	FCGR2A	interacts_with	0.667
BLK	PLCG2	interacts_with	0.672
CASP3	CD40	interacts_with	0.515
CASP3	FCGR2A	interacts_with	0.584
CASP3	FCGR3B	interacts_with	0.455
CASP3	GAP43	interacts_with	0.486
CASP3	IL6	interacts_with	0.881
CASP3	JAK2	interacts_with	0.691
CASP3	MMP2	interacts_with	0.713
CASP3	VWF	interacts_with	0.472
CD40	F11	interacts_with	0.432
CD40	FCGR2A	interacts_with	0.686
CD40	FCGR3B	interacts_with	0.728
CD40	IL12RB2	interacts_with	0.403
CD40	IL6	interacts_with	0.891
CD40	JAK2	interacts_with	0.471
CD40	PLCG2	interacts_with	0.437
CD40	TSLP	interacts_with	0.487
CD40	VWF	interacts_with	0.597
CFL2	FGG	interacts_with	0.441
CFL2	JAK2	interacts_with	0.526
CFL2	MMP2	interacts_with	0.53
CFL2	PTK2B	interacts_with	0.437
DOCK8	PTK2B	interacts_with	0.66
F10	F11	interacts_with	0.756
F10	F2	interacts_with	0.999
F10	F5	interacts_with	0.995
F10	FGA	interacts_with	0.752
F10	FGG	interacts_with	0.655
F10	IL6	interacts_with	0.418
F10	PLG	interacts_with	0.72
F10	PROCR	interacts_with	0.958
F10	VTN	interacts_with	0.545
F10	VWF	interacts_with	0.978
F11	F2	interacts_with	0.767
F11	F5	interacts_with	0.725
F11	FGA	interacts_with	0.604
F11	FGG	interacts_with	0.573
F11	PLG	interacts_with	0.461
F11	VWF	interacts_with	0.705
F2	F5	interacts_with	0.999
F2	FGA	interacts_with	0.999
F2	FGG	interacts_with	0.999
F2	IL6	interacts_with	0.703
F2	JAK2	interacts_with	0.597
F2	PLG	interacts_with	0.826
F2	PROCR	interacts_with	0.819
F2	VTN	interacts_with	0.688
F2	VWF	interacts_with	0.966
F5	FGA	interacts_with	0.652
F5	FGG	interacts_with	0.658
F5	PLG	interacts_with	0.453
F5	VWF	interacts_with	0.448
FCGR2A	FCGR3B	interacts_with	0.617
FCGR2A	IL6	interacts_with	0.656
FCGR2A	PLCG2	interacts_with	0.728
FCGR2A	VWF	interacts_with	0.743
FCGR3B	IL6	interacts_with	0.796
FCGR3B	JAK2	interacts_with	0.415
FCGR3B	TSLP	interacts_with	0.405
FGA	FGG	interacts_with	0.999
FGA	PLG	interacts_with	0.965
FGA	VTN	interacts_with	0.72
FGA	VWF	interacts_with	0.866
FGG	IL6	interacts_with	0.516
FGG	PLG	interacts_with	0.878
FGG	TSPAN15	interacts_with	0.492
FGG	VTN	interacts_with	0.721
FGG	VWF	interacts_with	0.863
IL12B	IL12RB2	interacts_with	0.958
IL12B	IL6	interacts_with	0.691
IL12B	JAK2	interacts_with	0.639
IL12RB2	IL6	interacts_with	0.943
IL12RB2	JAK2	interacts_with	0.998
IL12RB2	TSLP	interacts_with	0.738
IL6	JAK2	interacts_with	0.995
IL6	MMP2	interacts_with	0.847
IL6	PLG	interacts_with	0.682
IL6	PROCR	interacts_with	0.408
IL6	TSLP	interacts_with	0.677
IL6	VTN	interacts_with	0.654
IL6	VWF	interacts_with	0.716
JAK2	MMP2	interacts_with	0.523
JAK2	PLCG2	interacts_with	0.928
JAK2	PLG	interacts_with	0.475
JAK2	PTK2B	interacts_with	0.65
JAK2	TSLP	interacts_with	0.63
MMP2	PLG	interacts_with	0.772
MMP2	VWF	interacts_with	0.483
PLCG2	PTK2B	interacts_with	0.61
PLCG2	VWF	interacts_with	0.461
PLG	PROCR	interacts_with	0.446
PLG	VTN	interacts_with	0.995
PLG	VWF	interacts_with	0.798
PROCR	VWF	interacts_with	0.596
VTN	VWF	interacts_with	0.966
