score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST010017,GCST90029028,GCST009600,GCST90624573,GCST90451690,FINNGEN_R12_KRA_PSY_ANXIETY_EXMORE,GCST90627736,GCST90627735,GCST90103929,GCST90480756,GCST90480753,FINNGEN_R12_F5_ALLANXIOUS,GCST90624566,GCST90095187,GCST90103931,GCST90297545,GCST90624575,GCST90446654,GCST008559,GCST008565,GCST008562,GCST008563,GCST008564,GCST90103928,GCST90624574,GCST90103930,GCST90271775,GCST90624568,GCST90624570,GCST90624559,GCST90480752,GCST90624565,GCST009575,GCST90451693,GCST90624569,GCST002681,GCST90480754,GCST90451691,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.670883829855025,ENSG00000149295,DRD2,protein_coding,0.709513843227191,NA,NA,GCST010017/GCST90029028/GCST009600/GCST90624573/GCST90029028/GCST90451690,0.800605237483978/0.772019386291504/0.763465225696564/0.738591015338898/0.541054546833038/0.541054546833038,0.8006052,0.5410545,0.7634652,0.738591,0.5410545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,DRD2,1813,GWAS,1,297,12
0.513350158842353,ENSG00000091831,ESR1,protein_coding,0.733816294428247,NA,NA,GCST90451690/FINNGEN_R12_KRA_PSY_ANXIETY_EXMORE/GCST90627736/GCST90627735,0.830229640007019/0.82377964258194/0.775079369544983/0.764399230480194,NA,NA,NA,NA,0.8302296,0.8237796,0.7750794,0.7643992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,ESR1,2099,GWAS,1,500,9
0.51191459823819,ENSG00000182511,FES,protein_coding,0.841300729341529,NA,NA,GCST90103929/GCST90627736/GCST90627735/GCST90451690/GCST009600,0.970352828502655/0.921069085597992/0.921069085597992/0.812402963638306/0.753488063812256,NA,NA,0.7534881,NA,0.812403,NA,0.9210691,0.9210691,0.9703528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FES,2242,GWAS,1,69,2
0.497776929977019,ENSG00000101489,CELF4,protein_coding,0.812269995991594,NA,NA,GCST90480756/GCST90480753/GCST90451690/GCST010017/GCST90029028/FINNGEN_R12_F5_ALLANXIOUS/FINNGEN_R12_KRA_PSY_ANXIETY_EXMORE,0.888373792171478/0.888373792171478/0.884158909320831/0.880087912082672/0.843798398971558/0.829632818698883/0.765015423297882,0.8800879,0.8437984,NA,NA,0.8841589,0.7650154,NA,NA,NA,0.8883738,0.8883738,0.8296328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,CELF4,56853,GWAS,1,24,1
0.481578707316544,ENSG00000198216,CACNA1E,protein_coding,0.5743014551249,NA,NA,GCST90627736/GCST90627735,0.758555352687836/0.744507730007172,NA,NA,NA,NA,NA,NA,0.7585554,0.7445077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,CACNA1E,777,GWAS,1,90,2
0.479117378704676,ENSG00000165379,LRFN5,protein_coding,0.786895845505298,NA,NA,GCST90480753/GCST90624566/GCST90480756/GCST90029028,0.888657689094543/0.8848015666008/0.765779495239258/0.530257999897003,NA,0.530258,NA,NA,NA,NA,NA,NA,NA,0.7657795,0.8886577,NA,0.8848016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,LRFN5,145581,GWAS,1,46,3
0.475936412363321,ENSG00000128573,FOXP2,protein_coding,0.780821159955218,NA,NA,GCST90627735/GCST90627736/GCST90451690/GCST90103929/GCST90095187,0.885043978691101/0.885043978691101/0.843585729598999/0.838410079479218/0.798854172229767,NA,NA,NA,NA,0.8435857,NA,0.885044,0.885044,0.8384101,NA,NA,NA,NA,0.7988542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FOXP2,93986,GWAS,1,121,4
0.472958355165244,ENSG00000149294,NCAM1,protein_coding,0.767461473103928,NA,NA,GCST90627735/GCST90480753/GCST90103931/GCST90297545/GCST90627736/GCST90624575/GCST90103929/GCST90029028,0.828562915325165/0.828562915325165/0.824125111103058/0.824125111103058/0.819355130195618/0.817356169223785/0.81269383430481/0.740530908107758,NA,0.7405309,NA,NA,NA,NA,0.8193551,0.8285629,0.8126938,NA,0.8285629,NA,NA,NA,0.8241251,0.8241251,0.8173562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NCAM1,4684,GWAS,1,500,6
0.472276718264821,ENSG00000196628,TCF4,protein_coding,0.774620451720287,NA,NA,GCST009600/GCST90627735/GCST90627736/GCST90103929/GCST90103931/GCST90029028,0.838076114654541/0.831321358680725/0.831321358680725/0.811985790729523/0.759821832180023/0.75104284286499,NA,0.7510428,0.8380761,NA,NA,NA,0.8313214,0.8313214,0.8119858,NA,NA,NA,NA,NA,0.7598218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,TCF4,6925,GWAS,1,162,3
0.472022962231169,ENSG00000155052,CNTNAP5,protein_coding,0.776441930702651,NA,NA,GCST90446654/GCST90627735/GCST90627736,0.792193651199341/0.770532846450806/0.770532846450806,NA,NA,NA,NA,NA,NA,0.7705328,0.7705328,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7921937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,CNTNAP5,129684,GWAS,1,21,0
