score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90061435,GCST90448551,GCST006983,GCST90275135,GCST90275147,GCST90568441,GCST010644,GCST90275148,GCST90275137,GCST90429151,GCST90275149,GCST90275136,GCST007543,GCST90134330,GCST010649,GCST90448547,GCST012088,GCST009600,GCST90624564,GCST012093,GCST90624573,GCST90455642,GCST90624687,GCST007582,GCST007586,GCST90624562,GCST90624684,GCST90137499,GCST90624553,GCST90624570,GCST90624551,GCST90624674,GCST90624673,GCST007591,GCST90448552,GCST90271328,GCST90624575,GCST90624693,GCST90133365,GCST001877,GCST90624667,GCST90624686,GCST90624560,GCST90624565,GCST90480762,GCST90624685,GCST90624672,GCST90624675,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.517483237464404,ENSG00000128573,FOXP2,protein_coding,0.831045708167842,NA,NA,GCST90061435/GCST90448551/GCST006983/GCST90275135/GCST90275147/GCST90568441/GCST010644/GCST90275148/GCST90275137/GCST90429151/GCST90275149/GCST90275136,0.883318781852722/0.849475920200348/0.849475920200348/0.847995042800903/0.84754604101181/0.84754604101181/0.84754604101181/0.831935167312622/0.831935167312622/0.83133989572525/0.823339462280273/0.823339462280273,0.8833188,0.8494759,0.8494759,0.847995,0.847546,0.847546,0.847546,0.8319352,0.8319352,0.8313399,0.8233395,0.8233395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,FOXP2,93986,GWAS,1,121,7
0.501764155055531,ENSG00000139318,DUSP6,protein_coding,0.819554443259924,NA,NA,GCST010644/GCST007543/GCST90429151/GCST90134330/GCST90448551/GCST010649/GCST90448547/GCST90061435/GCST006983/GCST90568441,0.892498791217804/0.830431818962097/0.830431818962097/0.830431818962097/0.830431818962097/0.830431818962097/0.830431818962097/0.822368741035461/0.813469409942627/0.770113587379456,0.8223687,0.8304318,0.8134694,NA,NA,0.7701136,0.8924988,NA,NA,0.8304318,NA,NA,0.8304318,0.8304318,0.8304318,0.8304318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,DUSP6,1848,GWAS,1,100,2
0.491911822868103,ENSG00000182511,FES,protein_coding,0.807485786534096,NA,NA,GCST90429151/GCST012088/GCST90061435/GCST009600,0.970352828502655/0.908056795597076/0.754134953022003/0.753488063812256,0.754135,NA,NA,NA,NA,NA,NA,NA,NA,0.9703528,NA,NA,NA,NA,NA,NA,0.9080568,0.7534881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FES,2242,GWAS,1,69,1
0.485871298554646,ENSG00000156395,SORCS3,protein_coding,0.793039834521173,NA,NA,GCST90061435/GCST90429151/GCST90568441/GCST012088/GCST90624564/GCST90134330/GCST007543/GCST90448551/GCST010644/GCST012093/GCST009600,0.845660865306854/0.840349197387695/0.826398849487305/0.816132783889771/0.752480268478394/0.736748516559601/0.724894225597382/0.724894225597382/0.722055852413177/0.705763220787048/0.697466671466827,0.8456609,0.7248942,NA,NA,NA,0.8263988,0.7220559,NA,NA,0.8403492,NA,NA,0.7248942,0.7367485,NA,NA,0.8161328,0.6974667,0.7524803,0.7057632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,SORCS3,22986,GWAS,1,36,2
0.484128556670276,ENSG00000149295,DRD2,protein_coding,0.630629892205476,NA,NA,GCST009600/GCST90624573/GCST012088,0.763465225696564/0.738591015338898/0.738063037395477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738063,0.7634652,NA,NA,0.738591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,DRD2,1813,GWAS,1,297,12
0.470057633883445,ENSG00000172260,NEGR1,protein_coding,0.772381653440706,NA,NA,GCST90134330/GCST90061435/GCST012088/GCST009600,0.924286305904388/0.851909995079041/0.836587011814117/0.64466005563736,0.85191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9242863,NA,NA,0.836587,0.6446601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NEGR1,257194,GWAS,1,83,5
0.464387411345341,ENSG00000080854,IGSF9B,protein_coding,0.730568561447654,NA,NA,GCST90061435/GCST90134330/GCST009600,0.884820759296417/0.884820759296417/0.86133474111557,0.8848208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8848208,NA,NA,NA,0.8613347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,IGSF9B,22997,GWAS,1,13,2
0.460482991408303,ENSG00000081189,MEF2C,protein_coding,0.747306916344581,NA,NA,GCST90455642/GCST90624687/GCST90134330,0.889848053455353/0.819330990314484/0.811618745326996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8116187,NA,NA,NA,NA,NA,NA,NA,0.8898481,0.819331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,MEF2C,4208,GWAS,1,271,12
0.459389049781314,ENSG00000137872,SEMA6D,protein_coding,0.75071745780055,NA,NA,GCST007582/GCST007586/GCST006983/GCST90568441/GCST010644/GCST90061435,0.850092232227325/0.816689550876617/0.716992974281311/0.582062423229218/0.535117328166962/0.535117328166962,0.5351173,NA,0.716993,NA,NA,0.5820624,0.5351173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8500922,0.8166896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,SEMA6D,80031,GWAS,1,29,3
0.456129285526828,ENSG00000196628,TCF4,protein_coding,0.749538125883166,NA,NA,GCST009600/GCST012088/GCST90061435/GCST90061435/GCST90429151,0.838076114654541/0.83405065536499/0.75355052947998/0.535117328166962/0.521923661231995,0.5351173,NA,NA,NA,NA,NA,NA,NA,NA,0.5219237,NA,NA,NA,NA,NA,NA,0.8340507,0.8380761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,TCF4,6925,GWAS,1,162,5
