score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST90103929,GCST90627736,GCST90627735,GCST90095187,GCST90103931,GCST90297545,GCST90271775,GCST002681,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.48154817747669,ENSG00000182511,FES,protein_coding,0.792110186502393,NA,NA,GCST90103929/GCST90627736/GCST90627735,0.970352828502655/0.921069085597992/0.921069085597992,0.9703528,0.9210691,0.9210691,NA,NA,NA,NA,NA,2,FES,2242,GWAS,1,69,0
0.462873526166231,ENSG00000128573,FOXP2,protein_coding,0.759542680278151,NA,NA,GCST90627735/GCST90627736/GCST90103929/GCST90095187,0.885043978691101/0.885043978691101/0.838410079479218/0.798854172229767,0.8384101,0.885044,0.885044,0.7988542,NA,NA,NA,NA,3,FOXP2,93986,GWAS,1,121,1
0.452623108925297,ENSG00000149294,NCAM1,protein_coding,0.735523981469244,NA,NA,GCST90627735/GCST90103931/GCST90297545/GCST90627736/GCST90103929,0.828562915325165/0.824125111103058/0.824125111103058/0.819355130195618/0.81269383430481,0.8126938,0.8193551,0.8285629,NA,0.8241251,0.8241251,NA,NA,4,NCAM1,4684,GWAS,1,500,2
0.43610926528369,ENSG00000196628,TCF4,protein_coding,0.715450171809877,NA,NA,GCST90627735/GCST90627736/GCST90103929/GCST90103931,0.831321358680725/0.831321358680725/0.811985790729523/0.759821832180023,0.8119858,0.8313214,0.8313214,NA,0.7598218,NA,NA,NA,3,TCF4,6925,GWAS,1,162,1
0.423523074305903,ENSG00000091831,ESR1,protein_coding,0.587370077809677,NA,NA,GCST90627736/GCST90627735,0.775079369544983/0.764399230480194,NA,0.7750794,0.7643992,NA,NA,NA,NA,NA,2,ESR1,2099,GWAS,1,500,2
0.403749226025486,ENSG00000105866,SP4,protein_coding,0.66413681888086,NA,NA,GCST90627736/GCST90103929/GCST90627735,0.807888388633728/0.788029611110687/0.788029611110687,0.7880296,0.8078884,0.7880296,NA,NA,NA,NA,NA,2,SP4,6671,GWAS,1,18,0
0.399048896947155,ENSG00000002822,MAD1L1,protein_coding,0.651000588167372,NA,NA,GCST90103929/GCST90103931/GCST90627735/GCST90627736/GCST90271775,0.733165323734283/0.733165323734283/0.696829557418823/0.696829557418823/0.541767597198486,0.7331653,0.6968296,0.6968296,NA,0.7331653,NA,0.5417676,NA,3,MAD1L1,8379,GWAS,1,124,2
0.395800189150264,ENSG00000184349,EFNA5,protein_coding,0.650301343319132,NA,NA,GCST90627736/GCST90627735,0.850502133369446/0.847670614719391,NA,0.8505021,0.8476706,NA,NA,NA,NA,NA,2,EFNA5,1946,GWAS,1,157,0
0.39530657258653,ENSG00000100626,GALNT16,protein_coding,0.65024929505064,NA,NA,GCST90627736/GCST90627735,0.855688571929932/0.855688571929932,NA,0.8556886,0.8556886,NA,NA,NA,NA,NA,1,GALNT16,57452,GWAS,1,29,0
0.390798057981917,ENSG00000170624,SGCD,protein_coding,0.641313303877522,NA,NA,GCST90627736/GCST90627735,0.843929350376129/0.843929350376129,NA,0.8439294,0.8439294,NA,NA,NA,NA,NA,1,SGCD,6444,GWAS,1,98,1
0.387676312852382,ENSG00000147255,IGSF1,protein_coding,0.637698097177256,NA,NA,GCST90627736/GCST90627735,0.843354344367981/0.822442412376404,NA,0.8433543,0.8224424,NA,NA,NA,NA,NA,2,IGSF1,3547,GWAS,1,23,0
0.38134790407751,ENSG00000145743,FBXL17,protein_coding,0.627288345278298,NA,NA,GCST90103929/GCST90103931,0.823659241199493/0.778384745121002,0.8236592,NA,NA,NA,0.7783847,NA,NA,NA,2,FBXL17,64839,GWAS,1,55,0
0.361298801004076,ENSG00000155511,GRIA1,protein_coding,0.559200912980311,NA,NA,GCST90627736/GCST90627735/GCST90627736/GCST90627735,0.665005922317505/0.651113748550415/0.530257999897003/0.530257999897003,NA,0.530258,0.530258,NA,NA,NA,NA,NA,3,GRIA1,2890,GWAS,1,350,2
0.355966771776348,ENSG00000155052,CNTNAP5,protein_coding,0.585538309910989,NA,NA,GCST90627735/GCST90627736,0.770532846450806/0.770532846450806,NA,0.7705328,0.7705328,NA,NA,NA,NA,NA,1,CNTNAP5,129684,GWAS,1,21,0
0.355368985924729,ENSG00000101017,CD40,protein_coding,0.582525353061117,NA,NA,GCST90627736,0.919077336788177,NA,0.9190773,NA,NA,NA,NA,NA,NA,1,CD40,958,GWAS,1,500,1
0.352753046042536,ENSG00000171045,TSNARE1,protein_coding,0.57964404430942,NA,NA,GCST90627736/GCST90627735,0.765388906002045/0.752326130867004,NA,0.7653889,0.7523261,NA,NA,NA,NA,NA,2,TSNARE1,203062,GWAS,1,78,1
0.351804817809022,ENSG00000186472,PCLO,protein_coding,0.577172384670783,NA,NA,GCST90627735/GCST90627736,0.772059738636017/0.709380030632019,NA,0.70938,0.7720597,NA,NA,NA,NA,NA,2,PCLO,27445,GWAS,1,58,0
0.349135541683595,ENSG00000198216,CACNA1E,protein_coding,0.5743014551249,NA,NA,GCST90627736/GCST90627735,0.758555352687836/0.744507730007172,NA,0.7585554,0.7445077,NA,NA,NA,NA,NA,2,CACNA1E,777,GWAS,1,90,0
0.348723688209874,ENSG00000188938,FAM120AOS,protein_coding,0.573623987433941,NA,NA,GCST90103931/GCST90103929/GCST90095187,0.658747553825378/0.654741168022156/0.540292739868164,0.6547412,NA,NA,0.5402927,0.6587476,NA,NA,NA,3,FAM120AOS,158293,GWAS,1,3,0
0.34841942370493,ENSG00000117707,PROX1,protein_coding,0.569095953892878,NA,NA,GCST90627735,0.748895704746246,NA,NA,0.7488957,NA,NA,NA,NA,NA,1,PROX1,5629,GWAS,1,75,0
0.341577240942718,ENSG00000186868,MAPT,protein_coding,0.536748241309953,NA,NA,GCST90103931/GCST90103929/GCST90627736,0.652372419834137/0.652372419834137/0.501255393028259,0.6523724,0.5012554,NA,NA,0.6523724,NA,NA,NA,2,MAPT,4137,GWAS,1,500,4
0.337392187365102,ENSG00000114861,FOXP1,protein_coding,0.553844658734775,NA,NA,GCST90627736/GCST90627735,0.728825926780701/0.728825926780701,NA,0.7288259,0.7288259,NA,NA,NA,NA,NA,1,FOXP1,27086,GWAS,1,119,1
0.333410699718339,ENSG00000146463,ZMYM4,protein_coding,0.548435284128079,NA,NA,GCST90627736,0.876689255237579,NA,0.8766893,NA,NA,NA,NA,NA,NA,1,ZMYM4,9202,GWAS,1,43,0
0.332945951792575,ENSG00000135090,TAOK3,protein_coding,0.547670809079948,NA,NA,GCST90627735/GCST90627736,0.724956333637238/0.703682243824005,NA,0.7036822,0.7249563,NA,NA,NA,NA,NA,2,TAOK3,51347,GWAS,1,55,0
0.327043010985696,ENSG00000077063,CTTNBP2,protein_coding,0.536441092687209,NA,NA,GCST90627735/GCST90627736,0.740755438804626/0.566597700119019,NA,0.5665977,0.7407554,NA,NA,NA,NA,NA,2,CTTNBP2,83992,GWAS,1,64,0
0.32638580107895,ENSG00000120306,CYSTM1,protein_coding,0.536879859288627,NA,NA,GCST90627735/GCST90627736,0.708804547786713/0.69728821516037,NA,0.6972882,0.7088045,NA,NA,NA,NA,NA,2,CYSTM1,84418,GWAS,1,7,0
0.322416657723939,ENSG00000138821,SLC39A8,protein_coding,0.530350919859001,NA,NA,GCST90297545,0.872386991977692,NA,NA,NA,NA,NA,0.872387,NA,NA,1,SLC39A8,64116,GWAS,1,57,0
0.319034555805468,ENSG00000130558,OLFM1,protein_coding,0.524179688218994,NA,NA,GCST90627735/GCST90627736,0.727452278137207/0.53913402557373,NA,0.539134,0.7274523,NA,NA,NA,NA,NA,2,OLFM1,10439,GWAS,1,29,1
0.31890404766375,ENSG00000133895,MEN1,protein_coding,0.524572943033367,NA,NA,GCST90627736,0.690306127071381,NA,0.6903061,NA,NA,NA,NA,NA,NA,1,MEN1,4221,GWAS,1,337,1
0.318746151621676,ENSG00000154822,PLCL2,protein_coding,0.524313216033692,NA,NA,GCST90627736/GCST90627735,0.690183758735657/0.689086675643921,NA,0.6901838,0.6890867,NA,NA,NA,NA,NA,2,PLCL2,23228,GWAS,1,7,0
0.318226657854812,ENSG00000099256,PRTFDC1,protein_coding,0.515766674947526,NA,NA,GCST002681,0.848397016525269,NA,NA,NA,NA,NA,NA,NA,0.848397,1,PRTFDC1,56952,GWAS,1,65,0
0.318074882993703,ENSG00000089250,NOS1,protein_coding,0.512410511805158,NA,NA,GCST90627736/GCST90627735,0.580887377262115/0.519563138484955,NA,0.5808874,0.5195631,NA,NA,NA,NA,NA,2,NOS1,4842,GWAS,1,207,1
0.312970656089412,ENSG00000110693,SOX6,protein_coding,0.514205033636794,NA,NA,GCST90103931,0.845828235149384,NA,NA,NA,NA,0.8458282,NA,NA,NA,1,SOX6,55553,GWAS,1,97,0
0.312200473748154,ENSG00000068796,KIF2A,protein_coding,0.513546072965372,NA,NA,GCST90627735/GCST90627736,0.675795435905457/0.675795435905457,NA,0.6757954,0.6757954,NA,NA,NA,NA,NA,1,KIF2A,3796,GWAS,1,188,0
0.308257705106577,ENSG00000170396,ZNF804A,protein_coding,0.505540690942601,NA,NA,GCST90103929,0.83157604932785,0.831576,NA,NA,NA,NA,NA,NA,NA,1,ZNF804A,91752,GWAS,1,68,2
0.304769323618514,ENSG00000106460,TMEM106B,protein_coding,0.500494933908977,NA,NA,GCST90103931,0.823276162147522,NA,NA,NA,NA,0.8232762,NA,NA,NA,1,TMEM106B,54664,GWAS,1,34,1
