score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST006959,GCST005537,GCST90013534,GCST002318,GCST005529,GCST90132222,FINNGEN_R12_M13_RHEUMA,FINNGEN_R12_RHEUMA_SEROPOS_WIDE,GCST007278,GCST90131437,GCST90131438,GCST90480459,FINNGEN_R12_M13_PSORIARTH,GCST90476230,GCST90480500,GCST006048,GCST005568,GCST90476228,GCST90476191,FINNGEN_R12_RHEUMA_SEROPOS_STRICT,GCST90014459,GCST90255369,GCST90255368,GCST90255367,GCST90446530,GCST90014458,GCST90132226,GCST90132223,GCST90132224,GCST90474002,GCST90480501,GCST90480502,GCST011389,GCST90132225,GCST009877,GCST90132227,GCST000679,FINNGEN_R12_RHEUMA_OTHER_WIDE,FINNGEN_R12_RHEUMA_NOS,FINNGEN_R12_RHEUMA_SERONEG,GCST005569,GCST002323,GCST90131439,GCST90018910,GCST000420,GCST003620,GCST90044540,GCST90454274,GCST007843,GCST90436650,GCST90436651,GCST000070,GCST90479436,GCST90480693,GCST000040,GCST90302862,GCST90302861,GCST003097_2,GCST90129453,GCST000232,GCST90570209,GCST90038685,GCST008644,GCST90428109,GCST003270,GCST007043,GCST90014455,GCST000835,GCST90014454,GCST90018690,GCST90013684,GCST001149,FINNGEN_R12_M13_ANKYLOSPON,GCST000563,GCST001454,GCST001681,GCST90302863,GCST007844,FINNGEN_R12_M13_ANKYLOSPON_STRICT,GCST000122,GCST90428832,GCST000677,GCST002433,GCST002434,GCST90668066,GCST005826,GCST90668064,GCST90668065,GCST005567,GCST010730,GCST001042,FINNGEN_R12_FELTY,GCST90014439,GCST90014438,GCST90479433,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.735062098085766,ENSG00000160712,IL6R,protein_coding,0.829787446342399,NA,NA,GCST006959/GCST005537/GCST90013534/GCST002318/GCST005529/GCST90132222,0.922879576683044/0.914680123329163/0.884367525577545/0.884367525577545/0.883340179920197/0.882651507854462,0.9228796,0.9146801,0.8843675,0.8843675,0.8833402,0.8826515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,IL6R,3570,GWAS,1,257,20
0.728697918732254,ENSG00000105397,TYK2,protein_coding,0.89180976847288,NA,NA,GCST90013534/FINNGEN_R12_M13_RHEUMA/GCST90132222/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/GCST007278/GCST90131437/GCST90131438/GCST90131438/GCST90480459/FINNGEN_R12_M13_PSORIARTH/GCST90476230/GCST90480500/GCST006048/GCST005568/GCST90476228/GCST90476191/FINNGEN_R12_RHEUMA_SEROPOS_STRICT/GCST90014459/GCST006959/GCST90255369/GCST90255368/GCST90255367/GCST90446530/GCST90014458/GCST90132226/GCST90132223/GCST90132224/GCST90474002/GCST90480501,0.91083300113678/0.91083300113678/0.91083300113678/0.91083300113678/0.910432457923889/0.906984806060791/0.906984806060791/0.906984806060791/0.906663537025452/0.906663537025452/0.906077027320862/0.903825342655182/0.902970731258392/0.902970731258392/0.902244925498962/0.900514721870422/0.90044242143631/0.90044242143631/0.899707973003387/0.894687235355377/0.892634034156799/0.885012447834015/0.878820061683655/0.873064398765564/0.86414623260498/0.860529065132141/0.72069925069809/0.631826877593994/0.624712646007538,0.899708,NA,0.910833,NA,NA,0.910833,0.910833,0.910833,0.9104325,0.9069848,0.9069848,0.9066635,0.9066635,0.906077,0.9038253,0.9029707,0.9029707,0.9022449,0.9005147,0.9004424,0.9004424,0.8946872,0.892634,0.8850124,0.8788201,0.8730644,0.8641462,0.8605291,0.7206993,0.6318269,0.6247126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,TYK2,7297,GWAS,1,289,34
0.696432739835173,ENSG00000096968,JAK2,protein_coding,0.610250141329204,NA,NA,GCST005537/GCST90480502,0.836424231529236/0.6695636510849,NA,0.8364242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6695637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,JAK2,3717,GWAS,1,500,39
0.689479633838484,ENSG00000159339,PADI4,protein_coding,0.895230463685881,NA,NA,GCST90132223/GCST90132224/GCST005568/GCST002318/GCST006048/GCST006959/GCST90132222/GCST011389/GCST90132225/GCST90013534/GCST009877/GCST90132226/GCST90132227,0.956737339496613/0.92101639509201/0.907272815704346/0.90521377325058/0.877874493598938/0.865879535675049/0.846464574337006/0.826724350452423/0.821658730506897/0.809053540229797/0.798615753650665/0.798615753650665/0.77267599105835,0.8658795,NA,0.8090535,0.9052138,NA,0.8464646,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8778745,0.9072728,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7986158,0.9567373,0.9210164,NA,NA,NA,0.8267244,0.8216587,0.7986158,0.772676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,PADI4,23569,GWAS,1,71,12
0.676107313917379,ENSG00000134242,PTPN22,protein_coding,0.925182264138413,NA,NA,GCST000679/FINNGEN_R12_RHEUMA_SEROPOS_STRICT/GCST90132225/FINNGEN_R12_M13_RHEUMA/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/GCST90132222/FINNGEN_R12_RHEUMA_OTHER_WIDE/FINNGEN_R12_RHEUMA_NOS/GCST90476228/FINNGEN_R12_RHEUMA_SERONEG/GCST002318/GCST006048/GCST009877/GCST005568/GCST005569/GCST90132226/GCST002323/GCST90480500/GCST90476230/GCST90480501/GCST90131439/GCST90131439/GCST90018910/GCST000420/GCST003620/GCST90044540/GCST90454274/GCST90014459/GCST007843/GCST005537/GCST90436650/GCST90436651/GCST006959/GCST000070/GCST90479436/GCST90480693/GCST90014458/GCST90474002/GCST000040/GCST90446530/GCST90302862/GCST90302861/GCST003097_2/GCST90129453/GCST000232/GCST007278/GCST90570209/GCST90038685/GCST008644/GCST90132223/GCST90131437/GCST90428109,0.938341856002808/0.938341856002808/0.938341856002808/0.938341856002808/0.938341856002808/0.938341856002808/0.930811583995819/0.930397093296051/0.921675145626068/0.921675145626068/0.91998952627182/0.915429711341858/0.913905203342438/0.912320077419281/0.912320077419281/0.912320077419281/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.910521686077118/0.908537328243256/0.908537328243256/0.908314943313599/0.908314943313599/0.908314943313599/0.908314943313599/0.908314943313599/0.880726277828217/0.876701593399048/0.872565090656281/0.866450130939484/0.771594524383545/0.771594524383545/0.771594524383545/0.771594524383545/0.771594524383545/0.771594524383545/0.756896436214447/0.750160694122314/0.71750670671463/0.71750670671463/0.554035604000092/0.554035604000092/0.554035604000092/0.534423530101776/0.534423530101776/0.504997432231903,0.8807263,0.9083149,NA,0.9199895,NA,0.9383419,0.9383419,0.9383419,0.7175067,0.5344235,NA,NA,NA,0.9105217,0.9105217,0.9154297,0.9123201,0.9216751,NA,0.9383419,0.9083149,NA,NA,NA,0.7715945,0.7715945,0.9123201,0.5344235,NA,0.7715945,0.9105217,NA,NA,0.9383419,0.9139052,NA,0.9383419,0.9308116,0.9303971,0.9216751,0.9123201,0.9105217,0.9105217,0.9105217,0.9105217,0.9105217,0.9085373,0.9085373,0.9083149,0.9083149,0.9083149,0.8767016,0.8725651,0.8664501,0.7715945,0.7715945,0.7715945,0.7568964,0.7501607,0.7175067,0.5540356,0.5540356,0.5540356,0.5049974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,PTPN22,26191,GWAS,1,157,44
0.666119020142053,ENSG00000113302,IL12B,protein_coding,0.815342416953918,NA,NA,FINNGEN_R12_M13_PSORIARTH/GCST003270/GCST90476191/GCST007043/GCST90476191/GCST90014455/GCST000835/GCST90014454/GCST003097_2/GCST005537/GCST90476191/FINNGEN_R12_M13_PSORIARTH/GCST90480459,0.893245697021484/0.876215636730194/0.794351816177368/0.774373173713684/0.72587662935257/0.573846638202667/0.573846638202667/0.573846638202667/0.527859270572662/0.524782598018646/0.511819303035736/0.511819303035736/0.504694938659668,NA,0.5247826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5046949,0.5118193,NA,NA,NA,NA,NA,0.5118193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5278593,NA,NA,NA,NA,NA,NA,0.8762156,0.7743732,0.5738466,0.5738466,0.5738466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,IL12B,3593,GWAS,1,90,13
0.628549304202338,ENSG00000128604,IRF5,protein_coding,0.879674077446466,NA,NA,GCST90132225/GCST90013534/GCST006959/GCST006048/GCST90132222/GCST005537/GCST90255368/GCST90132226/GCST90132223/GCST90132223/GCST90132224/GCST90018690/GCST90131438/GCST90131437/GCST90570209/GCST90131438/GCST002318/GCST90018910/GCST005568/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/GCST90013684,0.904610335826874/0.904610335826874/0.90203070640564/0.901826500892639/0.901344895362854/0.900340437889099/0.899261295795441/0.897480428218842/0.897480428218842/0.896314561367035/0.895848333835602/0.895848333835602/0.893747448921204/0.893747448921204/0.893747448921204/0.893747448921204/0.892211079597473/0.892176270484924/0.879133582115173/0.79996246099472/0.774633467197418,0.9020307,0.9003404,0.9046103,0.8922111,NA,0.9013449,NA,0.7999625,NA,0.8937474,0.8937474,NA,NA,NA,NA,0.9018265,0.8791336,NA,NA,NA,NA,NA,0.8992613,NA,NA,NA,0.8974804,0.8963146,0.8958483,NA,NA,NA,NA,0.9046103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8921763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8937474,NA,NA,NA,NA,NA,NA,NA,NA,0.8958483,0.7746335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,IRF5,3663,GWAS,1,186,31
0.609883115470604,ENSG00000160856,FCRL3,protein_coding,0.849678866961585,NA,NA,GCST90013534/GCST90132222/GCST90132225,0.960163652896881/0.826748907566071/0.817755520343781,NA,NA,0.9601637,NA,NA,0.8267489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8177555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FCRL3,115352,GWAS,1,52,9
0.594625621799175,ENSG00000138378,STAT4,protein_coding,0.823851888130512,NA,NA,FINNGEN_R12_M13_RHEUMA/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/FINNGEN_R12_RHEUMA_SEROPOS_STRICT/FINNGEN_R12_RHEUMA_SEROPOS_STRICT/FINNGEN_R12_RHEUMA_SEROPOS_WIDE/FINNGEN_R12_RHEUMA_NOS/GCST90132226/GCST90131437/FINNGEN_R12_RHEUMA_OTHER_WIDE/GCST90131438/GCST002318/GCST90131438/FINNGEN_R12_M13_RHEUMA/GCST007278/GCST90474002/GCST90018690/GCST006959/GCST90018910/GCST90013684/GCST90132223/GCST90132224/GCST90013534/GCST90132225/GCST90132222/GCST011389/GCST90132227/GCST006048/GCST005569/GCST005568/GCST90428109/GCST008644/GCST90570209,0.852179229259491/0.844561696052551/0.835298836231232/0.80576092004776/0.800956189632416/0.788216054439545/0.788216054439545/0.788216054439545/0.785944640636444/0.778457641601562/0.778457641601562/0.778457641601562/0.772716164588928/0.771930873394012/0.764612138271332/0.762252926826477/0.762252926826477/0.757854998111725/0.754373371601105/0.746656358242035/0.742419362068176/0.723661363124847/0.722162187099457/0.722162187099457/0.71933925151825/0.713157892227173/0.622927188873291/0.622061789035797/0.58422714471817/0.564614832401276/0.553563416004181/0.553015768527985,0.7622529,NA,0.7236614,0.7784576,NA,0.7221622,0.7727162,0.8009562,0.7719309,0.7882161,0.7784576,NA,NA,NA,NA,0.6229272,0.5842271,NA,NA,0.8057609,NA,NA,NA,NA,NA,NA,0.7882161,0.7466564,0.7424194,0.7646121,NA,NA,0.7193393,0.7221622,NA,0.7131579,NA,0.7859446,0.7882161,NA,0.6220618,NA,NA,0.757855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5530158,NA,0.5535634,0.5646148,NA,NA,NA,NA,NA,0.7622529,0.7543734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,STAT4,6775,GWAS,1,231,43
0.582828153552924,ENSG00000056972,TRAF3IP2,protein_coding,0.840036637023039,NA,NA,GCST90476191/GCST90014454/GCST003270/GCST000835/GCST90480459,0.94407057762146/0.943459331989288/0.940373480319977/0.933601260185242/0.933601260185242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9336013,NA,NA,NA,NA,NA,NA,0.9440706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9403735,NA,NA,0.9336013,0.9434593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRAF3IP2,10758,GWAS,1,50,9
