score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,FINNGEN_R12_I9_PHLETHROM,GCST90436175,GCST90480218,GCST90476003,GCST90044025,GCST90476004,GCST90473605,GCST90436174,GCST90480219,GCST001455,GCST010979,GCST001456,GCST90013537,FINNGEN_R12_PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,GCST90478033,GCST011939,GCST90271348,GCST001322,GCST90446467,GCST003928,GCST90095078,GCST006863,GCST006984,GCST009250,GCST006575,GCST90480213,GCST009249,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.555018708752523,ENSG00000088926,F11,protein_coding,0.911139839212976,NA,NA,FINNGEN_R12_I9_PHLETHROM/GCST90436175/GCST90480218/GCST90476003/GCST90044025/GCST90476004/GCST90473605/GCST90436174/GCST90480219/FINNGEN_R12_I9_PHLETHROM,0.974348425865173/0.956121146678925/0.955770790576935/0.955770790576935/0.954738557338715/0.95006388425827/0.949580252170563/0.932876348495483/0.850406348705292/0.846570014953613,0.84657,0.9561211,0.9557708,0.9557708,0.9547386,0.9500639,0.9495803,0.9328763,0.8504063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,F11,2160,GWAS,1,83,8
0.537348905676821,ENSG00000180210,F2,protein_coding,0.872676224133438,NA,NA,GCST90436174/GCST90436175/GCST90480219/GCST90476003,0.949504792690277/0.949504792690277/0.918286204338074/0.589905917644501,NA,0.9495048,NA,0.5899059,NA,NA,NA,0.9495048,0.9182862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,F2,2147,GWAS,1,284,11
0.536681530695368,ENSG00000198734,F5,protein_coding,0.878605066755471,NA,NA,GCST90044025/GCST90436174/GCST90436175/GCST90473605/FINNGEN_R12_I9_PHLETHROM/GCST90476003/GCST90476003/GCST90476003,0.941068887710571/0.941068887710571/0.941068887710571/0.941068887710571/0.930252969264984/0.844433546066284/0.82081413269043/0.746910631656647,0.930253,0.9410689,NA,0.7469106,0.9410689,NA,0.9410689,0.9410689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,F5,2153,GWAS,1,130,7
0.527067274201509,ENSG00000136573,BLK,protein_coding,0.697426515967791,NA,NA,GCST001455/GCST010979/GCST001456/GCST90013537,0.807536602020264/0.807536602020264/0.802198231220245/0.778556346893311,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8075366,0.8075366,0.8021982,0.7785563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,BLK,640,GWAS,1,139,4
0.504569317230191,ENSG00000175164,ABO,protein_coding,0.8270905420417,NA,NA,FINNGEN_R12_PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE/GCST90480219/GCST90478033/GCST90480218/GCST90436174/GCST90436175/FINNGEN_R12_I9_PHLETHROM/GCST90473605,0.898424446582794/0.860402941703796/0.857930123806/0.833720922470093/0.781181395053864/0.781181395053864/0.729149460792542/0.723218679428101,0.7291495,0.7811814,0.8337209,NA,NA,NA,0.7232187,0.7811814,0.8604029,NA,NA,NA,NA,0.8984244,0.8579301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,ABO,28,GWAS,1,9,0
0.494660140653832,ENSG00000113302,IL12B,protein_coding,0.695202982936365,NA,NA,GCST011939/GCST90271348,0.914852976799011/0.914812564849854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.914853,0.9148126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,IL12B,3593,GWAS,1,90,3
0.475566023295101,ENSG00000171560,FGA,protein_coding,0.7603876598789,NA,NA,GCST90044025/GCST90476004/GCST90476003,0.888368129730225/0.877332508563995/0.875321269035339,NA,NA,NA,0.8753213,0.8883681,0.8773325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FGA,2243,GWAS,1,239,8
0.470693195837866,ENSG00000099282,TSPAN15,protein_coding,0.774254565958954,NA,NA,GCST90044025/GCST90436174/GCST90473605/GCST90476003/GCST90480219/FINNGEN_R12_I9_PHLETHROM/GCST90436175,0.844400763511658/0.844400763511658/0.834864377975464/0.834864377975464/0.832861959934235/0.830786526203156/0.821014642715454,0.8307865,0.8210146,NA,0.8348644,0.8444008,NA,0.8348644,0.8444008,0.832862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,TSPAN15,23555,GWAS,1,27,1
0.467627868027412,ENSG00000171557,FGG,protein_coding,0.764652853488518,NA,NA,FINNGEN_R12_I9_PHLETHROM/GCST90436175/GCST90473605/FINNGEN_R12_I9_PHLETHROM,0.863988816738129/0.835951626300812/0.834540545940399/0.816665053367615,0.8166651,0.8359516,NA,NA,NA,NA,0.8345405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FGG,2266,GWAS,1,189,11
0.460396260763344,ENSG00000143226,FCGR2A,protein_coding,0.71278941331811,NA,NA,GCST001322/GCST90013537,0.928049087524414/0.924359202384949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9243592,NA,NA,NA,NA,0.9280491,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FCGR2A,2212,GWAS,1,320,7
