Disease,Vertices_Num,Module_Size,Module_Size_Per,Mean_Short_Dist,Mean_Degree,Mean_Strength,Mean_Strength_Rel,Module_Size_P,Mean_Short_Dist_P,Mean_Degree_P,Mean_Strength_P,Mean_Strength_Rel_P
Alzheimer disease,134,79,0.59,1.68,5.21,3.29,0.63,0.0042,0.14,0.0014,0.0015,0.28
Anxiety disorder,95,63,0.66,1.75,2.42,1.28,0.53,0.0019,0.54,0.0014,0.0042,1
Arteriosclerosis disorder,170,116,0.68,1.6,5.15,3.15,0.61,0.0031,0.0056,0.0014,0.0015,0.57
Asthma,273,213,0.78,1.72,9.04,5.59,0.62,0.0019,0.0056,0.0014,0.0015,0.2
Attention deficit hyperactivity disorder,162,109,0.67,1.95,2.89,1.68,0.58,0.0031,0.22,0.0064,0.0089,1
Bipolar Disorder,107,50,0.47,1.65,2,1.06,0.53,0.056,0.31,0.0053,0.022,1
Blood coagulation disease,95,64,0.67,1.92,9.47,6.96,0.73,0.0019,0.66,0.0014,0.0015,0.014
Chronic Fatigue Syndrome,369,276,0.75,2.05,4.92,3.2,0.65,0.14,0.31,0.016,0.0053,0.014
Chronic obstructive pulmonary disease,120,82,0.68,1.77,3.18,1.89,0.59,0.0019,0.27,0.0014,0.0015,0.95
Crohn disease,177,141,0.8,1.35,10.53,6.43,0.61,0.0019,0.0056,0.0014,0.0015,0.54
Depressive Disorder,205,139,0.68,2.02,2.92,1.61,0.55,0.015,0.18,0.033,0.063,1
Diabetes Mellitus,789,712,0.9,1.59,11.92,7.02,0.59,0.0042,0.0056,0.0014,0.0015,1
Epilepsy,78,60,0.77,1.46,7.18,4.39,0.61,0.0019,0.52,0.0014,0.0015,0.59
Heart failure,118,88,0.75,1.72,4.34,2.66,0.61,0.0019,0.24,0.0014,0.0015,0.57
Hypercholesterolemia,136,89,0.65,1.63,6.97,4.58,0.66,0.0019,0.066,0.0014,0.0015,0.037
Hypertension,703,597,0.85,1.88,6.96,4.14,0.59,0.43,0.52,0.49,0.48,1
Lupus erythematosus,143,100,0.7,1.83,5.93,3.59,0.61,0.0019,0.16,0.0014,0.0015,0.57
Metabolic syndrome,121,82,0.68,1.42,7.09,4.62,0.65,0.0019,0.066,0.0014,0.0015,0.1
Multiple Sclerosis,93,63,0.68,1.45,5.05,3.03,0.6,0.0019,0.31,0.0014,0.0015,0.77
Obesity,295,235,0.8,1.93,4.9,2.82,0.58,0.0019,0.066,0.0014,0.0015,1
Parkinson,67,42,0.63,1.41,5.22,3.45,0.66,0.0019,0.65,0.0014,0.0015,0.28
Psoriasis,142,112,0.79,1.38,9.08,5.61,0.62,0.0019,0.02,0.0014,0.0015,0.39
Post-traumatic stress disorder,36,8,0.22,1.19,0.67,0.4,0.61,0.13,0.88,0.084,0.068,0.64
Rheumatoid arthritis,244,178,0.73,1.68,8.69,5.27,0.61,0.0031,0.0056,0.0014,0.0015,0.5
Schizophrenia,255,180,0.71,2.06,3.33,1.9,0.57,0.017,0.22,0.046,0.091,1
Sleep Disorder,257,176,0.68,1.91,3.35,1.88,0.56,0.068,0.056,0.038,0.093,1
Ulcerative colitis,146,89,0.61,1.35,7.53,4.63,0.61,0.0053,0.014,0.0014,0.0015,0.57
Vasculitis,47,27,0.57,1.15,4.17,2.85,0.68,0.0019,0.7,0.0014,0.0015,0.3
