score,target.id,target.approvedSymbol,target.biotype,gwas_credible_sets,clingen,geneburden,GWAS.id,L2G,GCST001198,GCST005531,GCST000424,GCST90570210,GCST003566,GCST009597,GCST004290,GCST90132190,FINNGEN_R12_G6_MS,GCST001341,GCST000949,GCST90428833,GCST000593,GCST90014448,GCST90014449,GCST90480014,GCST90302861,GCST90479724,GCST003340,GCST000680,GCST007120,GCST90479725,GCST001505,GCST001860,GWAS.count,name,NCBI.id,list.name,list.count,N.PPI,degree
0.665166208605114,ENSG00000067182,TNFRSF1A,protein_coding,0.878326532439127,NA,NA,GCST001198/GCST005531/GCST000424/GCST90570210/GCST003566/GCST009597,0.96953010559082/0.968928396701813/0.968126475811005/0.967172682285309/0.967172384262085/0.94728422164917,0.9695301,0.9689284,0.9681265,0.9671727,0.9671724,0.9472842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,TNFRSF1A,7132,GWAS,1,427,12
0.638512061366616,ENSG00000134460,IL2RA,protein_coding,0.688293829396419,NA,NA,GCST001198/GCST005531/GCST004290/GCST009597/GCST90132190/GCST90570210,0.769384682178497/0.757792472839355/0.7249516248703/0.706044375896454/0.691778302192688/0.554049432277679,0.7693847,0.7577925,NA,0.5540494,NA,0.7060444,0.7249516,0.6917783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,IL2RA,3559,GWAS,1,322,23
0.607203997361396,ENSG00000168685,IL7R,protein_coding,0.781188378244818,NA,NA,GCST009597/GCST90570210/GCST005531,0.947428822517395/0.934800207614899/0.934800207614899,NA,0.9348002,NA,0.9348002,NA,0.9474288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,IL7R,3575,GWAS,1,454,24
0.534379253430892,ENSG00000114013,CD86,protein_coding,0.829569421711865,NA,NA,GCST001198/FINNGEN_R12_G6_MS/GCST90570210/GCST003566,0.975385189056396/0.975325524806976/0.843303561210632/0.826587855815887,0.9753852,NA,NA,0.8433036,0.8265879,NA,NA,NA,0.9753255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,CD86,942,GWAS,1,500,20
0.533252521495512,ENSG00000125735,TNFSF14,protein_coding,0.859754060076835,NA,NA,FINNGEN_R12_G6_MS/GCST90570210/GCST001198/GCST005531/GCST009597,0.97076416015625/0.958224773406982/0.958224773406982/0.95660001039505/0.941321790218353,0.9582248,0.9566,NA,0.9582248,NA,0.9413218,NA,NA,0.9707642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TNFSF14,8740,GWAS,1,123,5
0.531546667601313,ENSG00000116815,CD58,protein_coding,0.850304692,NA,NA,GCST005531/GCST009597/GCST000424/GCST001341/GCST001198/GCST90570210/GCST003566,0.927770733833313/0.925377309322357/0.919564247131348/0.919564247131348/0.917753756046295/0.916203677654266/0.870473623275757,0.9177538,0.9277707,0.9195642,0.9162037,0.8704736,0.9253773,NA,NA,NA,0.9195642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,CD58,965,GWAS,1,139,8
0.475712399277316,ENSG00000019186,CYP24A1,protein_coding,0.776667601124179,NA,NA,GCST009597/GCST90570210/GCST001198,0.946282625198364/0.938374817371368/0.870146095752716,0.8701461,NA,NA,0.9383748,NA,0.9462826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,CYP24A1,1591,GWAS,1,79,1
0.472609737818868,ENSG00000110448,CD5,protein_coding,0.763438548846535,NA,NA,GCST90570210/GCST009597/GCST000949/GCST005531,0.872850298881531/0.872850298881531/0.872850298881531/0.872850298881531,NA,0.8728503,NA,0.8728503,NA,0.8728503,NA,NA,NA,NA,0.8728503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,CD5,921,GWAS,1,291,13
0.47129175018901,ENSG00000157554,ERG,protein_coding,0.655999914074349,NA,NA,GCST90428833/GCST009597,0.863338232040405/0.862927258014679,NA,NA,NA,NA,NA,0.8629273,NA,NA,NA,NA,NA,0.8633382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,ERG,2078,GWAS,1,30,0
0.464895000333657,ENSG00000164691,TAGAP,protein_coding,0.760824745084687,NA,NA,GCST009597/GCST90570210/GCST001198/GCST005531,0.882405936717987/0.875616252422333/0.875616252422333/0.846371829509735,0.8756163,0.8463718,NA,0.8756163,NA,0.8824059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,TAGAP,117289,GWAS,1,91,9
