ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04979	Cholesterol metabolism	5/75	51/8265	0.0980392156862745	10.8039215686274	6.72034241967803	9.12354363006284e-05	0.0153275532985056	0.0153275532985056	348/19/338/341/9388	5	KEGG
hsa04517	IgSF CAM signaling	8/75	295/8265	0.0271186440677966	2.98847457627119	3.32801844804265	0.00506971269005393	0.374884003608905	0.374884003608905	351/5336/8440/23607/3635/5819/26047/2036	8	KEGG
hsa04662	B cell receptor signaling pathway	4/75	83/8265	0.0481927710843374	5.31084337349398	3.77707307789772	0.00669435720730187	0.374884003608905	0.374884003608905	5336/3635/353514/4773	4	KEGG
hsa00310	Lysine degradation	3/75	63/8265	0.0476190476190476	5.24761904761905	3.23846931919806	0.0193150903294257	0.753646168929353	0.753646168929353	11105/56979/58508	3	KEGG
hsa04924	Renin secretion	3/75	69/8265	0.0434782608695652	4.79130434782609	3.02618904309992	0.0245230581829442	0.753646168929353	0.753646168929353	1636/1508/5139	3	KEGG
hsa04380	Osteoclast differentiation	4/75	132/8265	0.0303030303030303	3.33939393939394	2.59267914896836	0.0316305826815832	0.753646168929353	0.753646168929353	54209/5336/353514/4773	4	KEGG
hsa05216	Thyroid cancer	2/75	37/8265	0.0540540540540541	5.95675675675676	2.89157967129692	0.044112205548295	0.753646168929353	0.753646168929353	8030/6934	2	KEGG
hsa05032	Morphine addiction	3/75	91/8265	0.032967032967033	3.63296703296703	2.41675505657739	0.0494267643826317	0.753646168929353	0.753646168929353	5142/3760/5139	3	KEGG
hsa04975	Fat digestion and absorption	2/75	42/8265	0.0476190476190476	5.24761904761905	2.64082057377725	0.0554089475615757	0.753646168929353	0.753646168929353	19/338	2	KEGG
hsa04640	Hematopoietic cell lineage	3/75	98/8265	0.0306122448979592	3.3734693877551	2.26177411692176	0.0591989848591367	0.753646168929353	0.753646168929353	1378/945/3570	3	KEGG
