ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04082	Neuroactive ligand signaling	6/52	197/8265	0.0304568527918782	4.84088246778602	4.3413729984409	0.00138877035825515	0.179151376214914	0.166652442990617	1813/2913/2890/2915/1136/2918	6	KEGG
hsa04724	Glutamatergic synapse	4/52	116/8265	0.0344827586206897	5.48076923076923	3.86701029038121	0.00593879014531936	0.362362607091836	0.33708149496915	2913/2890/2915/2918	4	KEGG
hsa05416	Viral myocarditis	3/52	68/8265	0.0441176470588235	7.01216063348416	3.96098756559144	0.00882981217080144	0.362362607091836	0.33708149496915	6444/4842/958	3	KEGG
hsa04072	Phospholipase D signaling pathway	4/52	149/8265	0.0268456375838926	4.26690758905524	3.20187873226583	0.0140560924311459	0.362362607091836	0.33708149496915	2913/2915/26052/2918	4	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/52	86/8265	0.0348837209302326	5.54449910554562	3.37078504520571	0.0166620079501146	0.362362607091836	0.33708149496915	6444/4842/3694	3	KEGG
hsa05410	Hypertrophic cardiomyopathy	3/52	99/8265	0.0303030303030303	4.81643356643357	3.03960066659816	0.0241261827530315	0.362362607091836	0.33708149496915	6444/4842/3694	3	KEGG
hsa04080	Neuroactive ligand-receptor interaction	6/52	368/8265	0.016304347826087	2.59145066889632	2.48503171689793	0.027072369745481	0.362362607091836	0.33708149496915	1813/2913/2890/2915/1136/2918	6	KEGG
hsa04360	Axon guidance	4/52	182/8265	0.021978021978022	3.49323753169907	2.70619430104423	0.0271088824268372	0.362362607091836	0.33708149496915	2242/1946/5727/1630	4	KEGG
hsa04216	Ferroptosis	2/52	41/8265	0.0487804878048781	7.75328330206379	3.44914348177706	0.0272295852777654	0.362362607091836	0.33708149496915	64116/23657	2	KEGG
hsa05414	Dilated cardiomyopathy	3/52	105/8265	0.0285714285714286	4.54120879120879	2.90567487768884	0.0280901245807625	0.362362607091836	0.33708149496915	6444/4842/3694	3	KEGG
hsa05202	Transcriptional misregulation in cancer	4/52	201/8265	0.0199004975124378	3.16303099885189	2.47019607474749	0.0371029669675799	0.377275360192575	0.350953823434954	958/4613/64919/4221	4	KEGG
hsa05030	Cocaine addiction	2/52	49/8265	0.0408163265306122	6.48744113029827	3.06537501668925	0.0378308936370126	0.377275360192575	0.350953823434954	1813/2913	2	KEGG
hsa04010	MAPK signaling pathway	5/52	297/8265	0.0168350168350168	2.67579642579643	2.34029570946129	0.0380199975387867	0.377275360192575	0.350953823434954	777/1946/4137/51347/4915	5	KEGG
hsa04961	Endocrine and other factor-regulated calcium reabsorption	2/52	52/8265	0.0384615384615385	6.11316568047337	2.94297477957512	0.0421526791176284	0.388406829012433	0.361308678151101	2099/26052	2	KEGG
hsa04728	Dopaminergic synapse	3/52	131/8265	0.0229007633587786	3.63990017615972	2.42335468951928	0.049007642821523	0.413691494614752	0.384829297316049	1813/2890/406	3	KEGG
hsa04024	cAMP signaling pathway	4/52	225/8265	0.0177777777777778	2.82564102564103	2.20914659562021	0.0524149504147812	0.413691494614752	0.384829297316049	1813/5142/2890/5727	4	KEGG
hsa04730	Long-term depression	2/52	60/8265	0.0333333333333333	5.29807692307692	2.65862100086986	0.0545174837864402	0.413691494614752	0.384829297316049	2890/4842	2	KEGG
hsa04720	Long-term potentiation	2/52	67/8265	0.0298507462686567	4.74454649827784	2.44866056371047	0.0662504108635188	0.474794611188551	0.441669405756792	2890/2915	2	KEGG
hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	1/52	12/8265	0.0833333333333333	13.2451923076923	3.37750674603588	0.072987477387473	0.477662038311898	0.444336779825022	4684	1	KEGG
hsa04020	Calcium signaling pathway	4/52	253/8265	0.0158102766798419	2.51292186074795	1.94469815932777	0.0740561299708369	0.477662038311898	0.444336779825022	777/2915/4842/4915	4	KEGG
hsa04540	Gap junction	2/52	89/8265	0.0224719101123595	3.57173725151253	1.94087279329764	0.107671757709792	0.655687665412	0.609942014336744	1813/2915	2	KEGG
hsa04517	IgSF CAM signaling	4/52	295/8265	0.0135593220338983	2.15514993481095	1.60755603393575	0.113750111155584	0.655687665412	0.609942014336744	145581/4684/1630/10458	4	KEGG
hsa05034	Alcoholism	3/52	190/8265	0.0157894736842105	2.50961538461538	1.67501138297868	0.116905552747876	0.655687665412	0.609942014336744	1813/4915/10645	3	KEGG
hsa04713	Circadian entrainment	2/52	97/8265	0.0206185567010309	3.27716098334655	1.79501321941411	0.124105656818673	0.66706790540037	0.620528284093367	2890/4842	2	KEGG
hsa00220	Arginine biosynthesis	1/52	23/8265	0.0434782608695652	6.91053511705686	2.25850122045625	0.135287238446889	0.680487979097001	0.633012073578606	4842	1	KEGG
hsa04950	Maturity onset diabetes of the young	1/52	26/8265	0.0384615384615385	6.11316568047337	2.07771130343982	0.151552959277663	0.680487979097001	0.633012073578606	5080	1	KEGG
hsa04081	Hormone signaling	3/52	217/8265	0.0138248847926267	2.19735909252038	1.42218539449573	0.155633537624726	0.680487979097001	0.633012073578606	1813/2099/4842	3	KEGG
hsa00630	Glyoxylate and dicarboxylate metabolism	1/52	30/8265	0.0333333333333333	5.29807692307692	1.8765015353995	0.172774563820907	0.680487979097001	0.633012073578606	5096	1	KEGG
hsa05310	Asthma	1/52	30/8265	0.0333333333333333	5.29807692307692	1.8765015353995	0.172774563820907	0.680487979097001	0.633012073578606	958	1	KEGG
hsa00640	Propanoate metabolism	1/52	31/8265	0.032258064516129	5.12717121588089	1.83178212279371	0.177998088129506	0.680487979097001	0.633012073578606	5096	1	KEGG
hsa03060	Protein export	1/52	31/8265	0.032258064516129	5.12717121588089	1.83178212279371	0.177998088129506	0.680487979097001	0.633012073578606	83943	1	KEGG
hsa04151	PI3K-Akt signaling pathway	4/52	359/8265	0.011142061281337	1.77094493250482	1.18833282056606	0.188424653570924	0.680487979097001	0.633012073578606	1946/4915/1441/3694	4	KEGG
hsa00230	Purine metabolism	2/52	128/8265	0.015625	2.48347355769231	1.34585586394136	0.19232278907811	0.680487979097001	0.633012073578606	5142/2272	2	KEGG
hsa04710	Circadian rhythm	1/52	34/8265	0.0294117647058824	4.67477375565611	1.70840045501511	0.193475324091748	0.680487979097001	0.633012073578606	406	1	KEGG
hsa00512	Mucin type O-glycan biosynthesis	1/52	36/8265	0.0277777777777778	4.4150641025641	1.63388879298779	0.203634317559422	0.680487979097001	0.633012073578606	57452	1	KEGG
hsa05010	Alzheimer disease	4/52	372/8265	0.010752688172043	1.7090570719603	1.11346745077255	0.205262499080906	0.680487979097001	0.633012073578606	64116/2915/4842/4137	4	KEGG
hsa05330	Allograft rejection	1/52	37/8265	0.027027027027027	4.29573804573805	1.59864605636244	0.208666644146724	0.680487979097001	0.633012073578606	958	1	KEGG
hsa05012	Parkinson disease	3/52	253/8265	0.0118577075098814	1.88469139556096	1.1371755363955	0.212480101290393	0.680487979097001	0.633012073578606	1813/64116/4137	3	KEGG
