ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04979	Cholesterol metabolism	14/100	51/8265	0.274509803921569	22.6882352941176	17.1928951529627	5.05015483311431e-16	1.14133499228383e-13	9.46239537151944e-14	255738/3949/64241/348/4018/6272/1071/51129/3988/19/64240/4023/338/949	14	KEGG
hsa04975	Fat digestion and absorption	6/100	42/8265	0.142857142857143	11.8071428571429	7.77029401573661	9.94898199443369e-06	0.00112423496537101	0.000932062523689051	64241/8613/19/64240/338/949	6	KEGG
hsa04933	AGE-RAGE signaling pathway in diabetic complications	7/100	99/8265	0.0707070707070707	5.84393939393939	5.36572820210755	0.000184247200585589	0.0138799557774477	0.0115073690190298	1282/1284/2335/3569/4088/5581/7040	7	KEGG
hsa05226	Gastric cancer	8/100	149/8265	0.0536912751677852	4.43758389261745	4.68589421908197	0.000424081854324304	0.0217931019694957	0.0180678721498381	1030/1026/6934/4088/7040/6655/7484/7473	8	KEGG
hsa04934	Cushing syndrome	8/100	155/8265	0.0516129032258065	4.2658064516129	4.54216518693577	0.000552178046975119	0.0217931019694957	0.0180678721498381	3949/1030/1029/1026/6934/949/7484/7473	8	KEGG
hsa04976	Bile secretion	6/100	88/8265	0.0681818181818182	5.63522727272727	4.83762756335939	0.000656717655742963	0.0217931019694957	0.0180678721498381	3949/64241/6580/64240/481/949	6	KEGG
hsa05205	Proteoglycans in cancer	9/100	200/8265	0.045	3.71925	4.30803287612575	0.000675007583125973	0.0217931019694957	0.0180678721498381	2335/1026/7291/7040/22808/6655/7484/7473/7074	9	KEGG
hsa05225	Hepatocellular carcinoma	8/100	167/8265	0.0479041916167665	3.95928143712575	4.27535989470664	0.000902406897420442	0.0254929948521275	0.021135319439584	1029/1026/6934/4088/7040/6655/7484/7473	8	KEGG
hsa04925	Aldosterone synthesis and secretion	6/100	98/8265	0.0612244897959184	5.06020408163265	4.47452236570626	0.00115764827288973	0.0290698344081199	0.0241007476695172	3949/5581/481/949/490/221955	6	KEGG
hsa05220	Chronic myeloid leukemia	5/100	77/8265	0.0649350649350649	5.36688311688312	4.26034797956929	0.00232725560612153	0.0525959766983466	0.0436054208304876	1029/1026/4088/7040/6655	5	KEGG
hsa04218	Cellular senescence	7/100	157/8265	0.0445859872611465	3.68503184713376	3.75888861878901	0.00285309408649483	0.0586181148679847	0.0485981576455579	1030/1029/1026/3569/4088/7040/22808	7	KEGG
hsa04022	cGMP-PKG signaling pathway	7/100	165/8265	0.0424242424242424	3.50636363636364	3.5988239608471	0.00376111795194387	0.0654798345276739	0.054286961089548	1909/2982/5581/481/2983/490/10335	7	KEGG
hsa05210	Colorectal cancer	5/100	86/8265	0.0581395348837209	4.80523255813953	3.92552172507683	0.00376653915424673	0.0654798345276739	0.054286961089548	1026/6934/4088/7040/6655	5	KEGG
hsa05323	Rheumatoid arthritis	5/100	90/8265	0.0555555555555556	4.59166666666667	3.79132013981622	0.00457652927036151	0.07387825822155	0.0612497902349134	3569/7040/4314/6387/2321	5	KEGG
hsa04068	FoxO signaling pathway	6/100	131/8265	0.0458015267175573	3.78549618320611	3.55633931778861	0.00499568892219247	0.0743034360796518	0.061602289809865	1030/1026/3569/4088/7040/6655	6	KEGG
hsa05222	Small cell lung cancer	5/100	93/8265	0.0537634408602151	4.44354838709677	3.69573263416944	0.00526042025342667	0.0743034360796518	0.061602289809865	1282/1030/1284/2335/1026	5	KEGG
hsa05217	Basal cell carcinoma	4/100	63/8265	0.0634920634920635	5.24761904761905	3.74518272602095	0.00696318166125815	0.0925693562026084	0.0767459031395635	1026/6934/7484/7473	4	KEGG
hsa05146	Amoebiasis	5/100	103/8265	0.0485436893203883	4.0121359223301	3.40417550444121	0.00806199853778352	0.101222870529949	0.0839202186973957	1282/1284/2335/3569/7040	5	KEGG
hsa04390	Hippo signaling pathway	6/100	157/8265	0.0382165605095541	3.15859872611465	3.02191282862672	0.0117540069757034	0.135461939641306	0.112306591784595	6934/4092/4088/7040/7484/7473	6	KEGG
hsa05212	Pancreatic cancer	4/100	75/8265	0.0533333333333333	4.408	3.28099317232551	0.0127315842037118	0.135461939641306	0.112306591784595	1029/1026/4088/7040	4	KEGG
hsa05161	Hepatitis B	6/100	161/8265	0.0372670807453416	3.08012422360248	2.94964366058954	0.0131865604960564	0.135461939641306	0.112306591784595	1026/3569/4088/7040/6655/6416	6	KEGG
hsa05206	MicroRNAs in cancer	6/100	161/8265	0.0372670807453416	3.08012422360248	2.94964366058954	0.0131865604960564	0.135461939641306	0.112306591784595	1029/1026/5581/9839/6655/7473	6	KEGG
hsa02010	ABC transporters	3/100	45/8265	0.0666666666666667	5.51	3.35709746206783	0.016891122953242	0.162426563478083	0.13466198555705	64241/19/64240	3	KEGG
hsa05166	Human T-cell leukemia virus 1 infection	7/100	221/8265	0.0316742081447964	2.61787330316742	2.69787407161756	0.0174209380103818	0.162426563478083	0.13466198555705	1030/1029/1026/3569/4088/7040/6416	7	KEGG
hsa05165	Human papillomavirus infection	9/100	331/8265	0.027190332326284	2.24728096676737	2.56300382130087	0.018455253229172	0.162426563478083	0.13466198555705	1282/1284/2335/1026/6934/6655/7484/7473/55534	9	KEGG
hsa04926	Relaxin signaling pathway	5/100	128/8265	0.0390625	3.228515625	2.81193689430219	0.0192598634443434	0.162426563478083	0.13466198555705	1282/1284/7040/6655/6416	5	KEGG
hsa04672	Intestinal immune network for IgA production	3/100	48/8265	0.0625	5.165625	3.20303147263329	0.0200613618694374	0.162426563478083	0.13466198555705	3569/7040/6387	3	KEGG
hsa04610	Complement and coagulation cascades	4/100	86/8265	0.0465116279069767	3.84418604651163	2.93409507701694	0.0201236450326828	0.162426563478083	0.13466198555705	5265/2153/5340/5648	4	KEGG
hsa04540	Gap junction	4/100	89/8265	0.0449438202247191	3.71460674157303	2.84936801527516	0.0225159241498239	0.167503383355095	0.138870993186804	2982/2983/6655/1812	4	KEGG
hsa04820	Cytoskeleton in muscle cells	7/100	233/8265	0.0300429184549356	2.48304721030043	2.54119590376693	0.0225657527719958	0.167503383355095	0.138870993186804	1282/1284/2335/481/2273/9172/23500	7	KEGG
hsa04270	Vascular smooth muscle contraction	5/100	134/8265	0.0373134328358209	3.0839552238806	2.69144718398252	0.0229761278053449	0.167503383355095	0.138870993186804	1909/2982/5581/2983/10335	5	KEGG
hsa04970	Salivary secretion	4/100	93/8265	0.043010752688172	3.55483870967742	2.74193934076084	0.0259656346008331	0.183382294368384	0.152035623649615	2982/481/2983/490	4	KEGG
hsa04550	Signaling pathways regulating pluripotency of stem cells	5/100	144/8265	0.0347222222222222	2.86979166666667	2.50487910726349	0.0301495663099962	0.204083329027637	0.169198102314482	4088/5978/463/7484/7473	5	KEGG
hsa05231	Choline metabolism in cancer	4/100	98/8265	0.0408163265306122	3.3734693877551	2.61566700744729	0.0307028017121223	0.204083329027637	0.169198102314482	6580/8613/6655/6581	4	KEGG
hsa05224	Breast cancer	5/100	148/8265	0.0337837837837838	2.79222972972973	2.43469083888381	0.0333739834182482	0.215035989256418	0.178278556533034	1026/6934/6655/7484/7473	5	KEGG
hsa05213	Endometrial cancer	3/100	59/8265	0.0508474576271186	4.20254237288136	2.73194652251002	0.0342999855258008	0.215035989256418	0.178278556533034	1026/6934/6655	3	KEGG
hsa04974	Protein digestion and absorption	4/100	103/8265	0.0388349514563107	3.20970873786408	2.49730973347565	0.0359190339669237	0.215035989256418	0.178278556533034	1282/1284/481/8645	4	KEGG
