ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04659	Th17 cell differentiation	25/166	106/8265	0.235849056603774	11.742725619459	15.9361147540979	1.90749981819596e-20	4.44447457639659e-18	3.79492069093723e-18	3566/3569/50615/4088/2625/5588/861/3570/4792/3559/3558/6778/919/3662/6777/7046/30009/6097/59067/4773/6095/3717/3560/4089/3553	25	KEGG
hsa05321	Inflammatory bowel disease	16/166	64/8265	0.25	12.4472891566265	13.1611164865861	7.18685156532438e-14	8.3726820736029e-12	7.14902603077004e-12	3566/3596/3569/50615/4088/2625/64127/3558/8809/6778/30009/8807/6097/59067/6095/3553	16	KEGG
hsa04060	Cytokine-cytokine receptor interaction	28/166	296/8265	0.0945945945945946	4.70978508629111	9.30521028179514	4.65660734315941e-12	3.61663170318714e-10	3.08806592230571e-10	3566/90865/85480/3596/9173/3569/7292/3575/50615/943/3570/3559/3558/64109/8792/8809/6364/1437/1438/7046/8807/59067/8808/3560/944/9966/8600/3553	28	KEGG
hsa04658	Th1 and Th2 cell differentiation	15/166	90/8265	0.166666666666667	8.29819277108434	9.96612209198889	2.29939954589383e-10	1.33940023548316e-08	1.14364872151035e-08	3566/3596/2625/5588/864/4792/3559/3558/6778/919/6777/30009/4773/3717/3560	15	KEGG
hsa04630	JAK-STAT signaling pathway	18/166	168/8265	0.107142857142857	5.33455249569707	8.12587873766897	5.77261002832932e-09	2.69003627320146e-07	2.29689114811419e-07	3566/85480/3596/3569/3575/50615/3570/4609/3559/3558/64109/6778/6777/1437/1438/59067/3717/3560	18	KEGG
hsa04668	TNF signaling pathway	12/166	118/8265	0.101694915254237	5.06330406371248	6.36436335978656	3.91137326979444e-06	0.000151891661977017	0.000129692903156342	3569/3659/64127/4792/7128/7187/8809/6364/1437/7185/602/3553	12	KEGG
hsa05220	Chronic myeloid leukemia	9/166	77/8265	0.116883116883117	5.81951181348772	6.08265232436387	2.14329320702077e-05	0.000713410453194057	0.00060914649041643	4088/861/4792/4609/10912/6777/7046/2122/4089	9	KEGG
hsa04064	NF-kappa B signaling pathway	10/166	104/8265	0.0961538461538462	4.78741890639481	5.5644445923884	4.18616587030583e-05	0.00121922080972657	0.00104103335458921	5588/84433/4792/7128/7187/8792/10912/7185/8600/3553	10	KEGG
hsa04350	TGF-beta signaling pathway	10/166	109/8265	0.0917431192660551	4.56781253454184	5.36797106452651	6.27330213680354e-05	0.00162408821986136	0.00138672994603026	4088/4609/2615/3400/375387/7046/4089/79875/3398/1030	10	KEGG
hsa05162	Measles	11/166	135/8265	0.0814814814814815	4.05689424364123	5.12667190348064	8.02791104423694e-05	0.00187050327330721	0.00159713177616924	3569/4792/3559/3558/7128/7187/940/6777/64135/3560/3553	11	KEGG
hsa05161	Hepatitis B	12/166	161/8265	0.0745341614906832	3.71099304048492	4.97307630939394	9.04580224441554e-05	0.00188586071022859	0.00161024474467225	3569/4088/4792/4609/7187/6778/6777/7046/4773/64135/3717/4089	12	KEGG
