ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04517	IgSF CAM signaling	10/67	295/8265	0.0338983050847458	4.181634201872	5.03049466184429	0.000117598997705622	0.0121244552804284	0.0102100676045713	1630/5792/10000/4684/253559/9863/91584/2260/4916/6092	10	KEGG
hsa04010	MAPK signaling pathway	10/67	297/8265	0.0336700336700337	4.15347504899744	5.00347298973991	0.000124353387491573	0.0121244552804284	0.0102100676045713	1848/4208/627/10000/55799/775/5924/3480/776/2260	10	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	5/67	86/8265	0.0581395348837209	7.17198889274557	5.20119164171289	0.000631377029834163	0.0249285881681968	0.0209924952995341	55799/775/776/88/3908	5	KEGG
hsa05030	Cocaine addiction	4/67	49/8265	0.0816326530612245	10.0700578738958	5.75647312638182	0.000635281709469826	0.0249285881681968	0.0209924952995341	1813/2903/627/2913	4	KEGG
hsa04728	Dopaminergic synapse	6/67	131/8265	0.0458015267175573	5.6499943032927	4.84969675101291	0.000639194568415302	0.0249285881681968	0.0209924952995341	1813/2903/10000/775/776/3760	6	KEGG
hsa04929	GnRH secretion	4/67	65/8265	0.0615384615384615	7.59127439724455	4.82278323568138	0.00184225222727131	0.05881195019952	0.0495258527995958	10000/775/776/3760	4	KEGG
hsa04024	cAMP signaling pathway	7/67	225/8265	0.0311111111111111	3.83781094527363	3.90144323766543	0.00219102890430831	0.05881195019952	0.0495258527995958	1813/2903/627/10000/5142/775/776	7	KEGG
hsa04724	Glutamatergic synapse	5/67	116/8265	0.0431034482758621	5.31716417910448	4.23305585734412	0.00241279795690339	0.05881195019952	0.0495258527995958	2903/775/2913/776/3760	5	KEGG
hsa04360	Axon guidance	6/67	182/8265	0.032967032967033	4.06675414138101	3.78187320052209	0.00344334345994238	0.0746057749654182	0.0628259157603521	2242/80031/1630/91584/2047/6092	6	KEGG
hsa05202	Transcriptional misregulation in cancer	6/67	201/8265	0.0298507462686567	3.68233459567832	3.48028106575776	0.00558783173710949	0.108962718873635	0.0917580790514822	1848/4208/862/79058/64919/3480	6	KEGG
hsa04015	Rap1 signaling pathway	6/67	210/8265	0.0285714285714286	3.52452025586354	3.34991920995206	0.00689004548483653	0.113078146398906	0.0952237022306581	1813/2903/10000/9863/3480/2260	6	KEGG
hsa04713	Circadian entrainment	4/67	97/8265	0.0412371134020619	5.08693645176181	3.6601972136853	0.00777138301072957	0.113078146398906	0.0952237022306581	2903/775/776/3760	4	KEGG
hsa04921	Oxytocin signaling pathway	5/67	154/8265	0.0324675324675325	4.00513665439038	3.40303161687476	0.00803604985092654	0.113078146398906	0.0952237022306581	4208/55799/775/776/3760	5	KEGG
hsa05410	Hypertrophic cardiomyopathy	4/67	99/8265	0.0404040404040404	4.98417005879693	3.60520010903151	0.0083422022257338	0.113078146398906	0.0952237022306581	55799/775/776/3908	4	KEGG
