ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04610	Complement and coagulation cascades	27/63	86/8265	0.313953488372093	41.187707641196	32.8320425708337	1.19219452797767e-38	1.59754066749008e-36	1.54357817832898e-36	2157/7450/2158/5624/2155/2160/5627/2159/2153/462/2266/2147/5340/2243/2244/3426/2161/4179/718/3818/2162/3827/5054/3053/3075/2165/5345	27	KEGG
hsa04611	Platelet activation	10/63	126/8265	0.0793650793650794	10.4119425547997	9.33006270731809	3.05567911722739e-08	2.04730500854235e-06	1.97815016536299e-06	7450/2266/11093/3674/2147/3690/2243/2244/2811/10235	10	KEGG
hsa04613	Neutrophil extracellular trap formation	9/63	194/8265	0.0463917525773196	6.08615611192931	6.28249893840649	1.42205823248822e-05	0.000628870867243413	0.000607628567721443	7450/2266/3674/3690/2243/2244/718/2811/6403	9	KEGG
hsa04518	Integrin signaling	8/63	153/8265	0.0522875816993464	6.85963274198568	6.41147108479043	1.87722646938332e-05	0.000628870867243413	0.000607628567721443	7450/2266/3674/3690/2243/2244/718/7143	8	KEGG
hsa05171	Coronavirus disease - COVID-19	9/63	232/8265	0.0387931034482759	5.08928571428571	5.53679075155473	5.85292886609977e-05	0.00156287050277737	0.00151007911894436	7450/2266/2147/2243/2244/718/2162/2165/6403	9	KEGG
hsa05150	Staphylococcus aureus infection	6/63	93/8265	0.0645161290322581	8.46390168970814	6.3437893325306	6.9979276243763e-05	0.00156287050277737	0.00151007911894436	2266/5340/3426/718/3075/6403	6	KEGG
hsa04512	ECM-receptor interaction	5/63	89/8265	0.0561797752808989	7.37025147137507	5.29525263825111	0.000555972157928032	0.0106428955946223	0.0102833948007741	7450/3674/3690/2811/7143	5	KEGG
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2/63	28/8265	0.0714285714285714	9.37074829931973	3.88834071138895	0.0190306883842989	0.318764030437007	0.307996667272206	28/2651	2	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/63	86/8265	0.0348837209302326	4.57641196013289	2.92181158413611	0.0276041397680028	0.410994969879153	0.397112186136181	3674/3690/6934	3	KEGG
hsa04640	Hematopoietic cell lineage	3/63	98/8265	0.0306122448979592	4.01603498542274	2.63222907248637	0.0384883705782411	0.505611878283613	0.488533079567042	3674/3690/2811	3	KEGG
hsa05142	Chagas disease	3/63	101/8265	0.0297029702970297	3.8967468175389	2.56699648436521	0.0415054526949235	0.505611878283613	0.488533079567042	718/3827/5054	3	KEGG
hsa04961	Endocrine and other factor-regulated calcium reabsorption	2/63	52/8265	0.0384615384615385	5.04578754578755	2.56483469644431	0.0594474374287628	0.629894238372783	0.608617370933639	481/26052	2	KEGG
hsa04510	Focal adhesion	4/63	200/8265	0.02	2.62380952380952	2.0372927642856	0.0656951386220986	0.629894238372783	0.608617370933639	7450/3674/3690/7143	4	KEGG
hsa04919	Thyroid hormone signaling pathway	3/63	122/8265	0.0245901639344262	3.22599531615925	2.17078839221056	0.0658098458001415	0.629894238372783	0.608617370933639	3690/481/7068	3	KEGG
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	1/63	12/8265	0.0833333333333333	10.9325396825397	3.01752276907863	0.0877870749587394	0.66092046264122	0.638595576628987	2677	1	KEGG
hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	1/63	12/8265	0.0833333333333333	10.9325396825397	3.01752276907863	0.0877870749587394	0.66092046264122	0.638595576628987	4179	1	KEGG
hsa05221	Acute myeloid leukemia	2/63	68/8265	0.0294117647058824	3.85854341736695	2.07432751573328	0.094612971037838	0.66092046264122	0.638595576628987	861/6934	2	KEGG
hsa04810	Regulation of actin cytoskeleton	4/63	231/8265	0.0173160173160173	2.27169655741084	1.71802357253588	0.0989676781342299	0.66092046264122	0.638595576628987	3674/2147/3690/3827	4	KEGG
hsa04820	Cytoskeleton in muscle cells	4/63	233/8265	0.0171673819742489	2.25219701614551	1.69919930470049	0.101345266554055	0.66092046264122	0.638595576628987	3674/3690/481/23345	4	KEGG
hsa04072	Phospholipase D signaling pathway	3/63	149/8265	0.0201342281879195	2.64141898370086	1.77193225354854	0.104545961284513	0.66092046264122	0.638595576628987	2147/8526/26052	3	KEGG
hsa05165	Human papillomavirus infection	5/63	331/8265	0.0151057401812689	1.98172924759028	1.59758941708925	0.107012047422866	0.66092046264122	0.638595576628987	7450/3674/3690/7143/6934	5	KEGG
hsa04115	p53 signaling pathway	2/63	75/8265	0.0266666666666667	3.4984126984127	1.90483957713668	0.111490614317536	0.66092046264122	0.638595576628987	5054/92344	2	KEGG
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1/63	16/8265	0.0625	8.19940476190476	2.52616362322976	0.115328536570682	0.66092046264122	0.638595576628987	28	1	KEGG
hsa05206	MicroRNAs in cancer	3/63	161/8265	0.0186335403726708	2.44454303460515	1.62218078518088	0.124103482287034	0.66092046264122	0.638595576628987	3690/7143/5581	3	KEGG
hsa04022	cGMP-PKG signaling pathway	3/63	165/8265	0.0181818181818182	2.38528138528139	1.57522649377738	0.130903267152855	0.66092046264122	0.638595576628987	3827/481/5581	3	KEGG
hsa04530	Tight junction	3/63	169/8265	0.0177514792899408	2.32882502113271	1.52961257797267	0.13783378748263	0.66092046264122	0.638595576628987	7454/861/5581	3	KEGG
hsa04080	Neuroactive ligand-receptor interaction	5/63	368/8265	0.0135869565217391	1.78247929606625	1.34577123728294	0.148057652432996	0.66092046264122	0.638595576628987	2147/5340/718/3827/7068	5	KEGG
