ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05017	Spinocerebellar ataxia	17/205	142/8265	0.119718309859155	4.82669185846788	7.33523449140297	6.88858259818979e-08	1.31624655897007e-05	1.04035739102343e-05	5290/2911/11317/5693/5695/5173/5692/5702/5705/5713/5691/6310/773/1600/2890/23236/9821	17	KEGG
hsa00230	Purine metabolism	16/205	128/8265	0.125	5.03963414634146	7.34546722473065	9.23681795768468e-08	1.31624655897007e-05	1.04035739102343e-05	55811/271/4831/654364/4832/4830/204/377841/4833/957/50808/5142/124583/955/2272/5137	16	KEGG
hsa01232	Nucleotide metabolism	13/205	85/8265	0.152941176470588	6.1661406025825	7.63490428223102	1.41186971640871e-07	1.34127623058828e-05	1.06014076951391e-05	271/4831/654364/4832/4830/204/377841/4833/957/50808/115024/124583/955	13	KEGG
hsa00240	Pyrimidine metabolism	10/205	58/8265	0.172413793103448	6.95121951219512	7.25324443663468	1.30762142672812e-06	9.31680266543788e-05	7.36397329788995e-05	4831/654364/4832/4830/377841/4833/957/115024/124583/955	10	KEGG
hsa01240	Biosynthesis of cofactors	15/205	154/8265	0.0974025974025974	3.92698764649984	5.84720894256261	5.84350783727559e-06	0.000333079946724709	0.000263265405721469	4831/654364/4832/55312/4830/80347/204/80025/53354/4833/50808/60490/79646/326625/7390	15	KEGG
hsa03050	Proteasome	8/205	46/8265	0.173913043478261	7.01166489925769	6.52031765001813	1.45022853055981e-05	0.000688858552015912	0.000544471764104913	5693/5695/5692/5702/5705/5713/5691/5698	8	KEGG
hsa00770	Pantothenate and CoA biosynthesis	5/205	21/8265	0.238095238095238	9.5993031358885	6.2922863500546	0.000131575241024161	0.00535699195598368	0.00423415061340908	80347/80025/53354/60490/79646	5	KEGG
hsa05165	Human papillomavirus infection	20/205	331/8265	0.0604229607250755	2.43607692874512	4.25255723828154	0.000198955155063118	0.00708777739912358	0.00560215831361938	5520/3065/5290/3107/5590/2885/1740/4851/4893/11317/7249/1856/9586/84612/5521/10488/1286/84441/5315/7098	20	KEGG
hsa04211	Longevity regulating pathway	9/205	90/8265	0.1	4.03170731707317	4.61178667183093	0.000370226197115397	0.0117238295753209	0.00926648025528596	5290/4893/7249/9586/3630/10488/79813/3480/9821	9	KEGG
hsa04330	Notch signaling pathway	7/205	61/8265	0.114754098360656	4.6265493802479	4.53367360843279	0.000730584640327596	0.0208216622493365	0.0164573803189585	3065/4851/11317/1856/6310/84441/9612	7	KEGG
hsa04930	Type II diabetes mellitus	6/205	46/8265	0.130434782608696	5.25874867444327	4.61908549699644	0.000885960982906175	0.0229544436480236	0.0181431244346336	5290/5590/3630/773/776/5315	6	KEGG
hsa05031	Amphetamine addiction	7/205	69/8265	0.101449275362319	4.09013785790032	4.11060729921847	0.00152901426933131	0.0363140888966185	0.0287025485646403	3065/815/9586/5173/10488/776/2890	7	KEGG
hsa05020	Prion disease	15/205	259/8265	0.0579150579150579	2.33496562764855	3.48110190395078	0.00192644454527069	0.0422335919540113	0.0333813062905204	5290/4851/5693/5695/9586/5692/5702/5705/5713/10488/5691/776/6262/6263/203068	15	KEGG
hsa04724	Glutamatergic synapse	9/205	116/8265	0.0775862068965517	3.1280487804878	3.68097593772406	0.00229801553265815	0.0454788405933218	0.0359463412261159	2911/9455/9229/773/776/2890/2897/2917/23236	9	KEGG
hsa05022	Pathways of neurodegeneration - multiple diseases	22/205	462/8265	0.0476190476190476	1.9198606271777	3.2450155206506	0.0023936231891222	0.0454788405933218	0.0359463412261159	815/2911/4893/598/5693/5695/1856/5173/5692/5702/5705/5713/5691/6310/776/8701/2890/23236/9821/6262/6263/203068	22	KEGG
hsa04713	Circadian entrainment	8/205	97/8265	0.0824742268041237	3.32511943676138	3.67348129767061	0.00272977111880561	0.0483751527588345	0.0382355778038433	55811/815/776/2890/9722/23236/6262/6263	8	KEGG
hsa05220	Chronic myeloid leukemia	7/205	77/8265	0.0909090909090909	3.66518847006652	3.74704522857054	0.00288553542771995	0.0483751527588345	0.0382355778038433	3065/5290/2885/4893/598/5781/1399	7	KEGG
hsa04935	Growth hormone synthesis, secretion and action	9/205	121/8265	0.0743801652892562	2.99879056641806	3.53220302072362	0.00306260961724797	0.0484913189397596	0.0383273952100039	55811/5290/2885/4893/9586/1399/10488/776/23236	9	KEGG
hsa04152	AMPK signaling pathway	9/205	122/8265	0.0737704918032787	2.97421031587365	3.50336735423776	0.00323718606182712	0.0485577909274068	0.0383799344726318	5520/3952/5290/7249/9586/3630/5521/10488/3480	9	KEGG
hsa04730	Long-term depression	6/205	60/8265	0.1	4.03170731707317	3.75861781858592	0.00355411914746932	0.0506461978514378	0.0400306051346544	2911/4893/773/2890/3480/23236	6	KEGG
hsa05203	Viral carcinogenesis	12/205	203/8265	0.0591133004926108	2.38327526132404	3.18229030682503	0.00456410995352836	0.0550098011683991	0.0434795843030006	3065/5290/3107/2885/4893/11317/9586/10488/718/3017/5315/7529	12	KEGG
hsa05168	Herpes simplex virus 1 infection	11/205	178/8265	0.0617977528089888	2.49150452178679	3.20808168469093	0.00468689202722717	0.0550098011683991	0.0434795843030006	5290/3107/598/7249/5781/3592/718/5818/2923/6890/7098	11	KEGG
hsa05215	Prostate cancer	8/205	106/8265	0.0754716981132075	3.04279797514956	3.37570470205593	0.00471557873941523	0.0550098011683991	0.0434795843030006	5290/2911/2885/4893/9586/3630/10488/3480	8	KEGG
hsa04261	Adrenergic signaling in cardiomyocytes	10/205	154/8265	0.0649350649350649	2.61799176433323	3.23224319881065	0.00489129415389324	0.0550098011683991	0.0434795843030006	5520/55799/815/9586/5521/10488/776/23236/64091/6262	10	KEGG
hsa04728	Dopaminergic synapse	9/205	131/8265	0.0687022900763359	2.76987525600447	3.25634780728326	0.00518610788250748	0.0550098011683991	0.0434795843030006	5520/815/9586/5521/10488/773/776/2890/23236	9	KEGG
hsa04929	GnRH secretion	6/205	65/8265	0.0923076923076923	3.72157598499062	3.5129727428091	0.0052950285171893	0.0550098011683991	0.0434795843030006	5290/2550/4893/2796/776/23236	6	KEGG
hsa04911	Insulin secretion	7/205	86/8265	0.0813953488372093	3.281622234827	3.39193425525442	0.00534939708308719	0.0550098011683991	0.0434795843030006	815/9586/3630/10488/776/23236/6262	7	KEGG
hsa04360	Axon guidance	11/205	182/8265	0.0604395604395604	2.43674618064862	3.12560447338221	0.00553231154307609	0.0550098011683991	0.0434795843030006	815/5290/5590/4775/4893/5781/84612/1630/2047/9423/57522	11	KEGG
hsa04148	Efferocytosis	10/205	157/8265	0.0636942675159236	2.56796644399565	3.16325559011875	0.00559748853994237	0.0550098011683991	0.0434795843030006	1788/815/4775/5781/1399/19/63982/121601/9023/23166	10	KEGG
hsa05016	Huntington disease	15/205	292/8265	0.0513698630136986	2.07108252589375	2.97172105740418	0.00595698119211443	0.0565913213250871	0.0447296131618417	3065/5693/5695/9586/5692/5702/5705/5713/10488/5691/8701/2890/23236/9821/203068	15	KEGG
hsa00270	Cysteine and methionine metabolism	5/205	48/8265	0.104166666666667	4.19969512195122	3.54549713105909	0.00643997712583024	0.057005447863695	0.0450569375543148	1788/23382/10768/1789/635	5	KEGG
hsa04517	IgSF CAM signaling	15/205	295/8265	0.0508474576271186	2.05002066969822	2.92876320300776	0.0065308318970906	0.057005447863695	0.0450569375543148	57555/22871/5290/2885/5781/84612/10458/653857/1630/5818/9423/4916/5789/57522/203068	15	KEGG
hsa05211	Renal cell carcinoma	6/205	68/8265	0.0882352941176471	3.55738880918221	3.37697863583044	0.00660063080526994	0.057005447863695	0.0450569375543148	5290/2885/4893/5781/1399/2889	6	KEGG
hsa04725	Cholinergic synapse	8/205	115/8265	0.0695652173913043	2.80466595970308	3.10793198701072	0.00766009283440627	0.0642096017001702	0.050751079460153	815/5290/4893/9586/10488/773/776/23236	8	KEGG
hsa04722	Neurotrophin signaling pathway	8/205	119/8265	0.0672268907563025	2.71039147366264	2.99710090354302	0.00934199967215167	0.0755054352101293	0.0596792728900006	815/5290/2885/4893/5781/1399/2889/4916	8	KEGG
hsa05163	Human cytomegalovirus infection	12/205	224/8265	0.0535714285714286	2.15984320557491	2.80655026443406	0.00977392441076172	0.0755054352101293	0.0596792728900006	5290/3107/4775/2885/4893/7249/9586/1399/10488/2923/23236/6890	12	KEGG
hsa04660	T cell receptor signaling pathway	8/205	120/8265	0.0666666666666667	2.68780487804878	2.97010552952768	0.00980246000973609	0.0755054352101293	0.0596792728900006	5520/5290/4775/2885/4893/5781/5521/926	8	KEGG
hsa04024	cAMP signaling pathway	12/205	225/8265	0.0533333333333333	2.15024390243902	2.78970151488854	0.0101053668707622	0.0757902515307167	0.0599043908682303	55811/815/5290/2550/9586/5142/10488/8310/776/2890/64091/6262	12	KEGG
hsa05010	Alzheimer disease	17/205	372/8265	0.0456989247311828	1.84244689221086	2.65153592067581	0.0109047951867802	0.0796888879033935	0.0629858615376776	5290/4893/5693/5695/1856/5692/5702/5705/3630/5713/5691/776/23236/9821/6263/221074/203068	17	KEGG
hsa05169	Epstein-Barr virus infection	11/205	201/8265	0.054726368159204	2.20640698944303	2.76134822557158	0.0113176866767814	0.0806385175720674	0.0637364460218741	3065/5290/3107/377841/11317/5702/5705/5713/9612/2923/6890	11	KEGG
hsa04072	Phospholipase D signaling pathway	9/205	149/8265	0.0604026845637584	2.43525945326567	2.81940259357239	0.0116996092195414	0.0813265518919342	0.0642802663153238	5290/2911/2885/4893/7249/5781/3630/2917/23236	9	KEGG
hsa05142	Chagas disease	7/205	101/8265	0.0693069306930693	2.79425259599131	2.89332577548335	0.0125626842630124	0.0852467860704411	0.0673788078266829	5520/5290/1636/3592/5521/718/23236	7	KEGG
hsa04926	Relaxin signaling pathway	8/205	128/8265	0.0625	2.51981707317073	2.76355880115338	0.0141165797188235	0.0935633772061559	0.07395221688686	5290/5590/2885/4893/9586/10488/1286/23236	8	KEGG
