ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04350	TGF-beta signaling pathway	5/66	109/8265	0.0458715596330275	5.74437030859049	4.47342230192505	0.00171637622255886	0.299041749775375	0.289395241718105	3400/7042/79875/4088/5308	5	KEGG
hsa05207	Chemical carcinogenesis - receptor activation	6/66	196/8265	0.0306122448979592	3.8334879406308	3.60185499962869	0.00459337100055624	0.299041749775375	0.289395241718105	1137/1136/1143/111/2255/2099	6	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	4/66	86/8265	0.0465116279069767	5.82452431289641	4.03496990337934	0.00482325402863508	0.299041749775375	0.289395241718105	3696/1832/55799/51176	4	KEGG
hsa05226	Gastric cancer	5/66	149/8265	0.0335570469798658	4.20225747406955	3.53887352541936	0.00658205281816035	0.300726455568992	0.29102560216354	7042/5915/4088/2255/51176	5	KEGG
hsa04080	Neuroactive ligand-receptor interaction	8/66	368/8265	0.0217391304347826	2.72233201581028	3.03246916656732	0.00859289925914702	0.300726455568992	0.29102560216354	2908/1137/1136/1143/1138/1135/1813/1909	8	KEGG
hsa05414	Dilated cardiomyopathy	4/66	105/8265	0.0380952380952381	4.77056277056277	3.48852969475503	0.00970085340545134	0.300726455568992	0.29102560216354	7042/3696/111/55799	4	KEGG
hsa04725	Cholinergic synapse	4/66	115/8265	0.0347826086956522	4.35573122529644	3.25120207687011	0.0132244794601361	0.333180523130617	0.322432764319952	1137/1136/1143/111	4	KEGG
hsa05321	Inflammatory bowel disease	3/66	64/8265	0.046875	5.87002840909091	3.50893040403262	0.0143303450808868	0.333180523130617	0.322432764319952	7042/4088/8809	3	KEGG
hsa04082	Neuroactive ligand signaling	5/66	197/8265	0.0253807106598985	3.1783571758191	2.77629708936538	0.0202055320611985	0.417580995931436	0.404110641223971	1137/1136/1143/111/1813	5	KEGG
hsa05210	Colorectal cancer	3/66	86/8265	0.0348837209302326	4.3683932346723	2.81714101602065	0.0311144756872074	0.5262776184201	0.50930092105171	7042/4088/51176	3	KEGG
hsa04024	cAMP signaling pathway	5/66	225/8265	0.0222222222222222	2.78282828282828	2.43253685336277	0.0333748725394268	0.5262776184201	0.50930092105171	1080/64399/111/1813/1909	5	KEGG
hsa04540	Gap junction	3/66	89/8265	0.0337078651685393	4.22114402451481	2.74107793873422	0.0339533947367806	0.5262776184201	0.50930092105171	111/1813/51807	3	KEGG
hsa04520	Adherens junction	3/66	93/8265	0.032258064516129	4.03958944281525	2.64471514091803	0.0379416376409681	0.542857277016928	0.525345751951866	4088/51176/87	3	KEGG
hsa05410	Hypertrophic cardiomyopathy	3/66	99/8265	0.0303030303030303	3.79476584022039	2.50983409473352	0.0443539061014424	0.57620254385312	0.557615365019148	7042/3696/55799	3	KEGG
hsa02010	ABC transporters	2/66	45/8265	0.0444444444444444	5.56565656565657	2.75524528048958	0.0499049246550115	0.57620254385312	0.557615365019148	1080/6833	2	KEGG
hsa05030	Cocaine addiction	2/66	49/8265	0.0408163265306122	5.1113172541744	2.58961674361598	0.0580970735511069	0.57620254385312	0.557615365019148	111/1813	2	KEGG
hsa05144	Malaria	2/66	49/8265	0.0408163265306122	5.1113172541744	2.58961674361598	0.0580970735511069	0.57620254385312	0.557615365019148	7042/2994	2	KEGG
