ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04060	Cytokine-cytokine receptor interaction	26/111	296/8265	0.0878378378378378	6.54035792549306	11.3253870908379	8.60637566577386e-15	1.93643452479912e-12	1.16865522198403e-12	3593/3586/149233/9966/3460/958/3559/3595/29949/6347/8807/9180/59067/8600/246778/1439/6364/6354/7292/8809/944/7132/3575/6366/3570/355	26	KEGG
hsa04630	JAK-STAT signaling pathway	19/111	168/8265	0.113095238095238	8.4210102960103	11.3377504956026	5.96181811781548e-13	6.70704538254242e-11	4.04776072209578e-11	3593/3586/149233/3717/7297/6774/3460/5771/3559/3595/29949/5155/9180/59067/246778/1439/8651/3575/3570	19	KEGG
hsa05321	Inflammatory bowel disease	13/111	64/8265	0.203125	15.1245777027027	13.2343721634415	1.67634472534522e-12	1.25725854400892e-10	7.58766559893102e-11	64127/3593/3586/149233/6774/3460/3595/4088/8807/59067/8809/4790/4772	13	KEGG
hsa04659	Th17 cell differentiation	14/111	106/8265	0.132075471698113	9.83426823049465	10.6801250455262	1.01982334966666e-10	5.73650634187496e-09	3.46203189755261e-09	149233/3717/7297/6774/3460/4792/3559/4088/2353/59067/246778/3570/4790/4772	14	KEGG
hsa04668	TNF signaling pathway	14/111	118/8265	0.11864406779661	8.83417315620705	10.0001520173127	4.40583828540741e-10	1.98262722843333e-08	1.19653292382643e-08	64127/4792/1326/6347/3659/2353/1540/6364/4318/8809/7132/7128/4790/355	14	KEGG
hsa05145	Toxoplasmosis	13/111	109/8265	0.119266055045872	8.88048599057773	9.66270969417257	1.80799847806344e-09	6.77999429273791e-08	4.09178602930147e-08	3593/3586/3717/7297/6774/3460/4792/958/345611/7132/8651/4790/4261	13	KEGG
hsa05140	Leishmaniasis	11/111	75/8265	0.146666666666667	10.9207207207207	10.0693907626513	3.7050148713861e-09	1.19089763723125e-07	7.18717170539559e-08	3593/3676/3586/3717/3460/4792/4689/2353/2212/5579/4790	11	KEGG
hsa04380	Osteoclast differentiation	13/111	132/8265	0.0984848484848485	7.33312858312858	8.55758408769124	1.92751872802062e-08	5.42114642255799e-07	3.27170941992974e-07	7297/3460/4792/2355/4689/2353/1540/8600/2212/7132/8651/4790/4772	13	KEGG
hsa04658	Th1 and Th2 cell differentiation	11/111	90/8265	0.122222222222222	9.1006006006006	9.01500317459022	2.66069779632076e-08	6.6517444908019e-07	4.01438614883483e-07	3593/3717/7297/3460/4792/3559/864/3595/2353/4790/4772	11	KEGG
hsa04061	Viral protein interaction with cytokine and cytokine receptor	11/111	98/8265	0.112244897959184	8.357694429123	8.54859608409321	6.55174389819382e-08	1.47414237709361e-06	8.89657855649477e-07	3586/3559/29949/6347/8807/6364/6354/8809/7132/6366/3570	11	KEGG
hsa05417	Lipid and atherosclerosis	15/111	214/8265	0.0700934579439252	5.21912099014903	7.2958390238041	1.45908004204605e-07	2.9844819041851e-06	1.80116100884153e-06	3593/3717/6774/4792/958/6347/4689/2353/4318/1573/7132/4790/818/355/4772	15	KEGG
hsa05152	Tuberculosis	13/111	176/8265	0.0738636363636364	5.49984643734644	7.04008494773147	5.80462215543398e-07	1.08836665414387e-05	6.56838822851739e-06	64127/3593/3586/3717/3460/64170/2212/8767/7132/8844/4790/818/4261	13	KEGG
hsa04062	Chemokine signaling pathway	13/111	191/8265	0.0680628272251309	5.06792132446583	6.63614926690205	1.47420858244075e-06	2.55151485422437e-05	1.53986159623365e-05	3717/6774/4792/6347/113/9844/109/6364/6354/5579/6366/4790/6464	13	KEGG
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	9/111	90/8265	0.1	7.44594594594595	7.17356971798254	2.92281560447175e-06	4.69738222147245e-05	2.83491137576583e-05	3717/6774/3460/4792/10125/2353/940/4790/4772	9	KEGG
hsa04917	Prolactin signaling pathway	8/111	70/8265	0.114285714285714	8.50965250965251	7.36148908902616	3.88249051373998e-06	5.82373577060997e-05	3.51467562296461e-05	3717/6774/3659/2353/8600/8651/4790/6464	8	KEGG
hsa05142	Chagas disease	9/111	101/8265	0.0891089108910891	6.63500133797163	6.64774730235731	7.64342390181395e-06	0.000107485648619259	6.48685317982894e-05	3593/3586/3460/4792/6347/2353/7132/4790/355	9	KEGG
hsa05161	Hepatitis B	11/111	161/8265	0.0683229813664596	5.08729226120531	6.11040793368918	9.61104486130359e-06	0.000109403048062769	6.60256991817412e-05	3717/7297/6774/4792/4088/2353/4318/5579/4790/355/4772	11	KEGG
hsa05206	MicroRNAs in cancer	11/111	161/8265	0.0683229813664596	5.08729226120531	6.11040793368918	9.61104486130359e-06	0.000109403048062769	6.60256991817412e-05	6774/5155/10018/4318/6659/5579/8651/4790/6464/1788/27086	11	KEGG
hsa04064	NF-kappa B signaling pathway	9/111	104/8265	0.0865384615384615	6.44360706860707	6.51783016925129	9.72471538335723e-06	0.000109403048062769	6.60256991817412e-05	4792/958/1540/8600/7132/7128/5579/6366/4790	9	KEGG
hsa04625	C-type lectin receptor signaling pathway	9/111	104/8265	0.0865384615384615	6.44360706860707	6.51783016925129	9.72471538335723e-06	0.000109403048062769	6.60256991817412e-05	3593/3586/4792/3659/1540/64170/8844/4790/4772	9	KEGG
hsa05162	Measles	10/111	135/8265	0.0740740740740741	5.51551551551552	6.17163510099891	1.22911199422696e-05	0.000131690570810031	7.94764146642996e-05	3593/7297/6774/4792/3559/2353/7128/940/4790/355	10	KEGG
hsa05164	Influenza A	11/111	171/8265	0.064327485380117	4.78978978978979	5.84255577037323	1.70233122280058e-05	0.000174102056877332	0.000105072118536495	3593/3717/7297/3460/4792/6347/7132/5579/4790/355/4261	11	KEGG
hsa04660	T cell receptor signaling pathway	9/111	120/8265	0.075	5.58445945945946	5.90207202980096	3.09577833280327e-05	0.000302847880382929	0.000182771352371452	3586/4792/10125/1326/2353/5788/940/4790/4772	9	KEGG
hsa04657	IL-17 signaling pathway	8/111	93/8265	0.0860215053763441	6.40511479221157	6.11580327544929	3.24357627776934e-05	0.000304085276040875	0.00018351813150537	4792/6347/2353/6364/6354/4318/7128/4790	8	KEGG
