ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05206	MicroRNAs in cancer	33/412	161/8265	0.204968944099379	4.11181631791594	9.13278301139082	1.90891494721443e-12	6.14670613003046e-10	4.76224044726126e-10	894/8660/3667/8091/10018/2261/1788/4609/595/1027/9839/4853/596/5728/27250/23414/578/27086/2065/2475/4082/5335/10642/90427/993/472/7057/1871/399694/6655/10253/6659/57521	33	KEGG
hsa04950	Maturity onset diabetes of the young	12/412	26/8265	0.461538461538462	9.25877520537715	9.66030929238991	1.02801218983111e-09	1.65509962562808e-07	1.28230994205248e-07	2645/6927/3172/3630/6928/6514/222546/50674/3175/3087/3170/4825	12	KEGG
hsa04911	Insulin secretion	16/412	86/8265	0.186046511627907	3.73221946263265	5.83365398157807	4.20679222304202e-06	0.00042840959047536	0.00033191589716463	3767/6833/2645/3630/2740/6514/111/3710/816/486/157855/482/27445/115/10242/3778	16	KEGG
hsa04979	Cholesterol metabolism	12/412	51/8265	0.235294117647059	4.72015990862364	6.10372994706303	5.4129878620008e-06	0.00042840959047536	0.00033191589716463	348/51129/3990/4023/6272/337/4864/255738/19/345/4018/1071	12	KEGG
hsa04068	FoxO signaling pathway	20/412	131/8265	0.152671755725191	3.06269917735122	5.45061394154302	6.65232283346832e-06	0.00042840959047536	0.00033191589716463	3643/3630/894/8660/3586/3667/1030/10018/595/1027/3480/57818/5728/4088/3575/673/5934/472/847/6655	20	KEGG
hsa04930	Type II diabetes mellitus	11/412	46/8265	0.239130434782609	4.79711903756859	5.91492989176327	1.1329652372498e-05	0.000608024677324059	0.000471075019698601	3767/6833/2645/3643/3630/6514/8660/3667/3098/2475/80201	11	KEGG
hsa04151	PI3K-Akt signaling pathway	37/412	359/8265	0.103064066852368	2.06753522459908	4.73671218682396	1.83710912232444e-05	0.000747495795796278	0.0005791320810844	3643/3630/3559/894/2264/3667/10018/627/2261/4609/595/1027/3672/3480/284217/57818/7099/596/5523/56034/5728/2066/3575/2065/5649/2475/9863/5934/3915/2668/6256/7057/1435/2263/6655/9223/57521	37	KEGG
hsa05205	Proteoglycans in cancer	25/412	200/8265	0.125	2.50758495145631	4.94334099289909	1.85713241191622e-05	0.000747495795796278	0.0005791320810844	4609/595/3480/3710/816/857/286/7099/3593/27250/22808/2066/2065/673/2475/2099/5335/5727/7484/7057/117581/6655/29102/7410/288	25	KEGG
hsa04022	cGMP-PKG signaling pathway	22/412	165/8265	0.133333333333333	2.6747572815534	4.97711070649592	2.15295346883868e-05	0.000770278907740059	0.000596783593116685	3643/3630/153/147/8660/3667/2969/4773/111/3710/486/489/5139/5530/4208/2983/157855/482/5140/115/10242/3778	22	KEGG
hsa04152	AMPK signaling pathway	18/412	122/8265	0.147540983606557	2.95977240171892	4.9948137541452	3.09216149808146e-05	0.000995676002382232	0.000771412921100323	3643/3172/3630/5468/3953/8660/3667/3156/595/3480/57818/5523/3952/79966/2475/1080/8789/57521	18	KEGG
hsa05222	Small cell lung cancer	15/412	93/8265	0.161290322580645	3.23559348575008	4.9658785552096	4.93743698474645e-05	0.0014453224628076	0.00111978235922001	1030/4609/595/1027/284217/2272/596/5728/578/7187/3915/6256/4843/1871/5915	15	KEGG
hsa01521	EGFR tyrosine kinase inhibitor resistance	13/412	79/8265	0.164556962025316	3.30112449305641	4.70699518548262	0.000126600543094591	0.00305893334764597	0.00236994836022261	10018/2261/3480/596/56034/5728/2065/673/2475/5335/2263/399694/6655	13	KEGG
hsa04972	Pancreatic secretion	15/412	101/8265	0.148514851485149	2.97930885321542	4.58404338853171	0.000130471047434108	0.00305893334764597	0.00236994836022261	3784/1504/440387/111/6344/3710/486/1357/489/6558/482/115/3778/1080/219931	15	KEGG
hsa04924	Renin secretion	12/412	69/8265	0.173913043478261	3.48881384550443	4.75490613589187	0.000132997102071564	0.00305893334764597	0.00236994836022261	1636/153/111/3710/5139/5530/2983/5140/3778/1508/5136/5734	12	KEGG
hsa04213	Longevity regulating pathway - multiple species	11/412	62/8265	0.17741935483871	3.55915283432509	4.63267331138147	0.000210001067956399	0.00447927459537838	0.00347037619844615	3643/3630/8660/3667/111/3480/3170/2475/115/847/57521	11	KEGG
hsa05215	Prostate cancer	15/412	106/8265	0.141509433962264	2.83877541674299	4.364043978142	0.000226305152352106	0.00447927459537838	0.00347037619844615	3630/6934/595/1027/3480/596/2119/56034/5728/673/2475/2346/2263/1871/6655	15	KEGG
hsa01522	Endocrine resistance	14/412	95/8265	0.147368421052632	2.95631067961165	4.39252825413684	0.000236483441370908	0.00447927459537838	0.00347037619844615	111/595/1027/3480/4853/596/673/2475/2099/115/1031/1871/399694/6655	14	KEGG
hsa04218	Cellular senescence	19/412	157/8265	0.121019108280255	2.42772555809783	4.13679170331113	0.000285371704467945	0.0051049827132599	0.00395515169350309	894/1030/2113/4773/4609/595/3710/5728/22808/4088/5530/10758/677/4605/2475/5934/993/472/1871	19	KEGG
hsa05214	Glioma	12/412	76/8265	0.157894736842105	3.16747572815534	4.34782011027874	0.00034125419672093	0.00578336059705998	0.00448073377411969	595/3480/816/5728/57118/578/673/2475/5335/1871/399694/6655	12	KEGG
hsa05226	Gastric cancer	18/412	149/8265	0.120805369127517	2.42343780543429	4.01593407380023	0.000419198460638305	0.0067490952162767	0.00522894921954096	6934/1030/4609/595/1027/596/4088/578/673/2475/1496/7484/6256/2263/1871/399694/6655/5915	18	KEGG
hsa04630	JAK-STAT signaling pathway	19/412	168/8265	0.113095238095238	2.2687673370319	3.80540184558808	0.000673316035138971	0.0103241792054642	0.00799879199638777	3559/3953/894/3586/7297/5771/4609/595/596/3952/3593/3597/149233/3596/3575/2475/29949/163702/6655	19	KEGG
hsa04550	Signaling pathways regulating pluripotency of stem cells	17/412	144/8265	0.118055555555556	2.3682746763754	3.79381145574877	0.000785022786134967	0.0114898789607027	0.00890193302937737	3175/2264/463/2261/130399/4609/3480/4088/10336/3400/56916/3625/92/7484/3720/2263/3670	17	KEGG
hsa04211	Longevity regulating pathway	12/412	90/8265	0.133333333333333	2.6747572815534	3.65893936309406	0.00160514511719867	0.0224720316407814	0.0174104985252213	3643/3630/5468/9365/8660/3667/111/3480/2475/115/847/57521	12	KEGG
hsa04024	cAMP signaling pathway	22/412	225/8265	0.0977777777777778	1.96148867313916	3.34914052752918	0.00185851608012819	0.0249350907417199	0.0193187855697536	2740/153/111/627/64399/1395/816/486/489/5139/5142/2890/2891/482/5140/673/10021/5727/115/5144/1080/7410	22	KEGG
hsa05216	Thyroid cancer	7/412	37/8265	0.189189189189189	3.79526371031225	3.90303522090282	0.00203811478281788	0.0256019981476572	0.0198354807485935	5468/6934/4609/595/578/673/6256	7	KEGG
hsa05414	Dilated cardiomyopathy	13/412	105/8265	0.123809523809524	2.48370319001387	3.50447175573794	0.00206724208645679	0.0256019981476572	0.0198354807485935	153/111/3672/284217/489/7273/6641/8082/55799/115/137868/1756/4633	13	KEGG
hsa05230	Central carbon metabolism in cancer	10/412	70/8265	0.142857142857143	2.86581137309293	3.59061003736673	0.00229905871997023	0.0274184039937191	0.0212427647810115	2645/6514/57103/2261/4609/3098/5728/2475/80201/2263	10	KEGG
hsa05202	Transcriptional misregulation in cancer	20/412	201/8265	0.0995024875621891	1.99608752354731	3.27450933683823	0.00240147731796618	0.0276169891566111	0.0213966212164656	5468/894/8091/3087/2115/4609/1027/3480/5371/2119/578/4208/221037/2138/7490/6256/472/64919/1031/5087	20	KEGG
hsa04066	HIF-1 signaling pathway	13/412	108/8265	0.12037037037037	2.41471143473571	3.38953774113699	0.00266395460909573	0.0295790822113388	0.0229167783069215	3643/3630/7037/3098/1027/3480/816/7099/596/2475/5335/4843/80201	13	KEGG
hsa05223	Non-small cell lung cancer	10/412	73/8265	0.136986301369863	2.74803830296582	3.43592255564802	0.0031533254698864	0.0338456933767807	0.0262223907495816	595/2272/578/673/5335/238/6256/1871/6655/5915	10	KEGG
hsa04910	Insulin signaling pathway	15/412	137/8265	0.109489051094891	2.19642477499823	3.23429625040031	0.00331053623024015	0.0343868601979784	0.0266416667764658	2645/3643/3630/8660/3667/3098/57818/5140/673/2475/80201/399694/6655/8789/57521	15	KEGG
hsa05225	Hepatocellular carcinoma	17/412	167/8265	0.101796407185629	2.04210511016801	3.11606736869952	0.00392676758534934	0.0388990044879737	0.0301375091979398	6934/4609/595/3480/5728/4088/578/673/2475/5335/7484/196528/1871/399694/57492/6655/6595	17	KEGG
