ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05033	Nicotine addiction	5/51	41/8265	0.121951219512195	19.7632711621234	9.48990413959499	4.63887658839135e-06	0.000872108798617574	0.000771518422069299	2554/2562/2566/1141/1137	5	KEGG
hsa04082	Neuroactive ligand signaling	8/51	197/8265	0.0406091370558376	6.58106897581368	6.24698482977945	2.38876879445679e-05	0.00224544266678938	0.00198644983960091	2554/2562/2566/2775/23236/6506/1141/1137	8	KEGG
hsa04721	Synaptic vesicle cycle	5/51	78/8265	0.0641025641025641	10.3883861236802	6.56415370815433	0.000110053455809332	0.00689668323071817	0.00610120912907878	6812/1759/6506/6616/112755	5	KEGG
hsa04911	Insulin secretion	5/51	86/8265	0.0581395348837209	9.42202462380301	6.18612257979346	0.000174937938670341	0.00822208311750604	0.00727373534471419	6513/3778/23236/6616/6262	5	KEGG
hsa04630	JAK-STAT signaling pathway	6/51	168/8265	0.0357142857142857	5.78781512605042	4.94006697290665	0.000544622288962051	0.0181011053369817	0.0160132958748214	3586/29949/6775/3595/1956/3592	6	KEGG
hsa05321	Inflammatory bowel disease	4/51	64/8265	0.0625	10.1286764705882	5.77653341100588	0.000622033106150973	0.0181011053369817	0.0160132958748214	3586/6775/3595/3592	4	KEGG
hsa04725	Cholinergic synapse	5/51	115/8265	0.0434782608695652	7.0460358056266	5.14450654007692	0.000673977326376976	0.0181011053369817	0.0160132958748214	3785/2775/23236/1141/1137	5	KEGG
hsa05143	African trypanosomiasis	3/51	37/8265	0.0810810810810811	13.1399046104928	5.83138731572274	0.00148360561502259	0.0340696049601418	0.0301399640744815	23236/3586/3592	3	KEGG
hsa04723	Retrograde endocannabinoid signaling	5/51	140/8265	0.0357142857142857	5.78781512605042	4.50186635893882	0.0016309917268153	0.0340696049601418	0.0301399640744815	2554/2562/2566/2775/23236	5	KEGG
hsa04727	GABAergic synapse	4/51	89/8265	0.0449438202247191	7.28354263053536	4.69604252337817	0.00213445651469571	0.0395722418723777	0.0350079183417451	2554/2562/2566/2775	4	KEGG
