ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04979	Cholesterol metabolism	22/78	51/8265	0.431372549019608	45.7088989441931	31.2594817603198	1.39977334114369e-32	2.30962601288709e-30	2.22490288960734e-30	3949/338/255738/64241/348/6272/4018/64240/4023/3990/27329/19/350/1071/29116/341/51129/345/949/8647/1581/9388	22	KEGG
hsa04976	Bile secretion	9/78	88/8265	0.102272727272727	10.8369755244755	9.05494857949898	1.1613404464077e-07	9.58105868286351e-06	9.22960038987171e-06	3949/3156/64241/64240/6580/7367/949/8647/1581	9	KEGG
hsa04975	Fat digestion and absorption	6/78	42/8265	0.142857142857143	15.1373626373626	8.9651582234297	2.32810324554859e-06	0.000128045678505173	0.000123348628097487	338/29881/64241/64240/19/949	6	KEGG
hsa02010	ABC transporters	6/78	45/8265	0.133333333333333	14.1282051282051	8.61897780749084	3.53455052559018e-06	0.000145800209180595	0.000140451876148452	64241/64240/23460/19/23461/8647	6	KEGG
hsa03320	PPAR signaling pathway	6/78	75/8265	0.08	8.47692307692308	6.34880011261121	6.982320562997e-05	0.00230416578578901	0.00221964295792115	4023/116519/5468/51129/345/1581	6	KEGG
hsa00561	Glycerolipid metabolism	5/78	63/8265	0.0793650793650794	8.40964590964591	5.7621944149292	0.000301513442371613	0.00829161966521936	0.0079874613680901	4023/3990/80339/9388/56895	5	KEGG
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	3/78	28/8265	0.107142857142857	11.353021978022	5.35601369794009	0.00223525553103732	0.0526881660887368	0.0507554263438549	6484/28/2524	3	KEGG
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2/78	16/8265	0.125	13.2451923076923	4.78525416498718	0.00968509823016143	0.199755150997079	0.192427609572944	28/2524	2	KEGG
hsa04925	Aldosterone synthesis and secretion	4/78	98/8265	0.0408163265306122	4.32496075353218	3.23182877848508	0.0135825955470619	0.249014251696134	0.239879757614777	3949/5581/949/5587	4	KEGG
hsa04977	Vitamin digestion and absorption	2/78	26/8265	0.0769230769230769	8.1508875739645	3.56442460646869	0.024685236127769	0.407306396108189	0.392365332136119	338/949	2	KEGG
hsa04142	Lysosome	4/78	132/8265	0.0303030303030303	3.21095571095571	2.49931895487885	0.0358045019153819	0.527174209827427	0.507836080918287	6272/3482/4126/10053	4	KEGG
hsa01521	EGFR tyrosine kinase inhibitor resistance	3/78	79/8265	0.0379746835443038	4.0238558909445	2.63583867434071	0.0383399425329038	0.527174209827427	0.507836080918287	2621/5335/6194	3	KEGG
hsa05143	African trypanosomiasis	2/78	37/8265	0.0540540540540541	5.72765072765073	2.81306109814866	0.0473415008303925	0.557953402643911	0.537486212435283	3250/7064	2	KEGG
hsa05216	Thyroid cancer	2/78	37/8265	0.0540540540540541	5.72765072765073	2.81306109814866	0.0473415008303925	0.557953402643911	0.537486212435283	6934/5468	2	KEGG
hsa05417	Lipid and atherosclerosis	5/78	214/8265	0.0233644859813084	2.47573687994249	2.1348676904684	0.0511966239466225	0.563162863412847	0.542504576557192	3949/338/19/5468/5335	5	KEGG
hsa04148	Efferocytosis	4/78	157/8265	0.0254777070063694	2.69965703086722	2.09862243701381	0.0606782973338709	0.619411051716197	0.596689434189127	91937/19/2621/5468	4	KEGG
hsa05206	MicroRNAs in cancer	4/78	161/8265	0.0248447204968944	2.63258480649785	2.0418274246225	0.0653350340690028	0.619411051716197	0.596689434189127	5581/5335/3667/659	4	KEGG
hsa04930	Type II diabetes mellitus	2/78	46/8265	0.0434782608695652	4.60702341137124	2.39440961140135	0.0697155873228909	0.619411051716197	0.596689434189127	5581/3667	2	KEGG
hsa05225	Hepatocellular carcinoma	4/78	167/8265	0.0239520958083832	2.53800092123445	1.95977406185494	0.072662610244389	0.619411051716197	0.596689434189127	6934/5335/6597/6595	4	KEGG
hsa03272	Virion - Hepatitis viruses	2/78	48/8265	0.0416666666666667	4.4150641025641	2.31602314752382	0.0750801274807511	0.619411051716197	0.596689434189127	3949/949	2	KEGG
hsa04931	Insulin resistance	3/78	108/8265	0.0277777777777778	2.94337606837607	1.98419137425489	0.0817768413921651	0.642532325224154	0.618962558908117	5581/51085/3667	3	KEGG
hsa04913	Ovarian steroidogenesis	2/78	52/8265	0.0384615384615385	4.07544378698225	2.17139390375173	0.0861858207057437	0.646393655293077	0.622682245290301	3949/949	2	KEGG
hsa04722	Neurotrophin signaling pathway	3/78	119/8265	0.0252100840336134	2.67129928894635	1.79240260586696	0.102087729076432	0.712459838355043	0.686324947952865	6272/5335/3667	3	KEGG
hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	1/78	12/8265	0.0833333333333333	8.8301282051282	2.64931521614325	0.107619405179444	0.712459838355043	0.686324947952865	432	1	KEGG
hsa04152	AMPK signaling pathway	3/78	122/8265	0.0245901639344262	2.60561160151324	1.74384650743077	0.107948460356825	0.712459838355043	0.686324947952865	3156/5468/3667	3	KEGG
hsa00140	Steroid hormone biosynthesis	2/78	64/8265	0.03125	3.31129807692308	1.81172634409529	0.122068380596113	0.765145901938832	0.737078348917152	7367/1581	2	KEGG
hsa04927	Cortisol synthesis and secretion	2/78	65/8265	0.0307692307692308	3.2603550295858	1.78569166230137	0.125205693044536	0.765145901938832	0.737078348917152	3949/949	2	KEGG
hsa05204	Chemical carcinogenesis - DNA adducts	2/78	67/8265	0.0298507462686567	3.16303099885189	1.73510694540746	0.131538149487842	0.775135523767643	0.746701525288128	7367/10	2	KEGG
hsa00120	Primary bile acid biosynthesis	1/78	17/8265	0.0588235294117647	6.23303167420814	2.10806286721147	0.149009569896821	0.794133506109369	0.765002611945867	1581	1	KEGG
hsa04714	Thermogenesis	4/78	220/8265	0.0181818181818182	1.92657342657343	1.35959080076786	0.153679941540611	0.794133506109369	0.765002611945867	5468/6194/6597/6595	4	KEGG
