ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04022	cGMP-PKG signaling pathway	29/347	165/8265	0.175757575757576	4.18627194131517	8.65434979562465	3.42999371049151e-11	1.04271808798942e-08	8.15977451127453e-09	153/776/1909/2982/775/2983/2977/1910/3643/4773/2969/5581/490/5139/5294/115/2626/4879/4208/6546/4846/4881/491/23236/90993/4205/109/10335/3667	29	KEGG
hsa05414	Dilated cardiomyopathy	19/347	105/8265	0.180952380952381	4.31000411692054	7.14546089900879	5.69199634641202e-08	8.65183444654628e-06	6.77047986467957e-06	153/776/183/775/783/7042/115/6546/7040/2778/109/8082/4633/3479/55799/3676/3693/4842/8516	19	KEGG
hsa05410	Hypertrophic cardiomyopathy	17/347	99/8265	0.171717171717172	4.09003580473321	6.47483289028579	6.28123459553881e-07	5.36922071318589e-05	4.20167548885046e-05	1636/776/183/775/783/7042/51422/6546/7040/8082/4633/3479/55799/3676/3693/4842/8516	17	KEGG
hsa04924	Renin secretion	14/347	69/8265	0.202898550724638	4.83272772835484	6.6924276080198	7.70258785461139e-07	5.36922071318589e-05	4.20167548885046e-05	1636/153/776/183/1909/2982/775/2983/2977/5136/5139/4881/23236/2778	14	KEGG
hsa05206	MicroRNAs in cancer	22/347	161/8265	0.136645962732919	3.25469418440224	6.04787782725327	8.83095512037153e-07	5.36922071318589e-05	4.20167548885046e-05	659/6655/6541/5581/7042/23414/9493/9839/1027/1398/6654/4790/89780/4082/1946/324/5728/5292/898/10642/4233/3667	22	KEGG
hsa04934	Cushing syndrome	20/347	155/8265	0.129032258064516	3.07334758761737	5.45481066174122	6.83553640168387e-06	0.000346333844351983	0.000271023022242203	3777/776/183/775/56246/7482/115/7484/1027/23236/1030/90993/3776/51176/2778/6934/89780/109/324/898	20	KEGG
hsa05226	Gastric cancer	19/347	149/8265	0.12751677852349	3.03725122333327	5.25313842766561	1.38112812967386e-05	0.000599804216315507	0.000469375875648561	2250/6655/7482/7042/7484/1027/6469/7040/1030/6654/7015/51176/6934/89780/5915/324/898/29119/4233	19	KEGG
hsa04020	Calcium signaling pathway	26/347	253/8265	0.102766798418972	2.44774521306284	4.89591727275491	2.02850670418142e-05	0.000677857280591172	0.000530456182180073	153/776/1909/775/1910/2250/4803/5136/4773/490/3360/115/3791/51196/6546/56034/4846/491/23236/57620/7201/2778/109/4233/4842/6263	26	KEGG
hsa04921	Oxytocin signaling pathway	19/347	154/8265	0.123376623376623	2.93863917062764	5.08361071209588	2.22197049345221e-05	0.000677857280591172	0.000530456182180073	776/2982/775/2983/2977/4773/783/5294/115/51422/4208/4846/4881/23236/2778/109/55799/5607/6263	19	KEGG
hsa04015	Rap1 signaling pathway	23/347	210/8265	0.10952380952381	2.60868670234664	4.94311244494923	2.22979368615517e-05	0.000677857280591172	0.000530456182180073	3643/2250/4803/115/22808/3791/51196/26037/56034/23236/1398/2778/285/109/57568/2889/1946/3479/9855/7410/23683/4233/6494	23	KEGG
hsa04270	Vascular smooth muscle contraction	17/347	134/8265	0.126865671641791	3.0217428706611	4.93922126484663	4.19252967768376e-05	0.00115866274728715	0.000906709767613905	776/183/1909/2982/775/2983/2977/5581/115/4879/133/10203/4881/23236/2778/109/10335	17	KEGG
hsa04072	Phospholipase D signaling pathway	18/347	149/8265	0.120805369127517	2.87739589578941	4.84094470586543	4.85111843623481e-05	0.00118149643610756	0.00092457823601215	183/3643/6655/5294/115/22808/8613/56034/23236/6654/2778/109/8525/5781/56895/26052/1607/2918	18	KEGG
hsa04925	Aldosterone synthesis and secretion	14/347	98/8265	0.142857142857143	3.4026348291478	5.0086613803119	5.37820543359096e-05	0.00118149643610756	0.00092457823601215	3777/776/183/775/5581/490/115/4881/491/23236/90993/2778/109/23683	14	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	13/347	86/8265	0.151162790697674	3.6004624354936	5.07460039698243	5.44110200839008e-05	0.00118149643610756	0.00092457823601215	776/775/783/6546/51176/6934/8082/55799/29119/3676/3693/4842/8516	13	KEGG
