ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05162	Measles	11/80	135/8265	0.0814814814814815	8.41805555555556	8.59097586324224	5.88547732613541e-08	1.19475189720549e-05	9.41676372181665e-06	7297/7128/3559/9641/3593/64135/3551/3654/3592/1027/7187	11	KEGG
hsa05140	Leishmaniasis	8/80	75/8265	0.106666666666667	11.02	8.61761739205989	5.39423082019928e-07	4.90657046911221e-05	3.86724766038401e-05	2212/4688/3586/3717/3593/3654/3592/5579	8	KEGG
hsa04620	Toll-like receptor signaling pathway	9/80	106/8265	0.0849056603773585	8.77181603773585	7.96136956161973	7.25108936322002e-07	4.90657046911221e-05	3.86724766038401e-05	3663/7297/9641/3593/3551/3654/941/3592/7187	9	KEGG
hsa04658	Th1 and Th2 cell differentiation	8/80	90/8265	0.0888888888888889	9.18333333333333	7.71682091530596	2.20529263454389e-06	0.000111918601203102	8.82117053817554e-05	6775/7297/3559/3595/3717/3593/3551/3592	8	KEGG
hsa04630	JAK-STAT signaling pathway	10/80	168/8265	0.0595238095238095	6.14955357142857	6.66642438817266	4.44889902175272e-06	0.000166835471771983	0.00013149593834245	6775/7297/3586/3559/3595/3717/3593/29949/3592/3575	10	KEGG
hsa04622	RIG-I-like receptor signaling pathway	7/80	71/8265	0.0985915492957746	10.1857394366197	7.68468592462533	4.93109768784186e-06	0.000166835471771983	0.00013149593834245	9641/3593/64135/3551/9474/3592/7187	7	KEGG
hsa04625	C-type lectin receptor signaling pathway	8/80	104/8265	0.0769230769230769	7.94711538461539	7.04823374996066	6.57135129937928e-06	0.000190569187681999	0.000150202315414384	3586/6367/9641/3593/3551/5580/3592/3659	8	KEGG
hsa05171	Coronavirus disease - COVID-19	11/80	232/8265	0.0474137931034483	4.8984375	5.95424212325301	1.2785108523951e-05	0.000324422128795257	0.00025570217047902	2212/7297/9641/3593/64135/3551/3654/712/3592/5579/7187	11	KEGG
hsa05161	Hepatitis B	9/80	161/8265	0.0559006211180124	5.77523291925466	6.04906968416636	2.29450036845929e-05	0.000517537305330262	0.000407911176614985	6775/7297/9641/3717/64135/3551/3654/5579/7187	9	KEGG
hsa05164	Influenza A	9/80	171/8265	0.0526315789473684	5.4375	5.79676410058872	3.70035791092395e-05	0.000751172655917561	0.000592057265747832	7297/9641/3717/3593/64135/3551/3592/5579/7187	9	KEGG
hsa05168	Herpes simplex virus 1 infection	9/80	178/8265	0.050561797752809	5.22366573033708	5.6316625690464	5.07076661075657e-05	0.000935786929075985	0.000737566052473683	7297/9641/3717/3593/64135/3551/3654/3592/7187	9	KEGG
hsa04936	Alcoholic liver disease	8/80	140/8265	0.0571428571428571	5.90357142857143	5.78489718695962	5.7560133779776e-05	0.00097372559644121	0.000767468450397013	6932/9641/3593/3551/3654/712/3592/7187	8	KEGG
hsa05133	Pertussis	6/80	75/8265	0.08	8.265	6.24820263007136	8.05275654487273e-05	0.00119340939172484	0.000940618239783128	3586/3593/3654/712/3592/3659	6	KEGG
hsa05145	Toxoplasmosis	7/80	109/8265	0.0642201834862385	6.63474770642202	5.85436669858236	8.23040959810237e-05	0.00119340939172484	0.000940618239783128	7297/3586/3717/3593/3551/3654/3592	7	KEGG
hsa04060	Cytokine-cytokine receptor interaction	11/80	296/8265	0.0371621621621622	3.83931587837838	4.91799926113569	0.000119400547899704	0.00161588741490932	0.0012736058442635	7292/3586/3559/6367/3595/3593/29949/1230/3592/3575/1232	11	KEGG
hsa05169	Epstein-Barr virus infection	9/80	201/8265	0.0447761194029851	4.6259328358209	5.14485726241076	0.000129579019109848	0.00164403380495619	0.00129579019109848	7297/7128/960/9641/3551/3654/10018/1027/7187	9	KEGG
hsa05206	MicroRNAs in cancer	8/80	161/8265	0.0496894409937888	5.13354037267081	5.23619982090914	0.0001536278389434	0.00183449713561825	0.00144590907240847	960/3551/10018/1027/1788/5579/2744/7078	8	KEGG
