ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04979	Cholesterol metabolism	19/71	51/8265	0.372549019607843	43.3678541839271	28.2501368724649	1.60743799266462e-27	3.02198342620948e-25	2.65650278787731e-25	3949/348/338/1071/4023/3990/19/6272/255738/4018/350/64241/9388/341/5360/64240/949/4864/51129	19	KEGG
hsa04976	Bile secretion	7/71	88/8265	0.0795454545454545	9.25976312419974	7.25083927828815	9.33249420838825e-06	0.000877254455588495	0.000771158731956292	3949/3156/64241/64240/949/109/115	7	KEGG
hsa04975	Fat digestion and absorption	5/71	42/8265	0.119047619047619	13.8581488933602	7.77614408937257	2.69578113260752e-05	0.00168935617643404	0.00148504434322589	338/19/64241/64240/949	5	KEGG
hsa03320	PPAR signaling pathway	6/71	75/8265	0.08	9.31267605633803	6.73140755857396	4.09342133557703e-05	0.0019239080277212	0.00169122934127788	4023/116519/5468/9415/5360/51129	6	KEGG
hsa04913	Ovarian steroidogenesis	5/71	52/8265	0.0961538461538462	11.1931202600217	6.86332014426889	7.70591483098598e-05	0.00289742397645073	0.00254700763887326	3949/3643/949/109/115	5	KEGG
hsa00561	Glycerolipid metabolism	5/71	63/8265	0.0793650793650794	9.23876592890677	6.11010826221137	0.000193710794484805	0.00606960489385721	0.00533554293580953	4023/3990/9388/56895/57678	5	KEGG
hsa04934	Cushing syndrome	6/71	155/8265	0.0387096774193548	4.50613357564743	4.10166539321467	0.00207177941637033	0.0536085214282544	0.0471250720281967	3949/6934/949/7472/109/115	6	KEGG
hsa04927	Cortisol synthesis and secretion	4/71	65/8265	0.0615384615384615	7.16359696641387	4.64365914105578	0.00228121367779806	0.0536085214282544	0.0471250720281967	3949/949/109/115	4	KEGG
hsa05216	Thyroid cancer	3/71	37/8265	0.0810810810810811	9.43852303007233	4.78846711595307	0.00382928270858456	0.0726719753095101	0.0638829794154148	6934/5468/10912	3	KEGG
hsa04152	AMPK signaling pathway	5/71	122/8265	0.040983606557377	4.77083814361579	3.90572748811206	0.00386553060156969	0.0726719753095101	0.0638829794154148	3156/5468/3172/3643/57818	5	KEGG
hsa02010	ABC transporters	3/71	45/8265	0.0666666666666667	7.76056338028169	4.23281790469666	0.00665938018933856	0.113814861417786	0.100050018155613	19/64241/64240	3	KEGG
hsa04211	Longevity regulating pathway	4/71	90/8265	0.0444444444444444	5.17370892018779	3.70574797866971	0.00733303618371746	0.114884233544907	0.100990059723126	5468/3643/109/115	4	KEGG
hsa04520	Adherens junction	4/71	93/8265	0.043010752688172	5.0068150840527	3.61703694012718	0.00821989824086042	0.118872374560135	0.104495872373691	6934/3643/4633/2260	4	KEGG
hsa04925	Aldosterone synthesis and secretion	4/71	98/8265	0.0408163265306122	4.75136533486634	3.47734251010646	0.00984964926369034	0.129730467486778	0.114040780489497	3949/949/109/115	4	KEGG
hsa04916	Melanogenesis	4/71	101/8265	0.0396039603960396	4.61023567145447	3.39798213077485	0.010921645614862	0.129730467486778	0.114040780489497	6934/7472/109/115	4	KEGG
hsa04148	Efferocytosis	5/71	157/8265	0.0318471337579618	3.70727550013457	3.18787848057379	0.0110408908499385	0.129730467486778	0.114040780489497	19/91937/5468/7301/383	5	KEGG
hsa05414	Dilated cardiomyopathy	4/71	105/8265	0.0380952380952381	4.43460764587525	3.29687932730982	0.0124645731207179	0.130669991484149	0.114866677844409	3694/109/115/4633	4	KEGG
hsa04024	cAMP signaling pathway	6/71	225/8265	0.0266666666666667	3.10422535211268	2.97873475214329	0.0125109566314611	0.130669991484149	0.114866677844409	627/5139/8843/338442/109/115	6	KEGG
hsa04923	Regulation of lipolysis in adipocytes	3/71	58/8265	0.0517241379310345	6.02112676056338	3.57190018586997	0.0133781718394616	0.132373489779936	0.116364153949888	3643/109/115	3	KEGG
hsa04213	Longevity regulating pathway - multiple species	3/71	62/8265	0.0483870967741935	5.63266696955929	3.4081360160863	0.0160039984997548	0.149527560731707	0.13144360041925	3643/109/115	3	KEGG
hsa05217	Basal cell carcinoma	3/71	63/8265	0.0476190476190476	5.54325955734406	3.36941333183164	0.0167025466774779	0.149527560731707	0.13144360041925	6934/7472/10912	3	KEGG
hsa04950	Maturity onset diabetes of the young	2/71	26/8265	0.0769230769230769	8.95449620801734	3.78127662945934	0.0207030069093426	0.169224578215496	0.148758447815413	3172/2645	2	KEGG
hsa04977	Vitamin digestion and absorption	2/71	26/8265	0.0769230769230769	8.95449620801734	3.78127662945934	0.0207030069093426	0.169224578215496	0.148758447815413	338/949	2	KEGG
hsa00052	Galactose metabolism	2/71	32/8265	0.0625	7.27552816901408	3.31072084774708	0.0305721286994144	0.239481674812079	0.210518605517897	2645/57818	2	KEGG
hsa04015	Rap1 signaling pathway	5/71	210/8265	0.0238095238095238	2.77162977867203	2.42061764850753	0.0339824803977107	0.243724904991565	0.214248656683514	3643/109/115/2260/1435	5	KEGG
hsa00500	Starch and sucrose metabolism	2/71	35/8265	0.0571428571428571	6.65191146881288	3.11893126472846	0.0360768736318666	0.243724904991565	0.214248656683514	2645/57818	2	KEGG
hsa04911	Insulin secretion	3/71	86/8265	0.0348837209302326	4.06075990828693	2.65585728682842	0.0374614021341127	0.243724904991565	0.214248656683514	2645/109/115	3	KEGG
hsa00512	Mucin type O-glycan biosynthesis	2/71	36/8265	0.0555555555555556	6.46713615023474	3.0599473743977	0.0379907828406548	0.243724904991565	0.214248656683514	2590/56913	2	KEGG
hsa05224	Breast cancer	4/71	148/8265	0.027027027027027	3.14617434335744	2.45230471004953	0.0380878539520134	0.243724904991565	0.214248656683514	6934/7472/2260/10912	4	KEGG
hsa04072	Phospholipase D signaling pathway	4/71	149/8265	0.0268456375838926	3.12505907930806	2.43651714834878	0.038892272073122	0.243724904991565	0.214248656683514	56895/3643/109/115	4	KEGG
hsa05032	Morphine addiction	3/71	91/8265	0.032967032967033	3.83764123200743	2.53359512227886	0.043153529129897	0.261705273432924	0.230054467687396	5139/109/115	3	KEGG
hsa04713	Circadian entrainment	3/71	97/8265	0.0309278350515464	3.60026136198635	2.39784636843615	0.0505230176676349	0.293554639811489	0.2580519510101	4544/109/115	3	KEGG
hsa04962	Vasopressin-regulated water reabsorption	2/71	43/8265	0.0465116279069767	5.41434654438257	2.70139607452993	0.0524142947504837	0.293554639811489	0.2580519510101	109/115	2	KEGG
hsa04022	cGMP-PKG signaling pathway	4/71	165/8265	0.0242424242424242	2.82202304737516	2.20054207939354	0.0530896689020779	0.293554639811489	0.2580519510101	5139/3643/109/115	4	KEGG
hsa00564	Glycerophospholipid metabolism	3/71	102/8265	0.0294117647058824	3.42377796188898	2.29268489016571	0.0571027057278286	0.306723105052337	0.269627813511852	56895/9489/57678	3	KEGG
hsa04930	Type II diabetes mellitus	2/71	46/8265	0.0434782608695652	5.06123698714023	2.57101202099107	0.0591047193139741	0.308657978639643	0.271328682230817	2645/3643	2	KEGG
hsa00514	Other types of O-glycan biosynthesis	2/71	47/8265	0.0425531914893617	4.95355109379682	2.53005268626366	0.0613974899677693	0.311965624701098	0.274236299429297	2590/56913	2	KEGG
hsa03272	Virion - Hepatitis viruses	2/71	48/8265	0.0416666666666667	4.85035211267606	2.49023751458473	0.0637204344023496	0.31524846493794	0.277122110835703	3949/949	2	KEGG
hsa05110	Vibrio cholerae infection	2/71	50/8265	0.04	4.65633802816901	2.41381458164651	0.0684541706348753	0.329984207162989	0.290075702825248	109/115	2	KEGG
