ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04658	Th1 and Th2 cell differentiation	8/57	90/8265	0.0888888888888889	12.8888888888889	9.45001614547277	1.54132556514116e-07	1.80319304090792e-05	1.29805407359076e-05	3559/3592/2625/3593/4094/6775/3460/3716	8	KEGG
hsa05321	Inflammatory bowel disease	7/57	64/8265	0.109375	15.859375	9.94422706140904	2.3267006979457e-07	1.80319304090792e-05	1.29805407359076e-05	6774/3592/2625/3593/4094/6775/3460	7	KEGG
hsa04630	JAK-STAT signaling pathway	9/57	168/8265	0.0535714285714286	7.76785714285714	7.3851218005853	1.86235786546144e-06	9.62218230488412e-05	6.92666434171624e-05	3559/3575/6774/3592/3593/6775/3460/4609/3716	9	KEGG
hsa04620	Toll-like receptor signaling pathway	7/57	106/8265	0.0660377358490566	9.57547169811321	7.40468166070211	7.29996039131232e-06	0.000272308726567746	0.00019602529722364	942/3592/958/3593/7187/3663/3716	7	KEGG
hsa05145	Toxoplasmosis	7/57	109/8265	0.0642201834862385	9.31192660550459	7.27931056193426	8.78415246992728e-06	0.000272308726567746	0.00019602529722364	7132/6774/3592/958/3593/3460/3716	7	KEGG
hsa05168	Herpes simplex virus 1 infection	8/57	178/8265	0.0449438202247191	6.51685393258427	6.20042806414811	2.65435769816073e-05	0.000685709072024855	0.000493617396500065	7132/8740/3592/3593/7187/3460/3716/6041	8	KEGG
hsa05162	Measles	7/57	135/8265	0.0518518518518519	7.51851851851852	6.36332966502735	3.55362958822271e-05	0.000786875123106456	0.000566443212558807	3559/6774/3592/868/3593/7187/3716	7	KEGG
hsa05167	Kaposi sarcoma-associated herpesvirus infection	8/57	193/8265	0.0414507772020725	6.01036269430052	5.8690951608529	4.7407041513708e-05	0.000918511429328093	0.000661203473743823	7132/942/6774/7187/4609/3716/6932/285	8	KEGG
hsa04064	NF-kappa B signaling pathway	6/57	104/8265	0.0576923076923077	8.36538461538461	6.29874924436641	7.40907691327521e-05	0.00127600769061962	0.000918552225505464	7132/8740/958/7187/8915/10892	6	KEGG
hsa05330	Allograft rejection	4/57	37/8265	0.108108108108108	15.6756756756757	7.45531047456525	0.00011334298114841	0.00175681620780035	0.00126466905281383	942/3592/958/3593	4	KEGG
hsa05164	Influenza A	7/57	171/8265	0.0409356725146199	5.93567251461988	5.43471406491761	0.000158753036026008	0.00219521438381176	0.00158025619479828	7132/3592/3593/7187/3460/3716/6041	7	KEGG
hsa04060	Cytokine-cytokine receptor interaction	9/57	296/8265	0.0304054054054054	4.40878378378378	4.97688155989819	0.000169952081327362	0.00219521438381176	0.00158025619479828	7132/3559/3575/8740/3592/958/3593/3460/7852	9	KEGG
hsa05152	Tuberculosis	7/57	176/8265	0.0397727272727273	5.76704545454545	5.3268702364786	0.000189815193908867	0.00226318115814419	0.00162918304083724	7132/3592/3593/8915/10892/3460/3716	7	KEGG
hsa05202	Transcriptional misregulation in cancer	7/57	201/8265	0.0348258706467662	5.04975124378109	4.84356380164125	0.000427469703920698	0.00473270029340773	0.00340690139966872	942/2078/958/4094/3087/4609/51513	7	KEGG
hsa05160	Hepatitis C	6/57	156/8265	0.0384615384615385	5.57692307692308	4.80912616364794	0.000673283381185952	0.00691320548616478	0.00497656897476039	7132/6774/7187/4609/3716/6041	6	KEGG
hsa04625	C-type lectin receptor signaling pathway	5/57	104/8265	0.0480769230769231	6.97115384615385	5.10642725946676	0.000713621211475074	0.00691320548616478	0.00497656897476039	3592/868/3593/8915/10892	5	KEGG
hsa04659	Th17 cell differentiation	5/57	106/8265	0.0471698113207547	6.83962264150943	5.04235197796986	0.000778214597143791	0.00709548603278163	0.00510778621035553	3559/6774/2625/3460/3716	5	KEGG
hsa05140	Leishmaniasis	4/57	75/8265	0.0533333333333333	7.73333333333333	4.88126857362858	0.00171755172622321	0.0147900287535887	0.0106468118701556	3592/3593/3460/3716	4	KEGG
hsa05169	Epstein-Barr virus infection	6/57	201/8265	0.0298507462686567	4.32835820895522	3.9807668099484	0.00248199557813856	0.0202478586637619	0.014575708104304	965/6774/958/7187/4609/3716	6	KEGG
hsa04936	Alcoholic liver disease	5/57	140/8265	0.0357142857142857	5.17857142857143	4.15522046862223	0.00268102446110025	0.020777939573527	0.0149572943619277	7132/3592/3593/7187/6932	5	KEGG
hsa04940	Type I diabetes mellitus	3/57	42/8265	0.0714285714285714	10.3571428571429	5.06601729674355	0.00295081950347507	0.0217798582399351	0.0156785397177122	942/3592/3593	3	KEGG
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	4/57	90/8265	0.0444444444444444	6.44444444444445	4.32757748717912	0.00334509081023878	0.022849870363444	0.0164488031139223	6774/10538/3460/3716	4	KEGG
hsa05417	Lipid and atherosclerosis	6/57	214/8265	0.0280373831775701	4.06542056074766	3.78604653442003	0.00339062592489814	0.022849870363444	0.0164488031139223	7132/6774/3592/958/3593/7187	6	KEGG
