ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04114	Oocyte meiosis	13/141	133/8265	0.0977443609022556	5.72948328267477	7.24370213231714	3.69229080530931e-07	7.62562798769387e-05	6.15507314172087e-05	109/29945/115/898/8379/3480/5500/5530/5595/8945/995/442590/102723849	13	KEGG
hsa04010	MAPK signaling pathway	19/141	297/8265	0.063973063973064	3.74991045203811	6.35831247014017	6.02816441714931e-07	7.62562798769387e-05	6.15507314172087e-05	627/10000/5922/9252/3480/4915/5530/3815/5595/2250/2322/2066/2668/5979/5923/10912/27091/4208/22808	19	KEGG
hsa04914	Progesterone-mediated oocyte maturation	10/141	104/8265	0.0961538461538462	5.63625204582651	6.2680401822087	1.00996424307473e-05	0.00085173651165969	0.000687484432128062	109/29945/115/10000/8379/3480/5595/995/442590/102723849	10	KEGG
hsa04911	Insulin secretion	9/141	86/8265	0.104651162790698	6.13433943592281	6.30526656299713	1.42992489712871e-05	0.000904427497433908	0.000730014289586761	2740/109/115/10242/3767/6514/3778/116/885	9	KEGG
hsa04081	Hormone signaling	13/141	217/8265	0.0599078341013825	3.51161878615551	4.93923124083206	8.01286902838386e-05	0.00405451172836223	0.00327262440317151	4160/3953/2740/109/2696/3973/115/2690/799/3480/1394/658/885	13	KEGG
hsa04024	cAMP signaling pathway	13/141	225/8265	0.0577777777777778	3.38676122931442	4.78180610798048	0.000115703470895948	0.00441325263501824	0.00356218436111312	2740/109/627/2696/2890/3973/115/10000/5500/5595/116/1394/5142	13	KEGG
hsa04151	PI3K-Akt signaling pathway	17/141	359/8265	0.0473537604456825	2.77573638357139	4.53176171038616	0.000122105804130939	0.00441325263501824	0.00356218436111312	627/10000/898/2690/3480/57521/4915/3815/5595/2250/9863/2322/2066/2668/5979/3912/5649	17	KEGG
hsa05216	Thyroid cancer	5/141	37/8265	0.135135135135135	7.92121909143186	5.55848030003551	0.000378071702253259	0.0119565175837593	0.00965077766278056	5468/6934/5595/5979/10912	5	KEGG
hsa04022	cGMP-PKG signaling pathway	10/141	165/8265	0.0606060606060606	3.55254674403611	4.36307742494409	0.000499495020429018	0.0140413600187268	0.0113335712237695	109/115/10000/10242/5500/5581/5530/5595/3778/4208	10	KEGG
hsa04211	Longevity regulating pathway	7/141	90/8265	0.0777777777777778	4.55910165484634	4.47236787981049	0.000832074724769006	0.0210514905366558	0.0169918417479144	5468/109/115/10000/3480/57521/10645	7	KEGG
hsa05230	Central carbon metabolism in cancer	6/141	70/8265	0.0857142857142857	5.02431610942249	4.45437095156286	0.00118556386345036	0.0272679688593583	0.0220095109578344	10000/6514/3815/5595/2322/5979	6	KEGG
hsa04080	Neuroactive ligand-receptor interaction	15/141	368/8265	0.0407608695652174	2.38928075855689	3.59172116914896	0.0014733142022367	0.0287320926774334	0.0231912876198131	4160/3953/2740/2696/2922/2890/3973/10203/2690/799/2895/116/84109/1394/885	15	KEGG
hsa05223	Non-small cell lung cancer	6/141	73/8265	0.0821917808219178	4.81783736519965	4.3162206236609	0.00147635258816851	0.0287320926774334	0.0231912876198131	2272/10000/5915/5595/5979/10912	6	KEGG
hsa04972	Pancreatic secretion	7/141	101/8265	0.0693069306930693	4.06256583105119	4.0795698632636	0.00164018812871319	0.0296405426117456	0.0239245486443879	109/115/5874/3778/6558/885/3784	7	KEGG
hsa04140	Autophagy - animal	9/141	165/8265	0.0545454545454545	3.1972920696325	3.75583931907286	0.00199653783926371	0.0318348247779487	0.0256956771663077	10000/5289/3480/57521/203228/5595/10645/3146/22808	9	KEGG
hsa04270	Vascular smooth muscle contraction	8/141	134/8265	0.0597014925373134	3.49952365830422	3.84288531340576	0.00201326955117462	0.0318348247779487	0.0256956771663077	109/115/10203/10242/5500/5581/5595/3778	8	KEGG
hsa04014	Ras signaling pathway	11/141	234/8265	0.047008547008547	2.75550100018185	3.58875615377208	0.00214183449244253	0.0318755368581152	0.0257285381754706	627/10000/5922/3480/4915/3815/5595/2250/2322/5923/22808	11	KEGG
hsa04371	Apelin signaling pathway	8/141	138/8265	0.0579710144927536	3.39808818994758	3.74247852378773	0.00242173378635071	0.0336856849289706	0.027189610468984	109/115/10000/5289/5581/5595/4208/22808	8	KEGG
hsa04710	Circadian rhythm	4/141	34/8265	0.117647058823529	6.89612015018773	4.53836306194929	0.00252975499466578	0.0336856849289706	0.027189610468984	4783/6095/406/8945	4	KEGG
hsa04730	Long-term depression	5/141	60/8265	0.0833333333333333	4.88475177304965	3.97849997155211	0.00346282861126275	0.0438047819324738	0.035357302662367	2890/3480/5595/2895/1394	5	KEGG
hsa05224	Breast cancer	8/141	148/8265	0.0540540540540541	3.16848763657274	3.50679023326677	0.00372969641537568	0.0449339615757166	0.036268727046761	6934/10000/23493/3480/3815/5595/2250/10912	8	KEGG
hsa04213	Longevity regulating pathway - multiple species	5/141	62/8265	0.0806451612903226	4.72717913520933	3.88069497663416	0.00399311204121738	0.0459207884739999	0.0370652505261326	109/115/10000/3480/57521	5	KEGG
hsa04261	Adrenergic signaling in cardiomyocytes	8/141	154/8265	0.051948051948052	3.04504006631666	3.37477430685012	0.00474344720583829	0.0500038392948786	0.0403609104356416	109/115/10000/9252/5500/5595/27091/3784	8	KEGG
hsa04921	Oxytocin signaling pathway	8/141	154/8265	0.051948051948052	3.04504006631666	3.37477430685012	0.00474344720583829	0.0500038392948786	0.0403609104356416	109/115/5500/5530/5595/10645/27091/4208	8	KEGG
hsa05222	Small cell lung cancer	6/141	93/8265	0.0645161290322581	3.78174330816747	3.55397280684078	0.00501009246388678	0.0507021357345342	0.0409245447576436	2272/10000/5915/898/10912/3912	6	KEGG
hsa04218	Cellular senescence	8/141	157/8265	0.0509554140127389	2.98685458734246	3.31114952297649	0.00532374511110868	0.0518041351196345	0.0418140304273313	10000/898/5500/5530/5595/8945/10912/22808	8	KEGG
hsa05221	Acute myeloid leukemia	5/141	68/8265	0.0735294117647059	4.31007509386733	3.61064332052901	0.00593061237472315	0.053917297609607	0.0435196826971656	6934/10000/3815/5595/2322	5	KEGG
hsa04713	Circadian entrainment	6/141	97/8265	0.0618556701030928	3.62579513051108	3.42695652094526	0.00614588481293525	0.053917297609607	0.0435196826971656	109/2890/115/9252/5595/116	6	KEGG
hsa05206	MicroRNAs in cancer	8/141	161/8265	0.0496894409937888	2.91264701995507	3.22862647129805	0.00618024359952017	0.053917297609607	0.0435196826971656	898/9252/57521/5581/5595/9839/995/23414	8	KEGG
hsa04930	Type II diabetes mellitus	4/141	46/8265	0.0869565217391304	5.09713228492137	3.67087135638454	0.00760478902253363	0.0641337207567003	0.0517659322937377	3767/6514/5581/5595	4	KEGG
hsa05218	Melanoma	5/141	73/8265	0.0684931506849315	4.01486447099971	3.40842706551251	0.00798734670027347	0.0651870553280384	0.0526161378557913	10000/3480/5595/2250/10912	5	KEGG
hsa05215	Prostate cancer	6/141	106/8265	0.0566037735849057	3.31794460056202	3.16415151377871	0.00937156245111475	0.0718178108849371	0.057968193516446	2119/6934/10000/898/3480/5595	6	KEGG
hsa04950	Maturity onset diabetes of the young	3/141	26/8265	0.115384615384615	6.76350245499182	3.87753438984325	0.00948230083385912	0.0718178108849371	0.057968193516446	6514/3175/6927	3	KEGG
hsa04015	Rap1 signaling pathway	9/141	210/8265	0.0428571428571429	2.51215805471125	2.92411073613363	0.00965140541536703	0.0718178108849371	0.057968193516446	109/115/10000/3480/3815/5595/2250/9863/22808	9	KEGG
hsa05110	Vibrio cholerae infection	4/141	50/8265	0.08	4.68936170212766	3.44708669940947	0.0101861014678692	0.0736309620391687	0.0594316897674172	109/115/6558/3784	4	KEGG
hsa04020	Calcium signaling pathway	10/141	253/8265	0.0395256916996047	2.3168783113279	2.80256173794258	0.0111542393665073	0.0783895155479544	0.0632725858801878	109/3973/115/4915/5530/2250/5137/2066/2668/5979	10	KEGG
hsa04913	Ovarian steroidogenesis	4/141	52/8265	0.0769230769230769	4.50900163666121	3.34390618357672	0.0116658164322152	0.0797689610094714	0.0643860138790824	109/3973/115/3480	4	KEGG
hsa05166	Human T-cell leukemia virus 1 infection	9/141	221/8265	0.0407239819004525	2.38711851352652	2.753552918535	0.013181219528791	0.0842809965265854	0.0680279314589455	109/29945/115/10000/898/23373/8379/5530/5595	9	KEGG
hsa04072	Phospholipase D signaling pathway	7/141	149/8265	0.0469798657718121	2.75381979151792	2.84594717675147	0.0136424527625271	0.0842809965265854	0.0680279314589455	109/115/10000/9162/3815/5595/22808	7	KEGG
hsa05226	Gastric cancer	7/141	149/8265	0.0469798657718121	2.75381979151792	2.84594717675147	0.0136424527625271	0.0842809965265854	0.0680279314589455	6934/10000/5915/898/5595/2250/10912	7	KEGG
hsa04725	Cholinergic synapse	6/141	115/8265	0.0521739130434783	3.05827937095282	2.92815586499929	0.0136581852078656	0.0842809965265854	0.0680279314589455	109/115/10000/56479/5595/3784	6	KEGG
hsa04724	Glutamatergic synapse	6/141	116/8265	0.0517241379310345	3.03191489361702	2.90336811173571	0.014206785802575	0.0855789716202729	0.0690756001428456	109/2890/115/5530/5595/9456	6	KEGG
hsa05210	Colorectal cancer	5/141	86/8265	0.0581395348837209	3.40796635329045	2.95712231762401	0.0155464900639603	0.091471208980976	0.0738315562401055	6934/10000/1630/5595/10912	5	KEGG
hsa04934	Cushing syndrome	7/141	155/8265	0.0451612903225806	2.64722031571723	2.72726202389544	0.0166359830376712	0.0956569024666096	0.0772100648159861	109/6934/115/898/3777/5595/1394	7	KEGG
hsa04152	AMPK signaling pathway	6/141	122/8265	0.0491803278688525	2.88280432507848	2.7600226012834	0.0178247063030732	0.0984776789709835	0.0794868721463316	3953/5468/10000/3480/57521/10645	6	KEGG
hsa05213	Endometrial cancer	4/141	59/8265	0.0677966101694915	3.97403534078615	3.0201334100009	0.0179050325401788	0.0984776789709835	0.0794868721463316	6934/10000/5595/10912	4	KEGG
hsa05202	Transcriptional misregulation in cancer	8/141	201/8265	0.0398009950248756	2.33301577220282	2.52044839784984	0.0214953501642971	0.115709012586535	0.0933952504339	5468/2119/64919/3480/2322/10912/4208/51274	8	KEGG
hsa00230	Purine metabolism	6/141	128/8265	0.046875	2.74767287234043	2.62514154527634	0.0220311767336833	0.116122660700456	0.0937291290862841	109/2272/115/5137/22978/5142	6	KEGG
hsa01522	Endocrine resistance	5/141	95/8265	0.0526315789473684	3.08510638297872	2.69276680772323	0.0229264565681978	0.118375377790899	0.0955474237213831	109/115/10000/3480/5595	5	KEGG
hsa04068	FoxO signaling pathway	6/141	131/8265	0.0458015267175573	2.68474906610362	2.56058113381542	0.0243668756810988	0.120878814653294	0.0975680883825214	10000/3480/5595/2290/10912/9456	6	KEGG
hsa04728	Dopaminergic synapse	6/141	131/8265	0.0458015267175573	2.68474906610362	2.56058113381542	0.0243668756810988	0.120878814653294	0.0975680883825214	6323/2890/10000/5500/406/5530	6	KEGG
hsa04720	Long-term potentiation	4/141	67/8265	0.0597014925373134	3.49952365830422	2.70620348720086	0.0271863365375743	0.132271983538583	0.106764155633389	2890/5500/5530/5595	4	KEGG
hsa04916	Melanogenesis	5/141	101/8265	0.0495049504950495	2.90183273646514	2.53338538489089	0.0289286914876736	0.138093565026064	0.111463081402357	109/6934/115/3815/5595	5	KEGG
hsa04924	Renin secretion	4/141	69/8265	0.0579710144927536	3.39808818994758	2.63516900707936	0.0298813883637306	0.139999838074516	0.113001741570443	5530/5137/3778/116	4	KEGG
hsa04917	Prolactin signaling pathway	4/141	70/8265	0.0571428571428571	3.34954407294833	2.60062594075385	0.031286193048735	0.143916488024181	0.116163089979992	3973/10000/6514/5595	4	KEGG
hsa04550	Signaling pathways regulating pluripotency of stem cells	6/141	144/8265	0.0416666666666667	2.44237588652482	2.30024818824602	0.0363928554921125	0.164417722134008	0.132710788824621	463/10000/3480/5595/3175/658	6	KEGG
hsa05214	Glioma	4/141	76/8265	0.0526315789473684	3.08510638297872	2.40568816448625	0.0405238869563026	0.179869182455168	0.145182531293125	10000/3480/5595/10912	4	KEGG
hsa04928	Parathyroid hormone synthesis, secretion and action	5/141	114/8265	0.043859649122807	2.5709219858156	2.22495560697035	0.0451045044634237	0.196748959124934	0.158807148201528	109/115/5595/5142/4208	5	KEGG
hsa04973	Carbohydrate digestion and absorption	3/141	48/8265	0.0625	3.66356382978723	2.43807374179924	0.0481582962418261	0.206509304223424	0.166685271559577	10000/3938/6514	3	KEGG
hsa04722	Neurotrophin signaling pathway	5/141	119/8265	0.0420168067226891	2.46290005363848	2.11755981559087	0.0525197146747494	0.216524661174974	0.174769229323673	627/10000/9252/4915/5595	5	KEGG
hsa04110	Cell cycle	6/141	158/8265	0.0379746835443038	2.22596283328845	2.04972460456088	0.0530190289095103	0.216524661174974	0.174769229323673	29945/898/8379/995/10912/23047	6	KEGG
hsa04662	B cell receptor signaling pathway	4/141	83/8265	0.0481927710843374	2.82491668802871	2.20126386497174	0.053061379418373	0.216524661174974	0.174769229323673	55024/10000/5530/5595	4	KEGG
hsa04510	Focal adhesion	7/141	200/8265	0.035	2.05159574468085	1.98326791156466	0.0548419456115609	0.220086146847868	0.177643904674376	10000/3480/5500/5595/5923/3912/5649	7	KEGG
hsa04935	Growth hormone synthesis, secretion and action	5/141	121/8265	0.0413223140495868	2.4221909618428	2.0761153057612	0.0556739660010416	0.220086146847868	0.177643904674376	109/115/10000/2690/5595	5	KEGG
hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	2/141	24/8265	0.0833333333333333	4.88475177304965	2.51072236140703	0.0624605755555424	0.241297546508478	0.194764818068004	266722/2131	2	KEGG
hsa04611	Platelet activation	5/141	126/8265	0.0396825396825397	2.32607227288078	1.97599888837891	0.0640302090421247	0.241297546508478	0.194764818068004	109/115/10000/5500/5595	5	KEGG
hsa04517	IgSF CAM signaling	9/141	295/8265	0.0305084745762712	1.78831590335377	1.8163598296602	0.0649915308521677	0.241297546508478	0.194764818068004	22871/10000/253559/23705/1630/10458/5595/9863/145581	9	KEGG
hsa04727	GABAergic synapse	4/141	89/8265	0.0449438202247191	2.63447286636385	2.04231172408887	0.0653039424645368	0.241297546508478	0.194764818068004	109/115/5334/6529	4	KEGG
hsa05225	Hepatocellular carcinoma	6/141	167/8265	0.0359281437125748	2.10600076442859	1.90214898434561	0.0658084217750395	0.241297546508478	0.194764818068004	6934/10000/3480/5595/8110/10912	6	KEGG
hsa05032	Morphine addiction	4/141	91/8265	0.043956043956044	2.57657236380641	1.99221883676587	0.0696862933166943	0.251866174416052	0.203295351931409	109/115/5137/5142	4	KEGG
hsa04520	Adherens junction	4/141	93/8265	0.043010752688172	2.52116220544498	1.94344643413803	0.0742167680538254	0.259725655037397	0.2096391806834	6934/3480/10458/5595	4	KEGG
hsa04970	Salivary secretion	4/141	93/8265	0.043010752688172	2.52116220544498	1.94344643413803	0.0742167680538254	0.259725655037397	0.2096391806834	109/115/3778/6558	4	KEGG
hsa04380	Osteoclast differentiation	5/141	132/8265	0.0378787878787879	2.22034171502257	1.86192760014529	0.0749406040226482	0.259725655037397	0.2096391806834	5468/10000/799/5530/5595	5	KEGG
hsa04923	Regulation of lipolysis in adipocytes	3/141	58/8265	0.0517241379310345	3.03191489361702	2.04572403151315	0.0761279386766001	0.260275249799727	0.210082789520063	109/115/10000	3	KEGG
hsa04370	VEGF signaling pathway	3/141	59/8265	0.0508474576271186	2.98052650558961	2.0112250136686	0.0792470229339083	0.267326624030384	0.215774350163905	10000/5530/5595	3	KEGG
hsa04750	Inflammatory mediator regulation of TRP channels	4/141	98/8265	0.0408163265306122	2.39253148067738	1.82686533564476	0.0861780975557369	0.283156606254564	0.228551618944811	109/115/5500/5581	4	KEGG
hsa04925	Aldosterone synthesis and secretion	4/141	98/8265	0.0408163265306122	2.39253148067738	1.82686533564476	0.0861780975557369	0.283156606254564	0.228551618944811	109/115/3777/5581	4	KEGG
hsa01523	Antifolate resistance	2/141	30/8265	0.0666666666666667	3.90780141843972	2.10190615962756	0.092212687374533	0.294365109905605	0.2375986325013	200895/9429	2	KEGG
hsa04981	Folate transport and metabolism	2/141	30/8265	0.0666666666666667	3.90780141843972	2.10190615962756	0.092212687374533	0.294365109905605	0.2375986325013	200895/9429	2	KEGG
hsa04120	Ubiquitin mediated proteolysis	5/141	141/8265	0.0354609929078014	2.07861777576581	1.70181334698963	0.0930798766499936	0.294365109905605	0.2375986325013	29945/8945/55120/8453/10055	5	KEGG
hsa05017	Spinocerebellar ataxia	5/141	142/8265	0.0352112676056338	2.06397962241534	1.68476374852657	0.0952238652022384	0.297427628347732	0.240070563342875	2890/10000/5289/6095/5649	5	KEGG
hsa04927	Cortisol synthesis and secretion	3/141	65/8265	0.0461538461538462	2.70540098199673	1.81842759833145	0.0990869091297236	0.302036000118314	0.243790239329948	109/115/3777	3	KEGG
hsa04929	GnRH secretion	3/141	65/8265	0.0461538461538462	2.70540098199673	1.81842759833145	0.0990869091297236	0.302036000118314	0.243790239329948	10000/3767/5595	3	KEGG
hsa04625	C-type lectin receptor signaling pathway	4/141	104/8265	0.0384615384615385	2.25450081833061	1.69603840778853	0.1016880348578	0.306249550807763	0.247191233021452	10000/5530/5595/22808	4	KEGG
hsa04136	Autophagy - other	2/141	32/8265	0.0625	3.66356382978723	1.98874359232833	0.102890165291146	0.306249550807763	0.247191233021452	5289/57521	2	KEGG
hsa05211	Renal cell carcinoma	3/141	68/8265	0.0441176470588235	2.5860450563204	1.73006437203531	0.109687041281974	0.318539849476657	0.257111424166722	10000/5595/8453	3	KEGG
hsa04066	HIF-1 signaling pathway	4/141	108/8265	0.037037037037037	2.17100078802206	1.61370292846255	0.112695501915357	0.318539849476657	0.257111424166722	10000/3480/5595/8453	4	KEGG
hsa04931	Insulin resistance	4/141	108/8265	0.037037037037037	2.17100078802206	1.61370292846255	0.112695501915357	0.318539849476657	0.257111424166722	10000/5500/6514/5581	4	KEGG
hsa04920	Adipocytokine signaling pathway	3/141	69/8265	0.0434782608695652	2.54856614246068	1.70166114871449	0.113314570960076	0.318539849476657	0.257111424166722	3953/10000/10645	3	KEGG
hsa05031	Amphetamine addiction	3/141	69/8265	0.0434782608695652	2.54856614246068	1.70166114871449	0.113314570960076	0.318539849476657	0.257111424166722	2890/5500/5530	3	KEGG
hsa00512	Mucin type O-glycan biosynthesis	2/141	36/8265	0.0555555555555556	3.2565011820331	1.78744644229269	0.125169623812033	0.347999064004882	0.280889612718732	55568/51301	2	KEGG
hsa05205	Proteoglycans in cancer	6/141	200/8265	0.03	1.75851063829787	1.43052101259039	0.126723657943568	0.348490059344813	0.281285922666502	10000/3480/5500/5595/2066/22808	6	KEGG
hsa04390	Hippo signaling pathway	5/141	157/8265	0.0318471337579618	1.86678411708904	1.44452031573274	0.130313038464838	0.350736156719192	0.283098874156535	6934/10207/5500/8945/658	5	KEGG
hsa04514	Cell adhesion molecule (CAM) interaction	5/141	157/8265	0.0318471337579618	1.86678411708904	1.44452031573274	0.130313038464838	0.350736156719192	0.283098874156535	257194/22871/22854/9369/23705	5	KEGG
hsa05131	Shigellosis	7/141	249/8265	0.0281124497991968	1.64786806801675	1.36749940978197	0.13313011300402	0.354546511473863	0.286174425737173	10000/9252/5289/57521/5581/5595/8945	7	KEGG
hsa05212	Pancreatic cancer	3/141	75/8265	0.04	2.34468085106383	1.54108876521674	0.135996755957303	0.358408117262475	0.289291344909175	10000/5595/10912	3	KEGG
hsa04971	Gastric acid secretion	3/141	76/8265	0.0394736842105263	2.31382978723404	1.51582902201047	0.139920298518988	0.364946757992824	0.294569049513659	109/115/3784	3	KEGG
hsa05220	Chronic myeloid leukemia	3/141	77/8265	0.038961038961039	2.2837800497375	1.49096284587452	0.143881976723556	0.371450409296528	0.299818512184424	10000/5595/10912	3	KEGG
hsa05219	Bladder cancer	2/141	40/8265	0.05	2.93085106382979	1.61261454030725	0.148468036813638	0.379418316301519	0.306249857967525	9252/5595	2	KEGG
hsa01521	EGFR tyrosine kinase inhibitor resistance	3/141	79/8265	0.0379746835443038	2.22596283328845	1.44236353034078	0.151915575674544	0.384346406456596	0.310227596640647	10000/3480/5595	3	KEGG
hsa04962	Vasopressin-regulated water reabsorption	2/141	43/8265	0.0465116279069767	2.72637308263236	1.49520210820431	0.166470140127422	0.416999459923146	0.336583712190932	109/115	2	KEGG
hsa04012	ErbB signaling pathway	3/141	84/8265	0.0357142857142857	2.0934650455927	1.32697000026029	0.172594227104008	0.425179148241099	0.343185998580292	10000/5595/2066	3	KEGG
hsa04714	Thermogenesis	6/141	220/8265	0.0272727272727273	1.59864603481625	1.18559997007327	0.173500613178214	0.425179148241099	0.343185998580292	5468/109/115/57521/514/8110	6	KEGG
hsa04926	Relaxin signaling pathway	4/141	128/8265	0.03125	1.83178191489362	1.24940158765102	0.174777199276973	0.425179148241099	0.343185998580292	109/115/10000/5595	4	KEGG
hsa05010	Alzheimer disease	9/141	372/8265	0.0241935483870968	1.4181537405628	1.08719177425023	0.184390279920748	0.444292769713802	0.358613677239349	348/64116/10000/5289/514/57142/5530/5595/25825	9	KEGG
hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	1/141	12/8265	0.0833333333333333	4.88475177304965	1.77405764448778	0.186674415236396	0.44555308542272	0.359630948916196	4864	1	KEGG
