ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05012	Parkinson disease	7/36	253/8265	0.0276679841897233	6.35210803689065	5.71857123261845	9.04496960388418e-05	0.0118489101810883	0.010853963524661	120892/6622/5071/65018/11315/4137/817	7	KEGG
hsa05022	Pathways of neurodegeneration - multiple diseases	8/36	462/8265	0.0173160173160173	3.97546897546898	4.35329887036845	0.000677128571035544	0.0443519214028281	0.0406277142621326	120892/6622/5071/65018/11315/4137/7473/817	8	KEGG
hsa04142	Lysosome	4/36	132/8265	0.0303030303030303	6.95707070707071	4.56317587620567	0.00246443998803546	0.107613879477548	0.0985775995214183	2629/1508/3425/2581	4	KEGG
hsa04934	Cushing syndrome	4/36	155/8265	0.0258064516129032	5.9247311827957	4.09365109737919	0.00439430876235978	0.143913611967283	0.131829262870793	107/7473/1394/817	4	KEGG
hsa04970	Salivary secretion	3/36	93/8265	0.032258064516129	7.40591397849462	4.10895392339979	0.00752919676212671	0.176706930267785	0.16186894375675	683/952/107	3	KEGG
hsa04916	Melanogenesis	3/36	101/8265	0.0297029702970297	6.81930693069307	3.89182520461484	0.00944235505247708	0.176706930267785	0.16186894375675	107/7473/817	3	KEGG
hsa04972	Pancreatic secretion	3/36	101/8265	0.0297029702970297	6.81930693069307	3.89182520461484	0.00944235505247708	0.176706930267785	0.16186894375675	683/952/107	3	KEGG
hsa00760	Nicotinate and nicotinamide metabolism	2/36	38/8265	0.0526315789473684	12.0833333333333	4.52912511518711	0.0117527355071233	0.192451043929144	0.176291032606849	683/952	2	KEGG
hsa04725	Cholinergic synapse	3/36	115/8265	0.0260869565217391	5.98913043478261	3.56342684544852	0.0134209354841608	0.195349172047229	0.178945806455477	2534/107/817	3	KEGG
hsa04611	Platelet activation	3/36	126/8265	0.0238095238095238	5.46626984126984	3.34131623091901	0.0171264194958594	0.224356095395757	0.205517033950312	2534/2212/107	3	KEGG
hsa04020	Calcium signaling pathway	4/36	253/8265	0.0158102766798419	3.62977602108037	2.80983892677862	0.0234249866737237	0.258792728830071	0.237062041676401	3707/952/107/817	4	KEGG
hsa00600	Sphingolipid metabolism	2/36	55/8265	0.0363636363636364	8.34848484848485	3.61643315982019	0.0237062041676401	0.258792728830071	0.237062041676401	2629/2581	2	KEGG
hsa04921	Oxytocin signaling pathway	3/36	154/8265	0.0194805194805195	4.4724025974026	2.87690887239935	0.0289153194393712	0.291377449735202	0.266910640978811	952/107/817	3	KEGG
hsa04720	Long-term potentiation	2/36	67/8265	0.0298507462686567	6.85323383084577	3.18164845354482	0.0341687193142722	0.319721587869262	0.292874736979476	107/817	2	KEGG
hsa04971	Gastric acid secretion	2/36	76/8265	0.0263157894736842	6.04166666666667	2.92037325621487	0.0429876757716764	0.339754328706687	0.311225339273301	107/817	2	KEGG
