ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04060	Cytokine-cytokine receptor interaction	23/89	296/8265	0.0777027027027027	7.21587458244762	11.3622908330318	3.29950435653548e-14	7.15992445368198e-12	5.52232834409622e-12	26525/3593/149233/3596/163702/3559/9966/1439/3566/59067/6846/3586/958/3460/7132/3570/6366/9180/8809/3595/3575/6375/355	23	KEGG
hsa04630	JAK-STAT signaling pathway	18/89	168/8265	0.107142857142857	9.94983948635634	12.2272145781668	1.22389921572686e-13	1.32793064906365e-11	1.0242103963188e-11	3593/7297/149233/3596/163702/8651/5771/3717/3559/1439/3566/59067/3586/3460/3570/9180/3595/3575	18	KEGG
hsa05321	Inflammatory bowel disease	11/89	64/8265	0.171875	15.9612008426966	12.5355314345207	5.59402196452409e-11	4.04634255433909e-09	3.12087541178712e-09	3593/149233/3596/3566/59067/3586/3460/4088/64127/8809/3595	11	KEGG
hsa04659	Th17 cell differentiation	12/89	106/8265	0.113207547169811	10.5130379478482	10.2842686138755	1.0985904756603e-09	5.95985333045715e-08	4.59673383236811e-08	7297/149233/4792/3717/3559/3566/59067/3460/4088/4773/3570/3662	12	KEGG
hsa04658	Th1 and Th2 cell differentiation	11/89	90/8265	0.122222222222222	11.3501872659176	10.3001914681083	2.4944846847094e-09	1.08260635316388e-07	8.34995926039568e-08	3593/7297/3596/4792/864/3717/3559/3566/3460/4773/3595	11	KEGG
hsa05145	Toxoplasmosis	10/89	109/8265	0.0917431192660551	8.51974023296567	8.24512406490285	2.23577244245214e-07	8.08604366686857e-06	6.23662839210334e-06	3593/7297/4792/4843/8651/3717/3586/958/3460/7132	10	KEGG
hsa05140	Leishmaniasis	8/89	75/8265	0.106666666666667	9.90561797752809	8.08299775827038	1.23127895930042e-06	3.81696477383131e-05	2.9439602184777e-05	3593/4792/4843/3717/5579/3586/3460/4689	8	KEGG
hsa05162	Measles	10/89	135/8265	0.0740740740740741	6.8789013732834	7.18517751219144	1.64417208870761e-06	4.4598167906194e-05	3.43978108032251e-05	3593/7297/64135/7128/23586/4792/9641/3559/940/355	10	KEGG
hsa05164	Influenza A	11/89	171/8265	0.064327485380117	5.97378277153558	6.85682372875913	1.94671140692983e-06	4.69373750337527e-05	3.62020016025548e-05	3593/7297/64135/23586/4792/3717/9641/5579/3460/7132/355	11	KEGG
hsa05168	Herpes simplex virus 1 infection	11/89	178/8265	0.0617977528089888	5.73885872995834	6.66821751503769	2.88438281397216e-06	6.25911070631958e-05	4.82754597285866e-05	3593/7297/64135/23586/4792/3717/9641/25833/3460/7132/355	11	KEGG
hsa05161	Hepatitis B	10/89	161/8265	0.062111801242236	5.76802289064136	6.37413518261478	8.05818787721358e-06	0.000158966069941395	0.00012260783468679	7297/64135/23586/4792/3717/9641/5579/4088/4773/355	10	KEGG
