ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04658	Th1 and Th2 cell differentiation	16/131	90/8265	0.177777777777778	11.2162849872774	12.3665651938274	4.99463533240777e-13	1.19871247977787e-10	6.83476413908432e-11	7297/3717/3593/6775/4794/3559/2625/3460/3595/3596/4792/864/5588/1432/4772/3516	16	KEGG
hsa04659	Th17 cell differentiation	15/131	106/8265	0.141509433962264	8.92805703586346	10.4250932901595	8.51599590124042e-11	1.02191950814885e-08	5.82673403769082e-09	3570/7297/3717/149233/4794/3559/2625/3460/861/3662/4792/5588/1432/4772/4088	15	KEGG
hsa04380	Osteoclast differentiation	16/131	132/8265	0.121212121212121	7.64746703678001	9.77004333302794	2.09727853846849e-10	1.47932331524408e-08	8.4347382009531e-09	7297/3460/2212/7132/3455/4688/7006/8600/4792/3710/1432/4772/55423/2355/5290/10000	16	KEGG
hsa05321	Inflammatory bowel disease	12/131	64/8265	0.1875	11.8296755725191	11.0369924543631	2.46553885874014e-10	1.47932331524408e-08	8.4347382009531e-09	3593/6775/149233/3586/2625/3460/3595/3596/64127/4772/4088/8809	12	KEGG
hsa04060	Cytokine-cytokine receptor interaction	22/131	296/8265	0.0743243243243243	4.68924076748504	8.20275347092587	1.09129103383653e-09	5.23819696241533e-08	2.98669125049997e-08	3570/3593/958/149233/3559/3586/3460/6366/1235/3595/7292/7132/3455/3596/8600/9966/355/10563/8764/9180/8809/653	22	KEGG
hsa04630	JAK-STAT signaling pathway	16/131	168/8265	0.0952380952380952	6.00872410032715	8.32335463336202	7.5891103128362e-09	3.03564412513448e-07	1.73084972047142e-07	3570/7297/3717/3593/6775/149233/3559/3586/3460/5771/3595/3455/3596/9180/5290/10000	16	KEGG
hsa04660	T cell receptor signaling pathway	13/131	120/8265	0.108333333333333	6.83492366412214	8.170694553117	4.54168927257931e-08	1.55715060774148e-06	8.87849030729789e-07	4794/10125/3586/1493/7006/4792/5588/1432/4772/29851/10892/5290/10000	13	KEGG
hsa05167	Kaposi sarcoma-associated herpesvirus infection	16/131	193/8265	0.0829015544041451	5.23039196297908	7.54653176323388	5.52005148335359e-08	1.65601544500608e-06	9.44219332678904e-07	7297/3717/7132/3455/4792/355/6932/2786/51176/3710/1432/4772/578/841/5290/10000	16	KEGG
hsa05168	Herpes simplex virus 1 infection	15/131	178/8265	0.0842696629213483	5.31670812248049	7.38835376897964	1.19375216919402e-07	3.08582617795566e-06	1.7594622944484e-06	7297/3717/3593/3460/7132/3455/64135/4792/355/8764/578/64170/841/5290/10000	15	KEGG
hsa05145	Toxoplasmosis	12/131	109/8265	0.110091743119266	6.94586455634148	7.92991204687655	1.28576090748152e-07	3.08582617795566e-06	1.7594622944484e-06	7297/3717/3593/958/3586/3460/7132/4843/4792/1432/841/10000	12	KEGG
hsa05140	Leishmaniasis	10/131	75/8265	0.133333333333333	8.41221374045801	8.18305241765301	2.45267328575639e-07	5.35128716892304e-06	3.05117250859647e-06	3717/3593/3586/3460/2212/4843/4688/4792/1432/5579	10	KEGG
hsa05164	Influenza A	14/131	171/8265	0.0818713450292398	5.16539440203562	6.98475701069688	4.62183105212854e-07	9.09138842022122e-06	5.18368637995069e-06	7297/3717/3593/3460/7132/3455/64135/4792/355/578/5579/841/5290/10000	14	KEGG
hsa05142	Chagas disease	11/131	101/8265	0.108910891089109	6.87136270878996	7.53402083798469	4.92450206095316e-07	9.09138842022122e-06	5.18368637995069e-06	3593/3586/3460/7132/4843/4792/355/1432/841/5290/10000	11	KEGG
hsa05169	Epstein-Barr virus infection	15/131	201/8265	0.0746268656716418	4.70832858607725	6.75428988723731	5.83014058783934e-07	9.9945267220103e-06	5.69863365728658e-06	7297/958/4794/7128/10018/3455/4792/864/355/1432/578/841/3516/5290/10000	15	KEGG
