ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04024	cAMP signaling pathway	11/118	225/8265	0.0488888888888889	3.42429378531073	4.43696274941086	0.000352736956892684	0.0825404479128881	0.0768595263966165	1813/2903/10000/775/488/5142/2890/2033/627/108/1394	11	KEGG
hsa04929	GnRH secretion	5/118	65/8265	0.0769230769230769	5.38787483702738	4.27406657655435	0.0022740872442522	0.12627811312553	0.117586906958995	8911/10000/775/348980/2100	5	KEGG
hsa04713	Circadian entrainment	6/118	97/8265	0.0618556701030928	4.33251791018697	3.97317591812476	0.00256237244639569	0.12627811312553	0.117586906958995	2903/8911/775/2890/4544/108	6	KEGG
hsa04728	Dopaminergic synapse	7/118	131/8265	0.0534351145038168	3.74272221503429	3.80805040015844	0.00262662268877838	0.12627811312553	0.117586906958995	1813/2903/10000/775/2890/5521/5520	7	KEGG
hsa04925	Aldosterone synthesis and secretion	6/118	98/8265	0.0612244897959184	4.28830854375649	3.94086557105389	0.00269825028046004	0.12627811312553	0.117586906958995	8911/775/5587/23683/108/57118	6	KEGG
hsa05017	Spinocerebellar ataxia	7/118	142/8265	0.0492957746478873	3.45279302936262	3.54800439074576	0.00411542237605843	0.146676453666338	0.136581313130599	2903/10000/488/29982/6095/2890/6310	7	KEGG
hsa00514	Other types of O-glycan biosynthesis	4/118	47/8265	0.0851063829787234	5.96105301117923	4.10465847636626	0.00438775716095884	0.146676453666338	0.136581313130599	55568/6487/8693/23127	4	KEGG
hsa05030	Cocaine addiction	4/118	49/8265	0.0816326530612245	5.71774472500865	3.98602081434163	0.00509962560947114	0.149164049077031	0.138897697521122	1813/2903/2913/627	4	KEGG
hsa04725	Cholinergic synapse	6/118	115/8265	0.0521739130434783	3.65438467207074	3.44962015313939	0.00593317386497993	0.154262520489478	0.143645261994251	10000/1136/775/56479/108/1143	6	KEGG
hsa04514	Cell adhesion molecule (CAM) interaction	7/118	157/8265	0.0445859872611465	3.12290834502861	3.2319266832726	0.00708361624838279	0.165756620212157	0.154348269833183	90952/4684/257194/5792/57502/5789/9369	7	KEGG
hsa04720	Long-term potentiation	4/118	67/8265	0.0597014925373134	4.181634201872	3.14681339884523	0.0151721644094288	0.307834050172284	0.286647091253543	2903/775/2890/2033	4	KEGG
hsa04080	Neuroactive ligand-receptor interaction	11/118	368/8265	0.0298913043478261	2.09365788504053	2.58292400525621	0.0157863615472966	0.307834050172284	0.286647091253543	1813/2903/2913/1136/2890/4544/4828/56923/1394/130574/1143	11	KEGG
hsa04082	Neuroactive ligand signaling	7/118	197/8265	0.0355329949238579	2.48881528004818	2.54523733723184	0.0224531348452189	0.339213305927587	0.315866641147145	1813/2903/2913/1136/2890/108/1143	7	KEGG
hsa04261	Adrenergic signaling in cardiomyocytes	6/118	154/8265	0.038961038961039	2.72892361875413	2.60637119152576	0.0226823145503422	0.339213305927587	0.315866641147145	10000/775/488/5521/108/5520	6	KEGG
hsa04934	Cushing syndrome	6/118	155/8265	0.0387096774193548	2.71131765992346	2.5883520977644	0.0233292783664014	0.339213305927587	0.315866641147145	8911/775/6934/108/1394/1030	6	KEGG
hsa04724	Glutamatergic synapse	5/118	116/8265	0.0431034482758621	3.01906779661017	2.63551223962208	0.0249390739985396	0.339213305927587	0.315866641147145	2903/2913/775/2890/108	5	KEGG
hsa05203	Viral carcinogenesis	7/118	203/8265	0.0344827586206897	2.41525423728814	2.45696169461611	0.0259335697013678	0.339213305927587	0.315866641147145	7531/8379/2033/9759/3661/9093/1030	7	KEGG
hsa05206	MicroRNAs in cancer	6/118	161/8265	0.0372670807453416	2.61027476576482	2.48313601471871	0.0274731549632526	0.339213305927587	0.315866641147145	4325/27086/23414/1946/2033/9759	6	KEGG
hsa04020	Calcium signaling pathway	8/118	253/8265	0.0316205533596838	2.21477858913378	2.36169722209445	0.028071716907015	0.339213305927587	0.315866641147145	2903/8911/775/488/2668/2066/108/57118	8	KEGG
hsa04152	AMPK signaling pathway	5/118	122/8265	0.040983606557377	2.87058905251459	2.50497494306666	0.0301553047460623	0.339213305927587	0.315866641147145	10000/2309/10645/5521/5520	5	KEGG
hsa04015	Rap1 signaling pathway	7/118	210/8265	0.0333333333333333	2.33474576271186	2.35783128339084	0.0304422197627321	0.339213305927587	0.315866641147145	1813/2903/10000/5587/1946/23683/108	7	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	4/118	86/8265	0.0465116279069767	3.25778478517935	2.53290536194294	0.0342573414924328	0.364373541328603	0.339295200427444	775/488/6444/6934	4	KEGG
hsa04068	FoxO signaling pathway	5/118	131/8265	0.0381679389312977	2.67337301073878	2.32334456921241	0.0391896829046975	0.385049587298653	0.35854819869915	10000/2309/10769/2033/1030	5	KEGG
hsa04211	Longevity regulating pathway	4/118	90/8265	0.0444444444444444	3.11299435028249	2.42556551581603	0.0394922653639644	0.385049587298653	0.35854819869915	10000/2309/10645/108	4	KEGG
hsa00515	Mannose type O-glycan biosynthesis	2/118	23/8265	0.0869565217391304	6.09064112011791	2.94209975533467	0.0420679895360409	0.392479326089617	0.365466578949846	10690/6487	2	KEGG
hsa04360	Axon guidance	6/118	182/8265	0.032967032967033	2.30908921586888	2.14909666169586	0.0457163930237999	0.392479326089617	0.365466578949846	2242/25791/1946/57144/2044/658	6	KEGG
hsa04936	Alcoholic liver disease	5/118	140/8265	0.0357142857142857	2.50151331719128	2.1563478550999	0.049719361807648	0.392479326089617	0.365466578949846	10000/2309/10645/6934/3661	5	KEGG
hsa05213	Endometrial cancer	3/118	59/8265	0.0508474576271186	3.56147658718759	2.37622707450129	0.0517923707337487	0.392479326089617	0.365466578949846	10000/2309/6934	3	KEGG
hsa05410	Hypertrophic cardiomyopathy	4/118	99/8265	0.0404040404040404	2.82999486389317	2.20444912298134	0.0528527341137087	0.392479326089617	0.365466578949846	775/488/1636/6444	4	KEGG
hsa05142	Chagas disease	4/118	101/8265	0.0396039603960396	2.77395536163786	2.15868451418072	0.0561180349251555	0.392479326089617	0.365466578949846	10000/1636/5521/5520	4	KEGG
hsa04137	Mitophagy - animal	4/118	102/8265	0.0392156862745098	2.74675972083749	2.13621842321223	0.0577907722049012	0.392479326089617	0.365466578949846	665/2309/64786/84749	4	KEGG
hsa04213	Longevity regulating pathway - multiple species	3/118	62/8265	0.0483870967741935	3.38914707490432	2.2724256058245	0.0584560897234732	0.392479326089617	0.365466578949846	10000/2309/108	3	KEGG
hsa03015	mRNA surveillance pathway	4/118	103/8265	0.0388349514563107	2.72009215073227	2.11402116454061	0.0594901300627848	0.392479326089617	0.365466578949846	5521/23293/5520/124540	4	KEGG
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2/118	28/8265	0.0714285714285714	5.00302663438257	2.55340827886101	0.0600389215257313	0.392479326089617	0.365466578949846	10690/6487	2	KEGG
hsa05207	Chemical carcinogenesis - receptor activation	6/118	196/8265	0.0306122448979592	2.14415427187824	1.95092270960967	0.0612935749218205	0.392479326089617	0.365466578949846	10000/1136/775/2100/108/1143	6	KEGG
hsa04010	MAPK signaling pathway	8/118	297/8265	0.0269360269360269	1.88666324259545	1.87283521353206	0.0618187894361909	0.392479326089617	0.365466578949846	8911/10000/775/2668/2066/1946/4208/627	8	KEGG
hsa05414	Dilated cardiomyopathy	4/118	105/8265	0.0380952380952381	2.6682808716707	2.07040849135952	0.0629683519488348	0.392479326089617	0.365466578949846	775/488/6444/108	4	KEGG
hsa04927	Cortisol synthesis and secretion	3/118	65/8265	0.0461538461538462	3.23272490221643	2.1748147414498	0.0655038293065285	0.392479326089617	0.365466578949846	8911/775/108	3	KEGG
hsa04921	Oxytocin signaling pathway	5/118	154/8265	0.0324675324675325	2.27410301562844	1.92072417714036	0.0691205757189817	0.392479326089617	0.365466578949846	775/10645/4208/108/57118	5	KEGG
hsa04151	PI3K-Akt signaling pathway	9/118	359/8265	0.0250696378830084	1.75593692460224	1.76234803453032	0.0706852233948235	0.392479326089617	0.365466578949846	10000/7531/2668/2309/2066/1946/5521/627/5520	9	KEGG
hsa05160	Hepatitis C	5/118	156/8265	0.032051282051282	2.24494784876141	1.88915289354434	0.072191931672166	0.392479326089617	0.365466578949846	10000/7531/5521/3661/5520	5	KEGG
hsa05211	Renal cell carcinoma	3/118	68/8265	0.0441176470588235	3.09010468594217	2.0827269056708	0.0729232970318733	0.392479326089617	0.365466578949846	10000/57144/2033	3	KEGG
hsa04390	Hippo signaling pathway	5/118	157/8265	0.0318471337579618	2.23064881787758	1.87354614792982	0.0737554723389503	0.392479326089617	0.365466578949846	7531/6934/5521/658/5520	5	KEGG
