ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa05032	Morphine addiction	6/130	91/8265	0.0659340659340659	4.19188503803888	3.87024690707485	0.0030176798871423	0.384756353727495	0.372476030452743	2561/50940/5138/108/2775/5142	6	KEGG
hsa04514	Cell adhesion molecule (CAM) interaction	8/130	157/8265	0.0509554140127389	3.23958843704067	3.58137027375323	0.00325305165883792	0.384756353727495	0.372476030452743	257194/5789/22871/4684/57502/9369/958/9672	8	KEGG
hsa04914	Progesterone-mediated oocyte maturation	6/130	104/8265	0.0576923076923077	3.66789940828402	3.46100704412664	0.00582327274338929	0.384756353727495	0.372476030452743	29945/3479/8379/108/10000/442590	6	KEGG
hsa00514	Other types of O-glycan biosynthesis	4/130	47/8265	0.0851063829787234	5.41080196399345	3.83328819381719	0.00618082495947783	0.384756353727495	0.372476030452743	442117/145173/2590/56913	4	KEGG
hsa04727	GABAergic synapse	5/130	89/8265	0.0561797752808989	3.57173725151253	3.08346632184881	0.0129135058994881	0.514669514375366	0.49824273427165	2561/108/6540/2775/5334	5	KEGG
hsa05202	Transcriptional misregulation in cancer	8/130	201/8265	0.0398009950248756	2.53042479908152	2.77666071208497	0.0137990218193042	0.514669514375366	0.49824273427165	2119/4211/3479/79058/5079/7849/958/64919	8	KEGG
hsa04114	Oocyte meiosis	6/130	133/8265	0.0451127819548872	2.86813186813187	2.74550801778964	0.0182386761404828	0.514669514375366	0.49824273427165	29945/3479/8379/108/5530/442590	6	KEGG
hsa04010	MAPK signaling pathway	10/130	297/8265	0.0336700336700337	2.14063714063714	2.5306910105543	0.0184335153550676	0.514669514375366	0.49824273427165	627/3479/10125/1946/10000/4293/8817/2122/5530/9175	10	KEGG
hsa00512	Mucin type O-glycan biosynthesis	3/130	36/8265	0.0833333333333333	5.29807692307692	3.26693094641026	0.0186025125677843	0.514669514375366	0.49824273427165	442117/2590/56913	3	KEGG
hsa04360	Axon guidance	7/130	182/8265	0.0384615384615385	2.44526627218935	2.49221395871577	0.0245003707213321	0.53565404370151	0.518557497390175	1946/2242/1630/2045/29984/137970/5530	7	KEGG
