Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	pvalue	zScore	p.adjust
0	0	0	5	Adipose Tissue	1	0	1
0.439928502920289	2	1.57567624239883	3	Adrenal Gland	0.363137832544433	0.909402253843005	1
0.223145179431651	1	1.10473390179359	3	Appendix	0.598211586680008	0.526974082432813	1
0.129084679700081	1	0.743411159477641	4	Bone Marrow	0.7428742765025	0.328049446486346	1
0.303768878082352	1	1.46479532163743	4	Breast	0.496856667233553	0.679443860329183	1
9.42555191188053	28	3.79241528478731	3	Cerebral Cortex	3.75360084428158e-10	6.26394405582816	1.31376029549855e-08
2.10016093781245	4	5.10315789473684	2	Cervix, uterine	0.00794033932654692	2.65459620839752	0.138955938214571
0	0	0	13	Colon	1	0	1
0.0924324864481974	1	0.61222095486394	2	Duodenum	0.80829057272141	0.24263189245994	1
0.920600972292544	2	3.35165031222123	5	Endometrium	0.120060190386713	1.55452100447273	1
0.140449351409348	1	0.784711779448621	3	Esophagus	0.723686795659759	0.353535798828903	1
0.398039072937523	3	1.3153926945968	5	Fallopian Tube	0.399908768845104	0.841784179681763	1
0.278377604046367	1	1.34522019334049	3	Gallbladder	0.526771652502324	0.632941796004181	1
0	0	0	4	Heart Muscle	1	0	1
0	0	0	9	Kidney	1	0	1
0.0529987887744215	1	0.468595659765528	10	Liver	0.885118078377424	0.144484268052832	1
0.609128144385978	2	2.1036954087346	9	Lung	0.245964174692517	1.16020789172909	1
0.145672041382631	1	0.80385109114249	5	Lymph Node	0.715036083624626	0.365100907350796	1
0	0	0	3	Ovary	1	0	1
0	0	0	2	Pancreas	1	0	1
0.564013203040216	3	1.65248497287788	8	Placenta	0.272889482007829	1.09643265027675	1
0	0	0	9	Prostate	1	0	1
0	0	0	4	Rectum	1	0	1
0	0	0	3	Salivary Gland	1	0	1
0	0	0	3	Seminal Vesicle	1	0	1
0.320394870389732	2	1.24761746637888	5	Skeletal Muscle	0.47819510876911	0.709208485059171	1
0.042322527924147	1	0.427100147777651	3	Skin	0.907146589367342	0.116638421740007	1
0	0	0	4	Small Intestine	1	0	1
0.439113317154477	1	2.22188054405677	3	Smooth Muscle	0.363820094932657	0.908110024030336	1
0	0	0	5	Spleen	1	0	1
0.704050143108123	2	2.44132553606238	4	Stomach	0.197674139479912	1.28820635764165	1
0.0603295762910763	8	0.73003181696743	10	Testis	0.870302886052036	0.163273768996187	1
0.406676571992494	2	1.48125369603785	5	Thyroid Gland	0.392033723976483	0.85593501811826	1
0	0	0	5	Tonsil	1	0	1
0	0	0	2	Urinary Bladder	1	0	1
