Log10PValue	Tissue.Specific.Genes	fold.change	samples	Tissue	p.adjust	zScore
0.688631306453588	4	1.71796982167353	5	Adipose Tissue	0.20481827000046	1.267943102855
0.0113421940130125	1	0.277202301903497	3	Adrenal Gland	0.974221715894077	0.0323139106623638
1.82177006541628	7	2.72091868404718	3	Appendix	0.0150740494137164	2.43059510367578
0.473511318026297	5	1.3078529657477	4	Bone Marrow	0.336115609518586	0.961868607439692
0.236256176380268	2	1.03078189300412	4	Breast	0.580421944242531	0.552768495016356
0.00880071131130985	13	0.619528158295282	3	Cerebral Cortex	0.979939556095556	0.0251446873386407
1.60699907836132	6	2.69333333333333	2	Cervix, uterine	0.0247172939039476	2.245792625331
0.396975056762033	3	1.31278825995807	13	Colon	0.400889741638639	0.840033254065101
0.0231063727729378	2	0.430822153422773	2	Duodenum	0.948186193373584	0.0649846858843534
0.0862976110632292	1	0.589642184557439	5	Endometrium	0.81978957066642	0.227815635825143
0.0555331656571466	2	0.552204585537919	3	Esophagus	0.879967908834006	0.151009896900024
0.198924791141712	6	0.925646711012565	5	Fallopian Tube	0.632521378652949	0.478181008188277
0.790840350938749	4	1.89327286470144	3	Gallbladder	0.161867496218498	1.39881823643847
0	0	0	4	Heart Muscle	1	0
0.00303392142393697	1	0.204640522875817	9	Kidney	0.993038482169681	0.00872507941501813
0.00661666140323471	2	0.329752501316482	10	Liver	0.984880046023739	0.0189511863913261
0.544365902555747	4	1.48037825059102	9	Lung	0.285518397506685	1.06800468714918
7.7280068209984	18	5.09105691056911	5	Lymph Node	1.87065275979519e-08	5.62355674435449
0.0668805127051126	1	0.519237147595357	3	Ovary	0.857273674205057	0.179845739346799
0	0	0	2	Pancreas	1	0
0.384596872415549	6	1.16285979572888	8	Placenta	0.412480220262374	0.819536790770269
0.123289350947091	2	0.744147355912062	9	Prostate	0.752853803857564	0.314878635023243
0.353689795058048	3	1.2278431372549	4	Rectum	0.442904614337031	0.767297567564735
0	0	0	3	Salivary Gland	1	0
0.141231461752638	2	0.790656565656566	3	Seminal Vesicle	0.722384698564087	0.35527351013742
0.0248974376456677	2	0.438976515948125	5	Skeletal Muscle	0.944283850659484	0.0698866854862304
0.0976841830798411	5	0.751379889608831	3	Skin	0.798575196326053	0.255191499325654
0.136948065110984	4	0.811402656300616	4	Small Intestine	0.729544747283114	0.345731182782363
0.435674511528588	2	1.56354556803995	3	Smooth Muscle	0.36671230968816	0.902648815632096
1.84568493767026	10	2.25170801869831	5	Spleen	0.0142664218701625	2.45048421254783
0.384632108736785	3	1.28847736625514	4	Stomach	0.412446755190748	0.819595473057577
0.0021935942210368	19	0.610049735938061	10	Testis	0.99496179718117	0.00631449278202293
1.03881106955522	7	1.82413649604661	5	Thyroid Gland	0.0914510993225038	1.68779233591192
2.42659016498322	8	3.19897828863346	5	Tonsil	0.00374463795583202	2.89890880212493
0.222643881471377	1	1.10440917107584	2	Urinary Bladder	0.598902489745903	0.525979443483365
